"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",-5.88496138487216e-07,-2.96657851296784e-08,-2.96657483827127e-08,-2.96657106422768e-08,-2.96656718528092e-08,-2.96656319553382e-08,-2.96655908837803e-08,-2.96655485675102e-08,-2.87284002776882e-08,-2.96654598814085e-08,-2.96654133322321e-08,-2.96653651773635e-08,-2.96653153021459e-08,-2.9665263578959e-08,-2.96652098655201e-08,-2.96651540026178e-08,-2.9665095810974e-08,-2.96650350878023e-08,-2.1692888752745e-08,-2.96649050926551e-08,-2.9664835254522e-08,-2.96647617376244e-08,-2.96646841326104e-08,-2.96646019577277e-08,-2.96645146407995e-08,-2.96644214946896e-08,-2.96643216848084e-08,-2.96642141830398e-08,-2.9664097703367e-08,-2.96639706072442e-08,-2.96638307616572e-08,-2.9663675317533e-08,-2.96635003476978e-08,-2.96633002225693e-08,-2.96630664541006e-08,-2.96627853505659e-08,-2.96624326113587e-08,-2.96619582489826e-08,-2.96612278077615e-08,-2.96592926917428e-08
"2",-2.96650273190747e-08,-1.68155510116286e-06,-9.00356249851715e-08,-9.00355104428484e-08,-9.00353927167116e-08,-9.00352716277812e-08,-9.00351469754941e-08,-9.00350185455022e-08,-7.56659481223193e-08,-9.00347493829486e-08,1.49191829285975e-07,-9.00344619559207e-08,-9.00343105845032e-08,-9.0034153604494e-08,-9.00339905840644e-08,-9.00338210400077e-08,-9.00336444282146e-08,-9.00334601332276e-08,-9.00332674560995e-08,-9.00330655976111e-08,-9.00328536386921e-08,-9.0032630514713e-08,-9.00323949832898e-08,-9.0032145582303e-08,-9.00318805751944e-08,-9.00315978765038e-08,-9.00312949532497e-08,-7.96961591999207e-08,1.50023105525738e-08,-9.00302294319116e-08,-9.00298050001845e-08,-7.12996366861479e-08,-9.00288021929417e-08,-9.00281948126463e-08,-9.0027485324724e-08,-7.61111308559442e-08,-7.1796468208154e-08,-8.21308091034814e-08,2.06390716754768e-07,-6.3402985954043e-08
"3",-2.96650273190745e-08,-9.00332039317652e-08,-5.45002821539242e-06,-1.52056471576761e-07,-4.44865366396733e-08,-1.52056068253935e-07,-1.52055857734921e-07,-4.19259201392178e-08,-1.28003064453586e-07,-1.52055186260751e-07,-1.52054947665303e-07,-8.28770371727003e-08,-1.52054445195998e-07,-1.5205418008031e-07,-1.52053904763258e-07,4.21734670238562e-08,-1.52053320157952e-07,-9.6917003133992e-08,-1.44080600658534e-07,-7.24161398865714e-08,-1.52051984633069e-07,-1.52051607810137e-07,-1.29286782137682e-07,-1.52050788832038e-07,-1.52050341274783e-07,-1.520498638391e-07,-1.52049352247163e-07,-1.3654658700143e-07,-9.9531741332726e-08,-1.52047552741454e-07,-1.52046835939933e-07,-1.14586646104132e-07,-1.52045142348924e-07,-1.52044116574713e-07,-1.52042918356038e-07,-1.38125976194901e-07,-1.0342875375186e-07,-9.67840483583147e-08,-1.52033494072285e-07,-9.87974833335066e-08
"4",-2.96650273190748e-08,-9.00332039317659e-08,-1.52052157702032e-07,-3.33629023230309e-06,-2.15864056329978e-07,-2.15863766013616e-07,-1.12700724419743e-07,-2.1586315923704e-07,-1.97120748679364e-07,-2.15862513907255e-07,-2.15862175189355e-07,-2.1586182478754e-07,-2.15861461867501e-07,-2.15861085500602e-07,-1.37972262509045e-07,-2.15860288161724e-07,-2.15859864726707e-07,-1.88291419982189e-07,-1.9194271236828e-07,-2.15858476953319e-07,-2.15857968771918e-07,-2.15857433821764e-07,-2.15856869124184e-07,-2.15856271173677e-07,-2.15855635806766e-07,-2.1585495802346e-07,-2.1585423175082e-07,-1.95183830537343e-07,-2.15852601936309e-07,-1.20149819789454e-07,-1.90980291338869e-07,-1.97119831879521e-07,-1.68645631417706e-07,-2.15846799019028e-07,-2.1584509798862e-07,-2.1584305252174e-07,-2.03687756858776e-07,-2.11890377659135e-07,-2.15831718967276e-07,-2.1581763797847e-07
"5",-2.96650273190747e-08,-9.00332039317657e-08,-1.52052157702031e-07,-6.99739826536024e-08,-6.4910257052686e-06,-2.81609409000332e-07,-2.81609019116943e-07,-2.8160861741777e-07,-2.12262459004363e-07,-2.81607775539845e-07,-4.2380896266561e-08,-2.81606876534888e-07,-2.81606403080267e-07,-2.81605912083274e-07,-2.03716970050782e-07,-2.81604871898836e-07,-2.81604319498185e-07,-3.3491717068118e-08,-2.09854394766441e-07,-2.81602509050555e-07,-2.81601846092307e-07,-1.38020193249671e-07,-1.90542699943937e-07,-2.81599631456446e-07,-2.81598802575788e-07,-2.81597918359972e-07,-2.8159697088642e-07,-1.78247855543686e-07,-2.29078381818407e-07,-2.8159363818326e-07,-2.06981206119631e-07,-2.62861138521379e-07,-2.34386550287467e-07,-2.81587274366963e-07,-2.27784656990771e-07,-2.25920381523495e-07,-2.14739029180663e-07,-2.02641407145092e-07,-2.81567601382747e-07,-2.01710093770389e-07
"6",-2.96650273190747e-08,-9.00332039317657e-08,-1.52052157702031e-07,-2.15857585044926e-07,-2.81600474373258e-07,-7.71771718210967e-06,-3.4946107564709e-07,-3.49460577160836e-07,-3.19472714267436e-07,-2.32211778083557e-07,-3.49458984087367e-07,-3.49458416822341e-07,-3.49457829291581e-07,-3.49457219991716e-07,-3.49456587246654e-07,-2.52342386454566e-07,2.89051977514913e-07,-3.21886525474008e-07,-3.41481697658502e-07,-3.4945299701804e-07,-3.49452174323855e-07,-3.49451308293773e-07,-2.81157110419989e-07,-3.49449426084355e-07,-3.49448397489719e-07,-3.49447300227241e-07,-3.49446124465443e-07,-3.13273024894988e-07,-3.49443485960931e-07,-2.53740131442599e-07,-2.99699605023983e-07,-3.30708813709189e-07,-3.4943644910279e-07,-3.49434091625977e-07,-3.49431337830144e-07,-3.35512525107767e-07,-3.31194777751609e-07,-2.94165093447948e-07,-3.49409678550546e-07,-3.22773836864852e-07
"7",-2.96650273190747e-08,-9.00332039317657e-08,-5.71736880082544e-08,-2.15857585044926e-07,-2.81600474373258e-07,-1.9857358718362e-07,-1.05159465592086e-05,-4.19607734093185e-07,-3.63380837789173e-07,-4.19606479662508e-07,-4.19605821242374e-07,-2.81249812776513e-07,-4.19604434644643e-07,-4.19603703040129e-07,-4.19602943284268e-07,-3.22488610398759e-07,-4.19601330026736e-07,-3.6446446534354e-07,-3.55822910349662e-07,-3.39962429676412e-07,-4.19597644556293e-07,-4.19596604688153e-07,-3.96831079099973e-07,-4.19594344663187e-07,-3.12788936119057e-07,-4.19591792083168e-07,-1.90755281400384e-07,-3.83417026541783e-07,-3.6707074931911e-07,-4.19585414454287e-07,-3.94713068212502e-07,-3.82121844613884e-07,-3.72376138990587e-07,-3.38549659839189e-07,-3.65772227294231e-07,-3.63906644180835e-07,-3.64876379889623e-07,-3.40623822265696e-07,-2.71340307722789e-07,-4.19519247145116e-07
"8",-2.96650273190746e-08,-9.00332039317652e-08,-1.52052157702031e-07,-2.15857585044925e-07,-2.81600474373256e-07,-3.49449322759407e-07,-3.16430006923182e-07,-1.48678191606022e-05,-4.24477389358311e-07,-2.57765036225027e-07,-1.380689772412e-08,-4.92258973439471e-07,-4.92258145823723e-07,-4.92257287543277e-07,-4.92256396237131e-07,-3.95141926537058e-07,-4.9225450364712e-07,-4.64685493134697e-07,-4.5239202832039e-07,-4.1261513620607e-07,-4.92250180044468e-07,-3.48668005162459e-07,-4.46718816578289e-07,-4.92246308781135e-07,-4.92244859867859e-07,-1.96027413120188e-07,-4.92241658008803e-07,-4.09561398272384e-07,-4.39721478461117e-07,-4.92235832323519e-07,-3.43011302684402e-07,-4.17312146203813e-07,-4.45025405141022e-07,-4.92224708143188e-07,-4.3842043079019e-07,-4.92216164497683e-07,-4.37523031033044e-07,-4.29055937273569e-07,-4.92190319057473e-07,-3.8570602430271e-07
"9",8.43051074642093e-07,4.10149428192418e-06,6.86895459963746e-06,7.80774054647789e-06,1.21427040469441e-05,1.27767396723343e-05,1.75307244860928e-05,2.31856473564499e-05,1.42661451328907e-05,1.97162009251326e-05,1.18721150570558e-05,8.49461517449812e-06,1.8426426345332e-05,1.73099327683937e-05,1.06482784346026e-05,1.46791714830782e-05,9.0099547065283e-06,1.50082691826369e-05,1.20601279998393e-05,1.55188629861292e-05,1.62087597179512e-05,7.6164672140682e-06,1.17023809017179e-05,1.05381336358797e-05,1.01127748574818e-05,1.21696430394634e-05,1.22471267407746e-05,1.35342108013976e-05,1.68678311575381e-05,1.09165907987028e-05,1.21411287357447e-05,1.20749187352613e-05,9.62814366437102e-06,1.28827419467943e-05,1.27210835920505e-05,1.18311022752187e-05,1.21927627314869e-05,1.30010111573969e-05,1.84028281984842e-05,1.19139760038125e-05
"10",-2.96650273190747e-08,-9.00332039317656e-08,-1.52052157702031e-07,-6.99739826536022e-08,-2.27815606315606e-07,-1.98573587183619e-07,-4.1959274965738e-07,-4.92242593343047e-07,-5.23593678658128e-07,-8.27027315219997e-06,-6.46075752868346e-07,-6.46074704115287e-07,-5.10401588203618e-07,4.89012561913319e-07,-6.46071321616786e-07,2.27951779544501e-07,-6.46068837650831e-07,-6.46067515175786e-07,-5.82289469751169e-07,-4.07156075903442e-07,-6.46063163055841e-07,-6.4606156194938e-07,-6.23295443913624e-07,-6.46058082142243e-07,-6.46056180488303e-07,-6.46054151882046e-07,-6.4605197814715e-07,-4.18683828218646e-07,-6.46047100110336e-07,-6.46044332115084e-07,-6.21170918272448e-07,-5.89848811450847e-07,-5.98831466623962e-07,-5.65003459689228e-07,-5.92224242522949e-07,-6.18187516063305e-07,-5.42712640534718e-07,-5.98640628563993e-07,-6.45984597358622e-07,-5.92716360958161e-07
