"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",-6.94509430643198e-06,1.21362800342516e-07,9.68924403228279e-07,1.82394968697087e-07,3.9600587675788e-08,3.44566113836039e-07,-6.48269538472615e-08,6.91493882892797e-07,-1.56751973848206e-07,-1.86037447920421e-07,-7.2126491232202e-08,1.54045780999509e-07,1.11339548099278e-07,-6.56829433786164e-07,8.26126898270204e-07,-1.62846868779044e-08,6.31381421571821e-07,-3.87097524817354e-07,-3.35319802983411e-07,-7.18714135023832e-07,-2.83582792210061e-08,3.26753059197363e-07,-7.30568898222553e-08,-1.49141409070233e-07,-6.15418847466617e-07,-1.8622505149828e-07,7.36519435666179e-08,-1.05735895363656e-08,7.75237054813511e-07,-1.16802059879725e-07,3.41646524248427e-07,8.69063080956278e-07,1.5543052460734e-07,-2.61061149718741e-07,2.52424373492145e-07,-4.60232666999151e-07,8.76981293733166e-07,-6.5107052188434e-07,-6.3470675512003e-07,3.37400564247207e-07
"2",-2.01413669094632e-07,-5.80585219001062e-06,-8.91156937668986e-07,2.03253649539901e-08,1.11839122379074e-06,4.21270983095793e-07,-1.35329965768821e-06,-1.8150947990224e-07,2.52675744360567e-07,2.27477211271394e-07,1.75767775958843e-06,-1.1415489468277e-07,2.89754416731496e-07,-1.32026584893555e-06,-8.3801332695302e-07,2.89340052772714e-09,1.0600694697754e-06,-2.40850433631292e-07,1.17856290732962e-06,-6.55826326800752e-07,9.29576415271294e-07,-1.00772309878223e-06,2.11739062303867e-06,-3.20234018971561e-07,-5.95023875339307e-07,1.14949254289305e-07,-1.54152979497308e-06,-2.42851388983928e-07,9.84855606356548e-07,-2.18376840170355e-07,-1.16394497172476e-07,8.5848328254692e-07,4.22142651151862e-07,1.08153938773667e-06,-1.76813448111789e-07,-8.02754442679287e-07,-1.72590520251642e-07,-1.04271177763646e-06,8.26091701341868e-09,-9.7636988064103e-07
"3",8.87868681826507e-08,-6.04640243087432e-07,-5.25364884107482e-06,1.23554010861801e-06,5.60945119637033e-07,-4.5894746568471e-08,1.31729369473685e-06,-1.04132342634515e-07,7.62188860485568e-07,-7.57189605612016e-07,-8.86538051209514e-07,1.23199862812348e-06,1.40680293619761e-06,-1.44641013344709e-06,5.17822190179856e-07,1.48772454666025e-06,-1.34599220766379e-06,-7.78853769815238e-07,1.13625119956811e-06,3.36134338425424e-07,5.23653563331836e-08,1.49690867740337e-07,-1.43974153741661e-06,2.18090456031146e-06,-8.97428759337428e-08,1.51230454446446e-06,2.09571995862129e-07,5.39682616880655e-07,-4.50315150301787e-07,-1.00693013637341e-06,-5.60274324188219e-07,1.9708652747241e-06,1.70203595105602e-06,-1.00927049808261e-06,-1.21018933903852e-06,-1.21540687666869e-06,5.77049480976457e-07,-3.76294670379963e-07,-2.19085270710089e-07,-1.56436599382546e-06
"4",5.72454430311432e-07,-2.34823228546256e-07,-4.97795048975492e-07,-1.26162293325738e-05,-4.2067145614723e-07,5.47018166738521e-07,-2.03529392806991e-07,2.53408792133893e-06,-1.61758727471288e-06,-1.90103117264261e-06,-8.54672169470417e-07,-4.2416252545956e-07,-3.04193121476704e-07,-1.12785882868777e-06,-5.65713060260957e-07,-6.55652002607311e-07,-1.6956762311785e-06,-2.00689175087194e-06,2.74882943533999e-07,-1.10874657247528e-07,-3.71523298649591e-07,1.05428796743218e-06,-3.11406479394151e-07,-1.39336885740331e-06,1.07970797003989e-06,5.00631659028802e-07,-9.79197736026467e-07,1.16269627205698e-06,-9.42714188476129e-07,-1.16667657105023e-06,-1.41775339671662e-06,-6.09287149808069e-08,-1.08477256230158e-08,-1.26717366899679e-06,1.77434761988619e-06,-3.03691372867391e-06,-4.40446016915396e-07,-5.6668000293754e-07,-9.66791394582312e-07,-1.94795478578692e-07
"5",7.65921455162951e-07,1.89162460506568e-06,9.32162416939696e-07,3.24345324196474e-06,-3.53378856043918e-06,2.38294902419689e-06,5.9354469402093e-07,-2.22599384473364e-06,4.27404495536705e-06,3.51140258934493e-06,-9.9717147413089e-07,1.38389126276205e-06,2.5803817802535e-06,1.3651582576429e-06,-1.86671592341426e-07,1.15043909665897e-06,-3.23369991083767e-06,-2.17742137660287e-06,3.78847347816955e-06,-8.22158585285943e-07,3.71053508905472e-06,4.70361687274415e-06,-2.47051126811052e-06,-4.62164630698751e-06,-7.01845061877141e-07,-8.62733458118572e-07,-1.29585840008319e-06,-4.66943925636349e-07,1.90933005935476e-06,-1.0564586706594e-06,-2.52646225937222e-06,-1.06718473641137e-06,-1.80612758017685e-06,1.84667660126567e-06,2.26713971754616e-07,-7.64129793945533e-07,-2.34134298780163e-06,-2.05416239437718e-06,5.05072670880373e-06,7.39295230945986e-07
"6",3.78987405459918e-07,-6.04640243087455e-07,-7.65912073834576e-07,-1.00316403782981e-06,-5.27657864050058e-07,-2.12415112437192e-05,2.32958970086631e-06,-2.82261022431576e-06,-1.34701831974584e-06,-1.37329392964748e-06,-2.05515985138568e-06,-8.88044560214069e-07,-1.28584141919529e-07,9.03641141210848e-07,-2.16973043216642e-06,-2.60532713493265e-06,-3.91370272289227e-06,3.61351638057183e-06,-8.6696049095779e-07,1.93936123407512e-07,-1.50538152254306e-07,1.01832179528202e-06,-4.81090019107535e-06,-9.97561293054687e-07,1.49830994375331e-06,-1.32876145316732e-06,2.02076209619214e-06,2.90532100465801e-06,4.11251454078261e-07,-1.03586428985753e-06,-2.71200969517635e-06,2.01311128832316e-06,-6.90830416298681e-07,3.50751886332778e-06,-1.41042686122407e-06,-2.31309990135164e-06,-1.47978702887e-07,2.87729294886254e-06,-2.00431717720407e-06,2.58438242837344e-07
"7",1.85520380608402e-07,2.27448039630258e-07,-4.08422707355781e-07,-2.31051805139893e-07,1.90805370385749e-06,6.3074453541268e-06,-1.75115758338507e-07,2.26737754934795e-06,2.39628256731137e-06,-3.20237215169825e-06,-3.3027448921886e-06,-1.218399565985e-06,6.42042780380843e-07,1.12558440751002e-06,-7.05800601609656e-07,3.57189820024401e-07,1.78504579592405e-06,-6.03329442221594e-07,1.25183759118932e-06,1.11224780739631e-06,-1.37393182875644e-06,5.18698171585641e-06,-1.38864631315903e-06,-1.67073892251173e-06,4.3409916310889e-06,-1.174672727166e-06,4.09415847737716e-06,-1.16530138268578e-06,-3.40735745454004e-06,3.2041767587121e-06,3.16580958269159e-06,1.37841017603174e-07,-6.73165758479783e-07,7.88864291682011e-06,1.48272606832083e-06,-4.4038750820811e-06,1.5028761937279e-06,-3.22257003805675e-06,-1.59786381882251e-06,2.59761565990372e-06
"8",8.62654967588716e-07,1.15199057598329e-06,3.06556025601838e-07,1.12014460206751e-06,-3.57229732393444e-06,-9.83722806534868e-07,-4.0048066510244e-06,1.72133022375842e-05,3.73105554066501e-06,-1.56993664025417e-06,2.05115034014658e-07,-5.29114016386526e-06,-1.62953527130763e-06,-1.45046239217848e-06,-2.71175863832211e-06,-2.93123455436518e-06,4.37561992721819e-06,2.17660851480654e-06,3.72813955924602e-06,8.28367671807813e-06,-2.52764583565406e-06,-2.81524214075746e-08,-1.91905446426428e-06,-2.53638643463814e-06,3.56071085129e-06,1.0261737484243e-06,2.71972361781582e-06,5.84210877185513e-06,1.65140753338657e-06,1.08216171943296e-06,1.34122971596403e-06,-3.97473495607124e-06,-1.09544647181724e-06,7.52740053135256e-06,4.26934893249364e-06,-1.35816837192454e-06,9.10947140342745e-07,-3.44115531137492e-06,1.28121314295588e-06,-2.06396615864913e-06
"9",1.85520380608402e-07,1.42935333688917e-06,1.37902412503819e-06,1.60271474749867e-06,2.51698159583438e-06,4.36634627360207e-07,6.54042829166603e-06,3.93371477075731e-06,2.2222077477041e-05,-2.04625333781312e-06,7.51894536474283e-07,-8.18404310943243e-08,4.14571678327747e-06,1.15187863904262e-06,2.52755148880831e-06,2.78344691723283e-06,1.24142009709466e-06,-1.4747880872142e-06,-2.08469451467382e-06,-2.46968356271344e-06,-9.7464261585331e-07,-8.894346991336e-06,-2.77196459705357e-07,-3.60467522291658e-06,3.4037628499303e-06,4.54577741443873e-06,-8.71726478077005e-07,2.13218630556354e-06,1.73576520653123e-08,7.81605089567964e-07,1.08778752743028e-06,-1.81204479757423e-06,2.19903325804587e-06,1.59555686176959e-06,-1.96035878129791e-06,-2.86434603930687e-08,-4.24828565186976e-06,1.86429481598159e-06,-3.33699321612203e-06,-2.77543003528597e-06
"10",5.72454430311436e-07,3.19902293265562e-07,6.64045392080608e-07,2.3748269801886e-06,2.34300219812671e-06,-9.83722806534925e-07,-3.31893771166248e-06,-4.06247495977023e-06,-1.64963208519642e-07,8.20732133632873e-06,-2.97793198566752e-07,6.32893774766383e-06,9.15029095625637e-06,3.53884438323969e-06,4.27527749598125e-06,1.13461189691959e-07,-8.36576793440064e-07,2.90129578742737e-06,2.28199713754646e-06,3.00256093895032e-06,3.00884682698223e-06,-2.78074974733231e-06,2.70130241769368e-06,9.93977335674667e-06,-8.6048147904353e-07,4.08219018955512e-08,1.80426951869421e-06,4.47053933167013e-06,3.99734824721802e-06,3.61257214753879e-06,-4.75516477722584e-07,-1.31171772049184e-06,-2.71843708286325e-06,-3.37371283337548e-06,5.12024772495672e-06,1.08390970433968e-06,-1.52424589747265e-06,-1.89627977402397e-06,4.63348951851049e-06,4.34118241234085e-06
