"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"11",0,684.633309460093,1387.05127677129,2108.20258136641,2849.11389508916,3610.89867282624,4394.76721764441,5202.03824881105,6034.15225029445,6892.68693906564,7779.37527045058,8696.12649685835,9645.05092312069,10628.4891655397,11649.046935116,12709.636645812,13813.527520745,14964.4063680357,16166.4518744669,17424.4261935713,18743.7888961065,20130.8401728777,21592.9027911956,23138.5561137509,24777.9411464009,26523.164166557,28388.8398192272,30392.8358312224,32557.3164168515,34910.2407705734,37487.5777922129,40336.6916873021,43521.7300425074,47132.6287153336,51301.1053129579,56231.3666883194,62265.5189386138,70044.8942090644,81009.3078347202,99753.0967308267
"12",0,727.475101005531,1473.84775722464,2240.12601290041,3027.4007851601,3836.85520473222,4669.77531092215,5527.56234351615,6411.74692658096,7324.00550471399,8266.17947510314,9240.29756403146,10248.6021313132,11293.5802602633,12378.0007175295,13504.9581650462,14677.9264016841,15900.8229422251,17178.0879600401,18514.7816064163,19916.7050916271,21390.5528488518,22944.1058767873,24586.4804025493,26328.4520182081,28182.8845667303,30165.3072229403,32294.7058091567,34594.6314933113,37094.7930516673,39833.4101832543,42860.8109684144,46245.1571098353,50082.0123145675,54511.3365849384,59750.1152748814,66161.8622014624,74428.0416765656,86078.5672930895,105995.272384717
"13",0,689.406768128109,1396.72219381344,2122.90157095237,2868.97872963745,3636.07488808039,4425.40878792606,5238.30834292861,6076.22408052136,6940.74471796796,7833.6152932531,8756.75837063808,9712.29896860175,10702.5940228906,11730.2674122651,12798.2518568687,13909.8393737745,15068.7424765805,16279.1689870656,17545.9142618548,18874.4759373901,20271.1981312035,21743.4546670276,23299.8847253162,24950.7000179115,26708.0912306432,28586.7749059918,30604.7433496552,32784.3153111646,35153.6449244557,37748.9518747802,40617.9306044176,43825.1759553016,47461.2508433819,51658.7912485546,56623.4278121703,62699.6518926917,70533.2671859448,81574.1278300817,100448.603767472
"14",0,688.213403461105,1394.3044645529,2119.22682355588,2864.01252100038,3629.78083426685,4417.74839535565,5229.24081939922,6065.70612296463,6928.73027324238,7820.05528755247,8741.60040219315,9695.48695723149,10684.0678085528,11709.9622929778,12776.0980541046,13885.7614105171,15042.6584494443,16250.9897089159,17515.542244784,18841.8041770692,20236.1086416221,21705.8166980696,23259.5525724248,24907.5103000338,26661.8594646217,28537.2911343007,30551.766470047,32727.5655875863,35092.7938859851,37683.6083541384,40547.6208751388,43749.314477103,47379.0953113699,51569.3697646555,56525.4125312076,62591.1186541722,70411.1739417247,81432.9228312413,100274.727008311
"15",0,669.358241722445,1356.10434223639,2061.16581469134,2785.54642453462,3530.33478401297,4296.71419274316,5085.97394763485,5899.52239356834,6738.90204657821,7605.80719748254,8502.1045007632,9429.85717758131,10391.3536220172,11389.1414082387,12426.0679704305,13505.3295910509,14630.5308206924,15805.7571141511,17035.6643750638,18325.5903639988,19681.6947062352,21111.1367885334,22622.304556742,24225.1127575671,25931.3975614813,27755.4475415801,29714.7317722375,31830.9199550497,34131.3474781499,36651.1807279976,39436.7271525322,42550.7031215659,46081.0379055789,50156.5103190485,54976.7710919964,60876.2934855647,68482.1006830473,79201.8838495635,97527.4742135623
"16",0,679.621177858677,1376.89681387702,2092.76864230115,2828.25581881345,3584.46364680939,4362.59356884869,5163.95464998761,5989.97682855619,6842.2262712182,7722.42324650794,8632.46302938963,9574.44047536558,10550.6790653214,11563.7654341094,12616.5906742024,13712.4000750641,14854.8534540637,16048.0989062383,17296.8637218735,18606.5675027586,19983.4643166357,21434.8233215721,22969.1610716073,24596.5443313148,26328.9907492666,28181.0079781242,30170.332936868,32318.9675778228,34654.6664089969,37213.1350055173,40041.3908243307,43203.1118340735,46787.5754808828,50925.5350805814,55819.7025082759,61809.6793368321,69532.10258334,80416.2468395907,99022.8143423493
"17",0,712.200033267882,1442.90082268974,2193.08924622534,2963.83331460556,3756.29131591895,4571.72228602089,5411.49804233995,6277.11706985485,7170.22061222656,8092.6114021351,9046.27556793632,10033.4083857738,11056.4447167407,12118.0951906523,13221.3894896646,14369.72847199,15566.9473948818,16817.3931997243,18126.0197879089,19498.5065595195,20941.4073822092,22462.3398741251,24070.2288455404,25775.6236293743,27591.1179616546,29531.9149452933,31616.6017501718,33868.2350315094,36315.8997592438,38997.013119039,41960.8464336445,45274.1301888938,49030.4215048128,53366.7415910289,58495.5196785585,64772.6367484133,72865.2481505484,84271.1433079328,103769.649867452
"18",0,715.899463735594,1450.39578339741,2204.48096315445,2979.22856138049,3775.80288274092,4595.46950298917,5439.60736528106,6309.7227382807,7207.46539087586,8134.64741980705,9093.26527011561,10085.5256210216,11113.8759811875,12181.0410604429,13290.0662782336,14444.3701580878,15647.807879004,16904.7489619883,18220.1730408287,19599.7890165143,21050.1847999117,22579.0175778948,24195.2585195035,25909.511754795,27734.4364363214,29685.3146375359,31780.8300769572,34044.1591746021,36504.5379785026,39199.5780330286,42178.8065944091,45509.3007713093,49285.1036540502,53643.9481911164,58799.3670495429,65109.0897878237,73243.7372076307,84708.8788043379,104308.667820852
"19",0,663.391418387425,1344.01569593369,2042.79207770889,2760.71538134925,3498.86451494528,4258.41222989111,5040.6363299879,5846.9326057847,6678.82982295031,7538.00716897939,8426.31465853853,9345.79712072999,10298.7225503286,11287.6158118023,12315.2989566095,13384.9397747641,14500.1106850114,15664.8607234027,16883.8042897094,18162.2315623942,19506.2472583279,20922.9469437435,22420.6437922854,24009.1641681789,25700.2387313736,27508.0286831242,29449.8473741965,31547.1713371583,33827.092285797,36324.4631247885,39085.1785061377,42171.3957305732,45670.2602455185,49709.4028995526,54486.6946871827,60333.6272929674,67871.6344619468,78495.8588553616,96658.0904177559
"20",0,721.627614137212,1462.000883848,2222.11975065761,3003.06636283844,3806.01434104589,4632.23938732714,5483.13147822214,6360.20893455299,7265.13472555864,8199.73544717007,9166.02351865129,10166.2232755989,11202.8018100085,12278.5056330218,13396.4045315017,14559.9443817231,15773.0112092578,17040.0094971068,18365.958722769,19756.6134660547,21218.6143499027,22759.6798288931,24388.8528533818,26116.8224006077,27956.3489132248,29922.8367416536,32035.1190990765,34316.5578477777,36796.6229631614,39513.2269321094,42516.2932949478,45873.4358666624,49679.4502077083,54073.1713138324,59269.8403981641,65630.0493327171,73829.7847798871,85386.6627987717,105143.276264826
