"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,811.6073100293,1644.29767009265,2499.19570435297,3377.5184940738,4280.58599858659,5209.83298713608,6166.82275233814,7153.26293433023,8171.02385786743,9222.15987699746,10308.9343393993,11433.8489329168,12599.6783710713,13809.5116272832,15066.8012599211,16375.4228113277,17739.746855327,19164.727069592,20656.0088099143,22220.0641942514,23864.361864344,25597.5826883252,27429.8971813874,29373.3271285816,31442.2240712488,33653.9131271682,36029.5758215345,38595.487005579,41384.7912638434,44440.1283885027,47817.6468825765,51593.3913228329,55873.9773214195,60815.5511998304,66660.1925827541,73813.4555170843,83035.6153940818,96033.5197113356,118253.583905587
"2",0,863.280000110566,1748.98534707399,2658.31226662099,3592.55532805909,4553.11852871275,5541.52798543484,6559.44652116073,7608.69049653652,8691.24931448507,9809.30812383467,10965.2743730649,12161.8090252493,13401.8634518938,14688.7232924227,16026.0609196103,17417.9986203712,18869.1852303242,20384.8898134728,21971.1171490839,23634.7514161468,25383.7367632208,27227.3067442059,29176.2794015816,31243.4419126833,33444.0595399815,35796.5604413961,38323.4747085695,41052.750036518,44019.6412296196,47269.5028322936,50862.0581603527,54878.1933288301,59431.3118575428,64687.5014526648,70904.2542484404,78512.9447449769,88322.2528688116,102147.696161124,125782.44757727
"3",0,831.655836434964,1684.91552166971,2560.931460614,3460.95079917663,4386.32610265401,5338.52758231897,6319.15714763189,7329.96462128325,8372.86652925718,9449.96797276802,10563.5882092742,11716.2907239373,12910.9187719446,14150.6376313096,15438.9851463594,16779.9325940513,18177.958511215,19638.1389425065,21166.2586967053,22768.9497676426,24453.8652893124,26229.9005668193,28107.4773499616,30098.9143889259,32218.9177404107,34485.2404915799,36919.5873989523,39548.8823616939,42407.0887101492,45537.8995352853,48998.8503344619,52867.8641565686,57254.1902592226,62317.8321293366,68306.8493029279,75636.8139242112,85086.7818969792,98405.7636918538,121174.713459496
"4",0,845.140857172108,1712.2358623138,2602.45610619434,3517.06895677557,4457.44891074698,5425.09001836461,6421.620163514,7448.81754167427,8508.62975465625,9603.19603718512,10734.8732527019,11906.2664524213,13120.2649939607,14380.0854792559,15689.3231175947,17052.0135788594,18472.7080178541,19956.5647855978,21509.4624896064,23138.1406592689,24850.3765215827,26655.2096160445,28563.2306776335,30586.9582009432,32741.3366964541,35044.4071116902,37518.2261385249,40190.1542381283,43094.7054448668,46276.2813185379,49793.3502753134,53725.0988602122,58182.5477709591,63328.2948973973,69414.4219778068,76863.2395194811,86466.4355566662,100001.38017875,123139.520838019
"5",0,774.851678285582,1569.83160886804,2386.01348454107,3224.55926805193,4086.72914112965,4973.89289596744,5887.54302763293,6829.30984158303,7800.97896031954,8804.5117014181,9842.06891129532,10916.0389827127,12029.07096947,13184.1139532348,14384.4641347843,15633.8215430011,16936.3588195321,18296.8053025821,19720.5506841308,21213.7739763673,22783.6055852353,24438.3332444192,26187.6668723347,28043.0838179503,30018.2856777854,32129.81295908,34397.8879296021,36847.5955193684,39510.5792789494,42427.5479527346,45652.1072207865,49256.8577943176,53343.5869354473,58061.3694957357,63641.3219291019,70470.6317706849,79275.143472103,91684.4057470522,112898.179723419
"6",0,774.374332418781,1568.86451716383,2384.54358558247,3222.5727845971,4084.21151960423,4970.82873893927,5883.91601822117,6825.10265856034,7796.17318242931,8799.08769913785,9836.00572391735,10909.3141781646,12021.6604837349,13175.9919055199,14375.6026136786,15624.1903576982,16925.9252086776,18285.5335913223,19708.4018773024,21200.7052722389,22769.5697894028,24423.278056836,26171.5340111782,28025.8079307993,29999.7929713768,32110.0194504035,34376.6971777588,36824.8956299371,39486.2388635612,42401.4105444779,45623.983329075,49226.5132030382,53310.7247226425,58025.6009021761,63602.1158167168,70427.2184752772,79226.306174415,91627.923747516,112828.629019755
"7",0,864.115355377468,1750.67775755637,2660.88458979853,3596.03167410504,4557.52436638222,5546.89026023413,6565.7937876313,7616.05306682623,8699.65942579298,9818.80012782511,10975.8849509763,12173.5774332085,13414.8318019301,14702.9368759238,16041.5685815452,17434.8531946513,18887.4440493196,20404.6153081776,21992.3775610336,23657.6216483714,25408.2994059278,27253.6533224765,29204.5119086055,31273.6747151976,33476.4217761965,35831.1990815799,38360.5585242952,41092.4748430228,44062.236956549,47315.2432967428,50911.2749708479,54931.2963635691,59488.8207299513,64750.0964913942,70972.8649451143,78588.9180119405,88407.7181397656,102246.539660312,125904.161308683
"8",0,813.516693496506,1648.16603690951,2505.07530018735,3385.46442789311,4290.65648468825,5222.08961524873,6181.33078998517,7170.09166642099,8190.24696942836,9243.85588611846,10333.1870889112,11460.7481511092,12629.3203140116,13841.9998181428,15102.2473443438,16413.9475525395,17781.4812987449,19209.8139146315,20704.6040372277,22272.3390107648,23920.5050476743,25657.8034386579,27494.4286260135,29442.4306771858,31516.1948968833,33733.0871618741,36114.3388289077,38686.2865633043,41482.1529253963,44544.6780215296,47930.1424494227,51714.7696879506,56005.4261726389,60958.6255740691,66817.0170322944,73987.1086987154,83230.9645848339,96259.4477094802,118531.786720245
"9",0,829.985125901159,1681.53070070495,2555.78681425891,3453.99810708473,4377.51442731506,5327.8030327204,6306.46261469075,7315.23948070383,8356.04630664137,9430.98396478714,10542.3670534513,11692.7539080189,12884.9820718719,14122.2104643074,15407.9698224895,16746.223445491,18141.4408732244,19598.687953097,21123.737872806,22723.2093031934,24404.7400038983,26177.2074102781,28051.0123359138,30038.4487838972,32154.1932679805,34415.9632112123,36845.4197675008,39469.4327486843,42321.8972562904,45446.4186063867,48900.4167134715,52761.6580870906,57139.1725144056,62192.6420518777,68169.6279095801,75484.867390284,84915.8513550711,98208.0766934773,120931.285996671
"10",0,865.308720044472,1753.09548681691,2664.55933719502,3600.99788274211,4563.81842019576,5554.55065280454,6574.86131116069,7626.57102438296,8711.67387051856,9832.36013352574,10991.0429194213,12190.3894445787,13433.3580162679,14723.2419952111,16063.7223843094,17458.9311579087,18913.5280764558,20432.7945863273,22022.7495781045,23690.2934086923,25443.3888955092,27291.2912914344,29244.8440614969,31316.8644330753,33522.6535422181,35880.6828532711,38413.5354039034,41149.224566601,44123.0879950196,47380.5868173847,50981.5847001268,55007.1578417676,59570.9762619634,64839.5179752934,71070.880226077,78697.45125046,88529.8113839857,102387.744659152,126078.038067845
