"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"11",22240.0250805857,22240.0250805857,12502.0113429248,12502.0113429248,20219.5238139892,20219.5238139892,21990.267258615,21990.267258615,26562.1389490557,26562.1389490557,30856.160867208,30856.160867208,49160.2002301072,49160.2002301072,71046.054893499,71046.054893499,59038.4011176294,59038.4011176294,106420.526016718,106420.526016718,175217.189247432,175217.189247432,125856.969028447,125856.969028447,250767.267481892,250767.267481892,543175.206567408,543175.206567408,797384.87193639,797384.87193639,457083.140374736,457083.140374736,409556.139162794,409556.139162794,460351.856700066,460351.856700066,326030.117440991,326030.117440991,316137.934441442,316137.934441442
"12",13885.1003882348,13885.1003882348,30819.1157354197,30819.1157354197,21933.9281544332,21933.9281544332,29737.9145182553,29737.9145182553,32843.1394956075,32843.1394956075,38430.3618295301,38430.3618295301,44602.5981470101,44602.5981470101,55645.7716859005,55645.7716859005,142450.20253494,142450.20253494,67912.9917761241,67912.9917761241,167108.090322049,167108.090322049,129602.31018488,129602.31018488,573933.092113675,573933.092113675,618551.204897038,618551.204897038,706989.429983933,706989.429983933,417379.31230415,417379.31230415,468116.574099747,468116.574099747,385930.689106515,385930.689106515,300639.727095713,300639.727095713,269910.690592463,269910.690592463
"13",32887.6899748962,32887.6899748962,12763.6477474438,12763.6477474438,21090.984886075,21090.984886075,28604.0932770309,28604.0932770309,21982.6704721905,21982.6704721905,34205.2295066022,34205.2295066022,36732.31838962,36732.31838962,42239.9110545105,42239.9110545105,91738.4370498858,91738.4370498858,55790.4465790976,55790.4465790976,135064.227540298,135064.227540298,144816.729948673,144816.729948673,690185.358729912,690185.358729912,1294324.67072903,1294324.67072903,355659.859903302,355659.859903302,415877.048385138,415877.048385138,397424.224179498,397424.224179498,341061.210311921,341061.210311921,315756.92683734,315756.92683734,200561.486914855,200561.486914855
"14",15063.2872996698,15063.2872996698,18617.295192554,18617.295192554,28011.4443059422,28011.4443059422,31271.3845216131,31271.3845216131,21463.9351655979,21463.9351655979,22883.9280343759,22883.9280343759,37202.8366159525,37202.8366159525,59774.4393552903,59774.4393552903,72619.1275512366,72619.1275512366,71362.3855134822,71362.3855134822,107140.382157131,107140.382157131,151811.020143068,151811.020143068,294531.466752355,294531.466752355,327568.757058243,327568.757058243,370521.351421302,370521.351421302,588716.227948306,588716.227948306,470505.286794343,470505.286794343,345660.621982627,345660.621982627,294914.056441612,294914.056441612,279073.690754427,279073.690754427
"15",13531.05140314,13531.05140314,49578.6286990081,49578.6286990081,21640.361214618,21640.361214618,17834.700475696,17834.700475696,21205.5624957214,21205.5624957214,29197.0152566248,29197.0152566248,43051.0453111952,43051.0453111952,41449.762620177,41449.762620177,60841.0767392539,60841.0767392539,103571.788320938,103571.788320938,101488.985773406,101488.985773406,117034.084488946,117034.084488946,272516.774154365,272516.774154365,345344.033872126,345344.033872126,404757.536784408,404757.536784408,446902.820886561,446902.820886561,418746.313700745,418746.313700745,424596.595625063,424596.595625063,363866.474402701,363866.474402701,257683.788270596,257683.788270596
"16",11831.1743411687,11831.1743411687,70099.364832467,70099.364832467,23853.5506191429,23853.5506191429,20362.2357972237,20362.2357972237,27842.5785445383,27842.5785445383,38330.2965905629,38330.2965905629,33584.7650501939,33584.7650501939,50243.6874582989,50243.6874582989,89809.2433041847,89809.2433041847,93418.184814013,93418.184814013,76695.2053443319,76695.2053443319,158278.08314385,158278.08314385,307771.766272285,307771.766272285,565097.665324585,565097.665324585,556360.302578221,556360.302578221,540140.788125763,540140.788125763,438601.998080602,438601.998080602,465235.921609949,465235.921609949,345632.878844544,345632.878844544,266353.386861961,266353.386861961
"17",16363.1314206558,16363.1314206558,32443.2692746162,32443.2692746162,27527.7631933426,27527.7631933426,21097.5424051969,21097.5424051969,62553.3336841337,62553.3336841337,36431.353418106,36431.353418106,30938.2750319764,30938.2750319764,55522.2441157529,55522.2441157529,38451.8342291974,38451.8342291974,168560.781134195,168560.781134195,132374.715220298,132374.715220298,251348.776652382,251348.776652382,716373.946060934,716373.946060934,501577.047910231,501577.047910231,391836.407362056,391836.407362056,386558.466569742,386558.466569742,459934.276237957,459934.276237957,355104.221577024,355104.221577024,333252.013598345,333252.013598345,260553.244252772,260553.244252772
"18",19024.9199734294,19024.9199734294,12172.1148057106,12172.1148057106,30129.4648250733,30129.4648250733,30959.8022428109,30959.8022428109,40068.1092600042,40068.1092600042,49314.9205668434,49314.9205668434,44161.073045498,44161.073045498,49822.9414605615,49822.9414605615,49294.9924861843,49294.9924861843,57771.2619651108,57771.2619651108,232937.368433076,232937.368433076,209561.224941489,209561.224941489,659599.222480797,659599.222480797,441414.285272902,441414.285272902,879240.287485415,879240.287485415,343593.69218147,343593.69218147,491747.81684755,491747.81684755,323494.074469012,323494.074469012,296116.414141347,296116.414141347,272769.05437299,272769.05437299
"19",14794.5009062925,14794.5009062925,11025.8327291198,11025.8327291198,18610.523244889,18610.523244889,22185.036040123,22185.036040123,20705.2976897632,20705.2976897632,37383.5482022567,37383.5482022567,32107.0253491049,32107.0253491049,62613.2238965911,62613.2238965911,75760.4362206047,75760.4362206047,37763.4081953906,37763.4081953906,58814.3152599325,58814.3152599325,133947.783506665,133947.783506665,155025.551891689,155025.551891689,304416.404746102,304416.404746102,701004.893028925,701004.893028925,452223.40845823,452223.40845823,341088.251411239,341088.251411239,359233.872719722,359233.872719722,340857.398056033,340857.398056033,301755.566402361,301755.566402361
"20",13611.2609007439,13611.2609007439,28419.8700569752,28419.8700569752,22212.784529606,22212.784529606,28439.7309649353,28439.7309649353,29946.341144884,29946.341144884,33839.1199746404,33839.1199746404,47801.4621238651,47801.4621238651,51019.0803731576,51019.0803731576,109820.116120666,109820.116120666,72938.9231465219,72938.9231465219,147682.933054449,147682.933054449,260002.554070299,260002.554070299,348258.096866953,348258.096866953,533548.956135997,533548.956135997,953163.11534816,953163.11534816,436647.306422968,436647.306422968,318664.589095077,318664.589095077,416001.01329685,416001.01329685,297426.878050592,297426.878050592,237587.536275835,237587.536275835
