"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",81247.1945009724,81247.1945009724,35211.9174986931,35211.9174986931,18779.1496933181,18779.1496933181,27499.8240135336,27499.8240135336,35139.9167047296,35139.9167047296,48426.052449587,48426.052449587,40818.6064057873,40818.6064057873,43044.4112624507,43044.4112624507,88000.2026149453,88000.2026149453,90433.4107070805,90433.4107070805,167163.130074304,167163.130074304,469975.281777874,469975.281777874,345576.173546257,345576.173546257,744554.650223826,744554.650223826,414411.405730994,414411.405730994,474795.679494452,474795.679494452,711095.194413575,711095.194413575,329690.401633097,329690.401633097,295321.436233597,295321.436233597,214614.630084703,214614.630084703
"2",91240.519909023,91240.519909023,29370.5193793755,29370.5193793755,30072.6209952532,30072.6209952532,27099.9314908749,27099.9314908749,59478.8440107365,59478.8440107365,53361.0487779135,53361.0487779135,60278.2089061851,60278.2089061851,93170.6206027114,93170.6206027114,96965.1174591788,96965.1174591788,123241.309554499,123241.309554499,159487.973117294,159487.973117294,429375.093761938,429375.093761938,463251.626394417,463251.626394417,480063.515511743,480063.515511743,277746.799605634,277746.799605634,439820.84644904,439820.84644904,350076.577820664,350076.577820664,335998.891389622,335998.891389622,293862.591996679,293862.591996679,218093.358090362,218093.358090362
"3",95058.5412330795,95058.5412330795,35603.6289432993,35603.6289432993,20149.1885273629,20149.1885273629,30106.178053077,30106.178053077,30999.3303803542,30999.3303803542,28185.6130607627,28185.6130607627,63990.3320120286,63990.3320120286,63400.900898374,63400.900898374,85693.0472719535,85693.0472719535,156593.172469107,156593.172469107,142303.925191713,142303.925191713,343708.214681943,343708.214681943,520415.989198369,520415.989198369,440244.486841724,440244.486841724,474970.149808573,474970.149808573,490085.576078337,490085.576078337,440844.811719607,440844.811719607,373297.521003339,373297.521003339,293333.134697603,293333.134697603,268058.523991262,268058.523991262
"4",96131.8196232129,96131.8196232129,19389.9790756456,19389.9790756456,37836.1229514172,37836.1229514172,27156.8016386299,27156.8016386299,30288.523680953,30288.523680953,60013.3557121319,60013.3557121319,57607.4572641208,57607.4572641208,60452.7277099421,60452.7277099421,81048.6028148231,81048.6028148231,110677.421495971,110677.421495971,297179.284038555,297179.284038555,300386.971687145,300386.971687145,515516.225794805,515516.225794805,516070.301906864,516070.301906864,379037.947219442,379037.947219442,632031.673611662,632031.673611662,397959.156603385,397959.156603385,317695.633172862,317695.633172862,260070.12022727,260070.12022727,228061.618241073,228061.618241073
"5",75652.7069812156,75652.7069812156,40865.3439256252,40865.3439256252,26644.416568525,26644.416568525,29682.2320475355,29682.2320475355,22711.0023011123,22711.0023011123,23757.7746547715,23757.7746547715,52883.014043974,52883.014043974,60426.5148345094,60426.5148345094,66797.6560689355,66797.6560689355,88150.4587570956,88150.4587570956,169903.687427577,169903.687427577,343913.32635534,343913.32635534,477342.678241925,477342.678241925,579345.49722912,579345.49722912,395207.634326564,395207.634326564,392267.067893267,392267.067893267,481807.517272846,481807.517272846,379303.083569152,379303.083569152,315545.382407741,315545.382407741,243856.470669785,243856.470669785
"6",113085.942765697,113085.942765697,42108.4047299454,42108.4047299454,20672.110050658,20672.110050658,32295.6253777625,32295.6253777625,24248.625961794,24248.625961794,33951.6111395034,33951.6111395034,41195.5584315225,41195.5584315225,39167.6332606752,39167.6332606752,74207.0061028081,74207.0061028081,76972.2400519721,76972.2400519721,82997.8022388107,82997.8022388107,223637.428095922,223637.428095922,280408.226505689,280408.226505689,341840.355728054,341840.355728054,306774.934122294,306774.934122294,508310.696650015,508310.696650015,471639.049987699,471639.049987699,344089.906180867,344089.906180867,256416.918082768,256416.918082768,269869.07385399,269869.07385399
"7",90588.8315383039,90588.8315383039,36084.3484750022,36084.3484750022,23430.2514159681,23430.2514159681,24425.0616731914,24425.0616731914,49429.4629444939,49429.4629444939,38861.9239660682,38861.9239660682,38826.1290937372,38826.1290937372,83361.444796928,83361.444796928,107847.938514041,107847.938514041,155663.750802757,155663.750802757,284347.870044456,284347.870044456,280379.999894067,280379.999894067,647985.970971002,647985.970971002,610786.965006481,610786.965006481,304504.953576799,304504.953576799,477942.334983112,477942.334983112,489332.294490313,489332.294490313,333752.55135252,333752.55135252,270074.132247422,270074.132247422,214461.299239005,214461.299239005
"8",79775.0856127059,79775.0856127059,35694.3161533661,35694.3161533661,21080.0643443637,21080.0643443637,25929.2299379631,25929.2299379631,35640.3553063448,35640.3553063448,41678.3541534745,41678.3541534745,41582.6909413701,41582.6909413701,61372.4535681909,61372.4535681909,69921.7877360466,69921.7877360466,93887.2603861912,93887.2603861912,281990.233628455,281990.233628455,342394.177144744,342394.177144744,609325.749531449,609325.749531449,636995.64682669,636995.64682669,453387.397597138,453387.397597138,372042.40819794,372042.40819794,337246.472248078,337246.472248078,379230.560747859,379230.560747859,313665.420140066,313665.420140066,254871.825848154,254871.825848154
"9",70105.0356962692,70105.0356962692,26795.7126113779,26795.7126113779,23566.7072836941,23566.7072836941,26404.0833269242,26404.0833269242,38282.646175468,38282.646175468,39855.5087952531,39855.5087952531,55898.3913167768,55898.3913167768,74829.365778228,74829.365778228,99645.8142183863,99645.8142183863,97576.2831437263,97576.2831437263,197962.649334896,197962.649334896,233909.423174442,233909.423174442,470127.568668973,470127.568668973,553651.538197113,553651.538197113,437429.12749374,437429.12749374,462784.235988468,462784.235988468,345254.237888353,345254.237888353,481155.965672392,481155.965672392,293938.577148184,293938.577148184,240115.152569117,240115.152569117
"10",89153.2170145752,89153.2170145752,29532.9824248808,29532.9824248808,28584.0831024553,28584.0831024553,27176.7677947091,27176.7677947091,31456.2917574208,31456.2917574208,61965.7287320439,61965.7287320439,59666.1861159575,59666.1861159575,60616.814820614,60616.814820614,99000.613618647,99000.613618647,129612.447809177,129612.447809177,184236.682176268,184236.682176268,328844.600870668,328844.600870668,598090.519262518,598090.519262518,373954.533667947,373954.533667947,577743.168261199,577743.168261199,377696.78277379,377696.78277379,513640.807854322,513640.807854322,354407.299240604,354407.299240604,303630.231859147,303630.231859147,240930.917792739,240930.917792739
