"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",1029645.07778481,1029645.07778481,1029645.07778481,1029645.07778481,1104554.33548537,1104554.33548537,1104554.33548537,1104554.33548537,1317214.61386174,1317214.61386174,1317214.61386174,1317214.61386174,1312909.46108188,1312909.46108188,1312909.46108188,1312909.46108188,959883.984371922,959883.984371922,959883.984371922,959883.984371922,751727.96717142,751727.96717142,751727.96717142,751727.96717142,1166357.33299532,1166357.33299532,1166357.33299532,1166357.33299532,1017348.69942848,1017348.69942848,1017348.69942848,1017348.69942848,880614.8124005,880614.8124005,880614.8124005,880614.8124005,1028671.56017749,1028671.56017749,1028671.56017749,1028671.56017749
"2",708942.945916224,708942.945916224,708942.945916224,708942.945916224,1208288.70881888,1208288.70881888,1208288.70881888,1208288.70881888,1160913.62091014,1160913.62091014,1160913.62091014,1160913.62091014,1134942.72803685,1134942.72803685,1134942.72803685,1134942.72803685,1088318.18524818,1088318.18524818,1088318.18524818,1088318.18524818,1228996.46110677,1228996.46110677,1228996.46110677,1228996.46110677,1015447.96099751,1015447.96099751,1015447.96099751,1015447.96099751,1092957.71225487,1092957.71225487,1092957.71225487,1092957.71225487,1051068.66460517,1051068.66460517,1051068.66460517,1051068.66460517,952290.18508903,952290.18508903,952290.18508903,952290.18508903
"3",781790.521517619,781790.521517619,781790.521517619,781790.521517619,1304436.89151074,1304436.89151074,1304436.89151074,1304436.89151074,759635.743503171,759635.743503171,759635.743503171,759635.743503171,1020425.39159971,1020425.39159971,1020425.39159971,1020425.39159971,1184319.1855079,1184319.1855079,1184319.1855079,1184319.1855079,1090031.67501195,1090031.67501195,1090031.67501195,1090031.67501195,1200160.94035423,1200160.94035423,1200160.94035423,1200160.94035423,1147661.41979172,1147661.41979172,1147661.41979172,1147661.41979172,858251.00764127,858251.00764127,858251.00764127,858251.00764127,1114642.64593755,1114642.64593755,1114642.64593755,1114642.64593755
"4",1195157.98460546,1195157.98460546,1195157.98460546,1195157.98460546,1231225.60477862,1231225.60477862,1231225.60477862,1231225.60477862,1297253.58683056,1297253.58683056,1297253.58683056,1297253.58683056,1117863.5154665,1117863.5154665,1117863.5154665,1117863.5154665,1174420.21734408,1174420.21734408,1174420.21734408,1174420.21734408,1076046.06713533,1076046.06713533,1076046.06713533,1076046.06713533,801396.697461306,801396.697461306,801396.697461306,801396.697461306,958004.832534192,958004.832534192,958004.832534192,958004.832534192,1165185.92781507,1165185.92781507,1165185.92781507,1165185.92781507,847622.065377411,847622.065377411,847622.065377411,847622.065377411
"5",1070661.12548679,1070661.12548679,1070661.12548679,1070661.12548679,1121585.85618723,1121585.85618723,1121585.85618723,1121585.85618723,1224672.79322869,1224672.79322869,1224672.79322869,1224672.79322869,809492.870882657,809492.870882657,809492.870882657,809492.870882657,1196931.58528404,1196931.58528404,1196931.58528404,1196931.58528404,794312.498478536,794312.498478536,794312.498478536,794312.498478536,1121277.24312631,1121277.24312631,1121277.24312631,1121277.24312631,1037110.92038884,1037110.92038884,1037110.92038884,1037110.92038884,969472.876959251,969472.876959251,969472.876959251,969472.876959251,943395.770589204,943395.770589204,943395.770589204,943395.770589204
"6",694486.054231373,694486.054231373,694486.054231373,694486.054231373,1369070.8007547,1369070.8007547,1369070.8007547,1369070.8007547,1362799.35308191,1362799.35308191,1362799.35308191,1362799.35308191,1399377.57660703,1399377.57660703,1399377.57660703,1399377.57660703,1431572.12416649,1431572.12416649,1431572.12416649,1431572.12416649,1065568.94614937,1065568.94614937,1065568.94614937,1065568.94614937,1198772.63759251,1198772.63759251,1198772.63759251,1198772.63759251,1167629.8380883,1167629.8380883,1167629.8380883,1167629.8380883,921074.520355681,921074.520355681,921074.520355681,921074.520355681,1158774.08578404,1158774.08578404,1158774.08578404,1158774.08578404
"7",1418060.48223278,1418060.48223278,1418060.48223278,1418060.48223278,543256.06292282,543256.06292282,543256.06292282,543256.06292282,1541793.54541442,1541793.54541442,1541793.54541442,1541793.54541442,1149102.39291955,1149102.39291955,1149102.39291955,1149102.39291955,579480.343808422,579480.343808422,579480.343808422,579480.343808422,1091804.30884678,1091804.30884678,1091804.30884678,1091804.30884678,1466699.50014686,1466699.50014686,1466699.50014686,1466699.50014686,1448339.93946353,1448339.93946353,1448339.93946353,1448339.93946353,1457958.07908468,1457958.07908468,1457958.07908468,1457958.07908468,1270138.02067815,1270138.02067815,1270138.02067815,1270138.02067815
"8",862789.293380779,862789.293380779,862789.293380779,862789.293380779,1192319.11198226,1192319.11198226,1192319.11198226,1192319.11198226,1129582.99649787,1129582.99649787,1129582.99649787,1129582.99649787,1001922.5115413,1001922.5115413,1001922.5115413,1001922.5115413,1142146.88434818,1142146.88434818,1142146.88434818,1142146.88434818,943434.089012324,943434.089012324,943434.089012324,943434.089012324,1047016.72130454,1047016.72130454,1047016.72130454,1047016.72130454,1170692.19656131,1170692.19656131,1170692.19656131,1170692.19656131,1100570.50701574,1100570.50701574,1100570.50701574,1100570.50701574,836957.786798267,836957.786798267,836957.786798267,836957.786798267
"9",1071289.5425476,1071289.5425476,1071289.5425476,1071289.5425476,1238494.68549286,1238494.68549286,1238494.68549286,1238494.68549286,1172787.36607093,1172787.36607093,1172787.36607093,1172787.36607093,1132526.98131121,1132526.98131121,1132526.98131121,1132526.98131121,1197690.34376267,1197690.34376267,1197690.34376267,1197690.34376267,1142993.01818526,1142993.01818526,1142993.01818526,1142993.01818526,1144385.10092446,1144385.10092446,1144385.10092446,1144385.10092446,948465.902871803,948465.902871803,948465.902871803,948465.902871803,1066542.21329642,1066542.21329642,1066542.21329642,1066542.21329642,886848.542174684,886848.542174684,886848.542174684,886848.542174684
"10",1116512.23553648,1116512.23553648,1116512.23553648,1116512.23553648,1150539.222128,1150539.222128,1150539.222128,1150539.222128,1105929.62310579,1105929.62310579,1105929.62310579,1105929.62310579,811521.477487439,811521.477487439,811521.477487439,811521.477487439,884702.600587869,884702.600587869,884702.600587869,884702.600587869,1283200.7113869,1283200.7113869,1283200.7113869,1283200.7113869,1109856.05866718,1109856.05866718,1109856.05866718,1109856.05866718,838277.3775402,838277.3775402,838277.3775402,838277.3775402,1299167.37774309,1299167.37774309,1299167.37774309,1299167.37774309,1138615.98732591,1138615.98732591,1138615.98732591,1138615.98732591
