"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",468628.861230137,468628.861230137,468628.861230137,468628.861230137,707248.886858643,707248.886858643,707248.886858643,707248.886858643,599853.047502309,599853.047502309,599853.047502309,599853.047502309,880859.107476248,880859.107476248,880859.107476248,880859.107476248,505092.854747287,505092.854747287,505092.854747287,505092.854747287,1809985.92494773,1809985.92494773,1809985.92494773,1809985.92494773,13510152.2136739,13510152.2136739,13510152.2136739,13510152.2136739,13777765.0836956,13777765.0836956,13777765.0836956,13777765.0836956,2457632.30355614,2457632.30355614,2457632.30355614,2457632.30355614,8301897.62605562,8301897.62605562,8301897.62605562,8301897.62605562
"2",3082568.82406763,3082568.82406763,3082568.82406763,3082568.82406763,612244.376182386,612244.376182386,612244.376182386,612244.376182386,366921.060575947,366921.060575947,366921.060575947,366921.060575947,136579.885190879,136579.885190879,136579.885190879,136579.885190879,514781.591972831,514781.591972831,514781.591972831,514781.591972831,219497.608407158,219497.608407158,219497.608407158,219497.608407158,7709660.86172508,7709660.86172508,7709660.86172508,7709660.86172508,5157440.94275222,5157440.94275222,5157440.94275222,5157440.94275222,2718389.39866049,2718389.39866049,2718389.39866049,2718389.39866049,4758595.99614788,4758595.99614788,4758595.99614788,4758595.99614788
"3",6220147.237335,6220147.237335,6220147.237335,6220147.237335,3139795.87789934,3139795.87789934,3139795.87789934,3139795.87789934,366926.88637621,366926.88637621,366926.88637621,366926.88637621,2067449.43360233,2067449.43360233,2067449.43360233,2067449.43360233,3138539.84204243,3138539.84204243,3138539.84204243,3138539.84204243,2147600.44036064,2147600.44036064,2147600.44036064,2147600.44036064,51174022.624952,51174022.624952,51174022.624952,51174022.624952,74341732.4167783,74341732.4167783,74341732.4167783,74341732.4167783,31827402.5664945,31827402.5664945,31827402.5664945,31827402.5664945,52912330.0940019,52912330.0940019,52912330.0940019,52912330.0940019
"4",14220480.7256189,14220480.7256189,14220480.7256189,14220480.7256189,264353.535346318,264353.535346318,264353.535346318,264353.535346318,760013.633519445,760013.633519445,760013.633519445,760013.633519445,3065139.61482187,3065139.61482187,3065139.61482187,3065139.61482187,2076888.5597901,2076888.5597901,2076888.5597901,2076888.5597901,817745.94966497,817745.94966497,817745.94966497,817745.94966497,1527090.87193518,1527090.87193518,1527090.87193518,1527090.87193518,3376688.82280912,3376688.82280912,3376688.82280912,3376688.82280912,18273871.3125249,18273871.3125249,18273871.3125249,18273871.3125249,10120745.077555,10120745.077555,10120745.077555,10120745.077555
"5",3764746.93484533,3764746.93484533,3764746.93484533,3764746.93484533,425875.247533735,425875.247533735,425875.247533735,425875.247533735,509621.871396406,509621.871396406,509621.871396406,509621.871396406,763639.457907768,763639.457907768,763639.457907768,763639.457907768,148294.9100258,148294.9100258,148294.9100258,148294.9100258,548907.370238115,548907.370238115,548907.370238115,548907.370238115,1083412.52425982,1083412.52425982,1083412.52425982,1083412.52425982,3054040.35884612,3054040.35884612,3054040.35884612,3054040.35884612,2415822.3118307,2415822.3118307,2415822.3118307,2415822.3118307,11869701.399395,11869701.399395,11869701.399395,11869701.399395
"6",62199.5214871767,62199.5214871767,62199.5214871767,62199.5214871767,140629.971110955,140629.971110955,140629.971110955,140629.971110955,118273.34326561,118273.34326561,118273.34326561,118273.34326561,157123.857266687,157123.857266687,157123.857266687,157123.857266687,93640.5755393973,93640.5755393973,93640.5755393973,93640.5755393973,293441.240484513,293441.240484513,293441.240484513,293441.240484513,1007774.71466241,1007774.71466241,1007774.71466241,1007774.71466241,876314.298589658,876314.298589658,876314.298589658,876314.298589658,743023.710723521,743023.710723521,743023.710723521,743023.710723521,939157.587394228,939157.587394228,939157.587394228,939157.587394228
"7",80022920.9058708,80022920.9058708,80022920.9058708,80022920.9058708,7274405.83642776,7274405.83642776,7274405.83642776,7274405.83642776,4735438.39048266,4735438.39048266,4735438.39048266,4735438.39048266,7591479.47573358,7591479.47573358,7591479.47573358,7591479.47573358,3537489.87603434,3537489.87603434,3537489.87603434,3537489.87603434,20323137.4613682,20323137.4613682,20323137.4613682,20323137.4613682,284211917.081549,284211917.081549,284211917.081549,284211917.081549,133859483.770579,133859483.770579,133859483.770579,133859483.770579,23573526.1157795,23573526.1157795,23573526.1157795,23573526.1157795,175959437.707048,175959437.707048,175959437.707048,175959437.707048
"8",6043634.53802082,6043634.53802082,6043634.53802082,6043634.53802082,9472920.26970446,9472920.26970446,9472920.26970446,9472920.26970446,6749300.29129412,6749300.29129412,6749300.29129412,6749300.29129412,1440906.58271498,1440906.58271498,1440906.58271498,1440906.58271498,4550800.26987939,4550800.26987939,4550800.26987939,4550800.26987939,5783487.22860719,5783487.22860719,5783487.22860719,5783487.22860719,531387.075325978,531387.075325978,531387.075325978,531387.075325978,18058010.4715519,18058010.4715519,18058010.4715519,18058010.4715519,46658619.5122622,46658619.5122622,46658619.5122622,46658619.5122622,294201380.735315,294201380.735315,294201380.735315,294201380.735315
"9",1061180.27853241,1061180.27853241,1061180.27853241,1061180.27853241,502222.424830303,502222.424830303,502222.424830303,502222.424830303,181715.717414483,181715.717414483,181715.717414483,181715.717414483,186232.464427512,186232.464427512,186232.464427512,186232.464427512,404811.860829264,404811.860829264,404811.860829264,404811.860829264,421400.624387278,421400.624387278,421400.624387278,421400.624387278,1178701.39901923,1178701.39901923,1178701.39901923,1178701.39901923,4004906.62224118,4004906.62224118,4004906.62224118,4004906.62224118,3734760.91538991,3734760.91538991,3734760.91538991,3734760.91538991,3712925.7434386,3712925.7434386,3712925.7434386,3712925.7434386
"10",1627489.96322807,1627489.96322807,1627489.96322807,1627489.96322807,524067.506555463,524067.506555463,524067.506555463,524067.506555463,1031723.1206279,1031723.1206279,1031723.1206279,1031723.1206279,295714.674254815,295714.674254815,295714.674254815,295714.674254815,944350.587831073,944350.587831073,944350.587831073,944350.587831073,1256687.11668621,1256687.11668621,1256687.11668621,1256687.11668621,40536342.3661313,40536342.3661313,40536342.3661313,40536342.3661313,2952384.57736556,2952384.57736556,2952384.57736556,2952384.57736556,12507084.1268628,12507084.1268628,12507084.1268628,12507084.1268628,13710694.5294594,13710694.5294594,13710694.5294594,13710694.5294594
