"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",437565.900468204,437565.900468204,437565.900468204,437565.900468204,597.056519738119,597.056519738119,597.056519738119,597.056519738119,723761.22132766,723761.22132766,723761.22132766,723761.22132766,1129493.14165386,1129493.14165386,1129493.14165386,1129493.14165386,64249.3078730601,64249.3078730601,64249.3078730601,64249.3078730601,19491.3918184664,19491.3918184664,19491.3918184664,19491.3918184664,792325.860648106,792325.860648106,792325.860648106,792325.860648106,871753.474714011,871753.474714011,871753.474714011,871753.474714011,153509.147928502,153509.147928502,153509.147928502,153509.147928502,284731.525298883,284731.525298883,284731.525298883,284731.525298883
"2",155875.922965961,155875.922965961,155875.922965961,155875.922965961,329808.319171162,329808.319171162,329808.319171162,329808.319171162,292988.549360949,292988.549360949,292988.549360949,292988.549360949,355604.759519373,355604.759519373,355604.759519373,355604.759519373,54664.9251060732,54664.9251060732,54664.9251060732,54664.9251060732,38626.6796822906,38626.6796822906,38626.6796822906,38626.6796822906,321249.230097373,321249.230097373,321249.230097373,321249.230097373,162197.602717091,162197.602717091,162197.602717091,162197.602717091,127340.506947562,127340.506947562,127340.506947562,127340.506947562,93898.9858019426,93898.9858019426,93898.9858019426,93898.9858019426
"3",471300894.97856,471300894.97856,471300894.97856,471300894.97856,184040246.423479,184040246.423479,184040246.423479,184040246.423479,475967965.502928,475967965.502928,475967965.502928,475967965.502928,1110872488.3267,1110872488.3267,1110872488.3267,1110872488.3267,390969957.182665,390969957.182665,390969957.182665,390969957.182665,666798156.363935,666798156.363935,666798156.363935,666798156.363935,3785212.45572335,3785212.45572335,3785212.45572335,3785212.45572335,158103430.542904,158103430.542904,158103430.542904,158103430.542904,463484216.7951,463484216.7951,463484216.7951,463484216.7951,94352522.0654211,94352522.0654211,94352522.0654211,94352522.0654211
"4",85848.0284241975,85848.0284241975,85848.0284241975,85848.0284241975,73848.1590358183,73848.1590358183,73848.1590358183,73848.1590358183,180453.669995024,180453.669995024,180453.669995024,180453.669995024,190252.489573225,190252.489573225,190252.489573225,190252.489573225,225893.848291924,225893.848291924,225893.848291924,225893.848291924,552604.478807999,552604.478807999,552604.478807999,552604.478807999,299865.328963018,299865.328963018,299865.328963018,299865.328963018,498904.497916374,498904.497916374,498904.497916374,498904.497916374,114143.064661658,114143.064661658,114143.064661658,114143.064661658,62676.6291003875,62676.6291003875,62676.6291003875,62676.6291003875
"5",1272630.58231145,1272630.58231145,1272630.58231145,1272630.58231145,2232860.56077494,2232860.56077494,2232860.56077494,2232860.56077494,1323051.00223738,1323051.00223738,1323051.00223738,1323051.00223738,2146377.17030169,2146377.17030169,2146377.17030169,2146377.17030169,84476.8424345864,84476.8424345864,84476.8424345864,84476.8424345864,1321158.42328478,1321158.42328478,1321158.42328478,1321158.42328478,928167.587942748,928167.587942748,928167.587942748,928167.587942748,1512080.13450566,1512080.13450566,1512080.13450566,1512080.13450566,905068.250168085,905068.250168085,905068.250168085,905068.250168085,726723.934103117,726723.934103117,726723.934103117,726723.934103117
"6",1237323.98006542,1237323.98006542,1237323.98006542,1237323.98006542,6833496.69046841,6833496.69046841,6833496.69046841,6833496.69046841,1244503.47209615,1244503.47209615,1244503.47209615,1244503.47209615,261745.583392192,261745.583392192,261745.583392192,261745.583392192,1201949.0054372,1201949.0054372,1201949.0054372,1201949.0054372,1474577.24184702,1474577.24184702,1474577.24184702,1474577.24184702,725884.099155798,725884.099155798,725884.099155798,725884.099155798,244555.567230431,244555.567230431,244555.567230431,244555.567230431,1419084.75447635,1419084.75447635,1419084.75447635,1419084.75447635,586509.397369872,586509.397369872,586509.397369872,586509.397369872
"7",177770.100703839,177770.100703839,177770.100703839,177770.100703839,85984.9927172953,85984.9927172953,85984.9927172953,85984.9927172953,170497.110149885,170497.110149885,170497.110149885,170497.110149885,271765.231360738,271765.231360738,271765.231360738,271765.231360738,146000.914660852,146000.914660852,146000.914660852,146000.914660852,45078.7141933158,45078.7141933158,45078.7141933158,45078.7141933158,124188.716266203,124188.716266203,124188.716266203,124188.716266203,403539.549707396,403539.549707396,403539.549707396,403539.549707396,238170.42261497,238170.42261497,238170.42261497,238170.42261497,69397.9768157425,69397.9768157425,69397.9768157425,69397.9768157425
"8",58364.9745538078,58364.9745538078,58364.9745538078,58364.9745538078,312044.165726826,312044.165726826,312044.165726826,312044.165726826,221929.519082154,221929.519082154,221929.519082154,221929.519082154,182166.277191134,182166.277191134,182166.277191134,182166.277191134,155051.86205162,155051.86205162,155051.86205162,155051.86205162,107887.583249739,107887.583249739,107887.583249739,107887.583249739,84250.9664233397,84250.9664233397,84250.9664233397,84250.9664233397,127519.591447349,127519.591447349,127519.591447349,127519.591447349,98753.369491461,98753.369491461,98753.369491461,98753.369491461,79113.8605891073,79113.8605891073,79113.8605891073,79113.8605891073
"9",1335538094.69681,1335538094.69681,1335538094.69681,1335538094.69681,200960125.90394,200960125.90394,200960125.90394,200960125.90394,11904715606.6327,11904715606.6327,11904715606.6327,11904715606.6327,19569826274.5032,19569826274.5032,19569826274.5032,19569826274.5032,3288676033.85405,3288676033.85405,3288676033.85405,3288676033.85405,518416439.600476,518416439.600476,518416439.600476,518416439.600476,526730510.394049,526730510.394049,526730510.394049,526730510.394049,46355284.2452743,46355284.2452743,46355284.2452743,46355284.2452743,73258953.559554,73258953.559554,73258953.559554,73258953.559554,332299235.901643,332299235.901643,332299235.901643,332299235.901643
"10",395393657.824375,395393657.824375,395393657.824375,395393657.824375,1851317.3022632,1851317.3022632,1851317.3022632,1851317.3022632,84914160.7227633,84914160.7227633,84914160.7227633,84914160.7227633,211731262.405218,211731262.405218,211731262.405218,211731262.405218,2064979.21777393,2064979.21777393,2064979.21777393,2064979.21777393,49551075.0410169,49551075.0410169,49551075.0410169,49551075.0410169,51572002.8078543,51572002.8078543,51572002.8078543,51572002.8078543,376387322.341895,376387322.341895,376387322.341895,376387322.341895,336728294.203685,336728294.203685,336728294.203685,336728294.203685,106035809.950708,106035809.950708,106035809.950708,106035809.950708
