"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",13866406144.5903,13866406144.5903,13866406144.5903,13866406144.5903,36722591889.5814,36722591889.5814,36722591889.5814,36722591889.5814,37480693377.3099,37480693377.3099,37480693377.3099,37480693377.3099,73253269703.2413,73253269703.2413,73253269703.2413,73253269703.2413,161473686132.022,161473686132.022,161473686132.022,161473686132.022,49002854568.7827,49002854568.7827,49002854568.7827,49002854568.7827,10211186446.2438,10211186446.2438,10211186446.2438,10211186446.2438,17054342160.0236,17054342160.0236,17054342160.0236,17054342160.0236,2322062438.81524,2322062438.81524,2322062438.81524,2322062438.81524,41611036808.8594,41611036808.8594,41611036808.8594,41611036808.8594
"2",1059981.0566745,1059981.0566745,1059981.0566745,1059981.0566745,1648650.86760207,1648650.86760207,1648650.86760207,1648650.86760207,180023.339546423,180023.339546423,180023.339546423,180023.339546423,584651.486239914,584651.486239914,584651.486239914,584651.486239914,1403851.14793049,1403851.14793049,1403851.14793049,1403851.14793049,1478631.20901131,1478631.20901131,1478631.20901131,1478631.20901131,359725.394590109,359725.394590109,359725.394590109,359725.394590109,1059915.47508338,1059915.47508338,1059915.47508338,1059915.47508338,873096.434427354,873096.434427354,873096.434427354,873096.434427354,845566.615340259,845566.615340259,845566.615340259,845566.615340259
"3",2476720.48703578,2476720.48703578,2476720.48703578,2476720.48703578,161378.772132512,161378.772132512,161378.772132512,161378.772132512,4597492.25049067,4597492.25049067,4597492.25049067,4597492.25049067,2721804.55605769,2721804.55605769,2721804.55605769,2721804.55605769,4704190.92879137,4704190.92879137,4704190.92879137,4704190.92879137,1935243.03759426,1935243.03759426,1935243.03759426,1935243.03759426,4158305.2313991,4158305.2313991,4158305.2313991,4158305.2313991,3119395.87717088,3119395.87717088,3119395.87717088,3119395.87717088,2700798.34625905,2700798.34625905,2700798.34625905,2700798.34625905,2570925.73145226,2570925.73145226,2570925.73145226,2570925.73145226
"4",9659009.31731293,9659009.31731293,9659009.31731293,9659009.31731293,11877297.8634205,11877297.8634205,11877297.8634205,11877297.8634205,26158402.6347291,26158402.6347291,26158402.6347291,26158402.6347291,21786309.6870543,21786309.6870543,21786309.6870543,21786309.6870543,962102.467330629,962102.467330629,962102.467330629,962102.467330629,49555921.661527,49555921.661527,49555921.661527,49555921.661527,8075826.75912045,8075826.75912045,8075826.75912045,8075826.75912045,3201894.5697562,3201894.5697562,3201894.5697562,3201894.5697562,12554385.4438951,12554385.4438951,12554385.4438951,12554385.4438951,10749842.3728161,10749842.3728161,10749842.3728161,10749842.3728161
"5",682916.428758139,682916.428758139,682916.428758139,682916.428758139,626398.502100137,626398.502100137,626398.502100137,626398.502100137,1715620.7653917,1715620.7653917,1715620.7653917,1715620.7653917,452412.833296252,452412.833296252,452412.833296252,452412.833296252,914567.748173804,914567.748173804,914567.748173804,914567.748173804,1454397.80427478,1454397.80427478,1454397.80427478,1454397.80427478,1007612.36099714,1007612.36099714,1007612.36099714,1007612.36099714,1123671.65189565,1123671.65189565,1123671.65189565,1123671.65189565,1398479.21349109,1398479.21349109,1398479.21349109,1398479.21349109,346712.429500334,346712.429500334,346712.429500334,346712.429500334
"6",1070607.19473038,1070607.19473038,1070607.19473038,1070607.19473038,54336618.5063956,54336618.5063956,54336618.5063956,54336618.5063956,48472908.4471006,48472908.4471006,48472908.4471006,48472908.4471006,598284.234405724,598284.234405724,598284.234405724,598284.234405724,28853785.5152824,28853785.5152824,28853785.5152824,28853785.5152824,26589833.4528528,26589833.4528528,26589833.4528528,26589833.4528528,58696108.5242532,58696108.5242532,58696108.5242532,58696108.5242532,34516675.1939341,34516675.1939341,34516675.1939341,34516675.1939341,38086743.0725866,38086743.0725866,38086743.0725866,38086743.0725866,27003205.0054103,27003205.0054103,27003205.0054103,27003205.0054103
"7",958563.423929679,958563.423929679,958563.423929679,958563.423929679,750870.09060527,750870.09060527,750870.09060527,750870.09060527,793994.733983589,793994.733983589,793994.733983589,793994.733983589,485832.619668834,485832.619668834,485832.619668834,485832.619668834,298706.005492038,298706.005492038,298706.005492038,298706.005492038,627082.364079722,627082.364079722,627082.364079722,627082.364079722,768580.906828681,768580.906828681,768580.906828681,768580.906828681,757353.458055641,757353.458055641,757353.458055641,757353.458055641,555186.665075987,555186.665075987,555186.665075987,555186.665075987,330882.981990748,330882.981990748,330882.981990748,330882.981990748
"8",2958096.69100364,2958096.69100364,2958096.69100364,2958096.69100364,12092274.2004603,12092274.2004603,12092274.2004603,12092274.2004603,6252385.81832208,6252385.81832208,6252385.81832208,6252385.81832208,3017721.4898716,3017721.4898716,3017721.4898716,3017721.4898716,3351603.05605579,3351603.05605579,3351603.05605579,3351603.05605579,2285805.32133763,2285805.32133763,2285805.32133763,2285805.32133763,1238472.42625005,1238472.42625005,1238472.42625005,1238472.42625005,4370587.44227391,4370587.44227391,4370587.44227391,4370587.44227391,5141611.12168352,5141611.12168352,5141611.12168352,5141611.12168352,1134399.96595487,1134399.96595487,1134399.96595487,1134399.96595487
"9",507313779.74973,507313779.74973,507313779.74973,507313779.74973,745114655.522295,745114655.522295,745114655.522295,745114655.522295,590270762.231295,590270762.231295,590270762.231295,590270762.231295,20511428.7804817,20511428.7804817,20511428.7804817,20511428.7804817,22329650.1727582,22329650.1727582,22329650.1727582,22329650.1727582,820234611.549476,820234611.549476,820234611.549476,820234611.549476,407753522.781005,407753522.781005,407753522.781005,407753522.781005,497088107.994593,497088107.994593,497088107.994593,497088107.994593,103736566.660749,103736566.660749,103736566.660749,103736566.660749,211864414.853588,211864414.853588,211864414.853588,211864414.853588
"10",689984.080978022,689984.080978022,689984.080978022,689984.080978022,303290.627742924,303290.627742924,303290.627742924,303290.627742924,931157.815907288,931157.815907288,931157.815907288,931157.815907288,945422.286945884,945422.286945884,945422.286945884,945422.286945884,276224.15746446,276224.15746446,276224.15746446,276224.15746446,171268.491719277,171268.491719277,171268.491719277,171268.491719277,717156.89686855,717156.89686855,717156.89686855,717156.89686855,450226.461207896,450226.461207896,450226.461207896,450226.461207896,514582.380747128,514582.380747128,514582.380747128,514582.380747128,416092.583205186,416092.583205186,416092.583205186,416092.583205186
