"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",89142.7708214461,89142.7708214461,89142.7708214461,89142.7708214461,33383.2936454078,33383.2936454078,33383.2936454078,33383.2936454078,163383.086566818,163383.086566818,163383.086566818,163383.086566818,240364.253026234,240364.253026234,240364.253026234,240364.253026234,17933.8084399456,17933.8084399456,17933.8084399456,17933.8084399456,131727.275151596,131727.275151596,131727.275151596,131727.275151596,17556.3829288389,17556.3829288389,17556.3829288389,17556.3829288389,10455.4966142001,10455.4966142001,10455.4966142001,10455.4966142001,212330.819127371,212330.819127371,212330.819127371,212330.819127371,3338.93783032035,3338.93783032035,3338.93783032035,3338.93783032035
"2",218440.148689342,218440.148689342,218440.148689342,218440.148689342,1637379.729888,1637379.729888,1637379.729888,1637379.729888,979117.9128233,979117.9128233,979117.9128233,979117.9128233,131732.21082109,131732.21082109,131732.21082109,131732.21082109,17762.6260104241,17762.6260104241,17762.6260104241,17762.6260104241,17045.7324953,17045.7324953,17045.7324953,17045.7324953,65657.0623728937,65657.0623728937,65657.0623728937,65657.0623728937,114586.358814571,114586.358814571,114586.358814571,114586.358814571,118557.048252587,118557.048252587,118557.048252587,118557.048252587,449596.401241162,449596.401241162,449596.401241162,449596.401241162
"3",2439377.30494388,2439377.30494388,2439377.30494388,2439377.30494388,36738.7735555527,36738.7735555527,36738.7735555527,36738.7735555527,9902261.54677186,9902261.54677186,9902261.54677186,9902261.54677186,28932071.6043969,28932071.6043969,28932071.6043969,28932071.6043969,70642.4901885265,70642.4901885265,70642.4901885265,70642.4901885265,23731162.5371344,23731162.5371344,23731162.5371344,23731162.5371344,15029.7020818733,15029.7020818733,15029.7020818733,15029.7020818733,10983075.4352848,10983075.4352848,10983075.4352848,10983075.4352848,389895.204698788,389895.204698788,389895.204698788,389895.204698788,323643.233146003,323643.233146003,323643.233146003,323643.233146003
"4",1160378.06514016,1160378.06514016,1160378.06514016,1160378.06514016,26125.0847020666,26125.0847020666,26125.0847020666,26125.0847020666,1652008.24167638,1652008.24167638,1652008.24167638,1652008.24167638,3109216.55935879,3109216.55935879,3109216.55935879,3109216.55935879,6793784.75828893,6793784.75828893,6793784.75828893,6793784.75828893,851670.647909717,851670.647909717,851670.647909717,851670.647909717,5921704.3917931,5921704.3917931,5921704.3917931,5921704.3917931,752.319495428809,752.319495428809,752.319495428809,752.319495428809,283970.146789007,283970.146789007,283970.146789007,283970.146789007,143046.402715571,143046.402715571,143046.402715571,143046.402715571
"5",1312694.90933179,1312694.90933179,1312694.90933179,1312694.90933179,10642627.4188444,10642627.4188444,10642627.4188444,10642627.4188444,993971.536748219,993971.536748219,993971.536748219,993971.536748219,3967126.01629562,3967126.01629562,3967126.01629562,3967126.01629562,3564501.89466487,3564501.89466487,3564501.89466487,3564501.89466487,155668.751481534,155668.751481534,155668.751481534,155668.751481534,56671.797367237,56671.797367237,56671.797367237,56671.797367237,28195.2766704146,28195.2766704146,28195.2766704146,28195.2766704146,550466.979950838,550466.979950838,550466.979950838,550466.979950838,268660.76278495,268660.76278495,268660.76278495,268660.76278495
"6",13921.3736537626,13921.3736537626,13921.3736537626,13921.3736537626,55655.1233555025,55655.1233555025,55655.1233555025,55655.1233555025,680.207908740092,680.207908740092,680.207908740092,680.207908740092,377033.702580861,377033.702580861,377033.702580861,377033.702580861,649.425702144103,649.425702144103,649.425702144103,649.425702144103,260792.045610847,260792.045610847,260792.045610847,260792.045610847,1468039.37713087,1468039.37713087,1468039.37713087,1468039.37713087,78617.016088001,78617.016088001,78617.016088001,78617.016088001,55068.3997592308,55068.3997592308,55068.3997592308,55068.3997592308,12157.0440359659,12157.0440359659,12157.0440359659,12157.0440359659
"7",416277.574836621,416277.574836621,416277.574836621,416277.574836621,348891.593772767,348891.593772767,348891.593772767,348891.593772767,1410.11123512525,1410.11123512525,1410.11123512525,1410.11123512525,134735.746378561,134735.746378561,134735.746378561,134735.746378561,5986.46785350945,5986.46785350945,5986.46785350945,5986.46785350945,103953.322534026,103953.322534026,103953.322534026,103953.322534026,60210.93726792,60210.93726792,60210.93726792,60210.93726792,158054.61493291,158054.61493291,158054.61493291,158054.61493291,168022.595649665,168022.595649665,168022.595649665,168022.595649665,58609.9638949264,58609.9638949264,58609.9638949264,58609.9638949264
"8",218382.443039929,218382.443039929,218382.443039929,218382.443039929,3984549.09374802,3984549.09374802,3984549.09374802,3984549.09374802,2248265.3688491,2248265.3688491,2248265.3688491,2248265.3688491,130244.545220574,130244.545220574,130244.545220574,130244.545220574,3437254.83046819,3437254.83046819,3437254.83046819,3437254.83046819,2550.91756765746,2550.91756765746,2550.91756765746,2550.91756765746,422474.569886164,422474.569886164,422474.569886164,422474.569886164,44499.6113141133,44499.6113141133,44499.6113141133,44499.6113141133,40272.5894563078,40272.5894563078,40272.5894563078,40272.5894563078,1130643.68120494,1130643.68120494,1130643.68120494,1130643.68120494
"9",10461682.6933411,10461682.6933411,10461682.6933411,10461682.6933411,13234.4329324593,13234.4329324593,13234.4329324593,13234.4329324593,23310183.4313319,23310183.4313319,23310183.4313319,23310183.4313319,7908953.91784247,7908953.91784247,7908953.91784247,7908953.91784247,49635291.0759187,49635291.0759187,49635291.0759187,49635291.0759187,10792375.2539477,10792375.2539477,10792375.2539477,10792375.2539477,4016617.64349024,4016617.64349024,4016617.64349024,4016617.64349024,720620.366022789,720620.366022789,720620.366022789,720620.366022789,11112.1460635023,11112.1460635023,11112.1460635023,11112.1460635023,688131.715691758,688131.715691758,688131.715691758,688131.715691758
"10",212287.920610675,212287.920610675,212287.920610675,212287.920610675,197383.79159925,197383.79159925,197383.79159925,197383.79159925,48646.5769876869,48646.5769876869,48646.5769876869,48646.5769876869,206579.652813423,206579.652813423,206579.652813423,206579.652813423,410051.463678696,410051.463678696,410051.463678696,410051.463678696,44250.7017088697,44250.7017088697,44250.7017088697,44250.7017088697,19895.1512880891,19895.1512880891,19895.1512880891,19895.1512880891,34529.0752813671,34529.0752813671,34529.0752813671,34529.0752813671,32560.1223113511,32560.1223113511,32560.1223113511,32560.1223113511,19504.552977736,19504.552977736,19504.552977736,19504.552977736
