"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,8533.13906652316,17287.9427184485,26276.2351153925,35510.8124995142,45005.5527602784,54775.540884405,64837.2131374725,75208.5234370816,85909.1361468198,96960.6504915394,108386.863029332,120214.07619736,132471.462991054,145191.50049563,158410.488483565,172169.173928621,186513.508504448,201495.574566579,217174.726688899,233619.011920646,250906.954639095,269129.82442016,288394.552805051,308827.535357728,330579.662412186,353833.088118006,378810.512416276,405788.185849267,435114.586487225,467238.023841292,502748.836340807,542446.547278374,587452.100038652,639407.197769913,700857.035761938,776065.55919902,873026.20969056,1009684.57111967,1243303.58304031
"2",0,8496.02414687502,17212.7487482255,26161.9465344423,35356.3580903824,44809.8009435793,54537.294468548,64555.2034412697,74881.4036887145,85535.4740442485,96538.9197868163,107915.433971293,119691.204632294,131895.277877199,144559.989532023,157721.48148325,171420.323475531,185702.267315541,200619.168826418,216230.12441911,232602.885171965,249815.63392019,267959.243262347,287140.179640513,307484.288860679,329141.804958781,352294.089804259,377162.874703988,404023.208647495,433222.053998383,465205.770343929,500562.128434312,540087.174032644,584896.974976223,636626.09381946,697808.655515894,772690.059204609,869228.978991425,1005292.94437657,1237895.82954854
"3",0,8430.47440975451,17079.9464943639,25960.0981535706,35083.5716742544,44464.0779769898,54116.5205566716,64057.1379294276,74303.6680040984,84875.5385566427,95794.0889454102,107082.82942524,118767.745981088,130877.660619665,143444.659685009,156504.606216566,170097.756949509,184269.510699648,199071.323204682,214561.834926498,230808.274220664,247888.220715028,265891.845894919,284924.794777336,305111.942224763,326602.363166075,349576.020201753,374252.933905673,400906.031170173,429879.597425346,461616.548441329,496700.120115583,535920.216445427,580384.294422417,631714.305390837,692424.822661993,766728.490666091,862522.579611502,997536.764886755,1228345.03910742
"4",0,8383.33247552401,16984.4380241209,25814.9332221218,34887.3896626554,44215.4415969083,53813.909181692,63698.9401298151,73888.1731624224,84400.9274182961,95258.4229293304,106484.038484585,118103.614759331,130145.812591986,142642.538904621,155629.456196005,169146.596091753,183239.103544383,197958.146558912,213362.037688661,229517.629358428,246502.067382549,264405.019021083,283331.53854012,303405.80252085,324776.052287758,347621.244117759,372160.168263049,398664.225450181,427475.77591734,459035.258716856,493922.648379511,532923.431879278,577138.873476186,628181.854808608,688552.888075283,762441.061237706,857699.484167036,991958.690596133,1221476.31995456
"5",0,8236.07005240396,16686.0877551716,25361.4656267389,34274.5544264226,43438.7489048441,52868.6088865176,62579.9984319781,72590.2464189013,82918.3326242228,93585.1043267194,104613.529641398,116028.995323745,127859.658753142,140136.866371602,152895.654227016,166175.350745621,180020.307859365,194480.794751176,209614.099650465,225485.900645917,242171.988401089,259760.45507234,278354.509532435,298076.147064819,319071.004972637,341514.895969663,365622.76701752,391661.251391538,419966.695397093,450971.801291835,485246.355718257,523562.047710736,567000.79661558,617147.152037455,676457.701937752,749047.948356654,842633.052683373,974533.849002571,1200019.74964849
"6",0,8578.93408834708,17380.7223752559,26417.2524773714,35701.3893107817,45247.0852437862,55069.5062200995,65185.1767142389,75612.1469975668,86370.1869669279,97481.0117643026,108968.545657396,120859.232241353,133182.401075084,145970.703539435,159260.634217823,173093.158761869,187514.475455277,202576.946165327,218340.244005656,234872.78121539,252253.503590646,270574.170526172,289942.28743549,310484.928212957,332353.792979693,355732.013456743,380843.484754825,407965.93997726,437449.727380717,469745.56243078,505446.951741562,545357.709428347,590604.794672134,642838.72119265,704618.343646171,780230.490643738,877711.50240804,1015103.27185913,1249976.05307452
"7",0,8387.37321274377,16992.6244644275,25827.3759305317,34904.2052636496,44236.7532866295,53839.8472995474,63729.6427983533,73923.7870059946,84441.6083730115,95304.3371592801,106535.363422355,118160.540292624,130208.54242293,142711.292114369,155704.469054911,169228.124165275,183327.424157692,198053.561699978,213464.877451904,229628.256060905,246620.880525333,264532.461324555,283468.103360453,303552.0430669,324932.593220185,347788.796353529,372339.548175274,398856.38022618,427681.817760884,459256.51212181,494160.71738546,533180.299127805,577417.052414435,628484.636287085,688884.768182716,762808.55518871,858112.892347991,992436.811249615,1222065.06731052
"8",0,8505.75184758925,17232.4568452597,26191.9012028365,35396.8400927758,44861.1068632787,54599.7380856073,64629.1172729358,74967.1407195365,85633.4096759708,96649.4540441026,108038.994006666,119828.247582815,132046.294136878,144725.506518453,157902.067995429,171616.594763639,185914.891014246,200848.871943799,216477.701626918,232869.208714966,250101.665560226,268266.048807742,287468.946800573,307836.349434502,329518.662759068,352697.456297781,377594.715233419,404485.803478605,433718.080658765,465738.417429932,501135.257522708,540705.558149468,585566.665012747,637355.012193571,698607.626144898,773574.766864434,870224.220908537,1006443.9755794,1239313.18429437
"9",0,8483.15365054542,17186.6734198417,26122.3142039516,35302.7972872157,44741.9192652078,54454.6767598234,64457.4097562961,74767.9670017807,85405.8976699697,96392.6744617913,107751.954539876,119509.886266989,131695.471749007,144340.997826902,157482.551636367,171160.641463572,185420.949806484,200315.253932653,215902.56072878,232250.518638148,249437.192057989,267553.315925363,286705.195397971,307018.485639928,328643.193099939,351760.404905136,376591.51646505,403411.16010172,432565.7725708,464501.037276295,499803.834563511,539269.004278076,584010.923543284,635661.678739868,696751.555914443,771519.522916224,867912.197378015,1003770.04155437,1236020.56019252
"10",0,8350.70726389782,16918.340098683,25714.4698727382,34751.6192546283,44043.369435455,53604.4828967855,63451.0445097659,73600.6243513578,84072.4663765197,94887.7080356625,106069.63713518,117643.993786813,129639.327290291,142087.42039629,155023.796816697,168488.33238702,182525.996370263,197187.757642158,212531.701822475,228624.421168055,245542.761266738,263376.040422683,282228.90406484,302225.045519412,323512.129203717,346268.414954868,370711.841564345,397112.753555075,425812.178810212,457248.842336109,492000.461590737,530849.466687467,574892.836122922,625737.174723129,685873.263504164,759473.887855522,854361.595891184,988098.309023576,1216722.73019163
