"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,8571.45124164382,17365.5623006142,26394.2104247604,35670.2493089406,45207.6191517097,55021.4726685154,65128.3199206496,75546.1954353961,86294.8518656031,97395.9854125439,108873.49947634,120753.814587106,133066.234721485,145843.382780643,159121.721516147,172942.18084794,187350.918763965,202400.251459649,218149.79999965,234667.916951543,252033.479252157,270338.166260484,289689.389620059,310214.112386939,332063.902364087,355421.731538649,380511.299732186,407610.097799483,437068.168411192,469335.833903086,505006.083212027,544882.029338483,590089.648490192,642278.014751026,704003.75085463,779549.946290026,876945.93170257,1014217.86324157,1248885.78019311
"2",0,8416.40665795239,17051.4455540374,25916.7790946621,35025.0284707931,44389.8817238861,54026.2174796936,63950.2471574797,74179.6790672173,84733.9085661519,95634.2394041038,106904.142604854,118569.560791103,130659.267874897,143205.29665848,156243.450337415,169813.918471321,183962.024119982,198739.137158008,214203.800195207,230423.129404632,247474.574958669,265448.157875425,284449.346884325,304602.808471849,326057.368808736,348992.690195735,373628.426063112,400237.047875953,429162.26656264,460846.258809264,495871.287280057,535025.937876481,579415.819600367,630660.177280585,691269.388213896,765449.067281113,861083.306685217,995872.196685744,1226295.32609038
"3",0,8412.36592073263,17043.2591137309,25904.3363862522,35008.2128697989,44368.5700341648,54000.2793618382,63919.5444889415,74144.0652236451,84693.2276114365,95588.3251741541,106852.817667083,118512.63525781,130596.538043953,143136.543448733,156168.437478509,169732.390397799,183873.703506673,198643.722016942,214100.960431964,230312.502702154,247355.761815885,265320.715571953,284312.782063993,304456.567925799,325900.827876309,348825.137959964,373449.046150887,400044.893099954,428956.224719096,460625.005404309,495633.218274108,534769.070627954,579137.640662119,630357.395802108,690937.508106463,765081.573330108,860669.898504263,995394.076032262,1225706.57873442
"4",0,8312.09577490902,16840.1141135316,25595.5728812658,34590.9368451282,43839.7244003406,53356.6297706117,63157.6634548452,73260.3142905565,83683.7372536834,94448.9720605877,105579.198840929,117100.038690897,129039.908905716,141430.445280925,154307.007276047,167709.286351144,181682.043843094,196276.012960861,211549.010751485,227567.321566604,244407.435680135,262158.258411732,280923.951337215,300827.63585716,322016.293627191,344667.360257501,368997.766847529,395276.607917748,423843.334527465,455134.643133207,489725.579978336,528394.957423764,572234.681824104,622843.929484351,682701.964699811,755962.278990368,850411.251050955,983529.600556971,1211096.92212357
"5",0,8457.41265788623,17134.5227630741,26043.04954297,35195.6756808823,44606.1559084649,54289.4413423743,64261.822386349,74541.0936279132,85146.7449214122,96100.1838117414,107424.995677042,119147.249536378,131295.859492624,143903.014416659,157004.691942601,170641.277439655,184858.314788371,199707.424145121,215247.43334812,231545.785570514,248680.308333588,266741.461251396,285835.226912888,306086.879198427,327645.969382255,350693.035106892,375448.799987172,402187.063010168,431253.209715635,463091.571141028,498287.24682191,537632.664768941,582238.820677406,633732.848580682,694637.356711541,769178.450339455,865278.634151196,1000724.23590997,1232270.02148048
"6",0,8613.95381091831,17451.6715245792,26525.0892835905,35847.1245193981,45431.7865547038,55294.3032415129,65451.2665082368,75920.8003085261,86722.7552411283,97878.9350905332,109413.361784739,121352.58686323,133726.059609931,146566.56469058,159910.745661668,173799.735399059,188279.920770616,203403.877387898,219231.521953763,235831.545970195,253283.217494774,271678.670489593,291125.849211707,311752.346278721,333710.481060728,357184.132833425,382398.110660774,409631.281369254,439235.423358092,471663.091940389,507510.216459787,547583.892248915,593015.678803619,645462.827339448,707494.637910584,783415.43821911,881294.373309643,1019246.9841893,1255078.5301595
"7",0,8495.27586220469,17211.2327407613,26159.6423291812,35353.2440901983,44805.8543343717,54532.4911133896,64549.5177619108,74874.8085324974,85527.940534116,96530.4171516404,107905.929353187,119680.662866869,131883.661241839,144547.257456144,157707.590213083,171405.225684138,185685.911646409,200601.49935585,216211.080018509,232582.39874558,249793.631486341,267935.642835778,287114.88985897,307457.207278077,329112.81589722,352263.061612449,377129.656201724,403987.624429718,433183.89810143,465164.79749116,500518.041581358,540039.606023657,584845.460358029,636570.023175298,697747.19623674,772622.004769237,869152.421920878,1005204.40351482,1237786.8022604
"8",0,8387.52286967783,16992.9276659203,25827.836771584,34904.8280636865,44237.5426084711,53840.8079705791,63730.7799342251,73925.106037238,84443.115075038,95306.0376863153,106537.264345977,118162.648645709,130210.865750002,142713.838529545,155707.247308944,169231.143723553,183330.695291518,198057.095594092,213468.686332024,229632.353346182,246625.281012102,264537.181409869,283473.161316761,303557.45938342,324938.391032497,347795.001991891,372346.191875727,398863.497069736,427689.448940274,459264.706692364,494169.534756051,533189.812729603,577427.355338073,628495.850415918,688897.060038547,762822.166075785,858128.2037621,992454.519421966,1222086.87276815
"9",0,8319.87793548041,16855.880591159,25619.5366159812,34623.3224470429,43880.7691361001,53406.5846642591,63216.794520178,73328.9039152141,83762.0857590612,94537.3994664167,105678.046869228,117209.673051314,129160.72191346,141562.858870068,154451.476485791,167866.303381631,181852.142802058,196459.775454766,211747.072517731,227780.380401005,244636.260992164,262403.702848048,281186.965065264,301109.284316219,322317.779867421,344990.053452319,369343.239271073,395646.683782635,424240.15585577,455560.760802009,490184.083249052,528889.664717223,572770.433853323,623427.06418364,683341.141203014,756670.045118228,851207.444584645,984450.425519232,1212230.80592024
"10",0,8434.66480390833,17088.4361361632,25973.0017030328,35101.0100752854,44486.1789885526,54143.4193455587,64088.9777338376,74340.600878914,84917.7262133846,95841.703702395,107136.055286631,118826.779867467,130942.71377768,143515.959309932,156582.397329505,170182.304581309,184361.102446783,199170.272239861,214668.483569862,230922.998208419,248011.434344582,266024.008283704,285066.417553977,305263.599087333,326764.701910814,349749.778075885,374438.957518351,401105.302789728,430093.27044828,461845.996416837,496947.006492123,536186.597295752,580672.776284304,632028.300998147,692768.994625256,767109.59550417,862951.299206565,998032.593712589,1228955.59192101
