"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",42387224.0286434,42387224.0286434,43036389.1172103,43036389.1172103,40074940.8283643,40074940.8283643,46152770.1602677,46152770.1602677,41595445.4354755,41595445.4354755,42813775.7313535,42813775.7313535,40041919.7332733,40041919.7332733,46095720.9273121,46095720.9273121,37238661.61786,37238661.61786,36714183.7230954,36714183.7230954,44718619.4214692,44718619.4214692,38077565.9761767,38077565.9761767,39354943.4957016,39354943.4957016,42460665.0800363,42460665.0800363,38715516.8130623,38715516.8130623,38801961.6856027,38801961.6856027,38134762.9557575,38134762.9557575,38936630.7112736,38936630.7112736,41244889.6174906,41244889.6174906,41417032.7827744,41417032.7827744
"2",32387885.3382362,32387885.3382362,38412062.8529928,38412062.8529928,47708538.0087858,47708538.0087858,41996195.8034424,41996195.8034424,38011239.1734636,38011239.1734636,37529352.6664386,37529352.6664386,41229475.8952163,41229475.8952163,40868176.8541803,40868176.8541803,42380260.6582278,42380260.6582278,39895235.6493466,39895235.6493466,38366257.9169452,38366257.9169452,40750506.4762372,40750506.4762372,44454432.7949278,44454432.7949278,36838847.9809397,36838847.9809397,43572768.0434077,43572768.0434077,40479738.8933411,40479738.8933411,40433829.8205354,40433829.8205354,38664431.2956468,38664431.2956468,39648143.2554611,39648143.2554611,41044200.4711972,41044200.4711972
"3",33692115.4026198,33692115.4026198,39679426.7496612,39679426.7496612,47856399.6064989,47856399.6064989,36663158.8631215,36663158.8631215,38313988.6297545,38313988.6297545,37834810.7387826,37834810.7387826,42295524.9889834,42295524.9889834,43264853.7339306,43264853.7339306,38931337.962101,38931337.962101,40430454.0954617,40430454.0954617,38894432.131049,38894432.131049,41124995.3612462,41124995.3612462,39356192.2364014,39356192.2364014,41472792.9681282,41472792.9681282,35424904.2535125,35424904.2535125,38377114.2979214,38377114.2979214,40179127.5529478,40179127.5529478,37562611.5175666,37562611.5175666,40110120.3169687,40110120.3169687,41897478.1693489,41897478.1693489
"4",36185614.5098487,36185614.5098487,45200522.5407768,45200522.5407768,36720516.6986036,36720516.6986036,39844232.0323486,39844232.0323486,38227779.6932576,38227779.6932576,39767841.3848082,39767841.3848082,42142639.2394903,42142639.2394903,39482136.1946061,39482136.1946061,43125213.2817189,43125213.2817189,41099571.9231012,41099571.9231012,39778665.9849632,39778665.9849632,38803081.638656,38803081.638656,40710770.2742599,40710770.2742599,41282139.2088557,41282139.2088557,40109243.7163206,40109243.7163206,38676994.7848556,38676994.7848556,40825309.3449592,40825309.3449592,41132204.5787197,41132204.5787197,41419791.8953019,41419791.8953019,41734698.1415408,41734698.1415408
"5",36846985.962007,36846985.962007,41775241.7582652,41775241.7582652,42664772.7465079,42664772.7465079,41834777.0276958,41834777.0276958,38325362.4378703,38325362.4378703,41117653.3857504,41117653.3857504,44872320.0348361,44872320.0348361,42489206.0193407,42489206.0193407,40337814.2261445,40337814.2261445,42225495.5484039,42225495.5484039,41064729.7069381,41064729.7069381,41707709.0224684,41707709.0224684,39513301.6426557,39513301.6426557,39132607.1512119,39132607.1512119,40789066.9072824,40789066.9072824,38305304.8658416,38305304.8658416,38780340.7608425,38780340.7608425,39221411.9840202,39221411.9840202,41810216.7265551,41810216.7265551,40307139.4871727,40307139.4871727
"6",41273133.1566421,41273133.1566421,41450726.0502537,41450726.0502537,39663599.2676808,39663599.2676808,42960455.6419596,42960455.6419596,42134438.1956046,42134438.1956046,41167848.6318877,41167848.6318877,41196115.7111433,41196115.7111433,38179354.4729934,38179354.4729934,40046742.9638581,40046742.9638581,43279841.8616579,43279841.8616579,39209934.5637244,39209934.5637244,42516456.0129177,42516456.0129177,41019023.2172862,41019023.2172862,40300898.0861228,40300898.0861228,40670837.3348547,40670837.3348547,37686303.1419513,37686303.1419513,40548099.6905985,40548099.6905985,39098153.1157079,39098153.1157079,39887616.9658961,39887616.9658961,43186540.9347181,43186540.9347181
"7",34972182.9002983,34972182.9002983,45588222.4974398,45588222.4974398,37127610.0238125,37127610.0238125,42491653.3603867,42491653.3603867,35710238.5496077,35710238.5496077,38833318.116112,38833318.116112,38944972.0933677,38944972.0933677,43720290.3427958,43720290.3427958,37892500.3864443,37892500.3864443,40253540.8012457,40253540.8012457,38782062.4542615,38782062.4542615,41819940.6108974,41819940.6108974,38101403.132087,38101403.132087,40351942.4827695,40351942.4827695,38805118.0238412,38805118.0238412,44935156.1883567,44935156.1883567,39968851.8186917,39968851.8186917,39734596.232416,39734596.232416,40053841.1069362,40053841.1069362,41324206.9127449,41324206.9127449
"8",46263881.5510466,46263881.5510466,42305824.9651444,42305824.9651444,36869129.2580466,36869129.2580466,39850727.5778498,39850727.5778498,40873934.3731302,40873934.3731302,40268304.1241242,40268304.1241242,36704976.441082,36704976.441082,41223467.8725647,41223467.8725647,40505862.6599075,40505862.6599075,37177865.7816374,37177865.7816374,39607531.8855213,39607531.8855213,40239547.9778401,40239547.9778401,42605675.1532482,42605675.1532482,40327097.9497909,40327097.9497909,38883138.5784708,38883138.5784708,39303044.564291,39303044.564291,41668228.3494807,41668228.3494807,39866980.9169198,39866980.9169198,41494930.9007261,41494930.9007261,41985640.3936868,41985640.3936868
"9",45739590.1353678,45739590.1353678,42398519.9400271,42398519.9400271,36149547.4304365,36149547.4304365,39669056.6975763,39669056.6975763,40170733.3136041,40170733.3136041,39056278.238889,39056278.238889,41345533.8504388,41345533.8504388,38474339.0229928,38474339.0229928,42694526.7925214,42694526.7925214,41066683.3658304,41066683.3658304,39252453.9071903,39252453.9071903,38793560.9113553,38793560.9113553,39478703.2766501,39478703.2766501,40500344.8312847,40500344.8312847,42226200.4771889,42226200.4771889,39296463.0796621,39296463.0796621,40491298.0525505,40491298.0525505,39645055.5354079,39645055.5354079,40359161.7758859,40359161.7758859,42536744.2228377,42536744.2228377
"10",42818503.6735581,42818503.6735581,42429000.5009674,42429000.5009674,41973483.5324151,41973483.5324151,35409987.8341659,35409987.8341659,39239816.86177,39239816.86177,36748212.3581515,36748212.3581515,44056599.7606631,44056599.7606631,41192457.4499299,41192457.4499299,45721806.1393126,45721806.1393126,41079742.9425176,41079742.9425176,40025537.2614494,40025537.2614494,41515902.7611709,41515902.7611709,39453059.2770154,39453059.2770154,35788136.6327036,35788136.6327036,38217152.0987064,38217152.0987064,43212707.8332473,43212707.8332473,40113657.1961848,40113657.1961848,41153813.982163,41153813.982163,39610586.1734307,39610586.1734307,42925677.7550807,42925677.7550807
