"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",40654093.2089218,40654093.2089218,40628440.9384776,40628440.9384776,37374027.2135609,37374027.2135609,41296693.1436165,41296693.1436165,42327816.0168442,42327816.0168442,42717074.3341107,42717074.3341107,40651710.3996949,40651710.3996949,37653759.9642,37653759.9642,40279933.9548635,40279933.9548635,41969093.9678672,41969093.9678672,39947127.104442,39947127.104442,38200239.9727743,38200239.9727743,37934527.2199991,37934527.2199991,42186645.1729142,42186645.1729142,39074789.8334823,39074789.8334823,43616599.6040384,43616599.6040384,38238422.521908,38238422.521908,38607786.4946133,38607786.4946133,40151338.1259971,40151338.1259971,44316652.0138676,44316652.0138676
"2",36241378.6767085,36241378.6767085,40918828.8790441,40918828.8790441,43175286.3976046,43175286.3976046,37695680.6121149,37695680.6121149,41218340.3557372,41218340.3557372,45926475.4054407,45926475.4054407,42660751.7755852,42660751.7755852,39638785.0440635,39638785.0440635,39486992.2834509,39486992.2834509,41971457.2664607,41971457.2664607,40631136.5485262,40631136.5485262,41216415.1120833,41216415.1120833,36930352.1058699,36930352.1058699,38844713.0003493,38844713.0003493,42640202.425781,42640202.425781,39796867.2988795,39796867.2988795,40878344.7598678,40878344.7598678,42149506.6210796,42149506.6210796,40336598.4549875,40336598.4549875,40499629.869667,40499629.869667
"3",33754845.99062,33754845.99062,44781877.2891392,44781877.2891392,42344511.2683309,42344511.2683309,40590062.7233911,40590062.7233911,37753245.0512986,37753245.0512986,41209018.2020962,41209018.2020962,38744864.6336397,38744864.6336397,40281931.5360058,40281931.5360058,39860676.9474985,39860676.9474985,37571337.89532,37571337.89532,37964086.4535774,37964086.4535774,41914700.5188129,41914700.5188129,43172643.4140898,43172643.4140898,41677815.301637,41677815.301637,39990980.4443091,39990980.4443091,42258973.9699289,42258973.9699289,41142879.6575085,41142879.6575085,37339061.3321105,37339061.3321105,39823959.4512387,39823959.4512387,39967193.5142714,39967193.5142714
"4",38666914.6611221,38666914.6611221,40814305.9602657,40814305.9602657,35559385.1549826,35559385.1549826,42179810.6627299,42179810.6627299,40091378.8858588,40091378.8858588,39939477.3522109,39939477.3522109,40549371.173185,40549371.173185,39376222.5803338,39376222.5803338,38902221.647333,38902221.647333,38262080.8778207,38262080.8778207,36489650.3007671,36489650.3007671,40536953.5528543,40536953.5528543,40143483.4764602,40143483.4764602,38497992.6993485,38497992.6993485,42391878.137561,42391878.137561,40722524.3327421,40722524.3327421,37157504.9483247,37157504.9483247,38941121.7679956,38941121.7679956,40759871.6418638,40759871.6418638,44916150.8435543,44916150.8435543
"5",39941258.911185,39941258.911185,36371574.4835836,36371574.4835836,43080054.3942042,43080054.3942042,37526462.2676833,37526462.2676833,42452024.0653741,42452024.0653741,44829736.7880411,44829736.7880411,46679159.3619892,46679159.3619892,39695752.2558624,39695752.2558624,40940745.1014041,40940745.1014041,44056583.1465066,44056583.1465066,40840162.2713751,40840162.2713751,42918109.121354,42918109.121354,46418331.9641099,46418331.9641099,38777619.2669898,38777619.2669898,40680119.9251222,40680119.9251222,41432117.224782,41432117.224782,41173351.4537803,41173351.4537803,40093701.4531922,40093701.4531922,39797072.4902236,39797072.4902236,43405623.5151896,43405623.5151896
"6",47133450.368717,47133450.368717,43956319.8577712,43956319.8577712,40252378.9440166,40252378.9440166,45761023.2699826,45761023.2699826,42055049.1714325,42055049.1714325,37911982.7905975,37911982.7905975,40473647.7177713,40473647.7177713,37877428.4186003,37877428.4186003,43821868.9509136,43821868.9509136,40932461.032147,40932461.032147,42195485.3251104,42195485.3251104,41770274.3315465,41770274.3315465,38770315.2795052,38770315.2795052,41493484.6271148,41493484.6271148,37690415.21477,37690415.21477,38727117.1753032,38727117.1753032,38139247.1079073,38139247.1079073,40669473.4074938,40669473.4074938,40974919.6011768,40974919.6011768,42352986.2503262,42352986.2503262
"7",39433547.235662,39433547.235662,41533574.2592569,41533574.2592569,36215216.9006423,36215216.9006423,43682082.569694,43682082.569694,42835923.2515073,42835923.2515073,38317785.7565293,38317785.7565293,41498337.6174073,41498337.6174073,46380381.8326682,46380381.8326682,38793334.9217696,38793334.9217696,37506289.1686337,37506289.1686337,40305735.9175647,40305735.9175647,43196565.0530601,43196565.0530601,41174050.8037952,41174050.8037952,42741856.6843936,42741856.6843936,41875375.7469321,41875375.7469321,43912088.2240713,43912088.2240713,39647468.5028743,39647468.5028743,41648482.4163642,41648482.4163642,40805255.7541808,40805255.7541808,41676901.6951886,41676901.6951886
"8",36424994.6848662,36424994.6848662,42475373.7346444,42475373.7346444,40398251.280652,40398251.280652,36163184.8466323,36163184.8466323,37008489.0794465,37008489.0794465,37764748.7834854,37764748.7834854,40349039.5344422,40349039.5344422,37444744.0825322,37444744.0825322,40797382.936553,40797382.936553,41134794.2990434,41134794.2990434,41428164.9334343,41428164.9334343,35963633.028028,35963633.028028,41406772.1023393,41406772.1023393,42296111.9017913,42296111.9017913,36004837.7596197,36004837.7596197,41007672.1436973,41007672.1436973,42250334.5147692,42250334.5147692,40749040.0110405,40749040.0110405,39844680.8465252,39844680.8465252,44005946.3680786,44005946.3680786
"9",46504985.4483791,46504985.4483791,45483084.3761283,45483084.3761283,39149034.5251996,39149034.5251996,42255553.9492349,42255553.9492349,41490466.8660888,41490466.8660888,41016789.9263454,41016789.9263454,39995929.5634181,39995929.5634181,44145412.3062392,44145412.3062392,42707189.4718331,42707189.4718331,40183002.4448908,40183002.4448908,37631163.3460934,37631163.3460934,40136171.4204904,40136171.4204904,37844877.5629473,37844877.5629473,40629641.7921177,40629641.7921177,38256630.0628205,38256630.0628205,39830307.4989446,39830307.4989446,41072855.4617704,41072855.4617704,39497149.7562857,39497149.7562857,39672190.33672,39672190.33672,43570149.9776909,43570149.9776909
"10",37369981.9385067,37369981.9385067,40742241.002262,40742241.002262,43976696.4933811,43976696.4933811,40511379.9491671,40511379.9491671,39333041.0545309,39333041.0545309,41725676.4181672,41725676.4181672,42823102.8551888,42823102.8551888,41165909.0701555,41165909.0701555,41250842.4337388,41250842.4337388,44027874.434787,44027874.434787,39147652.5826688,39147652.5826688,40669909.2649783,40669909.2649783,37556963.1104689,37556963.1104689,40022759.0917107,40022759.0917107,43662029.9515363,43662029.9515363,40038413.5182197,40038413.5182197,38928236.4095569,38928236.4095569,37521798.4348297,37521798.4348297,41410733.6187461,41410733.6187461,43857572.2500484,43857572.2500484
