"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",9718271.93312631,9718271.93312631,19649794.3733096,19649794.3733096,48679735.7061391,48679735.7061391,154289748.079702,154289748.079702,177847321.075385,177847321.075385,153063580.353378,153063580.353378,126808070.389471,126808070.389471,135764688.796588,135764688.796588,101320108.785962,101320108.785962,90755154.4089774,90755154.4089774,72810912.9915814,72810912.9915814,55514906.6019122,55514906.6019122,49595203.3435843,49595203.3435843,38083827.0330451,38083827.0330451,21134670.7560065,21134670.7560065,12360361.1315749,12360361.1315749,7053373.48305947,7053373.48305947,6680377.47504308,6680377.47504308,8920113.545083,8920113.545083,9684894.72997199,9684894.72997199
"2",10131976.3048079,10131976.3048079,20558659.2416779,20558659.2416779,76880503.7236852,76880503.7236852,186416154.389098,186416154.389098,246750222.39634,246750222.39634,180101562.179741,180101562.179741,157384183.082276,157384183.082276,124154142.223372,124154142.223372,112888027.403648,112888027.403648,92410101.6968704,92410101.6968704,64291445.1444555,64291445.1444555,62182982.0247056,62182982.0247056,45651430.7604898,45651430.7604898,33775343.0819607,33775343.0819607,23909609.1317994,23909609.1317994,11340356.1523207,11340356.1523207,7337923.18986789,7337923.18986789,7308696.65127544,7308696.65127544,8666660.03272786,8666660.03272786,9650813.20603138,9650813.20603138
"3",11909085.6736788,11909085.6736788,17614029.902432,17614029.902432,79596239.5518372,79596239.5518372,141123427.490585,141123427.490585,206218271.002338,206218271.002338,193284649.962436,193284649.962436,144366417.007823,144366417.007823,122191845.449008,122191845.449008,101948499.481534,101948499.481534,110046000.982048,110046000.982048,81150395.224852,81150395.224852,63079534.1916941,63079534.1916941,49623530.3076606,49623530.3076606,36451409.4021989,36451409.4021989,24902955.9851267,24902955.9851267,13125571.7620337,13125571.7620337,6806931.09164508,6806931.09164508,7147898.96755974,7147898.96755974,8306197.1323753,8306197.1323753,8729230.7191465,8729230.7191465
"4",10512389.6603219,10512389.6603219,22592624.7994127,22592624.7994127,69782547.6481383,69782547.6481383,158185871.940576,158185871.940576,187319399.23068,187319399.23068,167090722.332752,167090722.332752,134349175.420166,134349175.420166,122352313.716588,122352313.716588,117137144.155948,117137144.155948,92274340.3789773,92274340.3789773,75235917.6777895,75235917.6777895,61141633.2735485,61141633.2735485,47474153.5877425,47474153.5877425,35660176.3080684,35660176.3080684,21699035.1015635,21699035.1015635,11293695.5526183,11293695.5526183,7165423.55583117,7165423.55583117,7870570.10271364,7870570.10271364,9011871.75042013,9011871.75042013,9269699.93971974,9269699.93971974
"5",12178562.0764398,12178562.0764398,18903236.4735351,18903236.4735351,64966290.0243694,64966290.0243694,193044159.084938,193044159.084938,202111603.119849,202111603.119849,181233947.673776,181233947.673776,149892325.555245,149892325.555245,128346180.458048,128346180.458048,99337525.8409944,99337525.8409944,80517468.065266,80517468.065266,75384702.7700095,75384702.7700095,61693368.0957773,61693368.0957773,49564955.7263511,49564955.7263511,35090584.1331581,35090584.1331581,23197511.7222168,23197511.7222168,12668137.5877156,12668137.5877156,6673728.69359681,6673728.69359681,7351707.76629103,7351707.76629103,7869987.39145029,7869987.39145029,9989277.11072636,9989277.11072636
"6",9606148.10240767,9606148.10240767,15458600.7898523,15458600.7898523,64875105.8818051,64875105.8818051,185619989.069472,185619989.069472,177893912.953246,177893912.953246,166428437.359857,166428437.359857,151642005.592757,151642005.592757,111850354.402415,111850354.402415,101513462.175169,101513462.175169,93552177.0099939,93552177.0099939,76459483.3995391,76459483.3995391,63912348.8905518,63912348.8905518,46673913.4806868,46673913.4806868,38153002.2550193,38153002.2550193,24029549.1645297,24029549.1645297,14436535.7602352,14436535.7602352,7478546.24204129,7478546.24204129,7663880.97698077,7663880.97698077,7797978.4837859,7797978.4837859,8777481.11479691,8777481.11479691
"7",9209222.37100599,9209222.37100599,23133255.4069823,23133255.4069823,101200705.972837,101200705.972837,151370039.661513,151370039.661513,182248117.594084,182248117.594084,137321263.929062,137321263.929062,131394564.594599,131394564.594599,117753617.697674,117753617.697674,95117868.3499655,95117868.3499655,88083202.6317349,88083202.6317349,73886833.9120575,73886833.9120575,52717394.7596887,52717394.7596887,46495788.9723774,46495788.9723774,37582348.2014795,37582348.2014795,24109105.1037988,24109105.1037988,11333700.6923184,11333700.6923184,7438975.05563942,7438975.05563942,9007303.58136929,9007303.58136929,9111320.47028484,9111320.47028484,10061137.7229737,10061137.7229737
"8",9295680.49906906,9295680.49906906,22692713.5978209,22692713.5978209,91353122.733823,91353122.733823,151207905.273318,151207905.273318,168867249.812522,168867249.812522,136272308.80023,136272308.80023,136397352.181334,136397352.181334,116337364.657953,116337364.657953,107593630.061288,107593630.061288,86245020.3699395,86245020.3699395,70743256.3848321,70743256.3848321,63253834.1483949,63253834.1483949,46642959.5536677,46642959.5536677,34703815.0062333,34703815.0062333,20974274.8397839,20974274.8397839,12344630.212626,12344630.212626,7664518.07772359,7664518.07772359,6822414.12789366,6822414.12789366,7520951.93953671,7520951.93953671,9009088.81968622,9009088.81968622
"9",10894660.8499847,10894660.8499847,19697268.6307301,19697268.6307301,56307962.9297156,56307962.9297156,157938848.237758,157938848.237758,134843816.278583,134843816.278583,135304114.605606,135304114.605606,148876616.34938,148876616.34938,106618403.669892,106618403.669892,100405959.86279,100405959.86279,101330182.135385,101330182.135385,76221120.2693567,76221120.2693567,62677550.601901,62677550.601901,44928333.674912,44928333.674912,35567760.6018247,35567760.6018247,22300891.6562319,22300891.6562319,11681534.4683764,11681534.4683764,7410459.59939577,7410459.59939577,7438217.78242882,7438217.78242882,8215786.70757411,8215786.70757411,10520166.3948963,10520166.3948963
"10",12189028.181102,12189028.181102,18988984.194763,18988984.194763,110673173.371954,110673173.371954,198079930.942962,198079930.942962,179763791.319952,179763791.319952,140098948.410199,140098948.410199,161836189.69649,161836189.69649,137068441.183059,137068441.183059,110257766.0171,110257766.0171,86065971.1311304,86065971.1311304,77498782.9572746,77498782.9572746,57825316.1691141,57825316.1691141,48653663.6784094,48653663.6784094,38317701.6149345,38317701.6149345,20325981.6400209,20325981.6400209,10245068.3081795,10245068.3081795,6810983.42449645,6810983.42449645,6982293.02054786,6982293.02054786,7963031.15394376,7963031.15394376,10242273.2037411,10242273.2037411
