"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,4123.70492355485,8354.53095870469,12698.1922213039,17160.8725935537,21749.2786720147,26470.7003922573,31333.080705728,36345.0959808569,41516.2491722205,46856.9782709467,52378.7831463097,58094.3746528716,64017.8508645004,70164.9065818047,76553.0839483397,83202.0742518036,90134.0839910467,97374.2823639779,104951.352923818,112898.179929197,121252.710887901,130059.05252275,139368.880321454,149243.275910053,159755.158200143,170992.554582068,183063.086511001,196100.254181,210272.462293174,225796.359858393,242957.232451947,262141.45583925,283890.734511265,308998.434110197,338694.53978759,375039.635768447,421896.614039393,487937.815697643,600835.99562684
"2",0,4089.72267236112,8285.68370243696,12593.5501177175,17019.4548408317,21570.0492012315,26252.5630602515,31074.8739137887,36045.5866308482,41174.1258549257,46470.8435607042,51947.144850385,57615.6358320797,63490.298401536,69586.6980230818,75922.2322805767,82516.4301915524,89391.3152575701,96571.8492645094,104086.479392784,111967.818911425,120253.502613862,128987.273752257,138220.381971676,148013.405542273,158438.662472129,169583.454743505,181554.516934507,194484.249102977,208539.668175934,223935.63782285,240955.092663682,259981.224453698,281551.273654929,306452.068014402,335903.456734275,371949.043365123,418419.886925827,483916.862276548,595884.681187972
"3",0,4134.50722857008,8376.41617924013,12731.4559363513,17205.826581174,21806.2522786213,26540.0420607095,31415.1596859471,36440.3042510583,41625.0036042083,46979.7230795006,52515.9926708421,58246.5565296796,64185.5496606745,70348.707977955,76753.6195778272,83420.0273305589,90370.1959063241,97629.3604353321,105226.27960918,113193.923828886,121570.340008126,130399.75041006,139733.965889595,149634.228079944,160173.646908386,171440.480358565,183542.631806841,196613.951159444,210823.284264218,226387.847657771,243593.674238945,262828.151908829,284634.404187451,309807.87498833,339581.771486657,376022.075737715,423001.798817216,489215.9995666,602409.923395486
"4",0,4138.55809295078,8384.62313694091,12743.929829494,17222.6843265315,21827.6173810987,26566.0451863791,31445.9393035293,36476.0073523839,41665.7865162037,47025.7523827083,52567.4462425417,58303.6247334826,64248.4367092398,70417.6335015114,76828.8204388851,83501.7597350922,90458.7378745531,97725.0147120899,105329.377116191,113304.827791269,121689.45092821,130527.5121178,139870.872977648,149780.835143653,160330.580173977,171608.452524752,183722.46129278,196806.587526361,211029.842503359,226609.655582538,243832.339909069,263085.662934922,284913.28031602,310111.41531763,339914.483373807,376390.490726191,423416.243108899,489695.318517459,603000.146308728
"5",0,3961.29526829123,8025.49274718233,12198.0815054879,16485.0018769023,20892.6963226867,25428.1676686533,30099.0460378504,34913.6660851199,39881.1564968488,45011.544170119,50315.8760587224,55806.3624078066,61496.5460470213,67401.5036466279,73538.0864633357,79925.210255239,86584.206931495,93539.254416187,100817.906577926,108451.752548456,116477.245295638,124936.754425358,133879.920217109,143365.418633576,153463.296718575,164258.114956262,175853.256195083,188376.962803695,201991.006964643,216903.505096911,233388.506973814,251817.171182031,272709.867504718,296828.71535215,325355.257645367,360268.923730487,405280.467900606,468720.676278942,577172.428827398
"6",0,4273.28684161289,8657.58047084122,13158.8022755012,17783.3604499061,22538.2048634974,27430.8898845744,32469.6465845954,37663.4660557296,43022.1959596067,48556.6529116166,54278.7539235148,60201.6709192271,66340.0133615227,72710.0453590531,79329.9453733272,86220.1189673463,93403.5781512066,100906.405102036,108758.323830844,116993.411429057,125650.991899898,134776.771878963,144424.301313631,154656.877484786,165550.064340673,177195.082348284,189703.45678811,203213.530396403,217899.816531092,233986.822858114,251770.18330802,271650.288913843,294188.493777341,320206.94182546,350980.23428717,388643.7003429,437200.353254517,505637.111771957,622630.523201014
"7",0,4109.75194624352,8326.26254884642,12655.2265893678,17102.8070262109,21675.6877634812,26381.1340705066,31227.062022945,36222.1186318467,41375.7746975697,46698.4328932312,52201.5541771221,57897.8063953279,63801.2399194422,69927.4964451105,76294.0587602515,82920.5515250779,89829.1061004802,97044.806521812,104596.239288559,112516.177392098,120842.439940945,129618.984418309,138897.311462605,148738.296023945,159214.610285329,170413.983787426,182443.673837209,195436.728917176,209560.98391391,225032.354784197,242135.161810407,261254.473416043,282930.161179524,307952.906309274,337548.532176295,373770.650808142,420469.083701373,486286.82820024,598803.005592338
"8",0,4251.30715154719,8613.05012627953,13091.1198553007,17691.8915723177,22422.2794000549,27289.7988508488,32302.6386595663,37469.7436726114,42800.9109000761,48306.9013219896,53999.5706548483,59892.0230726663,65998.7928943073,72336.0605738305,78921.9110716615,85776.644994601,92923.1559902603,100387.39208185,108198.924394656,116391.654744273,125004.704870552,134083.546316591,143681.453595122,153861.398416884,164698.556066263,176283.677816939,188727.715318103,202168.299738874,216779.046826122,232783.309488546,250475.201060864,270253.053161157,292675.332561212,318559.954483147,349174.964232819,386644.70790543,434951.60922742,503036.362649703,619428.017393976
"9",0,4270.66128136613,8652.26114640552,13150.7173447605,17772.4341334706,22524.3571118917,27414.0360068256,32449.6968324588,37640.3251567223,42995.7625907208,48526.819103982,54245.4043863021,60164.682268614,66299.2532374526,72665.3714085998,79281.2040744934,86167.1442607043,93346.1898384656,100844.406959693,108691.501372596,116921.529231216,125573.790377621,134693.963364686,144335.565238041,154561.854387938,165448.348335198,177086.21149983,189586.900639816,203088.67349192,217765.936190908,233843.058462431,251615.492595902,271483.383619154,294007.740731045,320010.202723136,350764.587693647,388404.91285037,436931.731954352,505326.442081585,622247.971312801
"10",0,4294.21630757989,8699.98308562863,13223.2507234055,17870.4588009203,22648.5912262977,27565.2393672005,32628.67460877,37847.9320792449,43232.907671583,48794.4709781898,54544.5973772963,60496.5233055426,66664.9297791101,73066.1605640943,79718.4831554593,86642.4030574347,93861.0449870564,101400.618865284,109290.994283732,117566.415234704,126266.398320333,135436.874035625,145131.654601905,155414.347313949,166360.886212894,178062.938540247,190632.575798799,204208.818292139,218967.034099989,235132.830469408,253003.289270329,272980.762548653,295629.353774951,321775.233526843,352699.245704113,390547.177783358,439341.648761548,508113.593018062,625680.008252766
