"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,4250.40695946259,8611.22635790158,13088.3478790468,17688.1454066827,22417.5315995043,27284.0203784777,32295.798744548,37461.8096500946,42791.8480307437,48296.6725879435,53988.1365278039,59879.341249599,65984.8179946261,72320.743790818,78905.1997692042,85758.4822380381,92903.4799973205,100366.135575903,108176.013837542,116367.009419299,124978.2357772,134055.154825982,143651.029797777,153828.819069393,164663.682007242,176246.350668898,188687.753210117,202125.491657337,216733.144995202,232734.018838598,250422.16424528,270195.828488692,292613.360088197,318492.501076636,349101.028257896,386562.837907991,434859.510495935,502929.84732729,619296.856746589
"2",0,4197.37064247812,8503.77600430051,12925.0322780851,17467.4338146861,22137.8070170679,26943.5720479521,31892.8137513889,36994.3634901473,42257.8939792482,47694.029673724,53314.4758761068,59132.1705072152,65161.4634884101,71418.3299916632,77920.6255327618,84688.3931638712,91744.2360799519,99113.773100574,106826.200180939,114914.989022909,123418.76502721,132382.422837595,141858.561070861,151909.352513056,162609.018696633,174047.159530124,186333.319014572,199603.38218678,214028.762123483,229829.978045818,247297.411860504,266824.341535965,288962.148553033,314518.371209689,344744.967068727,381739.330558875,429433.360232598,496654.319581783,611569.308604692
"3",0,4189.8690417731,8488.57793448424,12901.9324759689,17436.2157677276,22098.24201248,26895.418111527,31835.8144595701,36928.2466358407,42182.3700681456,47608.7902233393,53219.1914840704,59026.4886483207,65045.005991067,71290.6901332255,77781.364678951,84537.03685918,91580.2694721204,98936.6355510224,106635.27887166,114709.611314792,123198.189249276,132145.827082519,141605.029426319,151637.857950632,162318.401538131,173736.099963112,186000.301448017,199246.648173972,213646.246865814,229419.222629583,246855.438397311,266347.469265424,288445.711277904,313956.259488763,344128.833944375,381057.080580216,428665.870803555,495766.691895007,610476.303209799
"4",0,4190.99428187885,8490.85764495668,12905.3974462864,17440.8984747714,22104.1767631682,26902.6412019907,31844.3643533429,36938.1641639867,42193.698654811,47621.576140897,53233.4841428759,59042.3409271549,65062.4746156684,71309.8361119911,77802.2538070226,84559.7403048837,91604.8644632951,98963.2061834552,106663.917068052,114740.417971009,123231.275615966,132181.316445781,141643.059173,151678.582134996,162361.994111906,173782.758898164,186050.254083,199300.158275893,213703.624154464,229480.835942019,246921.73441679,266419.000106005,288523.176869173,314040.576246902,344221.253913028,381159.418077015,428780.994217912,495899.836048024,610640.254019033
"5",0,4195.27019428071,8499.52054475195,12918.5643334926,17458.6927615378,22126.7288157833,26930.088945753,31876.8539496796,36975.8507709414,42236.7472841395,47670.1626276163,53287.7962463366,59102.5795867247,65128.855389154,71382.5908313007,77881.6324936948,84646.0133985577,91698.3254297591,99064.1745866995,106772.742214341,114857.483264636,123357.003809388,132316.176026174,141787.572210389,151833.334035578,162527.645892252,173960.062851361,186240.074095937,199503.496663194,213921.657851336,229714.966529272,247173.65929081,266690.817300214,288817.546115997,314360.97992783,344572.449793909,381548.30056485,429218.463192466,496405.783829486,611263.267094122
"6",0,4311.54500520847,8735.09062690422,13276.6112662939,17942.5724893944,22739.9863868957,27676.4749603425,32760.3429728715,38000.662012693,43407.3679062301,48991.3741085784,54764.7043229003,60740.6483995888,66933.9465979728,73361.0086370855,80040.1757277623,86992.0361212714,94239.8078511471,101809.806604748,109732.022508167,118040.837740455,126775.92836736,135983.41022985,145717.312700798,156041.499753148,167032.211849034,178781.486140044,191401.846377541,205032.873861727,219850.644345204,236081.675480911,254024.247970305,274082.337493604,296822.323880499,323073.711602182,354122.513221366,392123.175234059,441114.549342638,510164.012974514,628204.85071497
"7",0,4237.50420624996,8585.08567781759,13048.6162194069,17634.4503659141,22349.4797916132,27201.1956078265,32197.7599626196,37348.0886606873,42661.9469036472,48150.0607332818,53824.2473735013,59697.5684523005,65784.5110991959,72101.2032343051,78665.6711006496,85498.1493939692,92621.4574318504,100061.458990675,107847.629185582,116013.759761337,124598.845439155,133648.210127251,143214.955369163,153361.848422024,164163.820494619,175711.328213637,188114.962995642,201511.909155306,216075.218752012,232027.519522674,249661.969888588,269375.608183361,291725.087974974,317525.668916643,348041.279284011,385389.367944698,433539.42867798,501403.127706035,617416.887467372
"8",0,4144.78442153595,8397.23753488842,12763.1026652505,17248.5953055071,21860.4563349067,26606.0129536119,31493.2487157389,36530.8843414583,41728.4713624189,47096.5011265276,52646.5322879319,58391.340676365,64345.0964320346,70523.5745840147,76944.406947548,83627.3854679859,90594.8301590532,97872.0388782177,105487.841802893,113475.291289006,121872.528823895,130723.886594513,140081.304242618,150006.175630465,160571.792415534,171866.631965371,183998.865873021,197102.676756992,211347.330167224,226950.582578013,244199.17788352,263481.466919471,285341.923254378,310577.968045998,340425.873867019,376956.758208477,424053.259335005,490432.049497484,603907.34078649
"9",0,4171.71516806696,8451.79860552885,12846.0309548477,17360.6680940881,22002.4947013773,26778.8855853781,31697.8761733685,36768.2438484188,41999.6022032773,47402.5107534085,52988.6032553424,58770.7385497961,64763.1788474965,70981.8016758062,77444.3534127288,84170.7546018273,91183.4702811682,98507.9626811077,106173.249303205,114212.597261148,122664.395866677,131573.265355236,140991.482846526,150980.841109567,161615.108014556,172983.335810944,185194.398936954,198383.351862975,212720.559942255,228425.194522295,245785.862616383,265193.438370714,287195.933072091,312595.949124123,342637.791783443,379406.035631862,426808.54638527,493618.632893009,607831.230154157
"10",0,4222.20094081172,8554.08161539238,13001.4926230898,17570.7655501188,22268.7671822538,27102.9615775193,32081.4814073092,37213.210277902,42507.8781249979,47976.1722544972,53629.8672137472,59481.9774601558,65546.9378046159,71840.8179230921,78381.5789588756,85189.3825323991,92286.9655518741,99700.0983895896,107458.149714653,115594.789236778,124148.87085217,133165.554786896,142697.750814297,152807.99951468,163570.961491275,175076.766696933,187435.60715987,200784.171769177,215294.887626367,231189.578473555,248760.344023674,268402.788751457,290671.555933711,316378.961005954,346784.367710333,383997.577988235,431973.750242732,499592.367225012,615187.15646179
