"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,2259.0320363088,4576.74674447314,6956.27440927664,9401.00266108088,11914.6054816003,14501.0764150632,17164.7667383219,19910.4295058763,22743.2705894426,25669.0080888339,28693.9418178307,31825.0349874766,35070.0107499148,38437.4669699381,41937.0135165869,45579.4375947102,49376.904282374,53343.2016719512,57494.0430763105,61847.4430224632,66424.1897669364,71248.4456835441,76348.5194375264,81757.8725283395,87516.4511112971,93672.4780099398,100284.909992401,107426.880617173,115190.644694414,123694.886044926,133095.888706007,143605.315550803,155519.921032403,169274.323639637,185542.32906739,205452.758573266,231121.7666621,267300.201595729,329147.644618192
"2",0,2280.18655029694,4619.60530135504,7021.41585124437,9489.03755350383,12026.1787945382,14636.870515782,17325.504741251,20096.8790350208,22956.248018752,25909.3833389186,28962.6438033732,32123.057829559,35398.4208924225,38797.4113707325,42329.7291243334,46006.2623739394,49839.2901164588,53842.7295616865,58032.4411684776,62426.6081593542,67046.2134607092,71915.645712858,77063.4786751362,82523.4871943749,88335.9914982728,94549.6659889132,101224.019530087,108432.870533294,116269.337721041,124853.216318708,134342.253872212,144950.095353729,156976.274148267,170859.478692648,187279.824478063,207376.703513083,233286.086852002,269803.311672437,332229.919831792
"3",0,2214.62256013509,4486.77417116079,6819.52358074866,9216.19182308659,11680.3806544399,14216.0051114264,16827.3309307544,19519.0177283815,22296.1690357151,25164.3905425568,28129.8582169754,31199.3983828214,34380.5823656434,37681.8390079867,41112.5892620269,44683.4082709382,48406.2219640116,52294.5473786061,56363.7889253782,60631.6069904084,65118.3811615692,69847.798813495,74847.6121018348,80150.6247187899,85795.9975329652,91831.0053732298,98313.4459983952,105315.015261347,112926.154369014,121263.213980817,130479.405803903,140782.231709198,152462.612363638,165946.622251755,181894.820971225,201413.838699607,226578.229242163,262045.445690015,322677.052680423
"4",0,2288.73837510066,4636.93110094559,7047.74962565685,9524.62612703651,12071.2828997684,14691.7660033067,17390.4839339245,20172.2522489302,23042.345277409,26006.5563123571,29071.2680102947,32243.5351486986,35531.1824393936,38942.9208093515,42488.4864976777,46178.8085612874,50026.2120493867,54044.6663681753,58250.0914610557,62660.738746608,67297.6698475536,72185.3648736445,77352.5047499146,82832.9909955382,88667.2950589651,94904.2738953066,101603.659555959,108839.547307895,116705.405114783,125321.477493216,134846.103620252,145493.729742146,157565.012641915,171500.286054503,187982.216239824,208154.468488754,234161.024801111,270815.207235362,333475.94598197
"5",0,2249.58001942047,4557.59717650463,6927.16865861021,9361.66792191317,11864.7535758196,14440.4024551675,17092.9476306302,19827.12226945,22648.1104614533,25561.6063813492,28573.8834838649,31691.8758452696,34923.2743032624,38276.6407483065,41761.5448407853,45388.7286507993,49170.3063565063,53120.0083595162,57253.4822266188,61588.6671102353,66146.26428674,70950.3350321485,76029.0695654028,81415.7893796853,87150.2734915846,93280.5429555049,99865.3078585419,106977.395761035,114708.675469752,123177.334220471,132539.002142384,143004.456489921,154869.21006574,168566.06287127,184766.001330706,204593.123600156,230154.729981505,266181.790710391,327770.457820626
"6",0,2192.34280604119,4441.63590380645,6750.9171684635,9123.47422361987,11562.8725908139,14072.9879202438,16658.0430340525,19322.650671091,22071.8630197403,24911.2293749144,27846.8635726274,30885.5232619049,34034.7035985342,37302.7486284267,40698.9845262088,44233.8800460053,47919.2411387521,51768.448856438,55796.7526368192,60021.6351972998,64463.2711011063,69145.1094209197,74094.6231175436,79344.2858683908,84932.8645722142,90907.1584592047,97324.3838257265,104255.515243305,111790.084053738,120043.2703946,129166.74461822,139365.921065691,150928.793656505,164277.150440605,180064.905591899,199387.556262991,224298.785637905,259409.19146029,319430.82665759
"7",0,2311.24317721571,4682.52531039442,7117.04903200549,9618.280267912,12189.9779135321,14836.2278125821,17561.4818093809,20370.6028118499,23268.9170107168,26262.2746635111,29357.1211864038,32560.580725382,35880.5549314231,39325.8403846647,42906.2690591102,46632.877475361,50518.1118728811,54576.0790168299,58822.8553888931,63276.8718709601,67959.3971813545,72895.1521388721,78113.0996835421,83647.47468281,89539.1465344711,95837.4525963421,102602.712255625,109909.749346321,117852.95088779,126553.74374192,136172.024009832,146924.34655377,159114.324467302,173186.621217281,189830.61561288,210201.21842473,236463.493088241,273478.09029569,336754.96216665
"8",0,2264.65823683756,4588.14529683535,6973.5992608638,9424.41619629975,11944.2792350412,14537.191867382,17207.516207186,19960.0171466062,22799.9135227696,25732.9376766224,28765.405111858,31904.2963816474,35157.3538729221,38533.1968637664,42041.459156945,45692.9548232286,49499.8792382476,53476.0548341148,57637.2340582698,62001.4763035512,66589.6216003866,71425.892499851,76538.6681709332,81961.4934501574,87734.4139801736,93905.7726851987,100534.673167318,107694.43112678,115477.531137666,124002.952607102,133427.368803402,143962.969753709,155907.24898875,169695.907430331,186004.428910654,205964.44605726,231697.383733882,267965.922360811,329967.398664362
"9",0,2251.08033956148,4560.63679046789,6931.78861903345,9367.91153130487,11872.6665767371,14450.0332424525,17104.3474889939,19840.3456403113,22663.2152436738,25578.6542714262,28592.9403622721,31713.0122170485,34946.565802731,38302.1687199941,41789.3970115475,45418.9999117375,49203.0996780726,53155.4358694265,57291.6664884746,61629.7426518588,66190.3794423267,70997.6541831637,76079.7758943113,81470.0882921701,87208.3969232849,93342.7548689073,99931.9113718529,107048.742563596,114785.178521285,123259.485303718,132627.396835022,143099.830944029,154972.497520766,168678.485215455,184889.227955576,204729.573595888,230308.227867314,266359.316247746,327989.058899605
"10",0,2277.33594202904,4613.83003482485,7012.6379264402,9477.1746956596,12011.1440927948,14618.5720199405,17303.8450103598,20071.7546303843,22927.548932533,25876.9923477725,28926.4357343994,32082.8987231791,35354.1670434321,38748.9082245262,42276.8099998853,45948.7469781567,49776.9828054828,53775.4172928569,57959.8910709515,62348.5646302696,66962.3946650944,71825.7393259292,76967.13665021,82420.3192606538,88225.556978042,94431.4633534486,101097.472854796,108297.311608426,116123.981923127,124697.129260539,134174.303956199,144768.883890923,156780.027983718,170645.876238696,187045.693890809,207117.448521193,232994.440868965,269466.013151462,331814.577781732
