"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",47642467.2465909,47642467.2465909,47642467.2465909,47642467.2465909,44415422.4904075,44415422.4904075,44415422.4904075,44415422.4904075,49374860.691851,49374860.691851,49374860.691851,49374860.691851,50429885.6063443,50429885.6063443,50429885.6063443,50429885.6063443,47668977.5130627,47668977.5130627,47668977.5130627,47668977.5130627,46697651.388148,46697651.388148,46697651.388148,46697651.388148,47843520.8617614,47843520.8617614,47843520.8617614,47843520.8617614,46387816.1331251,46387816.1331251,46387816.1331251,46387816.1331251,44245941.1524303,44245941.1524303,44245941.1524303,44245941.1524303,47577294.245877,47577294.245877,47577294.245877,47577294.245877
"2",47466067.901461,47466067.901461,47466067.901461,47466067.901461,44569975.5295796,44569975.5295796,44569975.5295796,44569975.5295796,52242174.181347,52242174.181347,52242174.181347,52242174.181347,54502319.0859001,54502319.0859001,54502319.0859001,54502319.0859001,50776529.5147309,50776529.5147309,50776529.5147309,50776529.5147309,51812489.3827044,51812489.3827044,51812489.3827044,51812489.3827044,49908041.3027388,49908041.3027388,49908041.3027388,49908041.3027388,50669363.530055,50669363.530055,50669363.530055,50669363.530055,47314584.4227181,47314584.4227181,47314584.4227181,47314584.4227181,46186745.0542847,46186745.0542847,46186745.0542847,46186745.0542847
"3",43054835.1460232,43054835.1460232,43054835.1460232,43054835.1460232,49696849.6847356,49696849.6847356,49696849.6847356,49696849.6847356,44017061.0426078,44017061.0426078,44017061.0426078,44017061.0426078,49555629.0894657,49555629.0894657,49555629.0894657,49555629.0894657,45375911.3944893,45375911.3944893,45375911.3944893,45375911.3944893,48276548.0875435,48276548.0875435,48276548.0875435,48276548.0875435,49097737.657467,49097737.657467,49097737.657467,49097737.657467,49597465.7642526,49597465.7642526,49597465.7642526,49597465.7642526,50872526.0188624,50872526.0188624,50872526.0188624,50872526.0188624,47107412.6693534,47107412.6693534,47107412.6693534,47107412.6693534
"4",42127402.7379739,42127402.7379739,42127402.7379739,42127402.7379739,47457634.5191801,47457634.5191801,47457634.5191801,47457634.5191801,56261884.6444343,56261884.6444343,56261884.6444343,56261884.6444343,46603974.5152971,46603974.5152971,46603974.5152971,46603974.5152971,51379746.4922773,51379746.4922773,51379746.4922773,51379746.4922773,48965048.3349884,48965048.3349884,48965048.3349884,48965048.3349884,45521953.9284226,45521953.9284226,45521953.9284226,45521953.9284226,46803136.0146152,46803136.0146152,46803136.0146152,46803136.0146152,50244943.1014017,50244943.1014017,50244943.1014017,50244943.1014017,47209714.3670506,47209714.3670506,47209714.3670506,47209714.3670506
"5",45979687.6836811,45979687.6836811,45979687.6836811,45979687.6836811,46645577.465132,46645577.465132,46645577.465132,46645577.465132,53314907.6586239,53314907.6586239,53314907.6586239,53314907.6586239,45831971.9327701,45831971.9327701,45831971.9327701,45831971.9327701,50443137.368233,50443137.368233,50443137.368233,50443137.368233,47191165.6505695,47191165.6505695,47191165.6505695,47191165.6505695,48043729.1959492,48043729.1959492,48043729.1959492,48043729.1959492,47711420.2087811,47711420.2087811,47711420.2087811,47711420.2087811,44917189.7854842,44917189.7854842,44917189.7854842,44917189.7854842,45066807.8334101,45066807.8334101,45066807.8334101,45066807.8334101
"6",39659456.9153382,39659456.9153382,39659456.9153382,39659456.9153382,48743310.6182634,48743310.6182634,48743310.6182634,48743310.6182634,51968974.3462487,51968974.3462487,51968974.3462487,51968974.3462487,51844054.0353381,51844054.0353381,51844054.0353381,51844054.0353381,47426090.6051252,47426090.6051252,47426090.6051252,47426090.6051252,48495264.1079895,48495264.1079895,48495264.1079895,48495264.1079895,49952278.1628593,49952278.1628593,49952278.1628593,49952278.1628593,47763929.0799273,47763929.0799273,47763929.0799273,47763929.0799273,47060339.9776179,47060339.9776179,47060339.9776179,47060339.9776179,44060183.4808555,44060183.4808555,44060183.4808555,44060183.4808555
"7",47343294.6182477,47343294.6182477,47343294.6182477,47343294.6182477,50215941.2739366,50215941.2739366,50215941.2739366,50215941.2739366,49470970.81294,49470970.81294,49470970.81294,49470970.81294,50853265.5249221,50853265.5249221,50853265.5249221,50853265.5249221,44741775.9861684,44741775.9861684,44741775.9861684,44741775.9861684,47383131.2582467,47383131.2582467,47383131.2582467,47383131.2582467,49746535.6270257,49746535.6270257,49746535.6270257,49746535.6270257,47265101.9758757,47265101.9758757,47265101.9758757,47265101.9758757,46346485.5177521,46346485.5177521,46346485.5177521,46346485.5177521,46084037.1369005,46084037.1369005,46084037.1369005,46084037.1369005
"8",43693161.1523051,43693161.1523051,43693161.1523051,43693161.1523051,42893983.6649106,42893983.6649106,42893983.6649106,42893983.6649106,47351200.4682594,47351200.4682594,47351200.4682594,47351200.4682594,49663190.8699155,49663190.8699155,49663190.8699155,49663190.8699155,51432089.847083,51432089.847083,51432089.847083,51432089.847083,49782615.3025682,49782615.3025682,49782615.3025682,49782615.3025682,48952548.9309634,48952548.9309634,48952548.9309634,48952548.9309634,47094538.9094768,47094538.9094768,47094538.9094768,47094538.9094768,48687136.1523649,48687136.1523649,48687136.1523649,48687136.1523649,45828904.7647294,45828904.7647294,45828904.7647294,45828904.7647294
"9",40188319.483671,40188319.483671,40188319.483671,40188319.483671,45773571.77377,45773571.77377,45773571.77377,45773571.77377,49964931.3159589,49964931.3159589,49964931.3159589,49964931.3159589,47833683.0896117,47833683.0896117,47833683.0896117,47833683.0896117,48085430.6306521,48085430.6306521,48085430.6306521,48085430.6306521,49356372.3801705,49356372.3801705,49356372.3801705,49356372.3801705,47761168.043772,47761168.043772,47761168.043772,47761168.043772,49844011.6245412,49844011.6245412,49844011.6245412,49844011.6245412,46186568.4831959,46186568.4831959,46186568.4831959,46186568.4831959,47212962.8618833,47212962.8618833,47212962.8618833,47212962.8618833
"10",45740401.496966,45740401.496966,45740401.496966,45740401.496966,45538140.341455,45538140.341455,45538140.341455,45538140.341455,49627194.9592722,49627194.9592722,49627194.9592722,49627194.9592722,43246020.7212174,43246020.7212174,43246020.7212174,43246020.7212174,48473271.2023499,48473271.2023499,48473271.2023499,48473271.2023499,43553751.8769713,43553751.8769713,43553751.8769713,43553751.8769713,49896808.7313474,49896808.7313474,49896808.7313474,49896808.7313474,47481221.2662809,47481221.2662809,47481221.2662809,47481221.2662809,46821166.6040823,46821166.6040823,46821166.6040823,46821166.6040823,44300188.0665237,44300188.0665237,44300188.0665237,44300188.0665237
