"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",44440421.5391965,44440421.5391965,44440421.5391965,44440421.5391965,50576814.4788708,50576814.4788708,50576814.4788708,50576814.4788708,46585818.7306373,46585818.7306373,46585818.7306373,46585818.7306373,50008133.8723775,50008133.8723775,50008133.8723775,50008133.8723775,51349948.6005789,51349948.6005789,51349948.6005789,51349948.6005789,47429594.9223526,47429594.9223526,47429594.9223526,47429594.9223526,48641109.0368463,48641109.0368463,48641109.0368463,48641109.0368463,48151756.6136053,48151756.6136053,48151756.6136053,48151756.6136053,46348835.7647031,46348835.7647031,46348835.7647031,46348835.7647031,46105946.0579187,46105946.0579187,46105946.0579187,46105946.0579187
"2",42536483.4327049,42536483.4327049,42536483.4327049,42536483.4327049,49464409.308739,49464409.308739,49464409.308739,49464409.308739,49004102.7313555,49004102.7313555,49004102.7313555,49004102.7313555,48527388.5882287,48527388.5882287,48527388.5882287,48527388.5882287,52856258.8923968,52856258.8923968,52856258.8923968,52856258.8923968,47833858.1097815,47833858.1097815,47833858.1097815,47833858.1097815,49529458.4048711,49529458.4048711,49529458.4048711,49529458.4048711,48710295.1608628,48710295.1608628,48710295.1608628,48710295.1608628,46415388.8668624,46415388.8668624,46415388.8668624,46415388.8668624,47228694.7239635,47228694.7239635,47228694.7239635,47228694.7239635
"3",39423999.538192,39423999.538192,39423999.538192,39423999.538192,54854152.9789352,54854152.9789352,54854152.9789352,54854152.9789352,51103319.1832427,51103319.1832427,51103319.1832427,51103319.1832427,46052633.5344491,46052633.5344491,46052633.5344491,46052633.5344491,50245448.0745835,50245448.0745835,50245448.0745835,50245448.0745835,47603898.4247504,47603898.4247504,47603898.4247504,47603898.4247504,48471113.221517,48471113.221517,48471113.221517,48471113.221517,44988455.0688105,44988455.0688105,44988455.0688105,44988455.0688105,50038052.8656301,50038052.8656301,50038052.8656301,50038052.8656301,46908196.8434691,46908196.8434691,46908196.8434691,46908196.8434691
"4",45680132.4497825,45680132.4497825,45680132.4497825,45680132.4497825,48295286.9517385,48295286.9517385,48295286.9517385,48295286.9517385,45738675.6216159,45738675.6216159,45738675.6216159,45738675.6216159,49543417.1145261,49543417.1145261,49543417.1145261,49543417.1145261,47167357.0159836,47167357.0159836,47167357.0159836,47167357.0159836,50541004.5791665,50541004.5791665,50541004.5791665,50541004.5791665,47203618.6053956,47203618.6053956,47203618.6053956,47203618.6053956,44953900.032164,44953900.032164,44953900.032164,44953900.032164,46434197.5113733,46434197.5113733,46434197.5113733,46434197.5113733,46851081.3088476,46851081.3088476,46851081.3088476,46851081.3088476
"5",45828257.277696,45828257.277696,45828257.277696,45828257.277696,46275689.787116,46275689.787116,46275689.787116,46275689.787116,48542750.3919046,48542750.3919046,48542750.3919046,48542750.3919046,51187650.5846414,51187650.5846414,51187650.5846414,51187650.5846414,52551441.3000125,52551441.3000125,52551441.3000125,52551441.3000125,57234418.6601959,57234418.6601959,57234418.6601959,57234418.6601959,47987287.1633833,47987287.1633833,47987287.1633833,47987287.1633833,50868768.9034767,50868768.9034767,50868768.9034767,50868768.9034767,51633118.3072576,51633118.3072576,51633118.3072576,51633118.3072576,48932070.7291258,48932070.7291258,48932070.7291258,48932070.7291258
"6",50499815.3301662,50499815.3301662,50499815.3301662,50499815.3301662,54333284.5183034,54333284.5183034,54333284.5183034,54333284.5183034,50484070.7837976,50484070.7837976,50484070.7837976,50484070.7837976,49344827.4769051,49344827.4769051,49344827.4769051,49344827.4769051,46847868.8134313,46847868.8134313,46847868.8134313,46847868.8134313,49483196.5645626,49483196.5645626,49483196.5645626,49483196.5645626,49159768.6744618,49159768.6744618,49159768.6744618,49159768.6744618,50030355.6268783,50030355.6268783,50030355.6268783,50030355.6268783,46739732.397505,46739732.397505,46739732.397505,46739732.397505,45271502.8557323,45271502.8557323,45271502.8557323,45271502.8557323
"7",47058027.4204307,47058027.4204307,47058027.4204307,47058027.4204307,48658604.6663885,48658604.6663885,48658604.6663885,48658604.6663885,47282834.4100942,47282834.4100942,47282834.4100942,47282834.4100942,50719256.8599859,50719256.8599859,50719256.8599859,50719256.8599859,47714083.9619337,47714083.9619337,47714083.9619337,47714083.9619337,50888187.2812797,50888187.2812797,50888187.2812797,50888187.2812797,48402707.1338195,48402707.1338195,48402707.1338195,48402707.1338195,47332895.1835868,47332895.1835868,47332895.1835868,47332895.1835868,49491845.8000416,49491845.8000416,49491845.8000416,49491845.8000416,49112303.357248,49112303.357248,49112303.357248,49112303.357248
"8",44136114.337781,44136114.337781,44136114.337781,44136114.337781,49008660.1088769,49008660.1088769,49008660.1088769,49008660.1088769,48289569.945637,48289569.945637,48289569.945637,48289569.945637,46407172.8399653,46407172.8399653,46407172.8399653,46407172.8399653,43267914.7573235,43267914.7573235,43267914.7573235,43267914.7573235,46963254.8047746,46963254.8047746,46963254.8047746,46963254.8047746,48330922.3916457,48330922.3916457,48330922.3916457,48330922.3916457,48769510.6490822,48769510.6490822,48769510.6490822,48769510.6490822,46970277.9105354,46970277.9105354,46970277.9105354,46970277.9105354,46425088.5982872,46425088.5982872,46425088.5982872,46425088.5982872
"9",50580626.9652957,50580626.9652957,50580626.9652957,50580626.9652957,47536861.2323662,47536861.2323662,47536861.2323662,47536861.2323662,51013960.549881,51013960.549881,51013960.549881,51013960.549881,49593640.6279619,49593640.6279619,49593640.6279619,49593640.6279619,48681996.7324883,48681996.7324883,48681996.7324883,48681996.7324883,49636389.4912671,49636389.4912671,49636389.4912671,49636389.4912671,51256208.8112016,51256208.8112016,51256208.8112016,51256208.8112016,46297074.5750848,46297074.5750848,46297074.5750848,46297074.5750848,46453878.2925388,46453878.2925388,46453878.2925388,46453878.2925388,47090309.3521548,47090309.3521548,47090309.3521548,47090309.3521548
"10",40346425.2637637,40346425.2637637,40346425.2637637,40346425.2637637,50061661.0667623,50061661.0667623,50061661.0667623,50061661.0667623,49609289.7742418,49609289.7742418,49609289.7742418,49609289.7742418,47197001.6370821,47197001.6370821,47197001.6370821,47197001.6370821,48537796.1992172,48537796.1992172,48537796.1992172,48537796.1992172,50039991.910978,50039991.910978,50039991.910978,50039991.910978,50447321.5631214,50447321.5631214,50447321.5631214,50447321.5631214,48452619.7010814,48452619.7010814,48452619.7010814,48452619.7010814,45661020.8874879,45661020.8874879,45661020.8874879,45661020.8874879,47736930.0947111,47736930.0947111,47736930.0947111,47736930.0947111
