"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",145281.280346634,145281.280346634,181844.748090573,181844.748090573,210116.860915347,210116.860915347,278534.866485564,278534.866485564,304769.879920162,304769.879920162,231662.016516273,231662.016516273,279102.898298744,279102.898298744,369652.396825652,369652.396825652,234800.03779197,234800.03779197,270104.257432044,270104.257432044,276605.260537203,276605.260537203,309846.372065255,309846.372065255,180601.426361512,180601.426361512,317539.038243989,317539.038243989,250797.819355314,250797.819355314,231065.918286452,231065.918286452,232743.726016194,232743.726016194,256407.991212432,256407.991212432,215547.51625277,215547.51625277,215577.629053074,215577.629053074
"2",253330.749961945,253330.749961945,239130.923403255,239130.923403255,289629.965991251,289629.965991251,219187.34514653,219187.34514653,321567.0822623,321567.0822623,267598.188657137,267598.188657137,218482.358916574,218482.358916574,277791.501938188,277791.501938188,328459.765046862,328459.765046862,186034.736057389,186034.736057389,189508.090870851,189508.090870851,217646.766409581,217646.766409581,280082.283210168,280082.283210168,307563.110769677,307563.110769677,237057.130590289,237057.130590289,257494.444277394,257494.444277394,230267.607379049,230267.607379049,258554.692198123,258554.692198123,280854.890310265,280854.890310265,248980.501565839,248980.501565839
"3",259882.089846307,259882.089846307,226990.893718293,226990.893718293,310223.965404152,310223.965404152,316246.930149542,316246.930149542,214950.895863113,214950.895863113,208330.120075544,208330.120075544,243068.683461337,243068.683461337,218581.269037635,218581.269037635,223352.020591727,223352.020591727,272415.257991626,272415.257991626,263571.162181554,263571.162181554,235642.536803251,235642.536803251,242303.135996975,242303.135996975,254613.785258204,254613.785258204,296604.491282911,296604.491282911,231713.583495866,231713.583495866,274499.653504018,274499.653504018,236770.23645472,236770.23645472,269054.086377352,269054.086377352,225975.918201371,225975.918201371
"4",308488.806719526,308488.806719526,304547.284980022,304547.284980022,288992.891361491,288992.891361491,403542.649858716,403542.649858716,230878.112338741,230878.112338741,218186.073363042,218186.073363042,240945.602696849,240945.602696849,354287.987828588,354287.987828588,265909.549606516,265909.549606516,248991.782567693,248991.782567693,238281.89651865,238281.89651865,213579.251749343,213579.251749343,223671.918411793,223671.918411793,234885.241669256,234885.241669256,214588.193332724,214588.193332724,213076.60513661,213076.60513661,227391.022015651,227391.022015651,245567.317539847,245567.317539847,221290.439815062,221290.439815062,259266.81913814,259266.81913814
"5",212294.584690056,212294.584690056,264591.275457424,264591.275457424,252434.324275959,252434.324275959,210820.321460033,210820.321460033,169989.219664206,169989.219664206,209928.127365097,209928.127365097,164376.451197296,164376.451197296,267041.679580522,267041.679580522,301645.718145807,301645.718145807,266979.646010729,266979.646010729,256752.134618456,256752.134618456,268932.248701988,268932.248701988,181552.395024185,181552.395024185,257636.581822568,257636.581822568,229289.478035535,229289.478035535,217169.283935537,217169.283935537,205236.760159835,205236.760159835,195817.859839655,195817.859839655,220173.185296131,220173.185296131,302404.966426117,302404.966426117
"6",270701.975989392,270701.975989392,293115.428864275,293115.428864275,319283.277335376,319283.277335376,219598.606813235,219598.606813235,256788.937240337,256788.937240337,273844.089529316,273844.089529316,193610.759455353,193610.759455353,230152.874248365,230152.874248365,266020.289156856,266020.289156856,182893.137592792,182893.137592792,217821.05896728,217821.05896728,228874.738299103,228874.738299103,246206.217275251,246206.217275251,196484.154977002,196484.154977002,221423.000776227,221423.000776227,220795.912020585,220795.912020585,201143.32840818,201143.32840818,225265.763746807,225265.763746807,240523.478963619,240523.478963619,242123.273698436,242123.273698436
"7",163302.863112206,163302.863112206,207088.54794415,207088.54794415,169422.794854412,169422.794854412,238463.177082126,238463.177082126,222365.652881886,222365.652881886,222933.440603749,222933.440603749,201756.720179612,201756.720179612,305429.452984455,305429.452984455,285041.759932641,285041.759932641,189514.857980806,189514.857980806,228815.939473717,228815.939473717,265739.823008993,265739.823008993,225952.319085299,225952.319085299,223439.088417542,223439.088417542,308529.2451808,308529.2451808,269451.88887898,269451.88887898,200703.50709573,200703.50709573,258350.443138983,258350.443138983,208983.827789842,208983.827789842,265619.09673459,265619.09673459
"8",138443.549951503,138443.549951503,291823.563796851,291823.563796851,221362.509454025,221362.509454025,259845.623450826,259845.623450826,343697.836037131,343697.836037131,251963.187435554,251963.187435554,232002.569455866,232002.569455866,228447.073129978,228447.073129978,263660.902391181,263660.902391181,308388.59915807,308388.59915807,223041.679532409,223041.679532409,254772.820056533,254772.820056533,239150.433977864,239150.433977864,199537.714278282,199537.714278282,253285.4854592,253285.4854592,230397.297853749,230397.297853749,271764.937827324,271764.937827324,239295.825204875,239295.825204875,257206.655439063,257206.655439063,218834.121628442,218834.121628442
"9",291157.946566174,291157.946566174,224336.96220845,224336.96220845,188422.929534819,188422.929534819,296492.898453911,296492.898453911,211740.147287574,211740.147287574,322922.09623887,322922.09623887,246597.982851679,246597.982851679,256276.623841927,256276.623841927,321026.292579524,321026.292579524,243075.388887434,243075.388887434,282011.265080294,282011.265080294,237507.899373104,237507.899373104,274808.851194079,274808.851194079,285024.318775513,285024.318775513,255455.250873556,255455.250873556,204649.345370045,204649.345370045,237813.297240472,237813.297240472,225762.829751652,225762.829751652,272656.480481681,272656.480481681,242936.971977115,242936.971977115
"10",360914.274242241,360914.274242241,388865.303623148,388865.303623148,221402.184577768,221402.184577768,212928.166588581,212928.166588581,253667.497668864,253667.497668864,276744.750709667,276744.750709667,262396.784035639,262396.784035639,216856.505243829,216856.505243829,294240.637160554,294240.637160554,297753.813257891,297753.813257891,292750.458228933,292750.458228933,248146.323521904,248146.323521904,262838.740959675,262838.740959675,297851.573563594,297851.573563594,215042.46852882,215042.46852882,211558.55914643,211558.55914643,268320.319633956,268320.319633956,258704.729717393,258704.729717393,265056.198811969,265056.198811969,278570.376718982,278570.376718982
