"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",43820.0299257078,43820.0299257078,195851.789304056,195851.789304056,295167.319866151,295167.319866151,279694.154377933,279694.154377933,249449.319404636,249449.319404636,225347.84980148,225347.84980148,192509.118285772,192509.118285772,318627.757571661,318627.757571661,212930.840272744,212930.840272744,234699.448082871,234699.448082871,217547.65621739,217547.65621739,232988.500039709,232988.500039709,273051.10636571,273051.10636571,207577.576836887,207577.576836887,243990.168146783,243990.168146783,178878.194371191,178878.194371191,257760.366875231,257760.366875231,262480.260770016,262480.260770016,182819.227573537,182819.227573537,305103.520239798,305103.520239798
"2",53213.9174209813,53213.9174209813,151228.018143881,151228.018143881,258016.730152641,258016.730152641,269066.799203485,269066.799203485,228976.867784318,228976.867784318,218750.984175214,218750.984175214,222340.704976094,222340.704976094,246114.593494093,246114.593494093,286808.03903132,286808.03903132,243174.198032605,243174.198032605,286282.980725188,286282.980725188,262808.894251754,262808.894251754,195498.84031122,195498.84031122,227924.180667949,227924.180667949,218847.99306267,218847.99306267,273875.104929398,273875.104929398,254268.810916143,254268.810916143,212227.530736154,212227.530736154,233763.120838278,233763.120838278,275822.941227235,275822.941227235
"3",52363.8283516068,52363.8283516068,386677.410718356,386677.410718356,183473.368420999,183473.368420999,165317.054134774,165317.054134774,194196.425832308,194196.425832308,251629.526793889,251629.526793889,172654.351257143,172654.351257143,245591.513996487,245591.513996487,321177.774805334,321177.774805334,168694.996539803,168694.996539803,245324.877477866,245324.877477866,198130.681155586,198130.681155586,302489.603628041,302489.603628041,213866.756458435,213866.756458435,236012.598497284,236012.598497284,237250.133034927,237250.133034927,255478.254388647,255478.254388647,273611.307084205,273611.307084205,221522.68626857,221522.68626857,277111.470854281,277111.470854281
"4",74998.7179728372,74998.7179728372,206608.457488926,206608.457488926,317779.119139878,317779.119139878,194296.095506274,194296.095506274,327572.564828948,327572.564828948,239883.897322551,239883.897322551,334052.255233718,334052.255233718,220984.958102252,220984.958102252,363391.957204626,363391.957204626,234024.049685002,234024.049685002,325791.700875832,325791.700875832,320898.200813687,320898.200813687,264948.656482207,264948.656482207,260633.158444717,260633.158444717,257032.981439192,257032.981439192,286716.134943435,286716.134943435,195581.306877179,195581.306877179,204379.011938144,204379.011938144,252490.946981173,252490.946981173,208119.978549765,208119.978549765
"5",40568.4841735523,40568.4841735523,244583.461187443,244583.461187443,161307.211368746,161307.211368746,466404.891130592,466404.891130592,213881.836465361,213881.836465361,399297.504983584,399297.504983584,226295.867138158,226295.867138158,262032.618875087,262032.618875087,158535.983612844,158535.983612844,296023.472793875,296023.472793875,234082.517192219,234082.517192219,191291.309688267,191291.309688267,255964.253450824,255964.253450824,260862.980818617,260862.980818617,258861.62341569,258861.62341569,168587.089024611,168587.089024611,286501.81126432,286501.81126432,247728.114274949,247728.114274949,241868.285693007,241868.285693007,279883.169912812,279883.169912812
"6",55392.3475274507,55392.3475274507,430786.412866904,430786.412866904,261333.200690938,261333.200690938,196208.692077634,196208.692077634,260284.979582681,260284.979582681,253664.460461222,253664.460461222,165316.181743227,165316.181743227,251155.578053565,251155.578053565,261358.615944328,261358.615944328,197431.95454685,197431.95454685,272541.596729981,272541.596729981,299343.004293772,299343.004293772,259619.882778567,259619.882778567,234184.090104312,234184.090104312,211414.826047888,211414.826047888,193285.349740221,193285.349740221,227968.40388752,227968.40388752,227415.738321129,227415.738321129,231796.288581796,231796.288581796,216683.535523943,216683.535523943
"7",85668.521746178,85668.521746178,243251.12952036,243251.12952036,272492.061990294,272492.061990294,256340.473307519,256340.473307519,262697.011276777,262697.011276777,233781.897232051,233781.897232051,254970.638791194,254970.638791194,238258.289290243,238258.289290243,234636.538240069,234636.538240069,226685.388889755,226685.388889755,178862.967484708,178862.967484708,383099.331526837,383099.331526837,221397.104895511,221397.104895511,249838.256394096,249838.256394096,227244.960231894,227244.960231894,195904.419232746,195904.419232746,375015.817883988,375015.817883988,256705.05980917,256705.05980917,220209.791374792,220209.791374792,235988.47748204,235988.47748204
"8",70302.851063256,70302.851063256,210951.087197109,210951.087197109,140379.212506501,140379.212506501,340720.709771684,340720.709771684,287078.246002533,287078.246002533,296248.62696769,296248.62696769,261493.838726475,261493.838726475,286106.364516692,286106.364516692,191207.548698174,191207.548698174,202640.949764723,202640.949764723,349877.175829685,349877.175829685,222099.187261278,222099.187261278,253612.259200578,253612.259200578,245406.49318243,245406.49318243,274832.768927955,274832.768927955,212181.289592625,212181.289592625,200063.109468906,200063.109468906,253469.035175695,253469.035175695,276614.099764564,276614.099764564,258808.507070971,258808.507070971
"9",48557.0248370153,48557.0248370153,203136.449267398,203136.449267398,219139.57522445,219139.57522445,250722.590911977,250722.590911977,198507.828782025,198507.828782025,252345.440300344,252345.440300344,256077.172154161,256077.172154161,268414.730140329,268414.730140329,248531.56007997,248531.56007997,242058.96165192,242058.96165192,229754.651458027,229754.651458027,218054.53693781,218054.53693781,260608.433464773,260608.433464773,213258.983642329,213258.983642329,285983.818138764,285983.818138764,305103.132461087,305103.132461087,264438.024944936,264438.024944936,198614.597139044,198614.597139044,200629.494245471,200629.494245471,298610.750238342,298610.750238342
"10",33158.4018549066,33158.4018549066,180565.876241105,180565.876241105,330429.387399574,330429.387399574,191106.910611417,191106.910611417,145443.582896326,145443.582896326,224180.380595779,224180.380595779,176283.146051067,176283.146051067,183148.507000226,183148.507000226,159981.872116913,159981.872116913,346134.895347374,346134.895347374,159606.289403063,159606.289403063,314880.704929998,314880.704929998,263110.78601226,263110.78601226,244102.938307488,244102.938307488,298911.807701452,298911.807701452,224419.260659724,224419.260659724,223537.533802413,223537.533802413,281280.333888172,281280.333888172,225235.671077478,225235.671077478,258805.541180621,258805.541180621
