"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",446412.677910897,446412.677910897,239545.174162999,239545.174162999,320446.815553252,320446.815553252,227012.016241878,227012.016241878,211405.537001307,211405.537001307,285668.018681047,285668.018681047,257427.299115222,257427.299115222,317613.536280821,317613.536280821,223192.068288739,223192.068288739,238555.660118542,238555.660118542,282588.746626424,282588.746626424,250211.930886425,250211.930886425,223862.838591307,223862.838591307,260692.660115329,260692.660115329,244912.02437758,244912.02437758,255511.376552205,255511.376552205,240605.303855168,240605.303855168,250267.320789776,250267.320789776,275971.474746092,275971.474746092,262880.545253983,262880.545253983
"2",179702.225031609,179702.225031609,236081.287326334,236081.287326334,240103.695673049,240103.695673049,274813.850420734,274813.850420734,338492.012818294,338492.012818294,223130.571197074,223130.571197074,219121.496007155,219121.496007155,222307.591856381,222307.591856381,201703.785663623,201703.785663623,259391.177571474,259391.177571474,206430.460420637,206430.460420637,211597.465442258,211597.465442258,210687.792795666,210687.792795666,229171.717963942,229171.717963942,290308.515003384,290308.515003384,225156.734037104,225156.734037104,246166.952438696,246166.952438696,226006.282692153,226006.282692153,241986.07711135,241986.07711135,284933.730022707,284933.730022707
"3",451840.953346091,451840.953346091,193837.093197889,193837.093197889,324496.576625645,324496.576625645,248732.518124396,248732.518124396,232075.550426521,232075.550426521,214847.128308213,214847.128308213,250743.411377716,250743.411377716,301628.294979347,301628.294979347,236409.359342445,236409.359342445,231664.109153117,231664.109153117,196366.989827682,196366.989827682,248479.164671706,248479.164671706,254067.149532427,254067.149532427,251041.82146399,251041.82146399,230989.465484012,230989.465484012,245374.72320547,245374.72320547,151279.093218378,151279.093218378,217884.233258105,217884.233258105,231133.445439241,231133.445439241,264142.824130114,264142.824130114
"4",430161.373798066,430161.373798066,244073.503545423,244073.503545423,292474.516509266,292474.516509266,270906.605061593,270906.605061593,268452.084855178,268452.084855178,261557.442784096,261557.442784096,197971.927331108,197971.927331108,280558.686802215,280558.686802215,378385.584500023,378385.584500023,215820.568840118,215820.568840118,222155.804108327,222155.804108327,219975.7629914,219975.7629914,294887.144340471,294887.144340471,253106.016431686,253106.016431686,269221.503005829,269221.503005829,257185.488270148,257185.488270148,298004.971641516,298004.971641516,257325.436969595,257325.436969595,246526.118279151,246526.118279151,321464.957512295,321464.957512295
"5",330803.702228825,330803.702228825,200980.349477713,200980.349477713,254948.89897217,254948.89897217,293378.764330148,293378.764330148,230828.008954472,230828.008954472,226365.818232441,226365.818232441,241725.124831049,241725.124831049,224194.929004192,224194.929004192,232292.978885807,232292.978885807,238664.94380481,238664.94380481,225596.446731874,225596.446731874,291239.810719419,291239.810719419,248209.97098954,248209.97098954,255465.403046122,255465.403046122,203003.788604756,203003.788604756,287598.959099453,287598.959099453,323374.09720289,323374.09720289,253016.386184088,253016.386184088,276403.276835032,276403.276835032,307554.882420536,307554.882420536
"6",514584.98439131,514584.98439131,221529.052496323,221529.052496323,275601.281136209,275601.281136209,225459.717653367,225459.717653367,301367.665365613,301367.665365613,256331.538400269,256331.538400269,245630.304331951,245630.304331951,214367.846839941,214367.846839941,235361.315540821,235361.315540821,263405.669380157,263405.669380157,214636.756335558,214636.756335558,360032.082316797,360032.082316797,335024.899896488,335024.899896488,256731.412721856,256731.412721856,257331.886035987,257331.886035987,273154.521859584,273154.521859584,250755.555365854,250755.555365854,236869.062299875,236869.062299875,225666.607543771,225666.607543771,222559.310671972,222559.310671972
"7",262933.609707572,262933.609707572,194579.605139197,194579.605139197,185133.052729149,185133.052729149,240248.077457236,240248.077457236,289082.66792554,289082.66792554,251553.461656308,251553.461656308,284670.380480257,284670.380480257,245469.502043575,245469.502043575,177570.470587163,177570.470587163,220260.116755197,220260.116755197,224915.410237765,224915.410237765,268299.75777175,268299.75777175,230660.392479697,230660.392479697,232229.273823565,232229.273823565,238029.278796694,238029.278796694,257758.260799109,257758.260799109,241364.739900194,241364.739900194,297769.100924135,297769.100924135,222505.66671092,222505.66671092,239030.85629467,239030.85629467
"8",254292.670987125,254292.670987125,324493.709148921,324493.709148921,228350.496450013,228350.496450013,260496.975911371,260496.975911371,287187.837366617,287187.837366617,185186.804581242,185186.804581242,223825.101399612,223825.101399612,242765.688247455,242765.688247455,240841.281242657,240841.281242657,269923.81479073,269923.81479073,179811.00593488,179811.00593488,248407.703638236,248407.703638236,258940.321790599,258940.321790599,242973.764394839,242973.764394839,283535.297845474,283535.297845474,238755.572483056,238755.572483056,245539.745850646,245539.745850646,218758.998580415,218758.998580415,255448.890649528,255448.890649528,221855.304574818,221855.304574818
"9",377572.997682822,377572.997682822,213131.426249675,213131.426249675,242563.918853097,242563.918853097,249077.277172126,249077.277172126,265540.534492919,265540.534492919,326408.505808713,326408.505808713,220283.47501877,220283.47501877,239890.965313196,239890.965313196,209722.064627308,209722.064627308,233722.183784535,233722.183784535,300387.506147449,300387.506147449,265069.34607639,265069.34607639,253916.447720762,253916.447720762,236363.803980211,236363.803980211,241165.534146993,241165.534146993,233077.201401691,233077.201401691,239915.006013132,239915.006013132,264220.984414998,264220.984414998,246929.698447057,246929.698447057,291058.482960172,291058.482960172
"10",305652.097963392,305652.097963392,241272.800516755,241272.800516755,283668.659325119,283668.659325119,248058.128787726,248058.128787726,297054.605515303,297054.605515303,244653.645901662,244653.645901662,246433.096393872,246433.096393872,234098.086000207,234098.086000207,330871.394736595,330871.394736595,242820.442094603,242820.442094603,282751.098050712,282751.098050712,221149.037048014,221149.037048014,225339.118451625,225339.118451625,361701.506172838,361701.506172838,228535.629703083,228535.629703083,228467.894349437,228467.894349437,218957.123617426,218957.123617426,255820.276868026,255820.276868026,266762.503567624,266762.503567624,246506.916911853,246506.916911853
