"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",97974.0780831313,97974.0780831313,86665.7602608793,86665.7602608793,421337.158764573,421337.158764573,801520.980705748,801520.980705748,1626480.79268201,1626480.79268201,809432.394595218,809432.394595218,585294.853191134,585294.853191134,616692.300996646,616692.300996646,628150.998884263,628150.998884263,436958.267950426,436958.267950426,360560.847992136,360560.847992136,414587.164604323,414587.164604323,244571.006399278,244571.006399278,202326.886448645,202326.886448645,117557.739808479,117557.739808479,56805.5668136823,56805.5668136823,46710.358454517,46710.358454517,40754.8577728672,40754.8577728672,54213.0146364357,54213.0146364357,52112.9451150769,52112.9451150769
"2",44559.1571779489,44559.1571779489,129177.529380812,129177.529380812,398518.70663546,398518.70663546,954737.697361638,954737.697361638,693955.558851092,693955.558851092,823000.94817143,823000.94817143,627972.210752007,627972.210752007,1319359.31801223,1319359.31801223,493610.050554085,493610.050554085,708804.971024542,708804.971024542,520873.936913873,520873.936913873,352021.90954765,352021.90954765,284299.39800902,284299.39800902,271598.44333239,271598.44333239,140766.196903512,140766.196903512,72283.6048124027,72283.6048124027,43219.7429993478,43219.7429993478,39353.5291837154,39353.5291837154,75984.4224050236,75984.4224050236,66714.7874614347,66714.7874614347
"3",53305.4217329403,53305.4217329403,128687.549651927,128687.549651927,960141.357110205,960141.357110205,686398.730006651,686398.730006651,1288729.66248278,1288729.66248278,946946.711991198,946946.711991198,944861.802680647,944861.802680647,502603.099949167,502603.099949167,684366.493661965,684366.493661965,382352.619660367,382352.619660367,481188.97278257,481188.97278257,291025.211336043,291025.211336043,352104.232727079,352104.232727079,163663.788646414,163663.788646414,112801.951177397,112801.951177397,68270.9220941852,68270.9220941852,32933.9944285425,32933.9944285425,57600.433253431,57600.433253431,45700.8568475605,45700.8568475605,79507.2624991327,79507.2624991327
"4",69298.0432852948,69298.0432852948,205239.957979025,205239.957979025,463110.700679674,463110.700679674,1310841.69391151,1310841.69391151,542649.059281431,542649.059281431,867720.357392286,867720.357392286,935730.972249751,935730.972249751,686146.661542557,686146.661542557,640500.600166069,640500.600166069,896954.429402779,896954.429402779,558440.729878665,558440.729878665,328779.823261646,328779.823261646,326887.625413542,326887.625413542,198174.368263302,198174.368263302,128617.779057842,128617.779057842,79036.4921215705,79036.4921215705,46441.1050766619,46441.1050766619,49667.3382768933,49667.3382768933,52591.1047859261,52591.1047859261,82676.8128139485,82676.8128139485
"5",43984.9243863579,43984.9243863579,549586.776837013,549586.776837013,269575.709756742,269575.709756742,1086930.61432356,1086930.61432356,828715.237300833,828715.237300833,903249.144609353,903249.144609353,882400.142458107,882400.142458107,1092648.18204272,1092648.18204272,425933.718588633,425933.718588633,789044.985007254,789044.985007254,506114.818116675,506114.818116675,313044.659492095,313044.659492095,221994.964071684,221994.964071684,180190.70521956,180190.70521956,131895.608771019,131895.608771019,55850.9261046058,55850.9261046058,33155.4339678341,33155.4339678341,51729.5671459613,51729.5671459613,49531.8144996141,49531.8144996141,55931.801892642,55931.801892642
"6",55258.7925438098,55258.7925438098,153051.887430613,153051.887430613,481693.805563984,481693.805563984,1084271.01731917,1084271.01731917,906397.583470499,906397.583470499,3168930.01254827,3168930.01254827,825243.945732274,825243.945732274,901092.053485399,901092.053485399,849607.034990399,849607.034990399,549392.564640214,549392.564640214,451424.434362851,451424.434362851,336859.985540565,336859.985540565,333815.852441465,333815.852441465,217579.340529107,217579.340529107,128020.977897254,128020.977897254,90474.7834364974,90474.7834364974,57205.0258565999,57205.0258565999,37966.6301460461,37966.6301460461,44591.4065460407,44591.4065460407,51490.3535257363,51490.3535257363
"7",67511.3135169291,67511.3135169291,135953.161028399,135953.161028399,640235.386904878,640235.386904878,822405.075239452,822405.075239452,647172.120765746,647172.120765746,1007885.26777308,1007885.26777308,924410.23939389,924410.23939389,506566.466746476,506566.466746476,624941.970505913,624941.970505913,486453.776135688,486453.776135688,558064.27021074,558064.27021074,284935.886562674,284935.886562674,272935.404689054,272935.404689054,178161.437389717,178161.437389717,112771.97469729,112771.97469729,72721.5059090068,72721.5059090068,47569.8692788674,47569.8692788674,50952.4027334824,50952.4027334824,49081.9001853681,49081.9001853681,56283.0454595814,56283.0454595814
"8",75107.3438488512,75107.3438488512,208848.492832403,208848.492832403,311908.834187195,311908.834187195,1699503.36610121,1699503.36610121,1342956.2256251,1342956.2256251,829854.237675455,829854.237675455,822230.680259014,822230.680259014,751348.289198427,751348.289198427,949379.017968626,949379.017968626,361411.497299536,361411.497299536,458607.82112034,458607.82112034,442333.795988147,442333.795988147,295202.842815971,295202.842815971,233065.491728596,233065.491728596,169522.141125473,169522.141125473,77000.5454507348,77000.5454507348,58184.5115431123,58184.5115431123,43884.9370265725,43884.9370265725,45082.9376894555,45082.9376894555,52118.258605901,52118.258605901
"9",38457.6838795151,38457.6838795151,133087.96808795,133087.96808795,477552.899176996,477552.899176996,1461569.32741399,1461569.32741399,1869624.29078331,1869624.29078331,1516827.99489522,1516827.99489522,1133621.78338506,1133621.78338506,881814.33687549,881814.33687549,585873.038965324,585873.038965324,598998.770883771,598998.770883771,499561.843224327,499561.843224327,353314.509006624,353314.509006624,271208.73818109,271208.73818109,189156.228567597,189156.228567597,130667.75835348,130667.75835348,76539.4412059143,76539.4412059143,41637.7550243303,41637.7550243303,51728.281218121,51728.281218121,46322.9482581765,46322.9482581765,59378.0425425803,59378.0425425803
"10",75347.706169586,75347.706169586,199261.585054701,199261.585054701,442222.068993056,442222.068993056,2403409.33239978,2403409.33239978,955215.690465963,955215.690465963,1331127.10935211,1331127.10935211,919291.558579947,919291.558579947,907685.157005576,907685.157005576,734219.02623884,734219.02623884,381810.138441018,381810.138441018,393114.193069684,393114.193069684,355897.722004495,355897.722004495,349582.24385417,349582.24385417,163255.370931026,163255.370931026,105778.878466895,105778.878466895,55605.7301944811,55605.7301944811,47615.0798204882,47615.0798204882,51959.5666208613,51959.5666208613,80234.4802474333,80234.4802474333,110089.3940016,110089.3940016
