"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",169579.663201419,169579.663201419,169579.663201419,169579.663201419,26461.0093576012,26461.0093576012,26461.0093576012,26461.0093576012,32976.9311476837,32976.9311476837,32976.9311476837,32976.9311476837,18876.1000432907,18876.1000432907,18876.1000432907,18876.1000432907,41069.8114093435,41069.8114093435,41069.8114093435,41069.8114093435,23416.3048044313,23416.3048044313,23416.3048044313,23416.3048044313,21737.4212028504,21737.4212028504,21737.4212028504,21737.4212028504,106702.652412628,106702.652412628,106702.652412628,106702.652412628,546577.140243605,546577.140243605,546577.140243605,546577.140243605,94635.9936087846,94635.9936087846,94635.9936087846,94635.9936087846
"2",238327.611619029,238327.611619029,238327.611619029,238327.611619029,30397.7277552527,30397.7277552527,30397.7277552527,30397.7277552527,20135.2476527926,20135.2476527926,20135.2476527926,20135.2476527926,24103.4485050501,24103.4485050501,24103.4485050501,24103.4485050501,21030.1865249338,21030.1865249338,21030.1865249338,21030.1865249338,28810.8470108985,28810.8470108985,28810.8470108985,28810.8470108985,15364.7952193795,15364.7952193795,15364.7952193795,15364.7952193795,529418.894701049,529418.894701049,529418.894701049,529418.894701049,102082.566926704,102082.566926704,102082.566926704,102082.566926704,476962.951385485,476962.951385485,476962.951385485,476962.951385485
"3",371166.062685935,371166.062685935,371166.062685935,371166.062685935,48063.9056565237,48063.9056565237,48063.9056565237,48063.9056565237,21791.0413387536,21791.0413387536,21791.0413387536,21791.0413387536,24527.9007872894,24527.9007872894,24527.9007872894,24527.9007872894,18458.6009144692,18458.6009144692,18458.6009144692,18458.6009144692,13000.9678622622,13000.9678622622,13000.9678622622,13000.9678622622,27453.3776233735,27453.3776233735,27453.3776233735,27453.3776233735,322108.284235822,322108.284235822,322108.284235822,322108.284235822,418862.632176792,418862.632176792,418862.632176792,418862.632176792,230770.394671428,230770.394671428,230770.394671428,230770.394671428
"4",518692.283741813,518692.283741813,518692.283741813,518692.283741813,33639.7609723747,33639.7609723747,33639.7609723747,33639.7609723747,28005.241592681,28005.241592681,28005.241592681,28005.241592681,25375.4510967676,25375.4510967676,25375.4510967676,25375.4510967676,38660.5471366225,38660.5471366225,38660.5471366225,38660.5471366225,31426.9890448459,31426.9890448459,31426.9890448459,31426.9890448459,32675.1023394369,32675.1023394369,32675.1023394369,32675.1023394369,437153.799079375,437153.799079375,437153.799079375,437153.799079375,442664.579659361,442664.579659361,442664.579659361,442664.579659361,259820.472186813,259820.472186813,259820.472186813,259820.472186813
"5",82720.9419450178,82720.9419450178,82720.9419450178,82720.9419450178,127368.903989894,127368.903989894,127368.903989894,127368.903989894,29888.2517800005,29888.2517800005,29888.2517800005,29888.2517800005,15649.9989795177,15649.9989795177,15649.9989795177,15649.9989795177,21530.3807202113,21530.3807202113,21530.3807202113,21530.3807202113,17228.8531866036,17228.8531866036,17228.8531866036,17228.8531866036,21081.8787626919,21081.8787626919,21081.8787626919,21081.8787626919,21009.1904848388,21009.1904848388,21009.1904848388,21009.1904848388,60625.2970670218,60625.2970670218,60625.2970670218,60625.2970670218,170236.730331142,170236.730331142,170236.730331142,170236.730331142
"6",876549.375976798,876549.375976798,876549.375976798,876549.375976798,38787.0093769151,38787.0093769151,38787.0093769151,38787.0093769151,24757.7056935173,24757.7056935173,24757.7056935173,24757.7056935173,19444.8668933165,19444.8668933165,19444.8668933165,19444.8668933165,23874.2051682659,23874.2051682659,23874.2051682659,23874.2051682659,19317.918370456,19317.918370456,19317.918370456,19317.918370456,16175.1644665844,16175.1644665844,16175.1644665844,16175.1644665844,183105.488503911,183105.488503911,183105.488503911,183105.488503911,123825.355950358,123825.355950358,123825.355950358,123825.355950358,524307.080689061,524307.080689061,524307.080689061,524307.080689061
"7",147483.083868243,147483.083868243,147483.083868243,147483.083868243,31289.4235124425,31289.4235124425,31289.4235124425,31289.4235124425,24954.8690089297,24954.8690089297,24954.8690089297,24954.8690089297,28560.4239433532,28560.4239433532,28560.4239433532,28560.4239433532,37523.5190173519,37523.5190173519,37523.5190173519,37523.5190173519,37995.1700252955,37995.1700252955,37995.1700252955,37995.1700252955,21043.7181634908,21043.7181634908,21043.7181634908,21043.7181634908,45677.1691369021,45677.1691369021,45677.1691369021,45677.1691369021,483090.958719897,483090.958719897,483090.958719897,483090.958719897,274313.690744243,274313.690744243,274313.690744243,274313.690744243
"8",226741.363669094,226741.363669094,226741.363669094,226741.363669094,38049.1336001868,38049.1336001868,38049.1336001868,38049.1336001868,27946.7835394848,27946.7835394848,27946.7835394848,27946.7835394848,20454.2418067511,20454.2418067511,20454.2418067511,20454.2418067511,34710.8068937651,34710.8068937651,34710.8068937651,34710.8068937651,31412.2577612944,31412.2577612944,31412.2577612944,31412.2577612944,29562.9396774175,29562.9396774175,29562.9396774175,29562.9396774175,196913.048099291,196913.048099291,196913.048099291,196913.048099291,515104.991033844,515104.991033844,515104.991033844,515104.991033844,214476.754353254,214476.754353254,214476.754353254,214476.754353254
"9",703076.350540617,703076.350540617,703076.350540617,703076.350540617,34643.0326713714,34643.0326713714,34643.0326713714,34643.0326713714,32143.0252786533,32143.0252786533,32143.0252786533,32143.0252786533,22456.8438278923,22456.8438278923,22456.8438278923,22456.8438278923,20040.413337078,20040.413337078,20040.413337078,20040.413337078,27242.6024721703,27242.6024721703,27242.6024721703,27242.6024721703,11672.1064086863,11672.1064086863,11672.1064086863,11672.1064086863,80418.4509370197,80418.4509370197,80418.4509370197,80418.4509370197,2041383.72354493,2041383.72354493,2041383.72354493,2041383.72354493,211899.914065546,211899.914065546,211899.914065546,211899.914065546
"10",1193038.00311815,1193038.00311815,1193038.00311815,1193038.00311815,26662.2818952637,26662.2818952637,26662.2818952637,26662.2818952637,28029.929238946,28029.929238946,28029.929238946,28029.929238946,32021.1708832608,32021.1708832608,32021.1708832608,32021.1708832608,23592.8523043905,23592.8523043905,23592.8523043905,23592.8523043905,17667.2236772345,17667.2236772345,17667.2236772345,17667.2236772345,64324.0738326954,64324.0738326954,64324.0738326954,64324.0738326954,262335.705241304,262335.705241304,262335.705241304,262335.705241304,282626.415944404,282626.415944404,282626.415944404,282626.415944404,371740.504463526,371740.504463526,371740.504463526,371740.504463526
