"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",381864.872745229,381864.872745229,381864.872745229,381864.872745229,463294.708798724,463294.708798724,463294.708798724,463294.708798724,719563.745856259,719563.745856259,719563.745856259,719563.745856259,471640.390808519,471640.390808519,471640.390808519,471640.390808519,1385452.22796863,1385452.22796863,1385452.22796863,1385452.22796863,501584.034257256,501584.034257256,501584.034257256,501584.034257256,520841.344892613,520841.344892613,520841.344892613,520841.344892613,538131.145815138,538131.145815138,538131.145815138,538131.145815138,325305.193516402,325305.193516402,325305.193516402,325305.193516402,572132.6615652,572132.6615652,572132.6615652,572132.6615652
"2",385705.356980994,385705.356980994,385705.356980994,385705.356980994,13418612.6764525,13418612.6764525,13418612.6764525,13418612.6764525,519913.606600867,519913.606600867,519913.606600867,519913.606600867,2827531.95068551,2827531.95068551,2827531.95068551,2827531.95068551,220626.419220235,220626.419220235,220626.419220235,220626.419220235,943706.216953584,943706.216953584,943706.216953584,943706.216953584,2945941.82973316,2945941.82973316,2945941.82973316,2945941.82973316,501992.8880564,501992.8880564,501992.8880564,501992.8880564,666592.300654751,666592.300654751,666592.300654751,666592.300654751,2829497.87104442,2829497.87104442,2829497.87104442,2829497.87104442
"3",28714107.4388497,28714107.4388497,28714107.4388497,28714107.4388497,45803662.9689308,45803662.9689308,45803662.9689308,45803662.9689308,52201280.578545,52201280.578545,52201280.578545,52201280.578545,36838255.4676448,36838255.4676448,36838255.4676448,36838255.4676448,43686451.2149875,43686451.2149875,43686451.2149875,43686451.2149875,20736283.0752131,20736283.0752131,20736283.0752131,20736283.0752131,4448145.6969884,4448145.6969884,4448145.6969884,4448145.6969884,27128877.9937936,27128877.9937936,27128877.9937936,27128877.9937936,717414.179304664,717414.179304664,717414.179304664,717414.179304664,6096176.15303593,6096176.15303593,6096176.15303593,6096176.15303593
"4",867427.49806408,867427.49806408,867427.49806408,867427.49806408,331157.662924919,331157.662924919,331157.662924919,331157.662924919,3877358.89933152,3877358.89933152,3877358.89933152,3877358.89933152,941649.390393406,941649.390393406,941649.390393406,941649.390393406,3247546.33348186,3247546.33348186,3247546.33348186,3247546.33348186,1832039.18267386,1832039.18267386,1832039.18267386,1832039.18267386,1039490.7754252,1039490.7754252,1039490.7754252,1039490.7754252,1726571.6614032,1726571.6614032,1726571.6614032,1726571.6614032,304275.180813309,304275.180813309,304275.180813309,304275.180813309,240308.369506685,240308.369506685,240308.369506685,240308.369506685
"5",104550.920108387,104550.920108387,104550.920108387,104550.920108387,199225.574041231,199225.574041231,199225.574041231,199225.574041231,90659.634950529,90659.634950529,90659.634950529,90659.634950529,150052.859988407,150052.859988407,150052.859988407,150052.859988407,291927.257109349,291927.257109349,291927.257109349,291927.257109349,374099.75092521,374099.75092521,374099.75092521,374099.75092521,638795.616497903,638795.616497903,638795.616497903,638795.616497903,176416.78958525,176416.78958525,176416.78958525,176416.78958525,232884.801295532,232884.801295532,232884.801295532,232884.801295532,150720.753836672,150720.753836672,150720.753836672,150720.753836672
"6",51909782.9319437,51909782.9319437,51909782.9319437,51909782.9319437,400736716.924686,400736716.924686,400736716.924686,400736716.924686,282983608.484437,282983608.484437,282983608.484437,282983608.484437,189417566.993324,189417566.993324,189417566.993324,189417566.993324,382799493.286914,382799493.286914,382799493.286914,382799493.286914,315586137.496517,315586137.496517,315586137.496517,315586137.496517,23136871.4209958,23136871.4209958,23136871.4209958,23136871.4209958,63890855.853976,63890855.853976,63890855.853976,63890855.853976,11859054.4609458,11859054.4609458,11859054.4609458,11859054.4609458,10822283.3973813,10822283.3973813,10822283.3973813,10822283.3973813
"7",3746139553.00811,3746139553.00811,3746139553.00811,3746139553.00811,2429173822.85627,2429173822.85627,2429173822.85627,2429173822.85627,1778094255.59047,1778094255.59047,1778094255.59047,1778094255.59047,1297814014.00366,1297814014.00366,1297814014.00366,1297814014.00366,214465643.554337,214465643.554337,214465643.554337,214465643.554337,1566399450.03818,1566399450.03818,1566399450.03818,1566399450.03818,723955819.566918,723955819.566918,723955819.566918,723955819.566918,91042262.507492,91042262.507492,91042262.507492,91042262.507492,1304625087.43295,1304625087.43295,1304625087.43295,1304625087.43295,4944805.98493077,4944805.98493077,4944805.98493077,4944805.98493077
"8",441265566.634284,441265566.634284,441265566.634284,441265566.634284,309658021.660415,309658021.660415,309658021.660415,309658021.660415,257725947.61018,257725947.61018,257725947.61018,257725947.61018,181057772.428939,181057772.428939,181057772.428939,181057772.428939,23715468.5889142,23715468.5889142,23715468.5889142,23715468.5889142,1174406.42446475,1174406.42446475,1174406.42446475,1174406.42446475,946208706.069086,946208706.069086,946208706.069086,946208706.069086,339424053.850403,339424053.850403,339424053.850403,339424053.850403,39910301.2514232,39910301.2514232,39910301.2514232,39910301.2514232,104519313.865308,104519313.865308,104519313.865308,104519313.865308
"9",3649218.14828875,3649218.14828875,3649218.14828875,3649218.14828875,2520773.60004337,2520773.60004337,2520773.60004337,2520773.60004337,13291170.8770595,13291170.8770595,13291170.8770595,13291170.8770595,2895335.34949364,2895335.34949364,2895335.34949364,2895335.34949364,2656185.6328445,2656185.6328445,2656185.6328445,2656185.6328445,7556204.81102911,7556204.81102911,7556204.81102911,7556204.81102911,4596716.20026847,4596716.20026847,4596716.20026847,4596716.20026847,2184951.98728966,2184951.98728966,2184951.98728966,2184951.98728966,503514.92881038,503514.92881038,503514.92881038,503514.92881038,1932464.40525222,1932464.40525222,1932464.40525222,1932464.40525222
"10",1143455.99790565,1143455.99790565,1143455.99790565,1143455.99790565,829371.814247442,829371.814247442,829371.814247442,829371.814247442,362808.176810427,362808.176810427,362808.176810427,362808.176810427,1381987.01184364,1381987.01184364,1381987.01184364,1381987.01184364,810269.613151676,810269.613151676,810269.613151676,810269.613151676,384133.177538328,384133.177538328,384133.177538328,384133.177538328,1372713.67475542,1372713.67475542,1372713.67475542,1372713.67475542,268929.055580993,268929.055580993,268929.055580993,268929.055580993,349141.296150808,349141.296150808,349141.296150808,349141.296150808,447324.893585432,447324.893585432,447324.893585432,447324.893585432
