"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",166566.621966806,166566.621966806,166566.621966806,166566.621966806,134916.636543523,134916.636543523,134916.636543523,134916.636543523,1441493.42553112,1441493.42553112,1441493.42553112,1441493.42553112,324789.620706601,324789.620706601,324789.620706601,324789.620706601,200262.856449616,200262.856449616,200262.856449616,200262.856449616,187224.505901774,187224.505901774,187224.505901774,187224.505901774,1706275.36287712,1706275.36287712,1706275.36287712,1706275.36287712,3187032.23479436,3187032.23479436,3187032.23479436,3187032.23479436,1218487.78024566,1218487.78024566,1218487.78024566,1218487.78024566,607076.643858288,607076.643858288,607076.643858288,607076.643858288
"2",91606.042462378,91606.042462378,91606.042462378,91606.042462378,62490.725528901,62490.725528901,62490.725528901,62490.725528901,614253.348204517,614253.348204517,614253.348204517,614253.348204517,1074654.33667096,1074654.33667096,1074654.33667096,1074654.33667096,381226.507968239,381226.507968239,381226.507968239,381226.507968239,719256.209922186,719256.209922186,719256.209922186,719256.209922186,202606.439819613,202606.439819613,202606.439819613,202606.439819613,275113.556910326,275113.556910326,275113.556910326,275113.556910326,211935.606164063,211935.606164063,211935.606164063,211935.606164063,121069.587831017,121069.587831017,121069.587831017,121069.587831017
"3",294757.790519664,294757.790519664,294757.790519664,294757.790519664,836630.732057657,836630.732057657,836630.732057657,836630.732057657,3396439.27593021,3396439.27593021,3396439.27593021,3396439.27593021,3990937.18744538,3990937.18744538,3990937.18744538,3990937.18744538,1766700.07441695,1766700.07441695,1766700.07441695,1766700.07441695,4550380.08967151,4550380.08967151,4550380.08967151,4550380.08967151,4638860.68327516,4638860.68327516,4638860.68327516,4638860.68327516,3489936.32571357,3489936.32571357,3489936.32571357,3489936.32571357,1621633.81146525,1621633.81146525,1621633.81146525,1621633.81146525,136106.164306528,136106.164306528,136106.164306528,136106.164306528
"4",1911573.9836884,1911573.9836884,1911573.9836884,1911573.9836884,72373.9136263494,72373.9136263494,72373.9136263494,72373.9136263494,539515.386818736,539515.386818736,539515.386818736,539515.386818736,103636.436631913,103636.436631913,103636.436631913,103636.436631913,4403648.92151548,4403648.92151548,4403648.92151548,4403648.92151548,2769194.40420672,2769194.40420672,2769194.40420672,2769194.40420672,583146.944335774,583146.944335774,583146.944335774,583146.944335774,8334296.53617065,8334296.53617065,8334296.53617065,8334296.53617065,15991389.1103985,15991389.1103985,15991389.1103985,15991389.1103985,6041791.88456595,6041791.88456595,6041791.88456595,6041791.88456595
"5",584846.039258125,584846.039258125,584846.039258125,584846.039258125,200112.657294622,200112.657294622,200112.657294622,200112.657294622,27147615.7961067,27147615.7961067,27147615.7961067,27147615.7961067,6736673.4478148,6736673.4478148,6736673.4478148,6736673.4478148,10148968.6682988,10148968.6682988,10148968.6682988,10148968.6682988,889384.800378894,889384.800378894,889384.800378894,889384.800378894,2165495.10682028,2165495.10682028,2165495.10682028,2165495.10682028,31026784.4207717,31026784.4207717,31026784.4207717,31026784.4207717,4496238.20353988,4496238.20353988,4496238.20353988,4496238.20353988,688221.922574144,688221.922574144,688221.922574144,688221.922574144
"6",22047.8144909666,22047.8144909666,22047.8144909666,22047.8144909666,87437.1166792342,87437.1166792342,87437.1166792342,87437.1166792342,65380.8837887989,65380.8837887989,65380.8837887989,65380.8837887989,23966.0029629904,23966.0029629904,23966.0029629904,23966.0029629904,163396.414303086,163396.414303086,163396.414303086,163396.414303086,187646.88265989,187646.88265989,187646.88265989,187646.88265989,178709.053114275,178709.053114275,178709.053114275,178709.053114275,136190.642629529,136190.642629529,136190.642629529,136190.642629529,91533.9584432627,91533.9584432627,91533.9584432627,91533.9584432627,93765.6674523781,93765.6674523781,93765.6674523781,93765.6674523781
"7",37579.5720707465,37579.5720707465,37579.5720707465,37579.5720707465,479476.13381882,479476.13381882,479476.13381882,479476.13381882,244777.6418138,244777.6418138,244777.6418138,244777.6418138,721355.577608633,721355.577608633,721355.577608633,721355.577608633,986772.738964269,986772.738964269,986772.738964269,986772.738964269,810822.075214096,810822.075214096,810822.075214096,810822.075214096,1292433.29679275,1292433.29679275,1292433.29679275,1292433.29679275,261144.317947717,261144.317947717,261144.317947717,261144.317947717,758279.743722034,758279.743722034,758279.743722034,758279.743722034,1041848.59787431,1041848.59787431,1041848.59787431,1041848.59787431
"8",11386.6810023151,11386.6810023151,11386.6810023151,11386.6810023151,749210.480729523,749210.480729523,749210.480729523,749210.480729523,9060.96255025373,9060.96255025373,9060.96255025373,9060.96255025373,5618953.67476323,5618953.67476323,5618953.67476323,5618953.67476323,170330.11583617,170330.11583617,170330.11583617,170330.11583617,2558583.12944237,2558583.12944237,2558583.12944237,2558583.12944237,4956237.43534943,4956237.43534943,4956237.43534943,4956237.43534943,7381377.92745395,7381377.92745395,7381377.92745395,7381377.92745395,5622979.95815211,5622979.95815211,5622979.95815211,5622979.95815211,3043323.20852627,3043323.20852627,3043323.20852627,3043323.20852627
"9",181961.732763988,181961.732763988,181961.732763988,181961.732763988,33794.7789485027,33794.7789485027,33794.7789485027,33794.7789485027,349951.838338415,349951.838338415,349951.838338415,349951.838338415,1838003.76241008,1838003.76241008,1838003.76241008,1838003.76241008,2015376.01407375,2015376.01407375,2015376.01407375,2015376.01407375,8274652.96786908,8274652.96786908,8274652.96786908,8274652.96786908,512199.876914105,512199.876914105,512199.876914105,512199.876914105,1053300.89499692,1053300.89499692,1053300.89499692,1053300.89499692,460630.146251347,460630.146251347,460630.146251347,460630.146251347,1323268.58178837,1323268.58178837,1323268.58178837,1323268.58178837
"10",403958.823987249,403958.823987249,403958.823987249,403958.823987249,2099821.23106624,2099821.23106624,2099821.23106624,2099821.23106624,12018000.6154669,12018000.6154669,12018000.6154669,12018000.6154669,690856547.631317,690856547.631317,690856547.631317,690856547.631317,408061242.364235,408061242.364235,408061242.364235,408061242.364235,10058049.2402348,10058049.2402348,10058049.2402348,10058049.2402348,22770867.6703199,22770867.6703199,22770867.6703199,22770867.6703199,31116350.7493257,31116350.7493257,31116350.7493257,31116350.7493257,24403052.483495,24403052.483495,24403052.483495,24403052.483495,73055816.4955207,73055816.4955207,73055816.4955207,73055816.4955207
