"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",832883.991110157,832883.991110157,832883.991110157,832883.991110157,1535861.85312177,1535861.85312177,1535861.85312177,1535861.85312177,83004.7127016573,83004.7127016573,83004.7127016573,83004.7127016573,5032266.77476657,5032266.77476657,5032266.77476657,5032266.77476657,301139.249157054,301139.249157054,301139.249157054,301139.249157054,1057136.00158892,1057136.00158892,1057136.00158892,1057136.00158892,1133119.05547288,1133119.05547288,1133119.05547288,1133119.05547288,184229.363863085,184229.363863085,184229.363863085,184229.363863085,20761.4202598215,20761.4202598215,20761.4202598215,20761.4202598215,43469.930266484,43469.930266484,43469.930266484,43469.930266484
"2",166987398.95433,166987398.95433,166987398.95433,166987398.95433,4031534897.16785,4031534897.16785,4031534897.16785,4031534897.16785,382393534.427268,382393534.427268,382393534.427268,382393534.427268,24449419.8953074,24449419.8953074,24449419.8953074,24449419.8953074,8092768604.63075,8092768604.63075,8092768604.63075,8092768604.63075,2774584.51037267,2774584.51037267,2774584.51037267,2774584.51037267,809276.860463075,809276.860463075,809276.860463075,809276.860463075,161195465.224485,161195465.224485,161195465.224485,161195465.224485,748746849.974155,748746849.974155,748746849.974155,748746849.974155,3975741.54155147,3975741.54155147,3975741.54155147,3975741.54155147
"3",64692486.0851157,64692486.0851157,64692486.0851157,64692486.0851157,72066673.6936012,72066673.6936012,72066673.6936012,72066673.6936012,167079740.909578,167079740.909578,167079740.909578,167079740.909578,105320222.324082,105320222.324082,105320222.324082,105320222.324082,670849346.192115,670849346.192115,670849346.192115,670849346.192115,2184699.25285322,2184699.25285322,2184699.25285322,2184699.25285322,369620921.117742,369620921.117742,369620921.117742,369620921.117742,4517167.55880687,4517167.55880687,4517167.55880687,4517167.55880687,467610.118344022,467610.118344022,467610.118344022,467610.118344022,67084.9346192115,67084.9346192115,67084.9346192115,67084.9346192115
"4",70360204.8564707,70360204.8564707,70360204.8564707,70360204.8564707,56232364.3159082,56232364.3159082,56232364.3159082,56232364.3159082,191854428.204206,191854428.204206,191854428.204206,191854428.204206,100252221.10121,100252221.10121,100252221.10121,100252221.10121,432731.981167109,432731.981167109,432731.981167109,432731.981167109,46876.6958384433,46876.6958384433,46876.6958384433,46876.6958384433,50388362.1806017,50388362.1806017,50388362.1806017,50388362.1806017,2121164.54740735,2121164.54740735,2121164.54740735,2121164.54740735,6456845.03984356,6456845.03984356,6456845.03984356,6456845.03984356,14214485.7244728,14214485.7244728,14214485.7244728,14214485.7244728
"5",126378.94872759,126378.94872759,126378.94872759,126378.94872759,8496265.20796612,8496265.20796612,8496265.20796612,8496265.20796612,15485729.3223475,15485729.3223475,15485729.3223475,15485729.3223475,1591220.22794071,1591220.22794071,1591220.22794071,1591220.22794071,473911.795799225,473911.795799225,473911.795799225,473911.795799225,286584.202582919,286584.202582919,286584.202582919,286584.202582919,55581.9282511566,55581.9282511566,55581.9282511566,55581.9282511566,1142760.35907582,1142760.35907582,1142760.35907582,1142760.35907582,61935.2866491697,61935.2866491697,61935.2866491697,61935.2866491697,20751.8813496875,20751.8813496875,20751.8813496875,20751.8813496875
"6",3958354.30550059,3958354.30550059,3958354.30550059,3958354.30550059,37047886.4995853,37047886.4995853,37047886.4995853,37047886.4995853,20637443.0689132,20637443.0689132,20637443.0689132,20637443.0689132,19004.5786563223,19004.5786563223,19004.5786563223,19004.5786563223,99666376.5064895,99666376.5064895,99666376.5064895,99666376.5064895,99666376.5064895,99666376.5064895,99666376.5064895,99666376.5064895,186757.159465433,186757.159465433,186757.159465433,186757.159465433,132927.593789697,132927.593789697,132927.593789697,132927.593789697,878769.304178004,878769.304178004,878769.304178004,878769.304178004,224220.819647962,224220.819647962,224220.819647962,224220.819647962
"7",424237.468592911,424237.468592911,424237.468592911,424237.468592911,973935.215681676,973935.215681676,973935.215681676,973935.215681676,27464.5245193156,27464.5245193156,27464.5245193156,27464.5245193156,506204.472733462,506204.472733462,506204.472733462,506204.472733462,297818.853959606,297818.853959606,297818.853959606,297818.853959606,386628.606020777,386628.606020777,386628.606020777,386628.606020777,244681.583145261,244681.583145261,244681.583145261,244681.583145261,91249.0350365678,91249.0350365678,91249.0350365678,91249.0350365678,29711.3932239447,29711.3932239447,29711.3932239447,29711.3932239447,68935.0326356906,68935.0326356906,68935.0326356906,68935.0326356906
"8",15842630.4050425,15842630.4050425,15842630.4050425,15842630.4050425,1012537.38447671,1012537.38447671,1012537.38447671,1012537.38447671,698143020.326736,698143020.326736,698143020.326736,698143020.326736,13592156.2379779,13592156.2379779,13592156.2379779,13592156.2379779,733314752.131037,733314752.131037,733314752.131037,733314752.131037,418347161.051779,418347161.051779,418347161.051779,418347161.051779,74621.2075650413,74621.2075650413,74621.2075650413,74621.2075650413,45219344.8399382,45219344.8399382,45219344.8399382,45219344.8399382,3827828.72378398,3827828.72378398,3827828.72378398,3827828.72378398,23069545.6614502,23069545.6614502,23069545.6614502,23069545.6614502
"9",15984969.9989427,15984969.9989427,15984969.9989427,15984969.9989427,19115198.936485,19115198.936485,19115198.936485,19115198.936485,1697432.90499713,1697432.90499713,1697432.90499713,1697432.90499713,1399119.68018163,1399119.68018163,1399119.68018163,1399119.68018163,1066114.09473402,1066114.09473402,1066114.09473402,1066114.09473402,43315856.4043731,43315856.4043731,43315856.4043731,43315856.4043731,576247.038015442,576247.038015442,576247.038015442,576247.038015442,165424.429990435,165424.429990435,165424.429990435,165424.429990435,453914.562758492,453914.562758492,453914.562758492,453914.562758492,1990684.50147592,1990684.50147592,1990684.50147592,1990684.50147592
"10",26661453.4203855,26661453.4203855,26661453.4203855,26661453.4203855,686525.812890537,686525.812890537,686525.812890537,686525.812890537,105079605.898794,105079605.898794,105079605.898794,105079605.898794,240675708.216214,240675708.216214,240675708.216214,240675708.216214,84209254.2113371,84209254.2113371,84209254.2113371,84209254.2113371,8595148.90077409,8595148.90077409,8595148.90077409,8595148.90077409,2809595.42300437,2809595.42300437,2809595.42300437,2809595.42300437,50824854.940613,50824854.940613,50824854.940613,50824854.940613,25043.3140228004,25043.3140228004,25043.3140228004,25043.3140228004,176054.99430735,176054.99430735,176054.99430735,176054.99430735
