"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",35266600.9986161,35266600.9986161,35266600.9986161,35266600.9986161,8655574.75493656,8655574.75493656,8655574.75493656,8655574.75493656,6566217.84898531,6566217.84898531,6566217.84898531,6566217.84898531,41779436.1106736,41779436.1106736,41779436.1106736,41779436.1106736,5142480.57047782,5142480.57047782,5142480.57047782,5142480.57047782,16964028.9166282,16964028.9166282,16964028.9166282,16964028.9166282,7937662.6549396,7937662.6549396,7937662.6549396,7937662.6549396,1830642217.32568,1830642217.32568,1830642217.32568,1830642217.32568,225000992.705467,225000992.705467,225000992.705467,225000992.705467,690511807.373001,690511807.373001,690511807.373001,690511807.373001
"2",1305762.84305319,1305762.84305319,1305762.84305319,1305762.84305319,296965.418700618,296965.418700618,296965.418700618,296965.418700618,268050.068969941,268050.068969941,268050.068969941,268050.068969941,138209.811447073,138209.811447073,138209.811447073,138209.811447073,321737.222655243,321737.222655243,321737.222655243,321737.222655243,401252.951115979,401252.951115979,401252.951115979,401252.951115979,4098004.19034195,4098004.19034195,4098004.19034195,4098004.19034195,4976186.42196909,4976186.42196909,4976186.42196909,4976186.42196909,1647252.81620042,1647252.81620042,1647252.81620042,1647252.81620042,1990623.60148205,1990623.60148205,1990623.60148205,1990623.60148205
"3",661506.505985976,661506.505985976,661506.505985976,661506.505985976,786738.97575352,786738.97575352,786738.97575352,786738.97575352,591934.234010275,591934.234010275,591934.234010275,591934.234010275,323594.763024595,323594.763024595,323594.763024595,323594.763024595,486746.419332865,486746.419332865,486746.419332865,486746.419332865,1538905.09563803,1538905.09563803,1538905.09563803,1538905.09563803,1344168.37882553,1344168.37882553,1344168.37882553,1344168.37882553,11266924.1152814,11266924.1152814,11266924.1152814,11266924.1152814,2638015.80690489,2638015.80690489,2638015.80690489,2638015.80690489,6236184.90017088,6236184.90017088,6236184.90017088,6236184.90017088
"4",28127432.8358859,28127432.8358859,28127432.8358859,28127432.8358859,4248850.81574886,4248850.81574886,4248850.81574886,4248850.81574886,4337114.17989476,4337114.17989476,4337114.17989476,4337114.17989476,2974726.95498428,2974726.95498428,2974726.95498428,2974726.95498428,4109198.98054417,4109198.98054417,4109198.98054417,4109198.98054417,10496019.104285,10496019.104285,10496019.104285,10496019.104285,2005240.67807328,2005240.67807328,2005240.67807328,2005240.67807328,184771369.9022,184771369.9022,184771369.9022,184771369.9022,194840074.49407,194840074.49407,194840074.49407,194840074.49407,138585673.379396,138585673.379396,138585673.379396,138585673.379396
"5",69069355.8065691,69069355.8065691,69069355.8065691,69069355.8065691,32283718.8557675,32283718.8557675,32283718.8557675,32283718.8557675,29211709.2380891,29211709.2380891,29211709.2380891,29211709.2380891,10913989.7190723,10913989.7190723,10913989.7190723,10913989.7190723,2443762.91411571,2443762.91411571,2443762.91411571,2443762.91411571,19368529.0383489,19368529.0383489,19368529.0383489,19368529.0383489,62160344.3299678,62160344.3299678,62160344.3299678,62160344.3299678,1099302328.46331,1099302328.46331,1099302328.46331,1099302328.46331,515301546.629632,515301546.629632,515301546.629632,515301546.629632,5076265.85599562,5076265.85599562,5076265.85599562,5076265.85599562
"6",436693.244623068,436693.244623068,436693.244623068,436693.244623068,113841.936609894,113841.936609894,113841.936609894,113841.936609894,1162631.2496096,1162631.2496096,1162631.2496096,1162631.2496096,95056.5897322557,95056.5897322557,95056.5897322557,95056.5897322557,2210077.65438437,2210077.65438437,2210077.65438437,2210077.65438437,903834.23731957,903834.23731957,903834.23731957,903834.23731957,1835049.44854304,1835049.44854304,1835049.44854304,1835049.44854304,11954973.5373616,11954973.5373616,11954973.5373616,11954973.5373616,30285606.9051975,30285606.9051975,30285606.9051975,30285606.9051975,41730935.0100906,41730935.0100906,41730935.0100906,41730935.0100906
"7",121144.301604812,121144.301604812,121144.301604812,121144.301604812,122213.402866337,122213.402866337,122213.402866337,122213.402866337,218803.472813208,218803.472813208,218803.472813208,218803.472813208,281510.204949583,281510.204949583,281510.204949583,281510.204949583,176186.419085397,176186.419085397,176186.419085397,176186.419085397,744294.519668159,744294.519668159,744294.519668159,744294.519668159,759512.593152275,759512.593152275,759512.593152275,759512.593152275,1096758.17150085,1096758.17150085,1096758.17150085,1096758.17150085,806467.444614811,806467.444614811,806467.444614811,806467.444614811,1178329.42439545,1178329.42439545,1178329.42439545,1178329.42439545
"8",4830479.38082455,4830479.38082455,4830479.38082455,4830479.38082455,1697942.53693918,1697942.53693918,1697942.53693918,1697942.53693918,776420.734901742,776420.734901742,776420.734901742,776420.734901742,194147.803748518,194147.803748518,194147.803748518,194147.803748518,1379931.53577799,1379931.53577799,1379931.53577799,1379931.53577799,2384017.35788449,2384017.35788449,2384017.35788449,2384017.35788449,20205435.1906394,20205435.1906394,20205435.1906394,20205435.1906394,18060924.7523272,18060924.7523272,18060924.7523272,18060924.7523272,22047614.1386371,22047614.1386371,22047614.1386371,22047614.1386371,32398276.7884504,32398276.7884504,32398276.7884504,32398276.7884504
"9",40394674.297409,40394674.297409,40394674.297409,40394674.297409,7269633.50618355,7269633.50618355,7269633.50618355,7269633.50618355,596432.750790513,596432.750790513,596432.750790513,596432.750790513,1126807.99138168,1126807.99138168,1126807.99138168,1126807.99138168,4530311.41469788,4530311.41469788,4530311.41469788,4530311.41469788,10914788.8719275,10914788.8719275,10914788.8719275,10914788.8719275,35409850.2184693,35409850.2184693,35409850.2184693,35409850.2184693,92903441.6959715,92903441.6959715,92903441.6959715,92903441.6959715,92599017.3473939,92599017.3473939,92599017.3473939,92599017.3473939,24753578.2487088,24753578.2487088,24753578.2487088,24753578.2487088
"10",410910.151342542,410910.151342542,410910.151342542,410910.151342542,110818.915165786,110818.915165786,110818.915165786,110818.915165786,130467.061593798,130467.061593798,130467.061593798,130467.061593798,147009.395059785,147009.395059785,147009.395059785,147009.395059785,136983.884605828,136983.884605828,136983.884605828,136983.884605828,456742.412518638,456742.412518638,456742.412518638,456742.412518638,625557.094429228,625557.094429228,625557.094429228,625557.094429228,801887.432534285,801887.432534285,801887.432534285,801887.432534285,536970.078239899,536970.078239899,536970.078239899,536970.078239899,852383.685585888,852383.685585888,852383.685585888,852383.685585888
