"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",820290455512.248,820290455512.248,820290455512.248,820290455512.248,229315901462.147,229315901462.147,229315901462.147,229315901462.147,14656600749801.6,14656600749801.6,14656600749801.6,14656600749801.6,3633435950766.44,3633435950766.44,3633435950766.44,3633435950766.44,18312262326152.1,18312262326152.1,18312262326152.1,18312262326152.1,529886627426.632,529886627426.632,529886627426.632,529886627426.632,4488396524471.8,4488396524471.8,4488396524471.8,4488396524471.8,1344608931783.72,1344608931783.72,1344608931783.72,1344608931783.72,9461383640.38136,9461383640.38136,9461383640.38136,9461383640.38136,20706612029.1015,20706612029.1015,20706612029.1015,20706612029.1015
"2",163698939.646005,163698939.646005,163698939.646005,163698939.646005,377788805.777562,377788805.777562,377788805.777562,377788805.777562,442774610.119792,442774610.119792,442774610.119792,442774610.119792,459562665.618758,459562665.618758,459562665.618758,459562665.618758,13102461400.1978,13102461400.1978,13102461400.1978,13102461400.1978,9410057453.1316,9410057453.1316,9410057453.1316,9410057453.1316,4615367741.68959,4615367741.68959,4615367741.68959,4615367741.68959,1256725862.89114,1256725862.89114,1256725862.89114,1256725862.89114,59799512.152813,59799512.152813,59799512.152813,59799512.152813,39199000.7660962,39199000.7660962,39199000.7660962,39199000.7660962
"3",451385.3771981,451385.3771981,451385.3771981,451385.3771981,2470495.24496102,2470495.24496102,2470495.24496102,2470495.24496102,26481717.2988977,26481717.2988977,26481717.2988977,26481717.2988977,9072695.94343376,9072695.94343376,9072695.94343376,9072695.94343376,3770242.91214113,3770242.91214113,3770242.91214113,3770242.91214113,6400949.62036631,6400949.62036631,6400949.62036631,6400949.62036631,4941004.27883498,4941004.27883498,4941004.27883498,4941004.27883498,2555215.82962043,2555215.82962043,2555215.82962043,2555215.82962043,576052.219105709,576052.219105709,576052.219105709,576052.219105709,396860.270835363,396860.270835363,396860.270835363,396860.270835363
"4",493423.674900902,493423.674900902,493423.674900902,493423.674900902,1795782.02366766,1795782.02366766,1795782.02366766,1795782.02366766,7449078.73891648,7449078.73891648,7449078.73891648,7449078.73891648,4673012.14032806,4673012.14032806,4673012.14032806,4673012.14032806,1398168.632915,1398168.632915,1398168.632915,1398168.632915,6065493.03780929,6065493.03780929,6065493.03780929,6065493.03780929,4352040.34337118,4352040.34337118,4352040.34337118,4352040.34337118,1030468.79707629,1030468.79707629,1030468.79707629,1030468.79707629,557740.895460941,557740.895460941,557740.895460941,557740.895460941,242056.446038221,242056.446038221,242056.446038221,242056.446038221
"5",1462002.20130714,1462002.20130714,1462002.20130714,1462002.20130714,7931434.66785701,7931434.66785701,7931434.66785701,7931434.66785701,46720067.9731546,46720067.9731546,46720067.9731546,46720067.9731546,21601890.4760097,21601890.4760097,21601890.4760097,21601890.4760097,8880803.97186569,8880803.97186569,8880803.97186569,8880803.97186569,15558988.0888961,15558988.0888961,15558988.0888961,15558988.0888961,10144234.6658561,10144234.6658561,10144234.6658561,10144234.6658561,2930421.83388037,2930421.83388037,2930421.83388037,2930421.83388037,1734932.6019595,1734932.6019595,1734932.6019595,1734932.6019595,626094.606242296,626094.606242296,626094.606242296,626094.606242296
"6",37002.3253907749,37002.3253907749,37002.3253907749,37002.3253907749,526634.484570893,526634.484570893,526634.484570893,526634.484570893,911690.097658629,911690.097658629,911690.097658629,911690.097658629,318042.030708507,318042.030708507,318042.030708507,318042.030708507,1511699.10695151,1511699.10695151,1511699.10695151,1511699.10695151,1128676.35313067,1128676.35313067,1128676.35313067,1128676.35313067,1282434.36234048,1282434.36234048,1282434.36234048,1282434.36234048,1201502.37178236,1201502.37178236,1201502.37178236,1201502.37178236,389222.429855433,389222.429855433,389222.429855433,389222.429855433,138034.671375645,138034.671375645,138034.671375645,138034.671375645
"7",5106687.47606356,5106687.47606356,5106687.47606356,5106687.47606356,28044875.040411,28044875.040411,28044875.040411,28044875.040411,225249309.758805,225249309.758805,225249309.758805,225249309.758805,115071227.565738,115071227.565738,115071227.565738,115071227.565738,244911148.615,244911148.615,244911148.615,244911148.615,76252215.7406521,76252215.7406521,76252215.7406521,76252215.7406521,45485428.9046821,45485428.9046821,45485428.9046821,45485428.9046821,10723105.9524575,10723105.9524575,10723105.9524575,10723105.9524575,2626098.83127104,2626098.83127104,2626098.83127104,2626098.83127104,1612169.03891613,1612169.03891613,1612169.03891613,1612169.03891613
"8",4592981166868.05,4592981166868.05,4592981166868.05,4592981166868.05,2858809057327.67,2858809057327.67,2858809057327.67,2858809057327.67,4044536531812.8,4044536531812.8,4044536531812.8,4044536531812.8,1791916420090.04,1791916420090.04,1791916420090.04,1791916420090.04,12852092075349.9,12852092075349.9,12852092075349.9,12852092075349.9,45271233225478.6,45271233225478.6,45271233225478.6,45271233225478.6,6802499723192.37,6802499723192.37,6802499723192.37,6802499723192.37,5234541325546.64,5234541325546.64,5234541325546.64,5234541325546.64,7300735184.64889,7300735184.64889,7300735184.64889,7300735184.64889,108732913240.501,108732913240.501,108732913240.501,108732913240.501
"9",7007324231.32391,7007324231.32391,7007324231.32391,7007324231.32391,34400230299.9695,34400230299.9695,34400230299.9695,34400230299.9695,309376748605.245,309376748605.245,309376748605.245,309376748605.245,304721373860.433,304721373860.433,304721373860.433,304721373860.433,542038736817.193,542038736817.193,542038736817.193,542038736817.193,284789615150.155,284789615150.155,284789615150.155,284789615150.155,196936669324.766,196936669324.766,196936669324.766,196936669324.766,14425698773.7756,14425698773.7756,14425698773.7756,14425698773.7756,382744140.831181,382744140.831181,382744140.831181,382744140.831181,530868071.315721,530868071.315721,530868071.315721,530868071.315721
"10",215456295.367926,215456295.367926,215456295.367926,215456295.367926,1108251013.72183,1108251013.72183,1108251013.72183,1108251013.72183,11640220285.0435,11640220285.0435,11640220285.0435,11640220285.0435,4720720583.9455,4720720583.9455,4720720583.9455,4720720583.9455,526455602.413335,526455602.413335,526455602.413335,526455602.413335,828315046.271555,828315046.271555,828315046.271555,828315046.271555,581003399.618337,581003399.618337,581003399.618337,581003399.618337,20226444.5603703,20226444.5603703,20226444.5603703,20226444.5603703,307374740.260134,307374740.260134,307374740.260134,307374740.260134,74232841.6242673,74232841.6242673,74232841.6242673,74232841.6242673
