"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,11140.162857937,22569.7127236288,34304.0862450382,46359.9891409526,58755.5392397068,71510.4302562934,84646.120023978,98186.0476973848,112155.885448402,126583.831444267,141500.952509337,156941.586937092,172943.82058522,189550.052858636,206807.673747582,224769.879141652,243496.659757516,263056.010024676,283525.418381358,304993.721444966,327563.434168594,351353.710585918,376504.15170126,403179.76914235,431577.552889232,461935.308382058,494543.774303602,529763.600586618,568049.731469642,609987.442889932,656347.432030884,708173.490587316,766929.029827024,834757.322031584,914981.164334898,1013167.21203228,1139751.04347655,1318160.93347725,1623154.65492221
"2",0,11259.4394343869,22811.364313418,34671.3765636564,46856.3607702998,59384.6287474052,72276.0850685434,85552.4173137912,99237.315598387,113356.72696352,127939.1514913,143015.988635374,158621.944345792,174795.5122616,191579.545753775,209021.942212302,227176.467089688,246103.753417028,265872.523633178,286561.095837092,308259.257810688,331070.622124106,355115.618580988,380535.342879232,407496.573409076,436198.409301988,466881.20215648,499838.803564462,535435.724900376,574131.781443866,616518.515621376,663374.876391676,715755.831219764,775140.459967168,843694.982711064,924777.773432064,1024015.08903045,1151954.24052175,1332274.34684114,1640533.60465183
"3",0,10937.9763400151,22160.0875068092,33681.489983491,45518.5862912062,57689.1654318016,70212.563692492,83109.8494611956,96404.03648753,110120.331010604,124286.419419747,138932.804697197,154093.201919332,169805.005710953,186109.845956086,203054.252548288,220690.455907278,239077.357958268,258281.719077266,278379.621339078,299458.289035818,321618.376542628,344976.875327024,369670.85272831,395862.325523348,423744.708455566,453551.49095515,485568.134991904,520148.744943096,557740.008113084,598916.578071636,644435.164362842,695320.614559166,753009.779990968,819607.033978912,898374.867107454,994778.903594984,1119065.32301473,1294237.1926308,1593695.48166662
"4",0,10842.7945299497,21967.2513573662,33388.3950742802,45122.4854677874,57187.1567405894,69601.5769163426,82386.63104674,95565.1326167176,109162.068521752,123204.884225377,137723.817274161,152752.289357307,168327.369693164,184490.325904256,201287.282982966,218770.016842094,236996.916844782,256034.162421046,275957.173582684,296852.415599684,318819.66695705,341974.90106747,366453.992516026,392417.5482164,420057.29982506,449604.70495699,481342.74150394,515622.432441778,552886.57802073,593704.831199366,638827.316667154,689269.963816084,746457.120556674,812474.84804146,890557.24679905,986122.379415768,1109327.26364114,1282974.79501545,1579827.21061513
"5",0,11098.707887201,22485.7259101136,34176.4332735736,46187.473530753,58536.8970896034,71244.3243805178,84331.1333874934,97820.6760429586,111738.528987062,126112.785455524,140974.396666285,156357.573132562,172300.258986277,188844.69585493,206038.097380294,223933.461498482,242590.555687648,262077.121355222,282470.358588086,303858.773423252,326344.499333366,350046.246954006,375103.09780377,401679.449466212,429971.558878776,460216.346555816,492703.469278184,527792.234921736,565935.894778476,607717.546846506,653905.02037726,705538.222889464,764075.119979068,831651.008344988,911576.32026976,1009396.99631272,1135509.78176824,1313255.76973597,1617114.54315922
"6",0,11173.6860111676,22637.6298580238,34407.3146407352,46499.4963492008,58932.3473322092,71725.62056739,84900.838459258,98481.5106959098,112493.386702337,126964.749500146,141926.759400469,157413.858028119,173464.245849347,190120.449858022,207430.00265109,225446.260196056,244229.393734594,263847.602306112,284378.607528264,305911.513347,328549.143205024,352411.009696202,377637.13391439,404393.02404291,432876.262847146,463325.37137512,496031.963205024,531357.773543056,569759.115653114,611823.026694002,658322.523043202,710304.537389912,769236.88472212,837269.286890058,917734.540041002,1016216.05073691,1143180.80023706,1322127.56408391,1628039.07743091
"7",0,11086.4360186076,22460.8633877012,34138.6443072918,46136.4039277336,58472.172698598,71165.5493559198,84237.888246007,97712.5154809984,111614.979420889,125973.342238639,140818.520929353,156184.688179597,172109.746166373,188635.889810512,205810.280549546,223685.857719638,242322.322713898,261787.342037912,282158.030418236,303522.796030544,325983.659418246,349659.199958278,374688.345386464,401235.311511542,429496.138269184,459707.48421014,492158.685841056,527208.653750182,565310.138068456,607045.592061088,653181.995988822,704758.107542086,763230.280240684,830731.449780726,910568.388091632,1008280.90357263,1134254.24581127,1311803.69960317,1615326.49563372
"8",0,11071.320668267,22430.2400369248,34092.0993610178,46073.5011240146,58392.4511926036,71068.52158172,84123.0375229566,97579.2933254134,111462.802516213,125801.589008087,140626.52764362,155971.744518017,171875.090132101,188378.701877753,205529.67689216,223380.8823335,241991.938197446,261430.418732442,281773.333526104,303108.970217572,325539.210254498,349182.471341588,374177.491799292,400688.263542986,428910.55922566,459080.71473559,491487.672095326,526489.852551074,564539.388950014,606217.940435146,652291.44155916,703797.23376056,762189.684953162,829598.822768646,909326.910652718,1006906.20397813,1132707.79298622,1310015.1741957,1613124.14441328
"9",0,11117.7143178272,22524.2324997036,34234.9600872054,46266.5691354294,58637.1409634776,71366.3296015412,84475.5496432102,97988.1930108724,111929.880144427,126328.752388991,141215.813966168,156625.33397435,172595.32152442,189168.090582261,206390.935642552,224316.945399864,243005.98968358,262525.925907644,282954.08636334,304379.128653424,326903.361153128,350645.697788854,375745.458254966,402367.321664296,430707.881042416,461004.462627774,493547.219235686,528696.074053288,566905.054561068,608758.25730685,655024.826442278,706746.450317722,765383.5912812,833075.202706712,913137.385960274,1011125.57897115,1137454.33136014,1315504.70762457,1619883.83627799
"10",0,10870.6307196858,22023.6468350336,33474.1115099928,45238.3262746364,57333.9706031138,69780.2617282354,82598.1383188922,95810.4724279928,109442.31509868,123521.182253919,138077.38906769,153144.443031107,168759.508528555,184963.959126961,201804.038233202,219331.654681912,237605.347736462,256691.466726168,276665.625285026,297614.510661194,319638.157496228,342852.83693583,367394.77238943,393424.983089188,421135.692915114,450758.953692302,482578.469788156,516946.165343106,554305.977387362,595229.021322388,640467.347597024,691039.493750382,748373.464353496,814560.6760043,892843.531983582,988654.004411576,1112175.18666549,1286268.51507277,1583883.02573396
