"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",88066058.4359732,88066058.4359732,85705030.0691985,85705030.0691985,91812471.8110767,91812471.8110767,84278987.755844,84278987.755844,84676950.0226947,84676950.0226947,83935944.5530363,83935944.5530363,92336378.8570021,92336378.8570021,85496555.4676252,85496555.4676252,83040169.4454105,83040169.4454105,87560627.4649412,87560627.4649412,91093325.6798818,91093325.6798818,82265830.2382961,82265830.2382961,81295409.7383481,81295409.7383481,87599292.5595845,87599292.5595845,87164585.8431208,87164585.8431208,86700900.9602752,86700900.9602752,84091206.2252968,84091206.2252968,89173687.1968739,89173687.1968739,84599810.5646866,84599810.5646866,88206855.581223,88206855.581223
"2",94694058.6172069,94694058.6172069,81737438.5312815,81737438.5312815,82238901.9890964,82238901.9890964,90956384.0802551,90956384.0802551,88574685.9670221,88574685.9670221,94884600.2691311,94884600.2691311,83783720.0581698,83783720.0581698,83365656.260726,83365656.260726,86721773.2425524,86721773.2425524,86505686.9649061,86505686.9649061,89620767.1875998,89620767.1875998,91895103.118708,91895103.118708,85186726.6196059,85186726.6196059,84710993.9213224,84710993.9213224,82788902.0423305,82788902.0423305,85173814.3630086,85173814.3630086,87719086.278531,87719086.278531,84120104.7861977,84120104.7861977,85981557.878863,85981557.878863,92614407.004241,92614407.004241
"3",84118734.6101142,84118734.6101142,85425577.9530428,85425577.9530428,85383114.5989069,85383114.5989069,91792803.2229496,91792803.2229496,84325878.5221203,84325878.5221203,91373858.6256511,91373858.6256511,92148420.9719762,92148420.9719762,86001423.1961438,86001423.1961438,87023836.6878385,87023836.6878385,95901837.3219569,95901837.3219569,86348566.8318457,86348566.8318457,88207814.3978418,88207814.3978418,88975767.5227862,88975767.5227862,88692486.1020308,88692486.1020308,88642355.8322421,88642355.8322421,87316060.5476069,87316060.5476069,90663442.8433134,90663442.8433134,89793286.7330175,89793286.7330175,87226496.576383,87226496.576383,90642633.8260413,90642633.8260413
"4",99112296.7583196,99112296.7583196,89797525.9452139,89797525.9452139,83505586.1221,83505586.1221,83756892.6388362,83756892.6388362,88105770.0126464,88105770.0126464,86667790.5251951,86667790.5251951,88776766.6561184,88776766.6561184,78922533.6904923,78922533.6904923,84404388.0960011,84404388.0960011,90614536.1036106,90614536.1036106,93099984.8737115,93099984.8737115,89938979.2485193,89938979.2485193,89255833.4011422,89255833.4011422,85514644.762179,85514644.762179,87248117.4876883,87248117.4876883,87731894.9456719,87731894.9456719,85990659.4549406,85990659.4549406,85154151.5397157,85154151.5397157,85298594.5514712,85298594.5514712,92313932.6842712,92313932.6842712
"5",95440634.1166771,95440634.1166771,91601313.2605005,91601313.2605005,90798916.95145,90798916.95145,86339442.5533969,86339442.5533969,88710853.142511,88710853.142511,86256496.5485134,86256496.5485134,87033866.711816,87033866.711816,84790950.8878861,84790950.8878861,81425313.6226677,81425313.6226677,83456413.7737792,83456413.7737792,86421794.3580381,86421794.3580381,89582145.6460185,89582145.6460185,85624496.9754191,85624496.9754191,86335111.6915759,86335111.6915759,91659219.3964581,91659219.3964581,84492044.806036,84492044.806036,85526423.2647374,85526423.2647374,89813203.3045103,89813203.3045103,85451534.1064239,85451534.1064239,92371200.852466,92371200.852466
"6",84629729.0005817,84629729.0005817,84618325.4503199,84618325.4503199,92249357.7778675,92249357.7778675,94113259.0233009,94113259.0233009,88917294.4280481,88917294.4280481,85941831.2039262,85941831.2039262,90534873.233127,90534873.233127,93271874.3898601,93271874.3898601,90326717.0841162,90326717.0841162,93306361.4417711,93306361.4417711,87411164.5211481,87411164.5211481,82524648.4376467,82524648.4376467,89513028.9166909,89513028.9166909,89945824.6111648,89945824.6111648,81750634.3138869,81750634.3138869,90694757.6797234,90694757.6797234,84971248.7201604,84971248.7201604,88765544.7790743,88765544.7790743,84990873.932709,84990873.932709,93155338.6565943,93155338.6565943
"7",87818562.9659299,87818562.9659299,81896984.9471673,81896984.9471673,88945944.0702588,88945944.0702588,90472953.6619764,90472953.6619764,88261193.7602252,88261193.7602252,83968843.9699068,83968843.9699068,93462008.927195,93462008.927195,83580936.5333195,83580936.5333195,86840836.0060897,86840836.0060897,82059107.5935691,82059107.5935691,83359601.5473321,83359601.5473321,90765743.5760589,90765743.5760589,83576511.5395716,83576511.5395716,84057674.3071055,84057674.3071055,83051847.917768,83051847.917768,85184351.4839878,85184351.4839878,85733028.7482703,85733028.7482703,86153311.6075271,86153311.6075271,82025411.8700142,82025411.8700142,91994860.4110881,91994860.4110881
"8",85109848.5415278,85109848.5415278,92791991.5260416,92791991.5260416,87312205.8285104,87312205.8285104,87387542.7066763,87387542.7066763,89128255.9339095,89128255.9339095,87060160.1221332,87060160.1221332,82120379.6612428,82120379.6612428,86732662.0688951,86732662.0688951,88203321.8154379,88203321.8154379,83851652.8105585,83851652.8105585,88119805.0053427,88119805.0053427,83849147.6424543,83849147.6424543,91080120.3245407,91080120.3245407,85123890.659209,85123890.659209,87257933.3674913,87257933.3674913,85964585.0191135,85964585.0191135,86616755.2364335,86616755.2364335,90118002.1992486,90118002.1992486,87322539.5789121,87322539.5789121,87179368.2444631,87179368.2444631
"9",90393256.439681,90393256.439681,84130159.0299847,84130159.0299847,85011424.046685,85011424.046685,87893862.7629876,87893862.7629876,84090241.8385864,84090241.8385864,85320449.9164409,85320449.9164409,87545336.4566957,87545336.4566957,81395370.0694372,81395370.0694372,84089607.2455258,84089607.2455258,87593445.8924298,87593445.8924298,83802512.5441107,83802512.5441107,81233002.6285931,81233002.6285931,85676379.348998,85676379.348998,86020100.951257,86020100.951257,83476852.6979516,83476852.6979516,84041004.9031853,84041004.9031853,86147095.2153603,86147095.2153603,82600904.8025144,82600904.8025144,84443639.5899366,84443639.5899366,89525756.2931996,89525756.2931996
"10",107815480.890458,107815480.890458,81542927.9309808,81542927.9309808,85299141.3964369,85299141.3964369,93087403.7458796,93087403.7458796,87282826.3623305,87282826.3623305,82986215.9519735,82986215.9519735,79790504.334024,79790504.334024,88718236.6863593,88718236.6863593,85725418.354411,85725418.354411,84651359.985082,84651359.985082,86881767.1524312,86881767.1524312,88114824.3636864,88114824.3636864,85527658.73299,85527658.73299,87109357.0146055,87109357.0146055,90224784.06911,90224784.06911,83799622.0939389,83799622.0939389,82200293.4349009,82200293.4349009,88113339.7896747,88113339.7896747,84022173.0439715,84022173.0439715,92634241.1931709,92634241.1931709
