"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",56214609.7182212,56214609.7182212,367591177.325105,367591177.325105,375282348.701737,375282348.701737,246945777.942426,246945777.942426,204597334.028707,204597334.028707,146317664.209168,146317664.209168,106787919.028202,106787919.028202,73742613.3082819,73742613.3082819,38245608.3494057,38245608.3494057,20518048.7975731,20518048.7975731,17238927.5159349,17238927.5159349,17200971.8069864,17200971.8069864,18113347.3767829,18113347.3767829,19519872.9281045,19519872.9281045,20338262.0709837,20338262.0709837,22871914.4862259,22871914.4862259,25112748.6491004,25112748.6491004,28907412.6430543,28907412.6430543,42482756.9619998,42482756.9619998,52467215.2254461,52467215.2254461
"2",48371799.7236218,48371799.7236218,340109679.087645,340109679.087645,366030010.96193,366030010.96193,286439328.276717,286439328.276717,210452695.395438,210452695.395438,149650801.315946,149650801.315946,116512717.888895,116512717.888895,67176838.5251119,67176838.5251119,36860258.5656272,36860258.5656272,19979684.2292597,19979684.2292597,18590848.5946451,18590848.5946451,18130292.6605193,18130292.6605193,19334136.7981101,19334136.7981101,20241253.8647126,20241253.8647126,23109115.7228575,23109115.7228575,25172921.9598967,25172921.9598967,27272609.966307,27272609.966307,29352140.3616245,29352140.3616245,38549986.8106739,38549986.8106739,56364313.3093562,56364313.3093562
"3",39068966.4534516,39068966.4534516,319884224.844582,319884224.844582,316655685.891933,316655685.891933,289435313.878857,289435313.878857,203430519.085711,203430519.085711,141816543.27606,141816543.27606,118248676.346395,118248676.346395,73053886.0963679,73053886.0963679,44992254.0712297,44992254.0712297,22380379.768237,22380379.768237,17503964.7403601,17503964.7403601,18300034.2417065,18300034.2417065,17482151.1482208,17482151.1482208,20815513.682533,20815513.682533,20128031.728222,20128031.728222,21778836.5564338,21778836.5564338,22958287.821522,22958287.821522,28566512.7249735,28566512.7249735,37791187.5116933,37791187.5116933,46909728.1664536,46909728.1664536
"4",44069983.023899,44069983.023899,317645598.194874,317645598.194874,380908805.230343,380908805.230343,286710035.598023,286710035.598023,187519573.483301,187519573.483301,156166242.496352,156166242.496352,116916198.395033,116916198.395033,79166562.5298781,79166562.5298781,45033737.2717766,45033737.2717766,24009004.0930557,24009004.0930557,16054341.0685907,16054341.0685907,16850151.1081908,16850151.1081908,17620548.5194967,17620548.5194967,18624871.9577958,18624871.9577958,19737376.0077801,19737376.0077801,20866404.2465982,20866404.2465982,25779233.1112612,25779233.1112612,26624401.5460273,26624401.5460273,34231606.8341364,34231606.8341364,49175873.4185305,49175873.4185305
"5",51104036.0440345,51104036.0440345,358969424.110668,358969424.110668,301100838.469563,301100838.469563,242654447.781111,242654447.781111,187016230.938708,187016230.938708,154208866.461392,154208866.461392,112001722.432946,112001722.432946,73368967.3443594,73368967.3443594,43021045.7841548,43021045.7841548,20785179.912726,20785179.912726,16024626.2553706,16024626.2553706,17472844.8737891,17472844.8737891,18653647.6357105,18653647.6357105,17895850.4698108,17895850.4698108,20870210.7765076,20870210.7765076,22573286.9081567,22573286.9081567,25882783.5154859,25882783.5154859,26434686.4521912,26434686.4521912,37219632.59211,37219632.59211,53889053.2648304,53889053.2648304
"6",47875949.7020236,47875949.7020236,381012677.20031,381012677.20031,324342708.50674,324342708.50674,285901733.60236,285901733.60236,204298742.647946,204298742.647946,143958987.853991,143958987.853991,113842638.264688,113842638.264688,74614951.5587335,74614951.5587335,39804191.7162074,39804191.7162074,19852773.0718917,19852773.0718917,16633827.6678707,16633827.6678707,17119111.8538802,17119111.8538802,19227200.7797723,19227200.7797723,18856757.51683,18856757.51683,20356379.6821642,20356379.6821642,22397229.8395003,22397229.8395003,25326652.4614265,25326652.4614265,29766360.0594125,29766360.0594125,38290811.5014505,38290811.5014505,47493438.9600726,47493438.9600726
"7",52723702.5661977,52723702.5661977,307397647.874016,307397647.874016,358587301.808338,358587301.808338,258211314.059951,258211314.059951,201459922.404386,201459922.404386,156858516.343673,156858516.343673,111062757.059587,111062757.059587,78660523.9240311,78660523.9240311,39919512.4081932,39919512.4081932,21357154.885786,21357154.885786,15910490.5485754,15910490.5485754,17515912.5802093,17515912.5802093,17217457.6859885,17217457.6859885,18387127.1500237,18387127.1500237,20582556.960316,20582556.960316,22879560.4934857,22879560.4934857,23854345.8403184,23854345.8403184,28142316.2760839,28142316.2760839,39715989.0801603,39715989.0801603,45098370.5810732,45098370.5810732
"8",42891564.3022576,42891564.3022576,321497823.487022,321497823.487022,359844166.610924,359844166.610924,253960707.114409,253960707.114409,190427987.319957,190427987.319957,158968566.628792,158968566.628792,108454246.992939,108454246.992939,73551034.1458112,73551034.1458112,40052506.0358471,40052506.0358471,20479340.9348084,20479340.9348084,15392887.5589781,15392887.5589781,16979157.0955673,16979157.0955673,17797117.003798,17797117.003798,19890247.1197844,19890247.1197844,20498149.0946204,20498149.0946204,23066932.9763605,23066932.9763605,25395909.1387386,25395909.1387386,29394377.7072829,29394377.7072829,34391242.1412729,34391242.1412729,52482656.05468,52482656.05468
"9",42532771.7184018,42532771.7184018,293806783.653497,293806783.653497,336734357.690575,336734357.690575,274498845.78854,274498845.78854,189223114.484668,189223114.484668,156982150.331078,156982150.331078,113619932.384422,113619932.384422,77293400.5221554,77293400.5221554,39734016.7572556,39734016.7572556,20520802.0011761,20520802.0011761,17456771.6688017,17456771.6688017,16975108.802195,16975108.802195,17337826.5837115,17337826.5837115,19115444.8455062,19115444.8455062,20921196.7683442,20921196.7683442,23087019.8250572,23087019.8250572,25330588.738921,25330588.738921,31539896.0192965,31539896.0192965,35121951.3430977,35121951.3430977,56276656.980673,56276656.980673
"10",51642850.3422758,51642850.3422758,304940502.105135,304940502.105135,382649029.636693,382649029.636693,296288263.715566,296288263.715566,213501045.658594,213501045.658594,159674860.721689,159674860.721689,117600485.387147,117600485.387147,75734153.9319009,75734153.9319009,43958985.1335311,43958985.1335311,23324214.4368538,23324214.4368538,15995116.7043255,15995116.7043255,17612730.865557,17612730.865557,17726174.4975676,17726174.4975676,20061006.1618748,20061006.1618748,22502784.4130587,22502784.4130587,21275360.3079746,21275360.3079746,23966253.8816197,23966253.8816197,28622756.7601163,28622756.7601163,37243437.0492199,37243437.0492199,52496032.317333,52496032.317333
