"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,8287.69344289564,16790.6755523228,25520.430379972,34489.3860992746,43711.0214186664,53199.9874231176,62972.2476085232,73045.23946934,83438.0617470622,94171.692390459,105269.243477855,116756.260888006,128661.078489734,141015.23920342,153853.998681643,167216.931859799,181148.668666149,195699.793369047,210927.953278466,226899.238150984,243689.913703306,261388.624250258,280099.2255741,299944.477620324,321070.930541442,343655.49903899,367914.477354404,394116.170010782,422599.03152003,453798.476301966,488287.862401242,526843.715771306,570554.737189974,621015.408161766,680697.71445295,753742.95392229,847914.64631275,980642.192073274,1207541.43022426
"2",0,8428.12340809356,17075.1834192835,25952.8586755874,35073.7879383376,44451.678304552,54101.429112996,64039.2743513716,74282.9469819586,84851.8693629032,95767.3749016596,107052.967296775,118734.625286511,130841.162839997,143404.657353374,156460.961864982,170050.321883618,184218.123564754,199015.808296652,214502.00018817,230743.90884694,247819.092266224,265817.696785278,284845.337959936,305026.8558289,326511.2837486,349478.534133452,374148.566200314,400794.230730558,429759.717143592,461487.81769388,496561.605632218,535770.76467584,580222.442980392,631538.1395775,692231.726540822,766514.67352278,862282.04842444,997258.58236972,1228002.49121666
"3",0,8290.4690351565,16796.2988381548,25528.977306755,34500.9367766492,43725.660470364,53217.8043795948,62993.337346496,73069.7027054334,83466.00559417,94203.2309871012,105304.498702908,116795.363175797,128704.16776375,141062.465951042,153905.525197553,167272.933692535,181209.336311046,195765.334262382,210998.594162898,226975.227902986,243771.526741142,261476.164679636,280193.032282582,300044.93060842,321178.458890088,343770.591078784,368037.693854028,394248.161595522,422740.562165368,453950.455805974,488451.392582622,527020.158511408,570745.81898177,621223.389498508,680925.68370896,753995.386414394,848198.617401496,980970.61431738,1207945.84222037
"4",0,8403.8182218093,17025.9416730787,25878.015316731,34972.641466192,44323.4876896872,53945.4103589786,63854.5966458786,74068.7283740054,84607.1718909306,95491.1990824134,106744.245866578,118392.216063693,130463.840548605,142991.104212036,156009.756698635,169559.927456419,183686.87175538,198441.882636105,213883.415146106,230078.48507264,247104.426745718,265051.126538832,284023.895431618,304147.213446646,325569.684155054,348470.701136332,373069.589284676,399638.412529058,428520.367708746,460156.97014528,495129.611611472,534225.698519286,578549.186208972,629716.8976017,690235.45521792,764304.183591926,859795.38267434,994382.668664566,1224461.15373721
"5",0,8359.2587136215,16935.66513837,25740.8024921606,34787.2062672586,44088.471562435,53659.3759766134,63516.0208524748,73675.9942594246,84158.559858981,94984.8767471286,106178.256577882,117764.46582186,129772.083014387,142232.923452916,155182.547226998,168660.871006553,182712.910104861,197389.685591769,212749.342568988,228858.541486422,245794.206624794,263645.747753682,282517.917463036,302534.535745848,323843.418233552,346623.007308282,371091.46493934,397519.412492976,426248.227078192,457717.082972846,492504.289240104,531393.07723227,575481.548794706,626377.953979398,686575.624459268,760251.618718694,855236.495465822,989110.160205116,1217968.70169154
"6",0,8374.18689902448,16965.9092973044,25786.7710983718,34849.330180706,44167.205921565,53755.2023100994,63629.4494431942,73807.5667994946,84308.8524420754,95154.503253394,106367.872518034,117974.77272106,130003.8334341,142486.926771207,155459.676326082,168962.070052889,183039.203654446,197742.189315377,213129.275974454,229267.243125576,246233.152422882,264116.573306282,283022.445435676,303074.809925072,324421.74637897,347242.015846636,371754.169896784,398229.313178466,427009.432440954,458534.486251154,493383.81643186,532342.053050648,576509.258972212,627496.556304042,687801.72937673,761609.296176224,856763.799429618,990876.5393018,1220143.78242738
"7",0,8467.8068758231,17155.5812086115,26075.0566287822,35238.931406748,44660.977178822,54356.163436685,64340.8006050932,74632.7051412404,85251.390852636,96218.2915941944,107557.021730648,119293.682320062,131457.223000942,144079.87220451,157197.651781641,170850.996735435,185085.506920183,199952.86593378,215511.973914256,231830.356922882,248985.938131492,267069.28832963,286186.520359566,306463.062064122,328048.648517076,351124.039242944,375910.229127392,402681.353658316,431783.222856662,463660.713845762,498899.64525251,538293.418987004,582954.396165824,634511.710581198,695491.070768644,770123.775909884,866342.067504078,1001954.13283277,1233784.48975565
"8",0,8279.59171413422,16774.2616369212,25495.4825936864,34455.6706085594,43668.2912137116,53147.9811717784,62910.6883733588,72973.8332666888,83356.4959230712,94079.6337840436,105166.336334455,116642.1244804,128535.304392603,140877.388156307,153703.596959528,167053.467050732,180971.584729691,195508.484815532,210721.758264444,226677.430226216,243451.691863138,261133.100834776,279825.411397994,299651.263492906,320757.06401026,343319.554706618,367554.818382524,393730.89727695,422185.915041748,453354.860452434,487810.531060992,526328.693719122,569996.984932834,620408.327503166,680032.29067865,753006.123945338,847085.757729382,979683.554171554,1206360.98439777
"9",0,8513.64165613076,17248.441415189,26216.1964197122,35429.6736736644,44902.719356854,54650.3839882424,64689.0662781062,75036.6791210534,85712.841949473,96739.1046360446,108139.20936599,119939.398477907,132168.778309709,144859.751739564,158048.535598425,171775.783757098,186087.342894033,201035.17636154,216678.503113952,233085.214719478,250333.656134668,268514.888393142,287735.59870772,308121.893840532,329824.319355522,353024.613197386,377944.966459042,404860.998476576,434120.391081018,466170.429438956,501600.103112622,541207.10856001,586109.827916864,637946.213196054,699255.644158436,774292.323279488,871031.427915534,1007377.53799897,1240462.75271845
"10",0,8440.87612929208,17101.0201379711,25992.128339185,35126.858618167,44518.9388123514,54183.2908049188,64136.1731474636,74395.3456342798,84980.2600117776,95912.2819673136,107214.950763237,118914.284446631,131039.140585481,143621.645112718,156697.70531646,170307.627601593,184496.866798067,199316.94213089,214826.566413944,231093.05095074,248194.071088712,266219.909568906,285276.341755658,305488.39658502,327005.332918054,350007.335397372,374714.696063458,401400.678552334,430409.99308163,462186.10190148,497312.960519646,536581.44753576,581100.38634811,632493.729503074,693279.15285222,767674.4984865,863586.780453814,998767.54943724,1229860.60038798
