"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,8327.22687861108,16870.7693802545,25642.1663371244,34653.9052067458,43919.5289928446,53453.758668078,63272.6338764084,73393.6752915356,83836.072758573,94620.904293986,105771.392223886,117313.20428438,129274.809500732,141687.901257387,154587.903381226,168014.579585522,182012.77268942,196633.308255184,211934.108578366,227981.578672762,244852.348053016,262635.483879508,281435.33734084,301375.253964298,322602.482966748,345294.782957142,369669.479930148,395996.158258284,424614.886927946,455963.157345524,490617.06255227,529356.83263706,573276.361629904,623977.736931046,683944.736018286,757338.411309822,851959.315603808,985319.989982582,1213301.56865534
"2",0,8394.14115689984,17006.3361630157,25848.216572001,34932.3701856156,44272.4488337688,53883.2917809902,63781.0675594322,73983.43763195,84509.7460456082,95381.2401914172,106621.329000851,118255.886465719,130313.610377033,142826.448794651,155830.110197219,169364.677823367,183475.354831277,198213.375197184,213637.126657136,229813.547829168,246819.883992184,264745.918014784,283696.839610158,303796.985461118,325194.788020586,348069.434294888,372639.99662382,399178.225652536,428026.923026352,459627.095658338,494559.465843954,533610.533290288,577882.982124056,628991.773481704,689440.643487506,763424.081119456,858805.321310874,993237.628948624,1223051.17677779
"3",0,8522.34351294858,17266.0711761759,26242.992190167,35465.8866081362,44948.614762176,54706.2425544956,64755.185456616,75113.374672049,85800.449686352,96837.9823984908,108249.739260752,120061.989434225,132303.869006627,145007.813975352,158210.078188845,171951.35707054,186277.544159117,201240.65591902,216899.971832716,233323.452860894,250589.52403707,268789.33946903,288029.69541539,308436.827532944,330161.435259386,353385.44229512,378331.266836246,405274.809931434,434564.108779914,466646.905721788,502112.792329926,541760.280393838,586708.895156014,638598.262792328,699970.358582684,775083.733254732,871921.715653224,1008407.18611563,1241730.63897652
"4",0,8492.7872061708,17206.1907810997,26151.9789698292,35342.8875031198,44792.7286440996,54516.5160449806,64530.6082468498,74852.8742660812,85502.8854766076,96502.1389639754,107874.318756129,119645.602910181,131845.026467095,144504.912933108,157661.390424831,171355.013230057,185631.515724261,200542.733973786,216147.741874156,232514.264690912,249720.455472012,267857.152194032,287030.780735892,307367.138956994,329016.403654888,352159.867601092,377019.17762402,403869.277920968,433056.998664698,465028.529381824,500371.416884944,539881.403647906,584674.132292004,636383.54261188,697542.794072736,772395.668338818,868897.807302792,1004909.93302973,1237424.19772064
"5",0,8464.88125154814,17149.6539613832,26066.0477059568,35226.7563684342,44645.5468270326,54337.3834014792,64318.5708812838,74606.9195680608,85221.936527306,96185.0482085444,107519.860817754,119252.466395093,131411.804576979,144030.092659719,157143.340048655,170791.967776605,185021.559943128,199883.782289455,215437.514603638,231750.259616716,248899.913578098,266977.01598515,286087.643018194,306357.179184776,327935.30782526,351002.726011808,375780.352276434,402542.22739332,431634.04190617,463500.51923343,498727.275601866,538107.438801492,582752.985628524,634292.487010036,695250.778850146,769857.698418208,866042.746626752,1001607.95803492,1233358.21765164
"6",0,8560.30161251596,17342.9734094462,26359.8771888752,35623.8499257462,45148.8136853908,54949.9014728068,65043.6018732194,75447.9259548402,86182.6006765312,97269.2940174372,108731.878284456,120596.739640231,132893.143943183,145653.671659047,158914.738109128,172717.219972277,187107.215194745,202136.97191975,217866.033657668,234362.664063968,251705.637473414,269986.513989714,289312.565536776,309810.590018808,331631.958081406,354959.4037042,380016.335723016,407079.884036246,436499.635983718,468725.328127936,504349.178053682,544173.254082776,589322.067768168,641442.548100214,703087.992191906,778535.918146746,875805.212164182,1012898.58221071,1247261.24627468
"7",0,8354.6077211844,16926.242335084,25726.4806148486,34767.8510781444,44063.9412595906,53629.5205360298,63480.681291547,73635.0018097544,84111.7350340974,94932.02828789,106119.180254819,117698.943069345,129699.879366034,142153.786740685,155096.205497636,168567.030097645,182611.250808005,197279.860311047,212630.971357236,228731.20730739,245657.449642474,263499.058385534,282360.72784342,302366.209117144,323663.23559528,346430.150376736,370884.994048074,397298.237405034,426011.067618438,457462.41461478,492230.265692924,531097.416424534,575161.357684126,626029.444712424,686193.62192217,759828.623731926,854760.652019816,988559.831039316,1217291.03834671
"8",0,8365.63507422076,16948.5834977139,25760.4373239594,34813.7416071734,44122.1018163348,53700.3068225746,63564.4702505208,73732.1935855852,84222.7551834184,95057.3302799554,106259.248311113,117854.29540192,129871.071887129,142341.417332588,155300.918952738,168789.523865541,182852.281721518,197540.252508888,212911.625681876,229033.112538322,245981.696036036,263846.854145496,282733.419360898,302765.306123908,324090.442818278,346887.407940242,371374.52987091,397822.636403864,426573.36504721,458066.225076646,492879.966683818,531798.41866223,575920.520478566,626855.748942186,687099.337614968,760831.531200554,855888.86148051,989864.643738876,1218897.7562772
"9",0,8460.75537116038,17141.2950229842,26053.342814793,35209.586442607,44623.7860745092,54310.8987364452,64287.2212707834,74570.5552981922,85180.3983761996,96138.1665108328,107467.454402134,119194.341372702,131347.75295344,143959.890737578,157066.746579059,170708.721809025,184931.378308821,199786.356637202,215332.507883534,231637.30187725,248778.596900236,266846.888319858,285948.200613696,306207.857175444,327775.468388084,350831.643249952,375597.19261483,402346.023686276,431423.658514452,463274.603754502,498484.190197108,537845.159052694,582468.945127204,633983.325563526,694911.905631752,769482.460929946,865620.627440778,1001119.7628072,1232757.06468445
"10",0,8448.3777299971,17116.2182077874,26015.2281413012,35158.0766651256,44558.5038169392,54231.4447413438,64193.1724392824,74461.4624885864,85055.7839228802,95997.5214176982,107310.235155274,119019.966305526,131155.598082824,143749.284971156,156836.966170271,170458.983906285,184660.833405899,199494.079680442,215017.487723224,231298.428658858,248414.646866644,266456.505323982,285529.873400202,305759.891147444,327295.950076556,350318.394964384,375047.713630014,401757.412565142,430792.508339298,462596.857317714,497754.93398284,537058.319806302,581616.82362324,633055.841224,693895.285976572,768356.748465158,864354.269882856,999655.177124016,1230953.60578287
