"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,8337.20400754876,16890.9828131102,25672.889073939,34695.4252092006,43972.1504489466,53517.8034035234,63348.4429345274,73481.6107077632,83936.5195603394,94734.2727629976,105898.120465295,117453.76115671,129429.697972198,141857.662269109,154773.120316795,168215.883470761,182230.848277836,196868.901196088,212188.033919708,228254.731024558,245145.713837668,262950.156233758,281772.534428082,301736.341732322,322989.003787556,345708.492181268,370112.393293668,396470.614495318,425123.632220646,456509.462049116,491204.887258316,529991.07275688,573963.223205826,624725.345519876,684764.193073674,758245.803781438,852980.076544434,986500.534805994,1214755.26583055
"2",0,8384.83917202562,16987.4905564435,25819.5728173768,34893.659807387,44223.3882280798,53823.580899823,63710.388437577,73901.4527326098,84416.096395841,95275.5432729402,106503.176354726,118124.84096069,130169.203080327,142668.175370189,155657.426738493,169176.99600555,183272.036237566,197993.72463574,213400.38423363,229558.879471104,246546.370027546,264452.53927849,283382.460370926,303460.332203714,324834.422744044,347683.720431792,372227.054841292,398735.875476654,427552.604106844,459117.758942206,494011.418749594,533019.211674816,577242.599902896,628294.754947756,688676.63841331,762578.09114592,857853.63441886,992136.970617022,1221695.85008813
"3",0,8584.98187883546,17392.9750591418,26435.8755378374,35726.5573002396,45278.982550485,55108.3279236454,65231.1295433032,75665.4504055088,86431.0743440588,97549.7318092026,109045.363934256,120944.432955994,133276.289109442,146073.606793307,159372.906318166,173215.182214712,187646.66533451,202719.754457776,218494.164765196,235038.356723674,252431.331782816,270764.914023914,290146.68464732,310703.807129184,332588.088532878,355982.789679668,381111.963516982,408253.538938386,437758.11118145,470076.713447348,505803.270747588,545742.163852858,591021.146403342,643291.89566206,705115.070171024,780780.520576532,878330.252385736,1015818.87730021,1250857.23402388
"4",0,8516.8673444339,17254.97658521,26226.1293346222,35443.0974338566,44919.7323088268,54671.0901809052,64713.5759735884,75065.1093684052,85745.3172312472,96775.75759971,108180.181654566,119984.841677232,132218.855033567,144914.636878693,158108.417765564,171840.866968115,186157.8485354,201111.345507848,216760.599276942,233173.527133968,250428.503719178,268616.624567826,287844.617314874,308238.636502374,329949.284733678,353158.3688112,378088.164012662,405014.394102084,434284.872641816,466347.054267938,501790.151701794,541412.163636342,586331.89594517,638187.921236052,699520.581401906,774585.690770312,871361.448370022,1007759.21790428,1240932.74503825
"5",0,8551.59975569814,17325.3436484593,26333.0814184204,35587.6369912744,45102.9182800688,54894.0429065536,64977.4826947094,75371.2304038446,86094.9929396522,97170.416254991,108621.348389694,120474.148683913,132758.053246265,145505.609423259,158753.195518708,172541.646658836,186917.01392966,201931.49236227,217644.564938904,234124.425922552,251449.769571012,269712.062913826,289018.468829106,309495.656326396,331294.842177544,354598.574606466,379630.035345812,406666.072581388,436055.918284822,468248.851845104,503836.488836378,543620.08224895,588723.000529018,640790.49850394,702373.277767656,777744.508171502,874914.924426492,1011868.93409405,1245993.36001661
"6",0,8515.29200828586,17251.7849905486,26221.2783761778,35436.5416439952,44911.4236578634,54660.977854256,64701.6061223064,75051.2248290008,85729.4572099156,96757.8573151292,108160.171932238,119962.648486864,132194.398959125,144887.832508421,158079.172986263,171809.08214413,186123.415547756,201074.146622442,216720.505801994,233130.397815264,250382.182805812,268566.93945926,287791.37566952,308181.622644266,329888.255130394,353093.046302128,378018.230323684,404939.479959394,434204.544437706,466260.795630528,501697.337274524,541312.02045953,586223.444117392,638069.877774658,699391.193445792,774442.418274794,871200.275589922,1007572.81609006,1240703.21390532
"7",0,8251.1606474622,16716.6609523175,25407.934343666,34337.3542105866,43518.3398463234,52965.4777527272,62694.6610573654,72723.250388867,83070.2602999924,93756.5762670856,104805.208488638,116241.59023519,128093.930477672,140393.633092828,153175.798323585,166479.826655953,180350.151286009,194837.133502731,209998.166502276,225899.048712452,242615.70966477,260236.402923038,278864.526465178,298622.299101318,319655.624979538,342140.638947642,366292.68180528,392378.875368404,420736.182215184,451798.097424904,486135.45163549,524521.34781377,568039.687660094,618277.924080856,677697.146137356,750420.396526222,844176.972793308,976319.445238674,1202218.49395113
"8",0,8374.56197905974,16966.6692007952,25787.9260884776,34850.891083054,44169.1841717944,53757.6100069206,63632.2994077852,73810.8726422098,84312.6286376304,95158.7652259132,106372.636737636,117980.056814004,130009.656308967,142493.308764129,155466.639368773,168969.637868123,183047.401984837,197751.046192854,213138.822039918,229277.512010982,246244.181211778,264128.403094036,283035.122017902,303088.384653192,324436.277236896,347257.568824986,371770.820775112,398247.149879106,427028.558203836,458555.024021964,493405.915105018,532365.896664174,576535.080835968,627524.661890088,687832.536032948,761643.408675158,856802.17390107,990920.92068614,1220198.43269712
"9",0,8301.49638819288,16818.6400007847,25562.9340158658,34546.8273056782,43783.8210271082,53288.5906661398,63077.1263054698,73166.894481264,83577.025743491,94328.5329791668,105444.566759202,116950.715508372,128875.360284845,141250.096542945,154110.238652655,167495.427460431,181450.367224558,196025.726460222,211279.248487538,227277.13313392,244095.773134704,261823.960439598,280565.72380006,300444.027615184,321605.666113086,344227.848642292,368527.229676864,394772.56059435,423302.859594142,454554.266267838,489101.093573516,527721.160749102,571504.98177621,622049.69372827,681831.399401758,754998.293883022,849326.826862188,982275.427016942,1209552.56015086
"10",0,8464.13109147764,17148.1341544016,26063.7377257452,35223.6345637384,44641.5903265738,54332.5680078366,64312.870952102,74600.3078826302,85214.3841361958,96176.524263506,107510.33237855,119241.898209204,131400.158827244,144017.328673875,157129.413963274,170776.832146136,185005.163282345,199866.0685345,215418.42247271,231729.721845904,248877.856000306,266953.356409642,286062.28985374,306330.029728534,327906.24610941,350971.620055108,375747.05051978,402506.55399204,431595.790380404,463459.443691808,498683.078255546,538059.751574438,582701.341901012,634236.275837944,695189.165537712,769789.473420342,865965.997683848,1001519.19526624,1233248.91711215
