"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,8339.90458380256,16896.4541182441,25681.2050027008,34706.6637061056,43986.3938505982,53535.1388206364,63368.9626795822,73505.4127753136,83963.7081683364,94764.9589651362,105932.422846428,117491.806625912,129471.622671242,141903.612618147,154823.254224167,168270.37174045,182289.876256656,196932.670713926,212256.765591048,228328.66699948,245225.121117724,263035.330705586,281863.805820116,301834.079774794,323093.625964616,345820.473625392,370232.279617626,396599.03873993,425261.337713406,456657.33399896,491363.997705066,530162.746774274,574149.140624872,624927.70573941,684986.00099844,758491.413773754,853256.37273889,986820.080773234,1215148.74777271
"2",0,8439.07574512288,17097.3726012152,25986.5843866772,35119.366286897,44509.4432112502,54171.7338601766,64122.493317427,74379.4775892462,84962.134273113,95891.8244992212,107192.082509149,118888.920800497,131011.190786118,143591.011546693,156664.282711545,170271.302088468,184457.514812188,199274.429118998,214780.745299718,231043.760300792,248141.132902006,266163.126587688,285215.494160968,305423.237890038,326935.584800012,349932.681101288,374634.771847486,401315.06238926,430318.18941979,462087.520601584,497206.88688848,536466.99819083,580976.44140208,632358.82269005,693131.280902376,767510.758491622,863402.582990842,998554.518792414,1229598.2790932
"3",0,8436.30015286202,17091.7493153832,25978.0374598942,35107.8156095224,44494.8041595528,54153.9169036994,64101.403579454,74355.0143531528,84934.190426005,95860.2859025788,107156.827284095,118849.818512706,130968.101512101,143543.784799071,156612.756195635,170215.300255732,184396.84716729,199208.888225663,214710.104415284,230967.770548788,248059.519864172,266075.58615831,285121.687452488,305322.784901942,326828.056451368,349817.589061494,374511.55534786,401183.07080452,430176.658774452,461935.541097576,497043.3567071,536290.55545073,580785.359610282,632150.841353308,692903.311646364,767258.325999518,863118.611902096,998226.096548306,1229193.86709709
"4",0,8371.78638679888,16961.0459149632,25779.3791616946,34839.3404056792,44154.5451200968,53739.7930504432,63611.2096698122,73786.4094061164,84284.6847905224,95127.2266292708,106337.381512582,117940.954526213,129966.56703495,142446.082016507,155415.112852863,168913.636035387,182986.734339939,197685.50529952,213068.181155484,229201.522258978,246162.568173942,264040.862664658,282941.315309422,302987.931665096,324328.74888825,347142.476785192,371647.604275486,398115.158294366,426887.0275585,458403.044517958,493242.384923638,532189.453924074,576343.999044172,627316.680553346,687604.566776936,761390.976183054,856518.202812324,990592.498442032,1219794.02070101
"5",0,8420.77183940264,17060.2893108635,25930.2208695136,35043.1942523182,44412.9046000558,54054.2382552994,63983.4150453892,74218.1524647382,84777.8559300226,95683.8402402826,106959.58859258,118631.057064794,130727.034492601,143279.570292105,156324.486228247,169901.992705021,184057.436289079,198842.213498092,214314.897305076,230542.638692986,247602.928003848,265585.832945304,284596.876948284,304760.791157724,326226.478933268,349173.69575778,373822.20898509,400444.631398006,429384.852191078,461085.27738597,496128.47163829,535303.42985071,579716.334450764,630987.270090992,691627.916078956,765846.068543694,861529.908783978,996388.70723668,1226931.34592967
"6",0,8422.72225558594,17064.2408090157,25936.2268180638,35051.3109445274,44423.1915012486,54066.7582787698,63998.234861262,74235.342846858,84797.4921469092,95706.0024973826,106984.362534509,118658.534348107,130757.31344191,143312.756655299,156360.694050238,169941.345344241,184100.067607115,198888.269260975,214364.53684549,230596.036897096,247660.277706112,265647.347841624,284662.795175866,304831.379743954,326302.039394478,349254.571245202,373908.793552396,400537.382241336,429484.306158072,461192.073794192,496243.38473872,535427.41664105,579850.608142298,631133.419138432,691788.110691288,766023.453538146,861729.456035528,996619.490435242,1227215.52733234
"7",0,8289.2687790437,16793.8671469842,25525.2813384164,34495.9418891358,43719.3300696298,53210.0997497668,62984.217459805,73059.1240087444,83453.9217683936,94189.5926750398,105289.253200182,116778.454078374,128685.534564176,141042.043573692,153883.243460944,167248.716683784,181183.101653793,195736.992254453,210968.046753414,226942.367469688,243736.234616672,261438.309358824,280152.467219454,300001.491478432,321131.960144728,343720.821548062,367984.41104338,394191.084153472,422679.359724142,453884.734939376,488380.676828512,526943.85894812,570663.18901775,621133.45162316,680827.102409064,753886.226417808,848075.819092848,980828.593887496,1207770.96135718
"8",0,8385.96441213136,16989.770266916,25823.0377876944,34898.3425144308,44229.322978768,53830.8039902868,63718.9383313498,73911.3702607558,84427.4249825064,95288.3291904978,106517.469013531,118140.693239524,130186.671704929,142687.321348954,155678.315866565,169199.699451254,183296.631228741,198020.295268173,213429.022430022,229589.68612732,246579.456394236,264488.028641752,283420.490117608,303501.056388076,324878.015317818,347730.379366844,372277.007476276,398789.385578574,427609.981395494,459179.372254642,494077.714769072,533090.742515398,577320.065494166,628379.071705896,688769.058381962,762680.428642718,857968.757833216,992270.114770038,1221859.80089736
"9",0,8276.66608985926,16768.3343896929,25486.473670861,34443.4955702456,43652.8608619222,53129.2011365726,62888.4586495494,72948.0476935094,83327.0415977412,94046.3903983936,105129.175421561,116600.908555432,128489.885968639,140827.608611517,153649.285226541,166994.438091903,180907.637752636,195439.401171207,210647.298953826,226597.33292005,243365.667309744,261040.828490296,279726.534056624,299545.38061356,320643.723318444,343198.241475482,367424.941531568,393591.771011954,422036.734091258,453194.665840102,487638.161410348,526142.713533612,569795.574395534,620189.103932004,679791.998760152,752740.046453662,846786.436852056,979337.379373712,1205934.71229376
"10",0,8470.73250009806,17161.5084558399,26084.0655516076,35251.1064450618,44676.4075306112,54374.9434718908,64363.0303289026,74658.49071442,85280.845177966,96251.5349798444,107594.182643542,119334.898245031,131502.641424906,144129.651749301,157251.963514627,170910.025694264,185149.453897237,200021.949578106,215586.433224876,231910.454229046,249071.962684886,267161.560674108,286285.397700938,306568.944943466,328161.989208892,351245.352474078,376040.105978348,402820.479923312,431932.403807152,463820.908458094,499072.014903156,538479.399172514,583155.806703126,634730.934152358,695731.36268714,770389.853401562,866641.388381406,1002300.30763061,1234210.76185965
