"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",90177325.693371,90177325.693371,90177325.693371,90177325.693371,107541845.34833,107541845.34833,107541845.34833,107541845.34833,107971062.809663,107971062.809663,107971062.809663,107971062.809663,105111815.343002,105111815.343002,105111815.343002,105111815.343002,99827720.1177291,99827720.1177291,99827720.1177291,99827720.1177291,105636708.544645,105636708.544645,105636708.544645,105636708.544645,108083837.240691,108083837.240691,108083837.240691,108083837.240691,108104922.504305,108104922.504305,108104922.504305,108104922.504305,100349767.979414,100349767.979414,100349767.979414,100349767.979414,98763162.3342297,98763162.3342297,98763162.3342297,98763162.3342297
"2",93944752.2128792,93944752.2128792,93944752.2128792,93944752.2128792,100561295.821333,100561295.821333,100561295.821333,100561295.821333,100818368.377612,100818368.377612,100818368.377612,100818368.377612,107506427.217055,107506427.217055,107506427.217055,107506427.217055,102487168.667248,102487168.667248,102487168.667248,102487168.667248,102789016.532275,102789016.532275,102789016.532275,102789016.532275,108666316.580626,108666316.580626,108666316.580626,108666316.580626,111638324.36582,111638324.36582,111638324.36582,111638324.36582,99439660.0036031,99439660.0036031,99439660.0036031,99439660.0036031,101205332.981746,101205332.981746,101205332.981746,101205332.981746
"3",99460442.4864762,99460442.4864762,99460442.4864762,99460442.4864762,119615189.674538,119615189.674538,119615189.674538,119615189.674538,99734290.390738,99734290.390738,99734290.390738,99734290.390738,110716089.267086,110716089.267086,110716089.267086,110716089.267086,106489135.7158,106489135.7158,106489135.7158,106489135.7158,109317964.360183,109317964.360183,109317964.360183,109317964.360183,104049026.160878,104049026.160878,104049026.160878,104049026.160878,101913493.683571,101913493.683571,101913493.683571,101913493.683571,103779037.212894,103779037.212894,103779037.212894,103779037.212894,97937914.3170026,97937914.3170026,97937914.3170026,97937914.3170026
"4",91319371.2753197,91319371.2753197,91319371.2753197,91319371.2753197,109363102.291838,109363102.291838,109363102.291838,109363102.291838,100473284.253568,100473284.253568,100473284.253568,100473284.253568,105728642.299377,105728642.299377,105728642.299377,105728642.299377,107424973.88848,107424973.88848,107424973.88848,107424973.88848,107330384.949149,107330384.949149,107330384.949149,107330384.949149,108287217.194378,108287217.194378,108287217.194378,108287217.194378,104519368.341501,104519368.341501,104519368.341501,104519368.341501,98008207.113222,98008207.113222,98008207.113222,98008207.113222,99817099.9381454,99817099.9381454,99817099.9381454,99817099.9381454
"5",104244846.245008,104244846.245008,104244846.245008,104244846.245008,107258073.422701,107258073.422701,107258073.422701,107258073.422701,103027348.430893,103027348.430893,103027348.430893,103027348.430893,104963136.281641,104963136.281641,104963136.281641,104963136.281641,108560082.195648,108560082.195648,108560082.195648,108560082.195648,103958717.010215,103958717.010215,103958717.010215,103958717.010215,105013312.790514,105013312.790514,105013312.790514,105013312.790514,104744875.901112,104744875.901112,104744875.901112,104744875.901112,100465828.897886,100465828.897886,100465828.897886,100465828.897886,100414676.828233,100414676.828233,100414676.828233,100414676.828233
"6",98576566.631696,98576566.631696,98576566.631696,98576566.631696,111246307.616368,111246307.616368,111246307.616368,111246307.616368,106287641.085387,106287641.085387,106287641.085387,106287641.085387,107591730.106215,107591730.106215,107591730.106215,107591730.106215,109188597.591487,109188597.591487,109188597.591487,109188597.591487,99878703.2687731,99878703.2687731,99878703.2687731,99878703.2687731,106688505.344095,106688505.344095,106688505.344095,106688505.344095,103312491.818375,103312491.818375,103312491.818375,103312491.818375,103085792.442567,103085792.442567,103085792.442567,103085792.442567,99623034.1054557,99623034.1054557,99623034.1054557,99623034.1054557
"7",100119982.714568,100119982.714568,100119982.714568,100119982.714568,109530172.755835,109530172.755835,109530172.755835,109530172.755835,102029263.275691,102029263.275691,102029263.275691,102029263.275691,106344827.285225,106344827.285225,106344827.285225,106344827.285225,104616530.306838,104616530.306838,104616530.306838,104616530.306838,104717495.693564,104717495.693564,104717495.693564,104717495.693564,100458641.856512,100458641.856512,100458641.856512,100458641.856512,105253246.862897,105253246.862897,105253246.862897,105253246.862897,100875189.930882,100875189.930882,100875189.930882,100875189.930882,102128433.401073,102128433.401073,102128433.401073,102128433.401073
"8",86112599.914412,86112599.914412,86112599.914412,86112599.914412,98942432.4571805,98942432.4571805,98942432.4571805,98942432.4571805,103652481.960101,103652481.960101,103652481.960101,103652481.960101,103214875.625602,103214875.625602,103214875.625602,103214875.625602,102383553.389341,102383553.389341,102383553.389341,102383553.389341,99107543.7711233,99107543.7711233,99107543.7711233,99107543.7711233,101148337.720196,101148337.720196,101148337.720196,101148337.720196,106260322.738558,106260322.738558,106260322.738558,106260322.738558,102641266.19357,102641266.19357,102641266.19357,102641266.19357,100588776.085436,100588776.085436,100588776.085436,100588776.085436
"9",99962826.2225494,99962826.2225494,99962826.2225494,99962826.2225494,101300079.803856,101300079.803856,101300079.803856,101300079.803856,108796640.749822,108796640.749822,108796640.749822,108796640.749822,112586540.716358,112586540.716358,112586540.716358,112586540.716358,107185459.037817,107185459.037817,107185459.037817,107185459.037817,107018626.18926,107018626.18926,107018626.18926,107018626.18926,105215359.15309,105215359.15309,105215359.15309,105215359.15309,107754733.001226,107754733.001226,107754733.001226,107754733.001226,103511695.229664,103511695.229664,103511695.229664,103511695.229664,101410641.033567,101410641.033567,101410641.033567,101410641.033567
"10",110621610.843603,110621610.843603,110621610.843603,110621610.843603,100070463.973351,100070463.973351,100070463.973351,100070463.973351,109889640.948663,109889640.948663,109889640.948663,109889640.948663,108211469.5922,108211469.5922,108211469.5922,108211469.5922,109571389.459822,109571389.459822,109571389.459822,109571389.459822,106509785.405751,106509785.405751,106509785.405751,106509785.405751,109050607.561316,109050607.561316,109050607.561316,109050607.561316,103885132.174203,103885132.174203,103885132.174203,103885132.174203,103258654.772182,103258654.772182,103258654.772182,103258654.772182,100863235.261827,100863235.261827,100863235.261827,100863235.261827
