"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",98252113.2516019,98252113.2516019,98252113.2516019,98252113.2516019,99795527.1196056,99795527.1196056,99795527.1196056,99795527.1196056,115555331.455519,115555331.455519,115555331.455519,115555331.455519,99138056.8498879,99138056.8498879,99138056.8498879,99138056.8498879,100877810.346242,100877810.346242,100877810.346242,100877810.346242,109184226.455247,109184226.455247,109184226.455247,109184226.455247,100413413.597296,100413413.597296,100413413.597296,100413413.597296,104759958.355464,104759958.355464,104759958.355464,104759958.355464,97486778.4228258,97486778.4228258,97486778.4228258,97486778.4228258,98233690.1583416,98233690.1583416,98233690.1583416,98233690.1583416
"2",104074417.175188,104074417.175188,104074417.175188,104074417.175188,101220332.771938,101220332.771938,101220332.771938,101220332.771938,103961838.161596,103961838.161596,103961838.161596,103961838.161596,104781239.558251,104781239.558251,104781239.558251,104781239.558251,113554653.205988,113554653.205988,113554653.205988,113554653.205988,99765783.5222782,99765783.5222782,99765783.5222782,99765783.5222782,105001509.912732,105001509.912732,105001509.912732,105001509.912732,105461729.329578,105461729.329578,105461729.329578,105461729.329578,104038214.089081,104038214.089081,104038214.089081,104038214.089081,99980003.7470626,99980003.7470626,99980003.7470626,99980003.7470626
"3",95451993.1605216,95451993.1605216,95451993.1605216,95451993.1605216,104570953.891828,104570953.891828,104570953.891828,104570953.891828,106656314.636958,106656314.636958,106656314.636958,106656314.636958,106086425.433933,106086425.433933,106086425.433933,106086425.433933,111837009.844136,111837009.844136,111837009.844136,111837009.844136,105991066.18221,105991066.18221,105991066.18221,105991066.18221,105015816.424894,105015816.424894,105015816.424894,105015816.424894,107540445.618874,107540445.618874,107540445.618874,107540445.618874,106686224.949226,106686224.949226,106686224.949226,106686224.949226,103638469.882347,103638469.882347,103638469.882347,103638469.882347
"4",108967964.715626,108967964.715626,108967964.715626,108967964.715626,100845389.216435,100845389.216435,100845389.216435,100845389.216435,109497854.38314,109497854.38314,109497854.38314,109497854.38314,98838680.8975449,98838680.8975449,98838680.8975449,98838680.8975449,107180369.053331,107180369.053331,107180369.053331,107180369.053331,105992343.826474,105992343.826474,105992343.826474,105992343.826474,103078381.116592,103078381.116592,103078381.116592,103078381.116592,103587270.167215,103587270.167215,103587270.167215,103587270.167215,104144669.765915,104144669.765915,104144669.765915,104144669.765915,101265160.373927,101265160.373927,101265160.373927,101265160.373927
"5",109079094.423647,109079094.423647,109079094.423647,109079094.423647,110296147.578461,110296147.578461,110296147.578461,110296147.578461,109247615.787029,109247615.787029,109247615.787029,109247615.787029,108842239.223805,108842239.223805,108842239.223805,108842239.223805,103718144.189381,103718144.189381,103718144.189381,103718144.189381,105497467.90771,105497467.90771,105497467.90771,105497467.90771,98721724.2900831,98721724.2900831,98721724.2900831,98721724.2900831,101973802.379606,101973802.379606,101973802.379606,101973802.379606,102641483.681537,102641483.681537,102641483.681537,102641483.681537,101571198.76981,101571198.76981,101571198.76981,101571198.76981
"6",96429884.0817226,96429884.0817226,96429884.0817226,96429884.0817226,105601487.027123,105601487.027123,105601487.027123,105601487.027123,116653197.548157,116653197.548157,116653197.548157,116653197.548157,110342376.670069,110342376.670069,110342376.670069,110342376.670069,103884348.405234,103884348.405234,103884348.405234,103884348.405234,112607127.053464,112607127.053464,112607127.053464,112607127.053464,110791042.229577,110791042.229577,110791042.229577,110791042.229577,107496449.451377,107496449.451377,107496449.451377,107496449.451377,102496938.010811,102496938.010811,102496938.010811,102496938.010811,101755267.925522,101755267.925522,101755267.925522,101755267.925522
"7",94495651.80903,94495651.80903,94495651.80903,94495651.80903,110491568.060064,110491568.060064,110491568.060064,110491568.060064,105467765.175209,105467765.175209,105467765.175209,105467765.175209,106733366.390077,106733366.390077,106733366.390077,106733366.390077,104117211.151566,104117211.151566,104117211.151566,104117211.151566,100801576.852197,100801576.852197,100801576.852197,100801576.852197,103973025.472345,103973025.472345,103973025.472345,103973025.472345,99484474.8914085,99484474.8914085,99484474.8914085,99484474.8914085,102809237.431964,102809237.431964,102809237.431964,102809237.431964,99034542.8067672,99034542.8067672,99034542.8067672,99034542.8067672
"8",96068914.3826813,96068914.3826813,96068914.3826813,96068914.3826813,112628162.837402,112628162.837402,112628162.837402,112628162.837402,103078999.162663,103078999.162663,103078999.162663,103078999.162663,109417770.359098,109417770.359098,109417770.359098,109417770.359098,105781783.947131,105781783.947131,105781783.947131,105781783.947131,101196790.270237,101196790.270237,101196790.270237,101196790.270237,105246667.205587,105246667.205587,105246667.205587,105246667.205587,101014160.291318,101014160.291318,101014160.291318,101014160.291318,103394401.18315,103394401.18315,103394401.18315,103394401.18315,101655837.804259,101655837.804259,101655837.804259,101655837.804259
"9",100874846.848451,100874846.848451,100874846.848451,100874846.848451,108135844.865329,108135844.865329,108135844.865329,108135844.865329,109674476.9935,109674476.9935,109674476.9935,109674476.9935,109752944.088676,109752944.088676,109752944.088676,109752944.088676,107415741.759202,107415741.759202,107415741.759202,107415741.759202,99709466.5686837,99709466.5686837,99709466.5686837,99709466.5686837,104834769.638338,104834769.638338,104834769.638338,104834769.638338,105949349.230364,105949349.230364,105949349.230364,105949349.230364,101557929.641383,101557929.641383,101557929.641383,101557929.641383,101143328.387528,101143328.387528,101143328.387528,101143328.387528
"10",120271169.71832,120271169.71832,120271169.71832,120271169.71832,100598128.878008,100598128.878008,100598128.878008,100598128.878008,101700899.763115,101700899.763115,101700899.763115,101700899.763115,112469512.66761,112469512.66761,112469512.66761,112469512.66761,101480497.191035,101480497.191035,101480497.191035,101480497.191035,99184804.4633217,99184804.4633217,99184804.4633217,99184804.4633217,103964285.166052,103964285.166052,103964285.166052,103964285.166052,101802646.752307,101802646.752307,101802646.752307,101802646.752307,103098480.33518,103098480.33518,103098480.33518,103098480.33518,101461942.225401,101461942.225401,101461942.225401,101461942.225401
