"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",98513912.5654573,98513912.5654573,98513912.5654573,98513912.5654573,100141363.093459,100141363.093459,100141363.093459,100141363.093459,114995221.349484,114995221.349484,114995221.349484,114995221.349484,99446319.2512684,99446319.2512684,99446319.2512684,99446319.2512684,101048973.235923,101048973.235923,101048973.235923,101048973.235923,108826527.230318,108826527.230318,108826527.230318,108826527.230318,100248964.32252,100248964.32252,100248964.32252,100248964.32252,105591402.451263,105591402.451263,105591402.451263,105591402.451263,97287090.1242109,97287090.1242109,97287090.1242109,97287090.1242109,98503908.8809615,98503908.8809615,98503908.8809615,98503908.8809615
"2",109076417.522251,109076417.522251,109076417.522251,109076417.522251,99950366.3400027,99950366.3400027,99950366.3400027,99950366.3400027,106576136.846409,106576136.846409,106576136.846409,106576136.846409,98306989.6607857,98306989.6607857,98306989.6607857,98306989.6607857,106371584.457967,106371584.457967,106371584.457967,106371584.457967,101871892.61576,101871892.61576,101871892.61576,101871892.61576,100706805.246173,100706805.246173,100706805.246173,100706805.246173,101477473.351742,101477473.351742,101477473.351742,101477473.351742,99167646.2035985,99167646.2035985,99167646.2035985,99167646.2035985,99303256.7682782,99303256.7682782,99303256.7682782,99303256.7682782
"3",101608070.30652,101608070.30652,101608070.30652,101608070.30652,101465084.371481,101465084.371481,101465084.371481,101465084.371481,103248677.049447,103248677.049447,103248677.049447,103248677.049447,103523805.485201,103523805.485201,103523805.485201,103523805.485201,106632058.193368,106632058.193368,106632058.193368,106632058.193368,102262541.56143,102262541.56143,102262541.56143,102262541.56143,102723506.838353,102723506.838353,102723506.838353,102723506.838353,101430442.326657,101430442.326657,101430442.326657,101430442.326657,100178373.587097,100178373.587097,100178373.587097,100178373.587097,99796456.2494577,99796456.2494577,99796456.2494577,99796456.2494577
"4",107749599.185246,107749599.185246,107749599.185246,107749599.185246,104657076.454314,104657076.454314,104657076.454314,104657076.454314,101785728.469457,101785728.469457,101785728.469457,101785728.469457,98093356.6518224,98093356.6518224,98093356.6518224,98093356.6518224,99164984.7557798,99164984.7557798,99164984.7557798,99164984.7557798,102561384.895044,102561384.895044,102561384.895044,102561384.895044,101625121.031158,101625121.031158,101625121.031158,101625121.031158,102797187.284266,102797187.284266,102797187.284266,102797187.284266,98584107.2206212,98584107.2206212,98584107.2206212,98584107.2206212,100923549.504821,100923549.504821,100923549.504821,100923549.504821
"5",97143105.7355499,97143105.7355499,97143105.7355499,97143105.7355499,109721145.463949,109721145.463949,109721145.463949,109721145.463949,102475004.412898,102475004.412898,102475004.412898,102475004.412898,110584802.95143,110584802.95143,110584802.95143,110584802.95143,110346729.412101,110346729.412101,110346729.412101,110346729.412101,103945141.586433,103945141.586433,103945141.586433,103945141.586433,110094261.268794,110094261.268794,110094261.268794,110094261.268794,102311917.170958,102311917.170958,102311917.170958,102311917.170958,101677162.876042,101677162.876042,101677162.876042,101677162.876042,99407974.0747419,99407974.0747419,99407974.0747419,99407974.0747419
"6",102021098.656135,102021098.656135,102021098.656135,102021098.656135,108337065.611007,108337065.611007,108337065.611007,108337065.611007,105908625.188157,105908625.188157,105908625.188157,105908625.188157,99368207.848498,99368207.848498,99368207.848498,99368207.848498,104442985.92473,104442985.92473,104442985.92473,104442985.92473,106395876.161725,106395876.161725,106395876.161725,106395876.161725,109563096.72876,109563096.72876,109563096.72876,109563096.72876,104109333.30973,104109333.30973,104109333.30973,104109333.30973,99074599.466253,99074599.466253,99074599.466253,99074599.466253,101437667.778926,101437667.778926,101437667.778926,101437667.778926
"7",106707155.128871,106707155.128871,106707155.128871,106707155.128871,109991580.663771,109991580.663771,109991580.663771,109991580.663771,103867359.184647,103867359.184647,103867359.184647,103867359.184647,105839162.466158,105839162.466158,105839162.466158,105839162.466158,105567472.627275,105567472.627275,105567472.627275,105567472.627275,104032185.956596,104032185.956596,104032185.956596,104032185.956596,104461601.590491,104461601.590491,104461601.590491,104461601.590491,102035932.58026,102035932.58026,102035932.58026,102035932.58026,99062316.5293034,99062316.5293034,99062316.5293034,99062316.5293034,96352272.5437472,96352272.5437472,96352272.5437472,96352272.5437472
"8",97041204.7057298,97041204.7057298,97041204.7057298,97041204.7057298,105974183.056686,105974183.056686,105974183.056686,105974183.056686,99109133.9437315,99109133.9437315,99109133.9437315,99109133.9437315,98784362.1598066,98784362.1598066,98784362.1598066,98784362.1598066,106720886.541725,106720886.541725,106720886.541725,106720886.541725,109127034.986437,109127034.986437,109127034.986437,109127034.986437,105409550.027151,105409550.027151,105409550.027151,105409550.027151,103466114.668676,103466114.668676,103466114.668676,103466114.668676,101261624.663187,101261624.663187,101261624.663187,101261624.663187,98377744.9243714,98377744.9243714,98377744.9243714,98377744.9243714
"9",84432059.4048771,84432059.4048771,84432059.4048771,84432059.4048771,98341878.0380222,98341878.0380222,98341878.0380222,98341878.0380222,103591536.401556,103591536.401556,103591536.401556,103591536.401556,105118643.511509,105118643.511509,105118643.511509,105118643.511509,102390271.078644,102390271.078644,102390271.078644,102390271.078644,104707921.56017,104707921.56017,104707921.56017,104707921.56017,103638317.829394,103638317.829394,103638317.829394,103638317.829394,103756503.230222,103756503.230222,103756503.230222,103756503.230222,103001435.060579,103001435.060579,103001435.060579,103001435.060579,99031652.3041284,99031652.3041284,99031652.3041284,99031652.3041284
"10",120589026.636345,120589026.636345,120589026.636345,120589026.636345,100810608.183135,100810608.183135,100810608.183135,100810608.183135,101458602.619304,101458602.619304,101458602.619304,101458602.619304,112239487.282813,112239487.282813,112239487.282813,112239487.282813,101318921.420717,101318921.420717,101318921.420717,101318921.420717,99593204.0818751,99593204.0818751,99593204.0818751,99593204.0818751,103313851.391381,103313851.391381,103313851.391381,103313851.391381,102219050.57301,102219050.57301,102219050.57301,102219050.57301,102962480.094529,102962480.094529,102962480.094529,102962480.094529,101169835.539884,101169835.539884,101169835.539884,101169835.539884
