"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,110.716199821352,224.308464399106,340.930210431222,460.747467240882,583.940298362868,710.704429237834,841.253117947002,975.819313879002,1114.65815920266,1258.04990062157,1406.30329490862,1559.75961224187,1718.79736786246,1883.83794708104,2055.35233400226,2233.86921450058,2419.984804651,2614.3748652067,2817.80951286344,3031.17164788126,3255.48011228038,3491.91911512214,3741.8760771191,4006.99096176026,4289.22154850284,4590.93126012314,4915.00959496232,5265.04086238184,5645.54651308796,6062.34329576254,6523.09076300342,7038.16260964154,7622.1029080044,8296.2125102631,9093.5149436438,10069.3342575228,11327.3841581444,13100.5059054041,16131.6775532853
"2",0,120.384037761956,243.895280836226,370.700542404534,500.98034961958,634.930489325616,772.763777884446,914.712095264354,1061.02873220366,1211.99111011438,1367.9039470938,1529.10296083332,1695.95922152928,1868.88429671338,2048.33636743984,2234.82754456802,2428.93267929746,2631.30004982598,2842.66442494224,3063.86316862308,3295.85627677168,3539.7515576079,3796.83662639126,4068.62005465612,4356.88500897534,4663.76022386548,4991.81549830096,5344.19264421152,5724.78895606914,6138.52070171392,6591.71255354336,7092.69290316294,7652.74128574702,8287.67177507264,9020.64523284082,9887.56883031504,10948.5975625187,12316.5015096125,14244.4538392904,17540.3101160621
"3",0,110.162469165311,223.186618875616,339.225098538014,458.44310710464,581.019807549212,707.149946420614,837.045715221396,970.938898278364,1109.08336170462,1251.75795059143,1399.26987751045,1551.95870582758,1710.20105769607,1874.41621093046,2045.07279407822,2222.6968488698,2407.88160949392,2601.29945698654,2803.716656419,3016.01169235658,3239.1983112322,3474.45479946122,3723.1616387772,3986.95059063494,4267.76964294802,4567.97039818416,4890.42790328704,5238.70854122638,5617.31114934312,6032.02338471316,6490.4664918178,7002.96228299154,7583.98209054074,8254.72023358296,9048.03507706974,10018.9739753481,11270.7319259395,13034.9856677047,16050.9973600613
"4",0,104.909510779626,212.54424647712,323.049577605144,436.58282581219,553.314610911558,673.4303932086,797.13224612172,924.64090163447,1056.19812057457,1192.06945165683,1332.54745840895,1477.95551254603,1628.65227746902,1785.03703825874,1947.55607750147,2116.7103532913,2293.06481219296,2477.25977360082,2670.02496420286,2872.19697913594,3084.74122561306,3308.77980494812,3545.62737234454,3796.8378807704,4064.26643079276,4350.15249168196,4657.23401739468,4988.90733242724,5349.45675273676,5744.39395827188,6180.97678408406,6669.03485990634,7222.3494708179,7861.10431156318,8616.59093740782,9541.23183904228,10733.3012906991,12413.4288181782,15285.6257973142
"5",0,104.789785232374,212.301685282852,322.68090476337,436.084585782732,552.683153438334,672.661856383254,796.222537424292,923.585676639738,1054.99275895337,1190.70903002869,1331.02671951205,1476.26883007807,1626.79361581142,1782.99990611807,1945.33347427465,2114.29470666842,2290.44790513196,2474.43265830998,2666.97786010676,2868.91915091438,3081.22083619724,3305.00373669712,3541.58100729764,3792.50482755412,4059.62818094308,4345.18798099246,4651.91905703246,4983.21385758282,5343.35180922438,5737.83830182878,6173.9228876115,6661.42397846852,7214.10713190684,7852.1330084972,8606.75745274316,9530.3431293829,10721.0521594116,12399.2622802973,15268.1814312117
"6",0,101.976234871951,206.60149721756,314.017092981664,424.37594509048,537.843902817596,654.601240987646,774.844383034722,898.78788926352,1026.66676085522,1158.73912176742,1295.28935543489,1436.63179208112,1583.1150668579,1735.12730081241,1893.10229844437,2057.52701103094,2228.95058919868,2407.99544897518,2595.37091384854,2791.89018770788,2998.49168492544,3216.26613279836,3446.49142869554,3690.6780769714,3950.62930947532,4228.521979789,4527.0174885203,4849.41719873884,5199.88563668308,5583.78037541578,6008.15632050626,6482.5682646793,7020.4121674969,7641.30738644672,8375.67056312366,9274.45845238718,10433.1975741546,12066.3486400951,14858.238827803
"7",0,112.003249454312,226.915997237484,344.8934434803,466.103547557552,590.728466200014,718.966200110294,851.032486444358,987.162982572378,1127.61579663054,1272.67443312407,1422.6512380503,1577.89144877239,1738.77798068162,1905.73711759321,2079.24531869058,2259.83741569644,2448.11655555664,2644.76635458326,2850.56588189646,3066.40830126296,3293.32429850044,3532.51184882052,3785.37450137326,4053.57128383534,4339.08273438704,4644.29975003536,4972.14541885618,5326.2457169594,5711.17465584622,6132.81660252592,6598.92015008348,7119.9795850983,7710.70805129832,8392.65401822238,9199.22490378888,10186.3878863613,11459.0623194853,13252.7961876242,16319.2044888872
"8",0,118.498360392736,240.07494202651,364.893945146582,493.133069155624,624.985034122356,760.659322885262,900.384183279854,1044.40893853662,1193.00666458052,1346.47730645061,1505.15132320714,1669.39397265898,1839.61037560623,2016.25153622434,2199.8215437456,2390.88624498724,2590.08376361538,2798.13735911146,3015.87127910958,3244.23048228222,3484.30542430874,3737.36355143784,4004.88980516748,4288.63942081884,4590.70778873284,4913.6244549412,5260.48201850656,5635.11672726946,6042.36784139368,6488.46096456444,6981.59403372006,7532.86990310106,8157.85493722342,8879.34720955168,9732.69144684666,10777.1003853833,12123.5776918339,14021.3308676655,17265.5613499477
"9",0,106.675462601594,216.122024092568,328.487502021322,443.93186624669,562.628608641594,684.766311382438,810.55044940879,940.205470306776,1073.97720448723,1212.13567067188,1354.97835713823,1502.83407894837,1656.06753691857,1815.08473733356,1980.33947509707,2152.34114097866,2331.66419134256,2518.95972414076,2714.96974962026,2920.54494540384,3136.66696949642,3364.47681165054,3605.31125678628,3860.75041571062,4132.68061607572,4423.37902435222,4735.62968273742,5072.8860863825,5439.5046695446,5841.0898908077,6285.02175705438,6781.29536111448,7343.92396975606,7993.43103178636,8761.63483621154,9701.84030651832,10913.9759771902,12622.3852519222,15542.930197326
"10",0,118.064355283948,239.195657697288,363.557506095148,491.32694904884,622.696000781922,757.873376893386,897.086489251676,1040.58374793072,1188.63722870367,1341.54577804861,1499.63864470588,1663.27974871264,1832.87272709745,2008.86693221444,2191.76460704838,2382.12952597932,2580.59747551928,2787.88906618216,3004.82552676124,3232.3483549791,3471.54401267638,3723.67530402794,3990.22173187248,4272.9321029098,4573.8941330277,4895.62810369174,5241.21528719352,5614.47788095842,6020.23742116126,6464.69670995818,6956.02365900702,7505.2804578889,8127.97645867082,8846.8262359375,9697.04506493728,10737.628812868,12079.1745909166,13969.9771678471,17202.3255228262
