"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,168.543639144102,341.46552123043,518.999193008436,701.397401468886,888.934257929522,1081.90771587949,1280.64241880497,1485.49298633486,1696.84782224119,1915.13354701273,2140.8201821115,2374.42724426438,2616.53094848162,2867.7727710228,3128.86969255656,3400.6265333476,3683.95091510942,3979.87155068368,4289.56079127712,4614.36267889144,4955.82820012186,5315.76008036032,5696.27039477092,6099.8556652263,6529.49622590416,6988.78992315582,7482.13544991424,8014.98921223902,8594.2342295751,9228.72535778286,9930.12275925176,10714.2183441177,11603.1526020473,12629.3518911305,13843.0880366743,15328.5810230092,17243.7145700219,19942.9437019006,24557.306380792
"2",0,175.876828913291,356.32239437933,541.580404567142,731.914603273162,927.611028164424,1128.98059643188,1336.36207652246,1550.12551726224,1770.67622153956,1998.45937173624,2233.96543954664,2477.73654542666,2730.3739750094,2992.54711463862,3265.00414019932,3548.58488899848,3844.2364725951,4153.03236224778,4476.1959171629,4815.12965746156,5171.4520518409,5547.04426073472,5944.11025389344,6365.2551747238,6813.5890291978,7292.86620288822,7807.67677210018,8363.71454646004,8968.16201970934,9630.25931492312,10362.1739181963,11180.3848321854,12107.9958603498,13178.8442039216,14445.3889723847,15995.5144896469,17993.9738613832,20810.6441471084,25625.77380457
"3",0,172.225199722103,348.924277954164,530.335882893012,716.718282374706,908.351575231126,1105.54022325885,1308.61596125089,1517.94115492289,1733.91269209303,1956.966512078,2187.58290319118,2426.29273015402,2673.6847944527,2930.4145843483,3197.2147417813,3474.9076670009,3764.42080723488,4066.80534587708,4383.25924223202,4715.1558967042,5064.08017465836,5431.8741790789,5820.69611996304,6233.09705162708,6672.1224087822,7141.44862685822,7645.57048105248,8190.06356370508,8781.96124258128,9430.31179340838,10147.0300757831,10948.2529483313,11856.6045235624,12905.2194604093,14145.4676901126,15663.4088450355,17620.3753571135,20378.5647417396,25093.7206384438
"4",0,163.994068348523,332.248195848256,504.989625020996,682.464280349498,864.938873947054,1052.70331651638,1246.07348830268,1445.39443653502,1651.04408063568,1863.43752514344,2083.03210402928,2310.33331048208,2545.90180549294,2790.3617496775,3044.41076993738,3308.83196167846,3584.50844679178,3872.44116963166,4173.77083562552,4489.80520647242,4822.05340232066,5172.26948682192,5542.5085229888,5935.19964300744,6353.24273161586,6800.1385169545,7280.1669561499,7798.63716815088,8362.24637610406,8979.61041294482,9662.07469329432,10425.0048494799,11289.9437234269,12288.4423746233,13469.4156194172,14914.8100559523,16778.2475810957,19404.6152624247,23894.420468897
"5",0,176.924427451746,358.444804829172,544.806291932672,736.274203530916,933.136281055126,1135.70529365365,1344.32202762496,1559.35873596615,1781.22313572504,2010.36306098246,2247.27190489452,2492.49501702128,2746.63726451338,3010.37202086944,3284.451918434,3569.7217969486,3867.13440937876,4177.76962104266,4502.85807800374,4843.81065440016,5202.25545922932,5580.08485793106,5979.5159480538,6403.1693903663,6854.17371538262,7336.30567142142,7854.1826752696,8413.53245134876,9021.5802754428,9687.6213088003,10423.8955123312,11246.9800447665,12180.1163258216,13257.3431057489,14531.4319632005,16090.7906991666,18101.1537601491,20934.6013535668,25778.412007967
"6",0,170.100071258378,344.61881675591,523.791939951508,707.874521851834,897.14320508142,1091.89869460898,1292.46863187154,1499.21091126639,1712.51752331677,1932.81902817853,2160.5897877712,2396.3541163478,2640.69355003036,2894.25548885146,3157.76353450524,3432.02993944492,3717.9707069023,4016.62404946462,4329.17314452634,4656.97444577162,5001.59326252754,5364.84896762346,5748.8731403806,6156.18535703802,6589.79347395016,7053.32856211944,7551.2299346231,8089.00438521654,8673.59849523624,9313.94889154324,10021.8234133951,10813.1598028096,11710.3030078911,12745.9788309882,13970.9233373149,15470.1342485813,17402.9532767598,20127.1086943528,24784.0831401244
"7",0,166.253888052906,336.82653839006,511.948324909494,691.86856090551,876.857633754136,1067.20944909477,1263.24423996665,1465.3118083106,1673.79528123579,1889.11548337457,2111.73605070828,2342.16944206474,2580.98404428008,2828.81261883256,3086.36240584362,3354.42729168518,3633.90256756798,3925.8029707463,4231.2849254393,4551.67421415422,4888.50075254428,5243.54277505974,5618.883663249,6016.98602246484,6440.7896975288,6893.84365621896,7380.4868329868,7906.1015058394,8477.47718490054,9103.34842830846,9795.21698921396,10568.6602366191,11445.5178703732,12457.7757199936,13655.0226424627,15120.3344507733,17009.4499341479,19672.0086649275,24223.6828790818
"8",0,169.845654470468,344.103374218092,523.008510162738,706.815761789236,895.801357950822,1090.26555385512,1290.5355008895,1496.96855815258,1709.95612987172,1929.92813221874,2157.35821761528,2392.7699161034,2636.74389400798,2889.92658305256,3153.04050264824,3426.89669037132,3712.4097793977,4010.61642947158,4322.69804832214,4650.00906080082,4994.11243501892,5356.82482259006,5740.27461465594,6146.9776189534,6579.93719301956,7042.77897690422,7539.93564385338,8076.90575117214,8660.6254902724,9300.01812160164,10006.8338833909,10796.9866797542,11692.7880377051,12726.914811973,13950.0271824025,15446.9957405551,17376.9238727738,20097.0048013558,24747.0138621566
"9",0,167.241623817735,338.827668242768,514.989875854136,695.979041148534,882.067157908224,1073.54987790387,1270.74933672043,1474.01741451715,1683.73951461067,1900.33896180671,2124.2821466077,2356.08457242538,2596.31800295524,2845.61895899306,3104.6988824649,3374.35637632386,3655.49205082116,3949.12667189576,4256.42353423208,4578.71629698204,4917.54396522482,5274.69533813058,5652.2661748859,6052.73371149918,6479.05525878876,6934.80086940742,7424.3352559751,7953.0726733059,8527.8429688778,9157.43259396408,9853.41163511262,10631.4500084812,11513.5171663895,12531.7889702879,13736.1488909461,15210.1663054633,17110.50526727,19788.8826024453,24367.5988994274
"10",0,166.358647906751,337.038779435044,512.270913646048,692.304520931284,877.410159043204,1067.88191881695,1264.0402350769,1466.23513018099,1674.84997265434,1890.30585229919,2113.06669724306,2343.6452892242,2582.61037323048,2830.59510945564,3088.3071836671,3356.54098248018,3636.19236124634,3928.2766966258,4233.95114152338,4554.54231384808,4891.58109328314,5246.84683477938,5622.42423266504,6020.77744402908,6444.84816614728,6898.18760307228,7385.13742330374,7911.08329632828,8482.81901047388,9109.08462769618,9801.38914862746,10575.3197578772,11452.7299169204,12465.6256101764,13663.6269415443,15129.8620717253,17020.1679240244,19684.4043855733,24238.9466994214
