"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",64888.3759161862,64888.3759161862,55127.0589166806,55127.0589166806,51064.8943755716,51064.8943755716,50981.6939725632,50981.6939725632,343094.341078055,343094.341078055,815903.063379089,815903.063379089,615213.439382502,615213.439382502,839669.586201031,839669.586201031,544168.27079459,544168.27079459,670138.732993348,670138.732993348,413578.396000354,413578.396000354,480337.097465893,480337.097465893,478420.602356106,478420.602356106,397582.372897458,397582.372897458,567050.473945315,567050.473945315,622627.825933591,622627.825933591,496639.336171401,496639.336171401,473649.328553442,473649.328553442,489547.428223041,489547.428223041,501848.692818545,501848.692818545
"2",99972.9641362104,99972.9641362104,71989.8947787451,71989.8947787451,37889.4482570656,37889.4482570656,56257.9421949143,56257.9421949143,149946.376563731,149946.376563731,381366.164890021,381366.164890021,336050.032547957,336050.032547957,457772.690290001,457772.690290001,378143.243333802,378143.243333802,843510.368230588,843510.368230588,651585.222977049,651585.222977049,522129.857049342,522129.857049342,489154.77220129,489154.77220129,561119.780454262,561119.780454262,532516.350957029,532516.350957029,514645.992545186,514645.992545186,395796.962129987,395796.962129987,531154.582967494,531154.582967494,501139.986800946,501139.986800946,436140.848888554,436140.848888554
"3",71890.4254040016,71890.4254040016,30887.405355815,30887.405355815,54809.4420857263,54809.4420857263,45823.4805344378,45823.4805344378,154853.253159057,154853.253159057,381130.722620318,381130.722620318,501415.758489278,501415.758489278,497220.945489834,497220.945489834,588147.762184352,588147.762184352,455111.134020298,455111.134020298,674961.170835994,674961.170835994,387925.693766981,387925.693766981,522418.249736835,522418.249736835,377490.678596068,377490.678596068,549318.393451234,549318.393451234,558002.927658063,558002.927658063,569699.342891141,569699.342891141,564549.701453848,564549.701453848,537250.713219112,537250.713219112,631050.039711223,631050.039711223
"4",78680.9367954845,78680.9367954845,26523.3846963008,26523.3846963008,46170.5199519389,46170.5199519389,40912.262284843,40912.262284843,102779.72063707,102779.72063707,513217.905760538,513217.905760538,1035642.87865735,1035642.87865735,569983.543072408,569983.543072408,295486.519005906,295486.519005906,521168.605886446,521168.605886446,541203.910358549,541203.910358549,527229.429606878,527229.429606878,452218.541452155,452218.541452155,650409.661500951,650409.661500951,672464.779086298,672464.779086298,690344.577494416,690344.577494416,514993.592806364,514993.592806364,600374.531617512,600374.531617512,465920.258566734,465920.258566734,495097.624792635,495097.624792635
"5",64730.6860223322,64730.6860223322,42783.7099440684,42783.7099440684,39644.7452286162,39644.7452286162,47769.9172615921,47769.9172615921,341641.311607968,341641.311607968,581954.113955647,581954.113955647,835098.158529653,835098.158529653,332097.625628493,332097.625628493,557696.493789713,557696.493789713,572197.506701096,572197.506701096,429169.454646878,429169.454646878,436610.878117263,436610.878117263,615345.497410229,615345.497410229,491132.189055246,491132.189055246,636161.927593758,636161.927593758,504692.808739611,504692.808739611,487672.790591172,487672.790591172,475601.263332119,475601.263332119,470988.73953832,470988.73953832,553332.734060371,553332.734060371
"6",64659.1943359438,64659.1943359438,36801.1618468248,36801.1618468248,40387.125892488,40387.125892488,28044.016156084,28044.016156084,30306.8713208716,30306.8713208716,240119.143143172,240119.143143172,468552.515170689,468552.515170689,325499.876786393,325499.876786393,806573.91762338,806573.91762338,811422.264887416,811422.264887416,809900.027025869,809900.027025869,694599.673119892,694599.673119892,490997.649462516,490997.649462516,526705.079366029,526705.079366029,631371.93474046,631371.93474046,623931.481490796,623931.481490796,411526.985059333,411526.985059333,370395.875278776,370395.875278776,545120.813384953,545120.813384953,505965.642847589,505965.642847589
"7",83203.2369890184,83203.2369890184,42289.8322528302,42289.8322528302,41976.4519386242,41976.4519386242,65331.0776948094,65331.0776948094,168199.125469708,168199.125469708,643458.43624638,643458.43624638,330142.940875592,330142.940875592,428584.219782603,428584.219782603,423080.525810846,423080.525810846,1024164.97707987,1024164.97707987,531603.434888481,531603.434888481,431087.63940361,431087.63940361,468601.271983234,468601.271983234,516460.698030474,516460.698030474,440357.12006779,440357.12006779,491322.02617914,491322.02617914,704552.835462784,704552.835462784,432530.049516618,432530.049516618,455785.639163483,455785.639163483,505730.889570518,505730.889570518
"8",98484.4878174604,98484.4878174604,47859.8989502752,47859.8989502752,61007.405097733,61007.405097733,45637.7207965725,45637.7207965725,911501.773799853,911501.773799853,559702.966509408,559702.966509408,518724.944314384,518724.944314384,501713.460249306,501713.460249306,603317.878453299,603317.878453299,541087.938866222,541087.938866222,852492.283831982,852492.283831982,443139.9607961,443139.9607961,437408.910320312,437408.910320312,569504.098588967,569504.098588967,386047.348770779,386047.348770779,558020.856459973,558020.856459973,467417.068952882,467417.068952882,478373.516335295,478373.516335295,599616.536363564,599616.536363564,464311.985296319,464311.985296319
"9",82076.7370815604,82076.7370815604,40134.438542096,40134.438542096,54550.1639263476,54550.1639263476,34894.6357272221,34894.6357272221,95313.0924381156,95313.0924381156,435363.471906514,435363.471906514,278230.271561249,278230.271561249,506979.137828549,506979.137828549,579360.930279923,579360.930279923,394224.423736628,394224.423736628,622751.691159172,622751.691159172,315386.543645813,315386.543645813,618156.565419862,618156.565419862,349345.939165974,349345.939165974,545838.65246174,545838.65246174,407355.166846157,407355.166846157,549227.452460981,549227.452460981,713490.185434872,713490.185434872,418348.402330959,418348.402330959,470433.889153244,470433.889153244
"10",100597.149353908,100597.149353908,31327.2855367575,31327.2855367575,43636.1013826664,43636.1013826664,50548.4437628938,50548.4437628938,62819.7695167828,62819.7695167828,980048.198804306,980048.198804306,1051537.24173562,1051537.24173562,789265.866118343,789265.866118343,622247.553253717,622247.553253717,496002.292491339,496002.292491339,438471.196752337,438471.196752337,529155.556168603,529155.556168603,478351.491822503,478351.491822503,497438.103405338,497438.103405338,600979.298391278,600979.298391278,574574.92614622,574574.92614622,500402.048290555,500402.048290555,505851.702359611,505851.702359611,496630.547038626,496630.547038626,580658.166340129,580658.166340129
