"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",230205.384568778,230205.384568778,520387.604889674,520387.604889674,407297.307305319,407297.307305319,597039.469278684,597039.469278684,618444.304664714,618444.304664714,592999.324537896,592999.324537896,515589.225642666,515589.225642666,568164.316204578,568164.316204578,434213.364539899,434213.364539899,521480.584340365,521480.584340365,519354.638102303,519354.638102303,496429.400917705,496429.400917705,517112.851990193,517112.851990193,527829.863870922,527829.863870922,453727.490904492,453727.490904492,573199.945889718,573199.945889718,465910.579294677,465910.579294677,533218.817199518,533218.817199518,499256.199836063,499256.199836063,516704.192869206,516704.192869206
"2",274537.452357303,274537.452357303,468864.201770744,468864.201770744,465683.219332715,465683.219332715,394493.672549266,394493.672549266,530021.856494768,530021.856494768,576491.403618104,576491.403618104,541124.86216685,541124.86216685,443796.577746345,443796.577746345,660245.52387492,660245.52387492,524943.964237148,524943.964237148,666938.179635135,666938.179635135,464869.892096934,464869.892096934,477841.344550629,477841.344550629,469370.866751773,469370.866751773,476481.05926663,476481.05926663,554747.173413453,554747.173413453,531564.846961678,531564.846961678,470686.619671204,470686.619671204,470152.354835535,470152.354835535,644385.04482237,644385.04482237
"3",259904.802739254,259904.802739254,625204.728787708,625204.728787708,553809.514172604,553809.514172604,552495.231222187,552495.231222187,527299.093645375,527299.093645375,604940.41671753,604940.41671753,560887.05491499,560887.05491499,434902.485111717,434902.485111717,549328.141932463,549328.141932463,540160.399183259,540160.399183259,645411.125022373,645411.125022373,520140.161412205,520140.161412205,552211.786941379,552211.786941379,611607.973822327,611607.973822327,529034.889550433,529034.889550433,528438.542778583,528438.542778583,532266.634244796,532266.634244796,549429.24473402,549429.24473402,538974.467701398,538974.467701398,563412.635698965,563412.635698965
"4",279589.325105169,279589.325105169,512378.97312345,512378.97312345,621826.149164265,621826.149164265,433136.591650104,433136.591650104,486314.832243033,486314.832243033,659825.171182032,659825.171182032,614912.488851655,614912.488851655,504680.341618086,504680.341618086,512983.734617617,512983.734617617,543692.139148867,543692.139148867,489810.332185013,489810.332185013,602711.856882043,602711.856882043,489860.128196703,489860.128196703,528711.578420212,528711.578420212,492084.932794174,492084.932794174,510307.244817107,510307.244817107,540647.475840334,540647.475840334,527139.844738264,527139.844738264,490307.592341213,490307.592341213,508662.643817506,508662.643817506
"5",291854.782827865,291854.782827865,558455.656385052,558455.656385052,670566.730224694,670566.730224694,401207.488455694,401207.488455694,507224.974095852,507224.974095852,576994.624034104,576994.624034104,417435.18387471,417435.18387471,632715.599032119,632715.599032119,533100.033203037,533100.033203037,676037.459606008,676037.459606008,711902.222333542,711902.222333542,495686.797793772,495686.797793772,545915.813895814,545915.813895814,558587.603515626,558587.603515626,568664.71867222,568664.71867222,615708.765259114,615708.765259114,488764.203864369,488764.203864369,536023.813415333,536023.813415333,541027.282647537,541027.282647537,515041.273415209,515041.273415209
"6",310151.259725119,310151.259725119,434681.809119875,434681.809119875,504523.642135225,504523.642135225,569841.271353513,569841.271353513,511323.870616393,511323.870616393,495660.785061812,495660.785061812,606320.400016587,606320.400016587,539348.439436844,539348.439436844,436452.194446327,436452.194446327,444820.52767318,444820.52767318,594820.753742635,594820.753742635,479441.390378889,479441.390378889,527788.554062524,527788.554062524,430343.796918075,430343.796918075,455457.270274785,455457.270274785,562898.841869872,562898.841869872,430381.416267745,430381.416267745,517813.680241555,517813.680241555,472412.306551186,472412.306551186,603805.7179652,603805.7179652
"7",307096.818421635,307096.818421635,448425.213699708,448425.213699708,496105.814454902,496105.814454902,498700.060401347,498700.060401347,536323.844542649,536323.844542649,537373.455120123,537373.455120123,635947.945845525,635947.945845525,519184.482281435,519184.482281435,487284.131914093,487284.131914093,582588.87889135,582588.87889135,610255.27373378,610255.27373378,544032.503313858,544032.503313858,492922.793247094,492922.793247094,550249.330663862,550249.330663862,568605.292217506,568605.292217506,540665.956993261,540665.956993261,495720.878793197,495720.878793197,540049.542828704,540049.542828704,503761.683357222,503761.683357222,532099.379052326,532099.379052326
"8",237848.325466946,237848.325466946,804513.567816742,804513.567816742,478592.00441524,478592.00441524,535466.833055749,535466.833055749,578432.010915128,578432.010915128,447065.331282867,447065.331282867,465196.896483842,465196.896483842,469238.441725427,469238.441725427,447004.816372839,447004.816372839,488794.524541745,488794.524541745,452919.054026095,452919.054026095,530230.948860024,530230.948860024,498055.903110946,498055.903110946,411088.64261765,411088.64261765,589150.0953383,589150.0953383,599546.35959068,599546.35959068,496700.62862393,496700.62862393,464690.516810866,464690.516810866,488774.400846389,488774.400846389,554340.391310797,554340.391310797
"9",308910.54959968,308910.54959968,392787.45675722,392787.45675722,594505.595503269,594505.595503269,478233.325471074,478233.325471074,527944.208189114,527944.208189114,442463.192963746,442463.192963746,511270.479464752,511270.479464752,438683.290974251,438683.290974251,513165.231738695,513165.231738695,428297.601871697,428297.601871697,503809.889446243,503809.889446243,461496.945802934,461496.945802934,586241.094629562,586241.094629562,486914.348559959,486914.348559959,487334.993302355,487334.993302355,584790.355029005,584790.355029005,577859.053325288,577859.053325288,521719.731910609,521719.731910609,521211.971053082,521211.971053082,623334.771477476,623334.771477476
"10",418804.718589609,418804.718589609,392944.847204032,392944.847204032,401785.327454251,401785.327454251,380224.50180674,380224.50180674,568050.360468734,568050.360468734,442617.547079553,442617.547079553,540914.948657116,540914.948657116,575618.217786006,575618.217786006,446728.123135603,446728.123135603,441329.75762481,441329.75762481,453641.337310236,453641.337310236,445782.906740141,445782.906740141,468921.272143299,468921.272143299,429116.555165182,429116.555165182,482686.646325138,482686.646325138,439106.334558993,439106.334558993,487060.189275415,487060.189275415,557057.953256092,557057.953256092,497878.655795948,497878.655795948,477127.180809904,477127.180809904
