"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",318718.863505599,318718.863505599,1742257.61783836,1742257.61783836,1722090.26430027,1722090.26430027,1353914.87180773,1353914.87180773,1431392.32948237,1431392.32948237,1025061.05647951,1025061.05647951,724099.997155568,724099.997155568,457375.632514031,457375.632514031,230104.662040336,230104.662040336,102954.540223373,102954.540223373,109998.284609439,109998.284609439,106427.498589793,106427.498589793,103395.833934055,103395.833934055,131483.439725766,131483.439725766,111718.951347044,111718.951347044,119107.603865167,119107.603865167,163598.977330176,163598.977330176,167050.406769986,167050.406769986,256248.879022186,256248.879022186,428165.644484351,428165.644484351
"2",480170.991677161,480170.991677161,1427193.67467065,1427193.67467065,2294057.56893973,2294057.56893973,1337734.16975609,1337734.16975609,876192.556955931,876192.556955931,762988.440032283,762988.440032283,655188.430777777,655188.430777777,317433.249225776,317433.249225776,193697.444551637,193697.444551637,125328.242624348,125328.242624348,128797.06421361,128797.06421361,113929.369644978,113929.369644978,91380.0179275691,91380.0179275691,160105.838437482,160105.838437482,153628.398600507,153628.398600507,160611.810578413,160611.810578413,161052.482609428,161052.482609428,208893.411647407,208893.411647407,222235.338544502,222235.338544502,395550.493886553,395550.493886553
"3",291896.614375941,291896.614375941,2486145.34379621,2486145.34379621,1564810.94531974,1564810.94531974,1726626.74867858,1726626.74867858,1369736.06068021,1369736.06068021,739269.222531045,739269.222531045,554602.660730517,554602.660730517,475419.297729822,475419.297729822,276975.67706232,276975.67706232,158545.608113059,158545.608113059,97961.7813441535,97961.7813441535,114242.873019589,114242.873019589,117066.096741228,117066.096741228,130231.616255039,130231.616255039,114958.746097255,114958.746097255,158147.393586184,158147.393586184,154144.141290129,154144.141290129,128458.286949356,128458.286949356,216435.669640766,216435.669640766,330689.213458292,330689.213458292
"4",223688.876587463,223688.876587463,2409852.03673595,2409852.03673595,2030422.79992284,2030422.79992284,1437171.76794359,1437171.76794359,949007.827232659,949007.827232659,702523.15891275,702523.15891275,666047.202648842,666047.202648842,423996.113802852,423996.113802852,268234.587529097,268234.587529097,160459.73770637,160459.73770637,85664.6809205058,85664.6809205058,110418.790693521,110418.790693521,92938.317667788,92938.317667788,118021.652789404,118021.652789404,105140.867033124,105140.867033124,144499.224457224,144499.224457224,119730.051428529,119730.051428529,173892.626779184,173892.626779184,154551.147542918,154551.147542918,325081.661891333,325081.661891333
"5",265822.014206877,265822.014206877,2173112.92500514,2173112.92500514,2856981.55652557,2856981.55652557,1248003.26369915,1248003.26369915,1281748.46362609,1281748.46362609,1188262.52774307,1188262.52774307,724916.695533276,724916.695533276,510228.954322536,510228.954322536,302499.280232666,302499.280232666,169674.756835366,169674.756835366,92189.7740222917,92189.7740222917,97799.9796671271,97799.9796671271,75442.1084505464,75442.1084505464,84023.6757256232,84023.6757256232,95564.7702162983,95564.7702162983,161666.712086854,161666.712086854,133498.320224997,133498.320224997,144680.809910386,144680.809910386,193856.267650196,193856.267650196,299589.693891359,299589.693891359
"6",257463.54607886,257463.54607886,1564278.72573181,1564278.72573181,1536884.47978269,1536884.47978269,1251045.78449708,1251045.78449708,1099701.89032474,1099701.89032474,1094501.94717411,1094501.94717411,706934.754682491,706934.754682491,580890.772441188,580890.772441188,279074.288163767,279074.288163767,161889.600879955,161889.600879955,94681.1478223613,94681.1478223613,93470.5858339889,93470.5858339889,82536.6500170989,82536.6500170989,147073.727223786,147073.727223786,95897.3910716116,95897.3910716116,105780.402259771,105780.402259771,153003.909749636,153003.909749636,134317.868254785,134317.868254785,206705.922803049,206705.922803049,225342.993810376,225342.993810376
"7",236447.608469978,236447.608469978,1695531.67275349,1695531.67275349,1732376.53728457,1732376.53728457,1674820.57195084,1674820.57195084,996518.397407514,996518.397407514,1044854.35883603,1044854.35883603,714311.23547865,714311.23547865,469747.840735481,469747.840735481,244364.308470908,244364.308470908,138775.930485201,138775.930485201,93154.7308383443,93154.7308383443,102265.607870826,102265.607870826,109730.201800646,109730.201800646,125619.568517845,125619.568517845,111595.15252008,111595.15252008,120773.361952939,120773.361952939,136329.978670696,136329.978670696,155216.576584592,155216.576584592,304482.828796201,304482.828796201,342375.2640023,342375.2640023
"8",471699.570475972,471699.570475972,2414500.07632404,2414500.07632404,2757737.73956507,2757737.73956507,2109387.02959352,2109387.02959352,1112963.8826781,1112963.8826781,854105.957820891,854105.957820891,645327.557463082,645327.557463082,359098.963658725,359098.963658725,155453.315973126,155453.315973126,85503.3860595691,85503.3860595691,105243.847317513,105243.847317513,130294.568580837,130294.568580837,131518.811710842,131518.811710842,140664.742659464,140664.742659464,133331.118425541,133331.118425541,132678.872238268,132678.872238268,189508.258663454,189508.258663454,192285.850689236,192285.850689236,298803.846809501,298803.846809501,403367.466775396,403367.466775396
"9",265515.703901132,265515.703901132,4362232.0491618,4362232.0491618,2844726.4966034,2844726.4966034,1827511.67246994,1827511.67246994,1086568.71307453,1086568.71307453,876866.94684604,876866.94684604,686057.15126122,686057.15126122,493767.892148548,493767.892148548,226636.618428245,226636.618428245,159914.343875737,159914.343875737,82611.2807323725,82611.2807323725,90662.8027743657,90662.8027743657,94585.4378321448,94585.4378321448,85026.0474536385,85026.0474536385,96172.3807184784,96172.3807184784,108123.625012223,108123.625012223,173893.871332701,173893.871332701,167572.784433384,167572.784433384,209248.311760096,209248.311760096,331023.331828302,331023.331828302
"10",364435.919590833,364435.919590833,1625320.8613799,1625320.8613799,1712261.56777402,1712261.56777402,1803964.49917283,1803964.49917283,935237.485105365,935237.485105365,699488.800351164,699488.800351164,526418.016036682,526418.016036682,323852.756221081,323852.756221081,186270.11235693,186270.11235693,128020.923411084,128020.923411084,103882.602340384,103882.602340384,136514.442274371,136514.442274371,107282.179056452,107282.179056452,127627.893783934,127627.893783934,137964.250088554,137964.250088554,149028.322572015,149028.322572015,157397.256535024,157397.256535024,221985.59437735,221985.59437735,197188.551713922,197188.551713922,357278.721107782,357278.721107782
