"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",631376.576102233,631376.576102233,631376.576102233,631376.576102233,816135.954706035,816135.954706035,816135.954706035,816135.954706035,689885.796316201,689885.796316201,689885.796316201,689885.796316201,546391.537403936,546391.537403936,546391.537403936,546391.537403936,804679.153121873,804679.153121873,804679.153121873,804679.153121873,637742.312728598,637742.312728598,637742.312728598,637742.312728598,677655.365921151,677655.365921151,677655.365921151,677655.365921151,614778.824795863,614778.824795863,614778.824795863,614778.824795863,654766.902060249,654766.902060249,654766.902060249,654766.902060249,621829.280092441,621829.280092441,621829.280092441,621829.280092441
"2",525192.79423046,525192.79423046,525192.79423046,525192.79423046,542180.256752325,542180.256752325,542180.256752325,542180.256752325,674144.469228338,674144.469228338,674144.469228338,674144.469228338,666262.841099924,666262.841099924,666262.841099924,666262.841099924,634678.3353726,634678.3353726,634678.3353726,634678.3353726,548600.297738199,548600.297738199,548600.297738199,548600.297738199,609851.194428952,609851.194428952,609851.194428952,609851.194428952,553817.119776574,553817.119776574,553817.119776574,553817.119776574,569388.692172766,569388.692172766,569388.692172766,569388.692172766,618079.665822169,618079.665822169,618079.665822169,618079.665822169
"3",467898.045967793,467898.045967793,467898.045967793,467898.045967793,620454.382308049,620454.382308049,620454.382308049,620454.382308049,604963.327834956,604963.327834956,604963.327834956,604963.327834956,600708.145580082,600708.145580082,600708.145580082,600708.145580082,671307.675327304,671307.675327304,671307.675327304,671307.675327304,525570.785042451,525570.785042451,525570.785042451,525570.785042451,612008.019964551,612008.019964551,612008.019964551,612008.019964551,650319.567134792,650319.567134792,650319.567134792,650319.567134792,536214.147974292,536214.147974292,536214.147974292,536214.147974292,564135.676611999,564135.676611999,564135.676611999,564135.676611999
"4",917742.481928373,917742.481928373,917742.481928373,917742.481928373,789797.357303585,789797.357303585,789797.357303585,789797.357303585,646573.775351316,646573.775351316,646573.775351316,646573.775351316,697037.818692861,697037.818692861,697037.818692861,697037.818692861,616001.61988961,616001.61988961,616001.61988961,616001.61988961,577346.114301283,577346.114301283,577346.114301283,577346.114301283,643251.946804501,643251.946804501,643251.946804501,643251.946804501,643696.955019223,643696.955019223,643696.955019223,643696.955019223,586635.150327363,586635.150327363,586635.150327363,586635.150327363,635583.11897074,635583.11897074,635583.11897074,635583.11897074
"5",443118.991823155,443118.991823155,443118.991823155,443118.991823155,882541.562790266,882541.562790266,882541.562790266,882541.562790266,655701.755389559,655701.755389559,655701.755389559,655701.755389559,673539.938131453,673539.938131453,673539.938131453,673539.938131453,540291.569331315,540291.569331315,540291.569331315,540291.569331315,631213.770314855,631213.770314855,631213.770314855,631213.770314855,708951.522032165,708951.522032165,708951.522032165,708951.522032165,601148.36980008,601148.36980008,601148.36980008,601148.36980008,557428.451150701,557428.451150701,557428.451150701,557428.451150701,609767.132305146,609767.132305146,609767.132305146,609767.132305146
"6",673510.088198585,673510.088198585,673510.088198585,673510.088198585,849180.830144515,849180.830144515,849180.830144515,849180.830144515,704564.458344132,704564.458344132,704564.458344132,704564.458344132,551813.385767763,551813.385767763,551813.385767763,551813.385767763,494412.64470253,494412.64470253,494412.64470253,494412.64470253,662683.482945476,662683.482945476,662683.482945476,662683.482945476,651999.314982483,651999.314982483,651999.314982483,651999.314982483,656035.999756123,656035.999756123,656035.999756123,656035.999756123,655059.992988375,655059.992988375,655059.992988375,655059.992988375,641759.740602833,641759.740602833,641759.740602833,641759.740602833
"7",498565.733472542,498565.733472542,498565.733472542,498565.733472542,573685.204171333,573685.204171333,573685.204171333,573685.204171333,653761.751712682,653761.751712682,653761.751712682,653761.751712682,673259.742476372,673259.742476372,673259.742476372,673259.742476372,585593.62922001,585593.62922001,585593.62922001,585593.62922001,607806.627186844,607806.627186844,607806.627186844,607806.627186844,559877.320052434,559877.320052434,559877.320052434,559877.320052434,724585.621859851,724585.621859851,724585.621859851,724585.621859851,615457.434218517,615457.434218517,615457.434218517,615457.434218517,637325.534435253,637325.534435253,637325.534435253,637325.534435253
"8",533201.035230249,533201.035230249,533201.035230249,533201.035230249,969972.456247593,969972.456247593,969972.456247593,969972.456247593,654832.020639425,654832.020639425,654832.020639425,654832.020639425,733832.829958907,733832.829958907,733832.829958907,733832.829958907,764946.07174863,764946.07174863,764946.07174863,764946.07174863,573140.849955061,573140.849955061,573140.849955061,573140.849955061,698314.610564398,698314.610564398,698314.610564398,698314.610564398,622526.593210221,622526.593210221,622526.593210221,622526.593210221,600580.534916457,600580.534916457,600580.534916457,600580.534916457,605931.549616216,605931.549616216,605931.549616216,605931.549616216
"9",543247.967022343,543247.967022343,543247.967022343,543247.967022343,483336.95531672,483336.95531672,483336.95531672,483336.95531672,610528.92994473,610528.92994473,610528.92994473,610528.92994473,531419.533699462,531419.533699462,531419.533699462,531419.533699462,698889.180556992,698889.180556992,698889.180556992,698889.180556992,606522.042125463,606522.042125463,606522.042125463,606522.042125463,569768.365365705,569768.365365705,569768.365365705,569768.365365705,645396.946918982,645396.946918982,645396.946918982,645396.946918982,664164.992306295,664164.992306295,664164.992306295,664164.992306295,495109.597788551,495109.597788551,495109.597788551,495109.597788551
"10",559511.345391838,559511.345391838,559511.345391838,559511.345391838,526360.01071968,526360.01071968,526360.01071968,526360.01071968,600098.67991856,600098.67991856,600098.67991856,600098.67991856,601760.044016887,601760.044016887,601760.044016887,601760.044016887,641058.772711973,641058.772711973,641058.772711973,641058.772711973,611683.206565862,611683.206565862,611683.206565862,611683.206565862,725659.510942011,725659.510942011,725659.510942011,725659.510942011,697867.413717281,697867.413717281,697867.413717281,697867.413717281,625235.966021238,625235.966021238,625235.966021238,625235.966021238,584105.889932925,584105.889932925,584105.889932925,584105.889932925
