"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",959720.905640217,959720.905640217,959720.905640217,959720.905640217,627795.784274538,627795.784274538,627795.784274538,627795.784274538,666792.58973879,666792.58973879,666792.58973879,666792.58973879,686771.105049474,686771.105049474,686771.105049474,686771.105049474,717502.063204874,717502.063204874,717502.063204874,717502.063204874,595642.501848522,595642.501848522,595642.501848522,595642.501848522,623660.373027474,623660.373027474,623660.373027474,623660.373027474,610805.690586568,610805.690586568,610805.690586568,610805.690586568,647808.025670757,647808.025670757,647808.025670757,647808.025670757,608761.164591542,608761.164591542,608761.164591542,608761.164591542
"2",844299.89864054,844299.89864054,844299.89864054,844299.89864054,579266.724175016,579266.724175016,579266.724175016,579266.724175016,629776.415577122,629776.415577122,629776.415577122,629776.415577122,647872.676664333,647872.676664333,647872.676664333,647872.676664333,621798.672780593,621798.672780593,621798.672780593,621798.672780593,654836.24231214,654836.24231214,654836.24231214,654836.24231214,617671.383139568,617671.383139568,617671.383139568,617671.383139568,620353.861478628,620353.861478628,620353.861478628,620353.861478628,671164.450699102,671164.450699102,671164.450699102,671164.450699102,645163.718955735,645163.718955735,645163.718955735,645163.718955735
"3",787753.975987114,787753.975987114,787753.975987114,787753.975987114,546784.875896708,546784.875896708,546784.875896708,546784.875896708,552201.905533715,552201.905533715,552201.905533715,552201.905533715,541485.270227159,541485.270227159,541485.270227159,541485.270227159,620321.509068985,620321.509068985,620321.509068985,620321.509068985,676103.026401928,676103.026401928,676103.026401928,676103.026401928,636448.734974771,636448.734974771,636448.734974771,636448.734974771,659394.51884366,659394.51884366,659394.51884366,659394.51884366,684761.114145746,684761.114145746,684761.114145746,684761.114145746,583332.660814998,583332.660814998,583332.660814998,583332.660814998
"4",635586.23827346,635586.23827346,635586.23827346,635586.23827346,495446.826534979,495446.826534979,495446.826534979,495446.826534979,513557.077281591,513557.077281591,513557.077281591,513557.077281591,637809.722393875,637809.722393875,637809.722393875,637809.722393875,574856.133821099,574856.133821099,574856.133821099,574856.133821099,696336.340051718,696336.340051718,696336.340051718,696336.340051718,542045.25794907,542045.25794907,542045.25794907,542045.25794907,527866.831115633,527866.831115633,527866.831115633,527866.831115633,491362.654641667,491362.654641667,491362.654641667,491362.654641667,586596.808010057,586596.808010057,586596.808010057,586596.808010057
"5",605441.814227397,605441.814227397,605441.814227397,605441.814227397,734826.387854105,734826.387854105,734826.387854105,734826.387854105,739972.36070966,739972.36070966,739972.36070966,739972.36070966,710440.294398646,710440.294398646,710440.294398646,710440.294398646,538077.45335446,538077.45335446,538077.45335446,538077.45335446,613636.375811548,613636.375811548,613636.375811548,613636.375811548,691375.248524597,691375.248524597,691375.248524597,691375.248524597,591405.140695095,591405.140695095,591405.140695095,591405.140695095,684056.520420333,684056.520420333,684056.520420333,684056.520420333,605813.85748141,605813.85748141,605813.85748141,605813.85748141
"6",558920.02578073,558920.02578073,558920.02578073,558920.02578073,517977.611442021,517977.611442021,517977.611442021,517977.611442021,480032.817402728,480032.817402728,480032.817402728,480032.817402728,501987.608396733,501987.608396733,501987.608396733,501987.608396733,809317.192361863,809317.192361863,809317.192361863,809317.192361863,599658.802777632,599658.802777632,599658.802777632,599658.802777632,543825.934620064,543825.934620064,543825.934620064,543825.934620064,656833.468589915,656833.468589915,656833.468589915,656833.468589915,589654.737187891,589654.737187891,589654.737187891,589654.737187891,621346.866719243,621346.866719243,621346.866719243,621346.866719243
"7",530558.312658841,530558.312658841,530558.312658841,530558.312658841,548477.505579632,548477.505579632,548477.505579632,548477.505579632,646575.541612548,646575.541612548,646575.541612548,646575.541612548,738873.641186131,738873.641186131,738873.641186131,738873.641186131,747928.140391965,747928.140391965,747928.140391965,747928.140391965,592865.166874786,592865.166874786,592865.166874786,592865.166874786,606580.429973118,606580.429973118,606580.429973118,606580.429973118,651289.413460621,651289.413460621,651289.413460621,651289.413460621,590888.265228604,590888.265228604,590888.265228604,590888.265228604,566877.399550268,566877.399550268,566877.399550268,566877.399550268
"8",663346.90724593,663346.90724593,663346.90724593,663346.90724593,729934.551558299,729934.551558299,729934.551558299,729934.551558299,640081.794952621,640081.794952621,640081.794952621,640081.794952621,594282.341596746,594282.341596746,594282.341596746,594282.341596746,585720.374608732,585720.374608732,585720.374608732,585720.374608732,794947.387545725,794947.387545725,794947.387545725,794947.387545725,648013.051679562,648013.051679562,648013.051679562,648013.051679562,660702.120882765,660702.120882765,660702.120882765,660702.120882765,591157.140145207,591157.140145207,591157.140145207,591157.140145207,614001.218439553,614001.218439553,614001.218439553,614001.218439553
"9",808590.795017056,808590.795017056,808590.795017056,808590.795017056,524996.559346096,524996.559346096,524996.559346096,524996.559346096,803931.916518486,803931.916518486,803931.916518486,803931.916518486,694919.70421187,694919.70421187,694919.70421187,694919.70421187,594474.725270649,594474.725270649,594474.725270649,594474.725270649,713854.553778861,713854.553778861,713854.553778861,713854.553778861,621179.505269628,621179.505269628,621179.505269628,621179.505269628,611118.249360385,611118.249360385,611118.249360385,611118.249360385,598475.819956152,598475.819956152,598475.819956152,598475.819956152,666762.241565665,666762.241565665,666762.241565665,666762.241565665
"10",525859.444293766,525859.444293766,525859.444293766,525859.444293766,834454.422626475,834454.422626475,834454.422626475,834454.422626475,763691.379920729,763691.379920729,763691.379920729,763691.379920729,614526.609632032,614526.609632032,614526.609632032,614526.609632032,645547.025055807,645547.025055807,645547.025055807,645547.025055807,581501.563892277,581501.563892277,581501.563892277,581501.563892277,579872.301706639,579872.301706639,579872.301706639,579872.301706639,546488.965249756,546488.965249756,546488.965249756,546488.965249756,578148.128313802,578148.128313802,578148.128313802,578148.128313802,569694.491002061,569694.491002061,569694.491002061,569694.491002061
