,index,binned,distance,position
0,0,,0.4372078,0.0
1,1,,0.38666636,50505.051
2,2,,0.35331428,101010.101
3,3,,0.31858334,151515.152
4,4,,0.31224278,202020.202
5,5,,0.29717222,252525.253
6,6,,0.2606205,303030.303
7,7,,0.2551448,353535.354
8,8,,0.24888574,404040.404
9,9,,0.23405057,454545.455
10,10,,0.22833166,505050.505
11,11,,0.22183761,555555.556
12,12,,0.22471939,606060.606
13,13,,0.22061887,656565.657
14,14,,0.2157346,707070.707
15,15,,0.21020563,757575.758
16,16,,0.20967205,808080.808
17,17,,0.20385647,858585.859
18,18,,0.20687142,909090.909
19,19,,0.19921817,959595.96
20,20,,0.19634932,1010101.01
21,21,,0.18804044,1060606.061
22,22,,0.18951672,1111111.111
23,23,,0.17602153,1161616.162
24,24,,0.18151675,1212121.212
25,25,,0.17420296,1262626.263
26,26,,0.17049234,1313131.313
27,27,,0.1750066,1363636.364
28,28,,0.17320122,1414141.414
29,29,,0.17284481,1464646.465
30,30,,0.17550923,1515151.515
31,31,,0.17288978,1565656.566
32,32,,0.17646274,1616161.616
33,33,,0.17608772,1666666.667
34,34,,0.17599466,1717171.717
35,35,,0.17565617,1767676.768
36,36,,0.16603768,1818181.818
37,37,,0.15826868,1868686.869
38,38,,0.15657838,1919191.919
39,39,,0.15123957,1969696.97
40,40,,0.1523351,2020202.02
41,41,,0.15059248,2070707.071
42,42,,0.14585654,2121212.121
43,43,,0.14031248,2171717.172
44,44,,0.13101771,2222222.222
45,45,,0.12548542,2272727.273
46,46,,0.12985356,2323232.323
47,47,,0.13512391,2373737.374
48,48,,0.1289488,2424242.424
49,49,,0.1302117,2474747.475
50,50,,0.12966228,2525252.525
51,51,,0.12778611,2575757.576
52,52,,0.12640876,2626262.626
53,53,,0.12500884,2676767.677
54,54,,0.11861819,2727272.727
55,55,,0.11533529,2777777.778
56,56,,0.11061858,2828282.828
57,57,,0.10919544,2878787.879
58,58,,0.11482263,2929292.929
59,59,,0.11823784,2979797.98
60,60,,0.12452379,3030303.03
61,61,,0.12264637,3080808.081
62,62,,0.12797576,3131313.131
63,63,,0.12115172,3181818.182
64,64,,0.12661758,3232323.232
65,65,,0.13236587,3282828.283
66,66,,0.11933908,3333333.333
67,67,,0.124043435,3383838.384
68,68,,0.12914827,3434343.434
69,69,,0.11995432,3484848.485
70,70,,0.12946534,3535353.535
71,71,,0.1354061,3585858.586
72,72,,0.13379171,3636363.636
73,73,,0.122922696,3686868.687
74,74,,0.12827848,3737373.737
75,75,,0.11434976,3787878.788
76,76,,0.11101681,3838383.838
77,77,,0.11266061,3888888.889
78,78,,0.11465122,3939393.939
79,79,,0.1182625,3989898.99
80,80,,0.123011336,4040404.04
