,index,binned,distance,position
0,0,,0.34699363,0.0
1,1,,0.26250467,5747.126
2,2,,0.22687817,11494.253
3,3,,0.20611405,17241.379
4,4,,0.18728529,22988.506
5,5,,0.1794554,28735.632
6,6,,0.17260435,34482.759
7,7,,0.16270663,40229.885
8,8,,0.15311599,45977.011
9,9,,0.15224707,51724.138
10,10,,0.14676176,57471.264
11,11,,0.13929228,63218.391
12,12,,0.13596477,68965.517
13,13,,0.13675888,74712.644
14,14,,0.14313747,80459.77
15,15,,0.14062747,86206.897
16,16,,0.1408738,91954.023
17,17,,0.14142516,97701.149
18,18,,0.13375421,103448.276
19,19,,0.13032667,109195.402
20,20,,0.12521319,114942.529
21,21,,0.12248426,120689.655
22,22,,0.12100697,126436.782
23,23,,0.118988864,132183.908
24,24,,0.12563811,137931.034
25,25,,0.13215236,143678.161
26,26,,0.13150302,149425.287
27,27,,0.1380875,155172.414
28,28,,0.13786758,160919.54
29,29,,0.13579771,166666.667
30,30,,0.13948971,172413.793
31,31,,0.14537929,178160.92
32,32,,0.15669334,183908.046
33,33,,0.15089665,189655.172
34,34,,0.14545426,195402.299
35,35,,0.13730071,201149.425
36,36,,0.13416912,206896.552
37,37,,0.13783929,212643.678
38,38,,0.13575025,218390.805
39,39,,0.13942382,224137.931
40,40,,0.13405749,229885.057
41,41,,0.12850441,235632.184
42,42,,0.1266455,241379.31
43,43,,0.12616585,247126.437
44,44,,0.12188167,252873.563
45,45,,0.120192066,258620.69
46,46,,0.13462149,264367.816
47,47,,0.14459185,270114.943
48,48,,0.1373293,275862.069
49,49,,0.13196613,281609.195
50,50,,0.13429374,287356.322
51,51,,0.1413655,293103.448
52,52,,0.1431083,298850.575
53,53,,0.15255688,304597.701
54,54,,0.16949351,310344.828
55,55,,0.17347783,316091.954
56,56,,0.16247055,321839.08
57,57,,0.15539686,327586.207
58,58,,0.15758182,333333.333
59,59,,0.13274892,339080.46
60,60,,0.13445376,344827.586
61,61,,0.1396976,350574.713
62,62,,0.13025546,356321.839
63,63,,0.119429104,362068.966
64,64,,0.116378404,367816.092
65,65,,0.11826064,373563.218
66,66,,0.12494732,379310.345
67,67,,0.13123146,385057.471
68,68,,0.13177629,390804.598
69,69,,0.12492247,396551.724
70,70,,0.116786495,402298.851
71,71,,0.122558884,408045.977
72,72,,0.117572434,413793.103
73,73,,0.11468776,419540.23
74,74,,0.09855098,425287.356
75,75,,0.09799114,431034.483
76,76,,0.084346876,436781.609
77,77,,0.07763151,442528.736
78,78,,0.07341496,448275.862
79,79,,0.09130479,454022.989
80,80,,0.09339107,459770.115
81,81,,0.08923765,465517.241
82,82,,0.097578295,471264.368
83,83,,0.10862686,477011.494
84,84,,0.11436502,482758.621
85,85,,0.09908769,488505.747
86,86,,0.116296366,494252.874
87,0,,0.3609091,0.0
88,1,,0.29702088,5747.126
89,2,,0.2661593,11494.253
90,3,,0.24202068,17241.379
91,4,,0.2231413,22988.506
92,5,,0.21345513,28735.632
93,6,,0.20765907,34482.759
94,7,,0.20444041,40229.885
95,8,,0.20977262,45977.011
96,9,,0.20922133,51724.138
97,10,,0.2014735,57471.264
98,11,,0.1993798,63218.391
99,12,,0.19530942,68965.517
100,13,,0.18614708,74712.644
101,14,,0.18291555,80459.77
102,15,,0.18214032,86206.897
103,16,,0.1748506,91954.023
104,17,,0.17520164,97701.149
105,18,,0.16578145,103448.276
106,19,,0.16255717,109195.402
107,20,,0.15602997,114942.529
108,21,,0.15012956,120689.655
109,22,,0.14688776,126436.782
110,23,,0.1397541,132183.908
111,24,,0.14177135,137931.034
112,25,,0.14844637,143678.161
113,26,,0.15021555,149425.287
114,27,,0.14797455,155172.414
115,28,,0.14594878,160919.54
116,29,,0.14843056,166666.667
117,30,,0.14819993,172413.793
118,31,,0.14401484,178160.92
119,32,,0.13717823,183908.046
120,33,,0.13359505,189655.172
121,34,,0.1433269,195402.299
122,35,,0.13931935,201149.425
123,36,,0.14146891,206896.552
124,37,,0.14826512,212643.678
125,38,,0.14809833,218390.805
126,39,,0.1484678,224137.931
127,40,,0.1408535,229885.057
128,41,,0.12784237,235632.184
129,42,,0.1200955,241379.31
130,43,,0.121560164,247126.437
131,44,,0.11757428,252873.563
132,45,,0.12002424,258620.69
133,46,,0.12817289,264367.816
134,47,,0.12173247,270114.943
135,48,,0.11607797,275862.069
136,49,,0.11662771,281609.195
137,50,,0.111135386,287356.322
138,51,,0.11316492,293103.448
139,52,,0.12038831,298850.575
140,53,,0.12416159,304597.701
141,54,,0.12274388,310344.828
142,55,,0.12381877,316091.954
143,56,,0.122269556,321839.08
144,57,,0.124003276,327586.207
145,58,,0.1175082,333333.333
146,59,,0.11469172,339080.46
147,60,,0.11561181,344827.586
148,61,,0.11643351,350574.713
149,62,,0.11376347,356321.839
150,63,,0.11585852,362068.966
151,64,,0.112413846,367816.092
152,65,,0.11322662,373563.218
153,66,,0.113229565,379310.345
154,67,,0.113001585,385057.471
155,68,,0.10933073,390804.598
156,69,,0.11685882,396551.724
157,70,,0.12563093,402298.851
158,71,,0.1228307,408045.977
159,72,,0.119125985,413793.103
160,73,,0.109396264,419540.23
161,74,,0.120309584,425287.356
162,75,,0.12550756,431034.483
163,76,,0.11440121,436781.609
164,77,,0.11933762,442528.736
165,78,,0.12312896,448275.862
166,79,,0.13206472,454022.989
167,80,,0.12688938,459770.115
168,81,,0.11945874,465517.241
169,82,,0.12004806,471264.368
170,83,,0.14128157,477011.494
171,84,,0.14644755,482758.621
172,85,,0.11921852,488505.747
173,86,,0.10218975,494252.874
174,0,,0.34955168,0.0
175,1,,0.27274033,5747.126
176,2,,0.2337641,11494.253
177,3,,0.20841874,17241.379
178,4,,0.18883774,22988.506
179,5,,0.1869094,28735.632
180,6,,0.18769437,34482.759
181,7,,0.18659472,40229.885
182,8,,0.18406366,45977.011
183,9,,0.19226702,51724.138
184,10,,0.19137858,57471.264
185,11,,0.18803693,63218.391
186,12,,0.17252569,68965.517
187,13,,0.17195572,74712.644
188,14,,0.1645784,80459.77
189,15,,0.15323056,86206.897
190,16,,0.15359354,91954.023
191,17,,0.15626486,97701.149
192,18,,0.15754154,103448.276
193,19,,0.15571718,109195.402
