,index,binned,distance,position
0,0,,0.73585236,0.0
1,1,,0.53774256,204.082
2,2,,0.48160332,408.163
3,3,,0.44901896,612.245
4,4,,0.45335233,816.327
5,5,,0.4668534,1020.408
6,6,,0.36135915,1224.49
7,7,,0.34979624,1428.571
8,8,,0.41149238,1632.653
9,9,,0.48423722,1836.735
10,10,,0.45268622,2040.816
11,11,,0.4045474,2244.898
12,12,,0.44319132,2448.98
13,13,,0.45656967,2653.061
14,14,,0.47585982,2857.143
15,15,,0.5503247,3061.224
16,16,,0.30723107,3265.306
17,17,,0.35949075,3469.388
18,18,,0.39070767,3673.469
19,19,,0.4515873,3877.551
20,20,,0.4782738,4081.633
21,21,,0.41847828,4285.714
22,22,,0.47840464,4489.796
23,23,,0.45436507,4693.878
24,24,,0.4659864,4897.959
25,25,,0.47486773,5102.041
26,26,,0.35,5306.122
27,27,,0.30314624,5510.204
28,28,,0.36284724,5714.286
29,29,,0.37319624,5918.367
30,30,,0.42630383,6122.449
31,31,,0.35023516,6326.531
32,32,,0.39213565,6530.612
33,33,,0.31056315,6734.694
34,34,,0.6527778,6938.776
35,35,,0.35648152,7142.857
36,36,,0.3685185,7346.939
37,37,,0.49404758,7551.02
38,38,,0.537037,7755.102
39,39,,0.23681977,7959.184
40,40,,0.14351852,8163.265
41,41,,0.14930555,8367.347
42,42,,0.13690476,8571.429
43,43,,0.25099206,8775.51
44,44,,0.16666666,8979.592
45,45,,0.382716,9183.673
46,46,,0.4444444,9387.755
47,47,,,9591.837
48,48,,,9795.918
49,0,,0.5450895,0.0
50,1,,0.4970084,204.082
51,2,,0.52172166,408.163
52,3,,0.45871624,612.245
53,4,,0.46223918,816.327
54,5,,0.40696648,1020.408
55,6,,0.35277933,1224.49
56,7,,0.5425647,1428.571
57,8,,0.41960594,1632.653
58,9,,0.34165883,1836.735
59,10,,0.42085472,2040.816
60,11,,0.39806634,2244.898
61,12,,0.40070328,2448.98
62,13,,0.38255858,2653.061
63,14,,0.3570602,2857.143
64,15,,0.41291296,3061.224
65,16,,0.2945967,3265.306
66,17,,0.27287582,3469.388
67,18,,0.31720245,3673.469
68,19,,0.3061742,3877.551
69,20,,0.2771673,4081.633
70,21,,0.27451813,4285.714
71,22,,0.28465867,4489.796
72,23,,0.26661572,4693.878
73,24,,0.23325354,4897.959
74,25,,0.18809524,5102.041
75,26,,0.19800907,5306.122
76,27,,0.20105821,5510.204
77,28,,0.18277311,5714.286
78,29,,0.20424484,5918.367
79,30,,0.23015873,6122.449
80,31,,0.18087444,6326.531
81,32,,0.14211999,6530.612
82,33,,0.13531746,6734.694
83,34,,0.2326389,6938.776
84,35,,0.11626985,7142.857
85,36,,0.14930375,7346.939
86,37,,0.15495087,7551.02
87,38,,0.13607804,7755.102
88,39,,0.22916669,7959.184
89,40,,0.19345237,8163.265
90,41,,0.18055555,8367.347
91,42,,0.22146636,8571.429
92,43,,0.25925925,8775.51
93,44,,0.11111112,8979.592
94,45,,0.25925925,9183.673
95,46,,0.11111112,9387.755
96,47,,0.11111112,9591.837
97,48,,,9795.918
98,0,,0.6539033,0.0
99,1,,0.6572802,204.082
100,2,,0.6096344,408.163
101,3,,0.5494469,612.245
102,4,,0.48734972,816.327
103,5,,0.44731042,1020.408
104,6,,0.41570702,1224.49
105,7,,0.41634348,1428.571
106,8,,0.5162305,1632.653
107,9,,0.43620303,1836.735
108,10,,0.4133787,2040.816
109,11,,0.4883402,2244.898
110,12,,0.5088577,2448.98
111,13,,0.5125321,2653.061
112,14,,0.44634122,2857.143
113,15,,0.4013893,3061.224
114,16,,0.51131195,3265.306
115,17,,0.41491964,3469.388
116,18,,0.39962935,3673.469
117,19,,0.39502165,3877.551
118,20,,0.3878093,4081.633
119,21,,0.42465833,4285.714
120,22,,0.34775135,4489.796
121,23,,0.27599916,4693.878
122,24,,0.35331637,4897.959
123,25,,0.40118614,5102.041
124,26,,0.30204397,5306.122
125,27,,0.27712137,5510.204
126,28,,0.27993512,5714.286
127,29,,0.32441765,5918.367
128,30,,0.19809148,6122.449
129,31,,0.20144726,6326.531
130,32,,0.19894181,6530.612
131,33,,0.2796517,6734.694
132,34,,0.24397415,6938.776
133,35,,0.170257,7142.857
134,36,,0.34788364,7346.939
135,37,,0.45238096,7551.02
136,38,,0.44444448,7755.102
137,39,,0.47845805,7959.184
138,40,,0.11111112,8163.265
139,41,,0.18367347,8367.347
140,42,,0.11111112,8571.429
141,43,,0.2037037,8775.51
142,44,,0.14285715,8979.592
143,45,,0.17857143,9183.673
144,46,,0.10714287,9387.755
145,47,,0.10714287,9591.837
146,48,,0.10714287,9795.918
147,0,,0.40779325,0.0
148,1,,0.28852516,204.082
149,2,,0.4873738,408.163
150,3,,0.47284883,612.245
151,4,,0.3254795,816.327
152,5,,0.34828517,1020.408
153,6,,0.4278274,1224.49
154,7,,0.46586043,1428.571
155,8,,0.3930461,1632.653
156,9,,0.37954566,1836.735
157,10,,0.28118965,2040.816
158,11,,0.4242581,2244.898
159,12,,0.3768739,2448.98
160,13,,0.40859094,2653.061
161,14,,0.44179896,2857.143
162,15,,0.56468254,3061.224
163,16,,0.41581634,3265.306
164,17,,0.19520031,3469.388
165,18,,0.37887973,3673.469
166,19,,0.3528694,3877.551
167,20,,0.30562225,4081.633
168,21,,0.3299664,4285.714
169,22,,0.3313933,4489.796
170,23,,0.35015976,4693.878
171,24,,0.31887758,4897.959
172,25,,0.24351855,5102.041
173,26,,0.24799225,5306.122
174,27,,0.25126767,5510.204
175,28,,0.25182894,5714.286
176,29,,0.25555554,5918.367
177,30,,0.36309525,6122.449
178,31,,0.28174603,6326.531
179,32,,0.30555555,6530.612
180,33,,0.18633997,6734.694
181,34,,0.12896827,6938.776
182,35,,0.3296296,7142.857
183,36,,0.19287874,7346.939
184,37,,0.11111112,7551.02
185,38,,0.3381834,7755.102
186,39,,0.16666669,7959.184
187,40,,0.16666666,8163.265
188,41,,,8367.347
189,42,,0.15079366,8571.429
190,43,,0.30555555,8775.51
191,44,,0.28911567,8979.592
192,45,,0.18055555,9183.673
193,46,,,9387.755
194,47,,,9591.837
195,48,,,9795.918
196,0,,0.47907454,0.0
197,1,,0.5111311,204.082
198,2,,0.44141558,408.163
199,3,,0.39941463,612.245
200,4,,0.48359326,816.327
201,5,,0.44628593,1020.408
202,6,,0.4337522,1224.49
203,7,,0.39756528,1428.571
204,8,,0.3749958,1632.653
205,9,,0.3658159,1836.735
206,10,,0.45664698,2040.816
207,11,,0.33890885,2244.898
208,12,,0.34246516,2448.98
209,13,,0.30653188,2653.061
210,14,,0.34979588,2857.143
211,15,,0.3127305,3061.224
212,16,,0.31494954,3265.306
213,17,,0.4122891,3469.388
214,18,,0.2695598,3673.469
215,19,,0.46595386,3877.551
216,20,,0.3674805,4081.633
217,21,,0.28923157,4285.714
218,22,,0.29492152,4489.796
219,23,,0.38498533,4693.878
220,24,,0.3161853,4897.959
221,25,,0.32815507,5102.041
222,26,,0.23177737,5306.122
223,27,,0.26068634,5510.204
224,28,,0.29921988,5714.286
225,29,,0.23849566,5918.367
226,30,,0.23377936,6122.449
227,31,,0.23729046,6326.531
228,32,,0.23789375,6530.612
229,33,,0.3787037,6734.694
230,34,,0.26492745,6938.776
231,35,,0.33102775,7142.857
232,36,,0.26782963,7346.939
233,37,,0.2825342,7551.02
234,38,,0.32374334,7755.102
235,39,,0.34364378,7959.184
236,40,,0.27678582,8163.265
237,41,,0.11111112,8367.347
238,42,,0.16666666,8571.429
239,43,,,8775.51
240,44,,0.4444444,8979.592
241,45,,0.25925925,9183.673
242,46,,0.16666666,9387.755
243,47,,,9591.837
244,48,,,9795.918
245,0,,0.62166476,0.0
246,1,,0.49314657,204.082
247,2,,0.4882089,408.163
248,3,,0.45016128,612.245
249,4,,0.4997889,816.327
250,5,,0.45501214,1020.408
251,6,,0.4441336,1224.49
252,7,,0.43926778,1428.571
253,8,,0.31724435,1632.653
254,9,,0.34364635,1836.735
255,10,,0.3633349,2040.816
256,11,,0.41898972,2244.898
257,12,,0.35547012,2448.98
258,13,,0.34570885,2653.061
259,14,,0.31161678,2857.143
260,15,,0.3192335,3061.224
261,16,,0.32981265,3265.306
262,17,,0.37440374,3469.388
263,18,,0.28889543,3673.469
264,19,,0.32205623,3877.551
265,20,,0.25242877,4081.633
266,21,,0.30467814,4285.714
267,22,,0.31551433,4489.796
268,23,,0.38744348,4693.878
269,24,,0.27713844,4897.959
270,25,,0.3305711,5102.041
271,26,,0.32666922,5306.122
272,27,,0.33062008,5510.204
273,28,,0.33087456,5714.286
274,29,,0.2958333,5918.367
275,30,,0.26158807,6122.449
276,31,,0.2530864,6326.531
277,32,,0.27840024,6530.612
278,33,,0.41683075,6734.694
279,34,,0.27392575,6938.776
280,35,,0.37268513,7142.857
281,36,,0.33868444,7346.939
282,37,,0.34530893,7551.02
283,38,,0.22178128,7755.102
284,39,,0.3315972,7959.184
285,40,,0.5355017,8163.265
286,41,,0.24107143,8367.347
287,42,,0.4791667,8571.429
288,43,,0.3154762,8775.51
289,44,,0.3303572,8979.592
290,45,,0.16666666,9183.673
291,46,,0.16666666,9387.755
292,47,,,9591.837
293,48,,,9795.918
294,0,,0.39449608,0.0
295,1,,0.6004273,204.082
296,2,,0.38477978,408.163
297,3,,0.37340835,612.245
298,4,,0.39459762,816.327
299,5,,0.52347887,1020.408
300,6,,0.48383123,1224.49
301,7,,0.42043653,1428.571
302,8,,0.45587683,1632.653
303,9,,0.52293944,1836.735
304,10,,0.5603408,2040.816
305,11,,0.38443965,2244.898
306,12,,0.3681064,2448.98
307,13,,0.53239393,2653.061
308,14,,0.35451338,2857.143
309,15,,0.3101852,3061.224
310,16,,0.12830691,3265.306
311,17,,0.34920627,3469.388
312,18,,0.39191228,3673.469
313,19,,0.510771,3877.551
314,20,,0.54117066,4081.633
315,21,,0.6666667,4285.714
316,22,,0.32879812,4489.796
317,23,,0.45271158,4693.878
318,24,,0.49421296,4897.959
319,25,,0.23544973,5102.041
320,26,,0.39932394,5306.122
321,27,,0.30562168,5510.204
322,28,,0.5251323,5714.286
323,29,,0.6296296,5918.367
324,30,,0.25925925,6122.449
325,31,,0.6296296,6326.531
326,32,,0.4444444,6530.612
327,33,,,6734.694
328,34,,0.7222222,6938.776
329,35,,,7142.857
330,36,,,7346.939
331,37,,,7551.02
332,38,,0.44444454,7755.102
333,39,,1.0,7959.184
334,40,,0.44444454,8163.265
335,41,,,8367.347
336,42,,,8571.429
337,43,,,8775.51
338,44,,,8979.592
339,45,,,9183.673
340,46,,,9387.755
341,47,,,9591.837
342,48,,,9795.918
343,0,,0.70780426,0.0
344,1,,0.71922535,204.082
345,2,,0.6323916,408.163
346,3,,0.58903646,612.245
347,4,,0.63678074,816.327
348,5,,0.6252535,1020.408
349,6,,0.46445104,1224.49
350,7,,0.47640932,1428.571
351,8,,0.44669676,1632.653
352,9,,0.56055737,1836.735
353,10,,0.5522092,2040.816
354,11,,0.45366287,2244.898
355,12,,0.44152957,2448.98
356,13,,0.43036053,2653.061
357,14,,0.41691357,2857.143
358,15,,0.38387764,3061.224
359,16,,0.37507933,3265.306
360,17,,0.37545452,3469.388
361,18,,0.3534656,3673.469
362,19,,0.29382396,3877.551
363,20,,0.3924031,4081.633
364,21,,0.34569106,4285.714
365,22,,0.33043548,4489.796
366,23,,0.35849208,4693.878
367,24,,0.28002888,4897.959
368,25,,0.2741369,5102.041
369,26,,0.2138369,5306.122
370,27,,0.262785,5510.204
371,28,,0.29544973,5714.286
372,29,,0.16474266,5918.367
373,30,,0.19295634,6122.449
374,31,,0.27645501,6326.531
375,32,,0.15964592,6530.612
376,33,,0.25210083,6734.694
377,34,,0.1919879,6938.776
378,35,,0.15123457,7142.857
379,36,,0.24444444,7346.939
380,37,,0.1388889,7551.02
381,38,,0.1388889,7755.102
382,39,,0.15555556,7959.184
383,40,,0.11111112,8163.265
384,41,,0.17777777,8367.347
385,42,,0.11111112,8571.429
386,43,,0.11111112,8775.51
387,44,,0.11111112,8979.592
388,45,,,9183.673
389,46,,,9387.755
390,47,,,9591.837
391,48,,,9795.918
392,0,,0.4531098,0.0
393,1,,0.36478734,204.082
394,2,,0.43757558,408.163
395,3,,0.509581,612.245
396,4,,0.38438526,816.327
397,5,,0.5338955,1020.408
398,6,,0.43004796,1224.49
399,7,,0.3188446,1428.571
400,8,,0.32739672,1632.653
401,9,,0.37577477,1836.735
402,10,,0.39496136,2040.816
403,11,,0.3588199,2244.898
404,12,,0.22255993,2448.98
405,13,,0.30883667,2653.061
406,14,,0.39921904,2857.143
407,15,,0.3972106,3061.224
408,16,,0.3331935,3265.306
409,17,,0.27616727,3469.388
410,18,,0.2925406,3673.469
411,19,,0.31746033,3877.551
412,20,,0.34315476,4081.633
413,21,,0.29966718,4285.714
414,22,,0.30762988,4489.796
415,23,,0.19021739,4693.878
416,24,,0.28863826,4897.959
417,25,,0.21560846,5102.041
418,26,,0.29772925,5306.122
419,27,,0.21685341,5510.204
420,28,,0.22290792,5714.286
421,29,,0.2350718,5918.367
422,30,,0.38465798,6122.449
423,31,,0.29126978,6326.531
424,32,,0.14333251,6530.612
425,33,,0.38086972,6734.694
426,34,,0.37752515,6938.776
427,35,,0.34895825,7142.857
428,36,,0.3085618,7346.939
429,37,,0.23966601,7551.02
430,38,,0.17592594,7755.102
431,39,,0.76190454,7959.184
432,40,,0.25252518,8163.265
433,41,,0.25,8367.347
434,42,,0.16666658,8571.429
435,43,,0.20833333,8775.51
436,44,,0.16666646,8979.592
437,45,,,9183.673
438,46,,0.16666652,9387.755
439,47,,,9591.837
440,48,,,9795.918
441,0,,0.6956202,0.0
442,1,,0.6362974,204.082
443,2,,0.56922406,408.163
444,3,,0.37946427,612.245
445,4,,0.45823884,816.327
446,5,,0.39888504,1020.408
447,6,,0.5465686,1224.49
448,7,,0.5109127,1428.571
449,8,,0.3907121,1632.653
450,9,,0.4173806,1836.735
451,10,,0.35111108,2040.816
452,11,,0.37780866,2244.898
453,12,,0.2917966,2448.98
454,13,,0.30527213,2653.061
455,14,,0.2915873,2857.143
456,15,,0.4887301,3061.224
457,16,,0.3637677,3265.306
458,17,,0.3714332,3469.388
459,18,,0.32276377,3673.469
460,19,,0.27437642,3877.551
461,20,,0.24499655,4081.633
462,21,,0.3700651,4285.714
463,22,,0.38455313,4489.796
464,23,,0.48774508,4693.878
465,24,,0.49304003,4897.959
466,25,,0.31421357,5102.041
467,26,,0.45419097,5306.122
468,27,,0.4309764,5510.204
469,28,,0.43610147,5714.286
470,29,,0.43067956,5918.367
471,30,,0.27199072,6122.449
472,31,,0.5152164,6326.531
473,32,,0.5353534,6530.612
474,33,,0.1672454,6734.694
475,34,,0.20069446,6938.776
476,35,,0.218998,7142.857
477,36,,0.31828704,7346.939
478,37,,0.19444443,7551.02
479,38,,0.4537037,7755.102
480,39,,0.11111112,7959.184
481,40,,0.15740742,8163.265
482,41,,0.11111112,8367.347
483,42,,,8571.429
484,43,,,8775.51
485,44,,0.11111112,8979.592
486,45,,,9183.673
487,46,,0.11111112,9387.755
488,47,,,9591.837
489,48,,,9795.918
490,0,,0.55291003,0.0
491,1,,0.436626,204.082
492,2,,0.47362515,408.163
493,3,,0.42733884,612.245
494,4,,0.51076007,816.327
495,5,,0.59270704,1020.408
496,6,,0.33300263,1224.49
497,7,,0.4500113,1428.571
498,8,,0.42863154,1632.653
499,9,,0.4246032,1836.735
500,10,,0.40556103,2040.816
501,11,,0.469379,2244.898
502,12,,0.5491476,2448.98
503,13,,0.348117,2653.061
504,14,,0.4182098,2857.143
505,15,,0.28703701,3061.224
506,16,,0.2201623,3265.306
507,17,,0.34653047,3469.388
508,18,,0.26126918,3673.469
509,19,,0.36397883,3877.551
510,20,,0.28440666,4081.633
511,21,,0.22942387,4285.714
512,22,,0.32520783,4489.796
513,23,,0.2698318,4693.878
514,24,,0.30457267,4897.959
515,25,,0.24519,5102.041
516,26,,0.23226686,5306.122
517,27,,0.26893845,5510.204
518,28,,0.24868163,5714.286
519,29,,0.21039261,5918.367
520,30,,0.2955026,6122.449
521,31,,0.27160484,6326.531
522,32,,0.3333333,6530.612
523,33,,0.4135802,6734.694
524,34,,0.3292181,6938.776
525,35,,0.24074072,7142.857
526,36,,0.44444433,7346.939
527,37,,0.4444444,7551.02
528,38,,,7755.102
529,39,,,7959.184
530,40,,,8163.265
531,41,,,8367.347
532,42,,,8571.429
533,43,,,8775.51
534,44,,,8979.592
535,45,,,9183.673
536,46,,1.0,9387.755
537,47,,,9591.837
538,48,,,9795.918
539,0,,0.9999995,0.0
540,1,,0.9999997,204.082
541,2,,0.99999976,408.163
542,3,,0.5132275,612.245
543,4,,0.11111112,816.327
544,5,,0.99999976,1020.408
545,6,,0.55555546,1224.49
546,7,,,1428.571
547,8,,0.42857143,1632.653
548,9,,,1836.735
549,10,,0.59183675,2040.816
550,11,,1.0,2244.898
551,12,,,2448.98
552,13,,0.11111112,2653.061
553,14,,0.11111112,2857.143
554,15,,0.5555556,3061.224
555,16,,0.45678997,3265.306
556,17,,0.99999976,3469.388
557,18,,,3673.469
558,19,,,3877.551
559,20,,,4081.633
560,21,,0.11111112,4285.714
561,22,,0.42857143,4489.796
562,23,,,4693.878
563,24,,0.11111112,4897.959
564,25,,1.0,5102.041
565,26,,0.25925925,5306.122
566,27,,,5510.204
567,28,,0.1851852,5714.286
568,29,,0.11111112,5918.367
569,30,,1.0,6122.449
570,31,,0.11111112,6326.531
571,32,,0.42857143,6530.612
572,33,,,6734.694
573,34,,,6938.776
574,35,,0.18367347,7142.857
575,36,,1.0,7346.939
576,37,,,7551.02
577,38,,,7755.102
578,39,,,7959.184
579,40,,,8163.265
580,41,,0.18367347,8367.347
581,42,,,8571.429
582,43,,,8775.51
583,44,,,8979.592
584,45,,,9183.673
585,46,,,9387.755
586,47,,,9591.837
587,48,,,9795.918
588,0,,0.49496338,0.0
589,1,,0.57509923,204.082
590,2,,0.48922908,408.163
591,3,,0.47713944,612.245
592,4,,0.5559965,816.327
593,5,,0.48977822,1020.408
594,6,,0.48567176,1224.49
595,7,,0.5421391,1428.571
596,8,,0.42772108,1632.653
597,9,,0.2873016,1836.735
598,10,,0.34375787,2040.816
599,11,,0.2628496,2244.898
600,12,,0.34424603,2448.98
601,13,,0.2748016,2653.061
602,14,,0.40952384,2857.143
603,15,,0.45069745,3061.224
604,16,,0.34823635,3265.306
605,17,,0.30988458,3469.388
606,18,,0.3606702,3673.469
607,19,,0.3015873,3877.551
608,20,,0.416336,4081.633
609,21,,0.46428573,4285.714
610,22,,0.45238096,4489.796
611,23,,0.40098262,4693.878
612,24,,0.36507937,4897.959
613,25,,0.18367347,5102.041
614,26,,0.39229023,5306.122
615,27,,0.45578232,5510.204
616,28,,0.45379817,5714.286
617,29,,0.16666666,5918.367
618,30,,0.4614513,6122.449
619,31,,0.22146636,6326.531
620,32,,0.58900225,6530.612
621,33,,0.29823318,6734.694
622,34,,0.48979595,6938.776
623,35,,0.505453,7142.857
624,36,,0.62797624,7346.939
625,37,,0.4915675,7551.02
626,38,,0.5304233,7755.102
627,39,,0.43617725,7959.184
628,40,,0.47751325,8163.265
629,41,,0.6428572,8367.347
630,42,,0.55423284,8571.429
631,43,,0.5320768,8775.51
632,44,,0.5320768,8979.592
633,45,,0.5149912,9183.673
634,46,,0.5149912,9387.755
635,47,,0.5149912,9591.837
636,48,,,9795.918
