,index,binned,distance,position
0,0,,0.8661885,0.0
1,1,,0.8679601,1010101.01
2,2,,0.8440101,2020202.02
3,3,,0.8325979,3030303.03
4,4,,0.82033217,4040404.04
5,5,,0.7544158,5050505.051
6,6,,0.7414765,6060606.061
7,7,,0.67788464,7070707.071
8,8,,0.6887448,8080808.081
9,9,,0.67405754,9090909.091
10,10,,0.5968826,10101010.101
11,11,,0.575949,11111111.111
12,12,,0.5584168,12121212.121
13,13,,0.56919444,13131313.131
14,14,,0.59920835,14141414.141
15,15,,0.55760056,15151515.152
16,16,,0.56754476,16161616.162
17,17,,0.59242386,17171717.172
18,18,,0.614585,18181818.182
19,19,,0.61310035,19191919.192
20,20,,0.6407688,20202020.202
21,21,,0.6200815,21212121.212
22,22,,0.6424425,22222222.222
23,23,,0.6489405,23232323.232
24,24,,0.54416555,24242424.242
25,25,,0.5837678,25252525.253
26,26,,0.5935772,26262626.263
27,27,,0.6210416,27272727.273
28,28,,0.6263438,28282828.283
29,29,,0.539323,29292929.293
30,30,,0.6229947,30303030.303
31,31,,0.61497635,31313131.313
32,32,,0.5900275,32323232.323
33,33,,0.5414662,33333333.333
34,34,,0.5731491,34343434.343
35,35,,0.5932421,35353535.354
36,36,,0.58988774,36363636.364
37,37,,0.6013282,37373737.374
38,38,,0.5641391,38383838.384
39,39,,0.6084001,39393939.394
40,40,,0.58814234,40404040.404
41,41,,0.5842325,41414141.414
42,42,,0.5711831,42424242.424
43,43,,0.4977379,43434343.434
44,44,,0.5210805,44444444.444
45,45,,0.5603459,45454545.455
46,46,,0.5121103,46464646.465
47,47,,0.4477293,47474747.475
48,48,,0.48702756,48484848.485
49,49,,0.50672984,49494949.495
50,50,,0.51760626,50505050.505
51,51,,0.42910156,51515151.515
52,52,,0.3811872,52525252.525
53,53,,0.42096487,53535353.535
54,54,,0.55208325,54545454.545
55,55,,0.58543205,55555555.556
56,56,,0.6079582,56565656.566
57,57,,0.5686772,57575757.576
58,58,,0.5383112,58585858.586
59,59,,0.54296595,59595959.596
60,60,,0.5940372,60606060.606
61,61,,0.67040837,61616161.616
62,62,,0.6510451,62626262.626
63,63,,0.6067288,63636363.636
64,64,,0.61985254,64646464.646
65,65,,0.5587115,65656565.657
66,66,,0.50533795,66666666.667
67,67,,0.5998011,67676767.677
68,68,,0.5715583,68686868.687
69,69,,0.5054288,69696969.697
70,70,,0.46744516,70707070.707
71,71,,0.5761574,71717171.717
72,72,,0.5001963,72727272.727
73,73,,0.5003572,73737373.737
74,74,,0.4330808,74747474.747
75,75,,0.5913217,75757575.758
76,76,,0.5749559,76767676.768
77,77,,0.5258916,77777777.778
78,78,,0.57922506,78787878.788
79,79,,0.4896357,79797979.798
80,80,,0.61989945,80808080.808
81,81,,0.612852,81818181.818
82,82,,0.5922906,82828282.828
83,83,,0.6310541,83838383.838
84,84,,0.6407137,84848484.848
85,85,,0.646356,85858585.859
86,86,,0.5971889,86868686.869
87,87,,0.64443034,87878787.879
88,88,,0.44321728,88888888.889
89,89,,0.5427833,89898989.899
90,90,,0.71446073,90909090.909
91,91,,0.6841508,91919191.919
92,92,,0.4978404,92929292.929
93,93,,0.7179486,93939393.939
94,94,,0.73205495,94949494.949
95,95,,0.5350593,95959595.96
96,96,,0.3906115,96969696.97
97,97,,0.3823529,97979797.98
98,98,,0.3089431,98989898.99
99,0,,0.45289236,0.0
100,1,,0.38208207,1010101.01
101,2,,0.35461298,2020202.02
102,3,,0.3466737,3030303.03
103,4,,0.3401624,4040404.04
104,5,,0.33284608,5050505.051
105,6,,0.3303105,6060606.061
106,7,,0.3364136,7070707.071
107,8,,0.34296417,8080808.081
108,9,,0.34757704,9090909.091
109,10,,0.33796868,10101010.101
110,11,,0.3453502,11111111.111
111,12,,0.33751225,12121212.121
112,13,,0.33980066,13131313.131
113,14,,0.33438277,14141414.141
114,15,,0.34099883,15151515.152
115,16,,0.34554228,16161616.162
116,17,,0.35307682,17171717.172
117,18,,0.34084547,18181818.182
118,19,,0.3464921,19191919.192
119,20,,0.34320423,20202020.202
120,21,,0.34039655,21212121.212
121,22,,0.3400469,22222222.222
122,23,,0.33775315,23232323.232
123,24,,0.33536252,24242424.242
124,25,,0.3177322,25252525.253
125,26,,0.3242046,26262626.263
126,27,,0.3185995,27272727.273
127,28,,0.32141984,28282828.283
128,29,,0.32957122,29292929.293
129,30,,0.3356647,30303030.303
130,31,,0.33901006,31313131.313
131,32,,0.33581814,32323232.323
132,33,,0.33039114,33333333.333
133,34,,0.328864,34343434.343
134,35,,0.3296935,35353535.354
135,36,,0.33028936,36363636.364
136,37,,0.33093336,37373737.374
