"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,8226.79132249193,16667.2892626159,25332.8934815013,34235.9408241397,43389.8109506693,52809.0472825534,62509.4960079274,72508.4664818095,82824.9170985799,93479.6716505386,104495.672376888,115898.277432479,127715.612474678,139978.9886307,152723.402476938,165988.138132348,179817.497562138,194261.693316136,209377.949083017,225231.868958747,241899.158221363,259467.809782887,278040.9162413,297740.335440557,318711.540609286,341130.146391226,365210.857589448,391220.007091095,419493.562274883,450463.737917494,484699.678741634,522972.204399304,566362.015349973,616451.876049842,675695.606876241,748204.073358051,841683.74500859,973435.942316797,1198667.81127554
"2",0,8158.99673136044,16529.9389863617,25124.1324848464,33953.8124074593,43032.2481564569,52373.8633052017,61994.3734580085,71910.9453285421,82142.3810805767,92709.3329036049,103634.553976518,114943.193484999,126663.145311064,138825.462556048,151464.85339975,164620.278232147,178335.673938852,192660.839282696,207652.526388604,223375.798728293,239905.737714654,257329.611135752,275749.662033494,295286.744056835,316085.131631898,338318.992213292,362201.261284341,387996.07696044,416036.638010989,446751.597456585,480705.409864045,518662.542785127,561694.790941584,611371.875688732,670127.396184878,742038.34151342,834747.674417025,965414.140241712,1188789.93897
"3",0,8248.3419209973,16710.950277584,25399.2545930208,34325.624029442,43503.4732958494,52947.3839111155,62673.2435734645,72698.4069808614,83041.8821903955,93724.5475436037,104769.40537833,116201.880276711,128050.171573046,140345.67241602,153123.471057765,166422.954524465,180288.540833116,194770.574068487,209926.427820314,225821.878038627,242532.828316211,260147.502068069,278769.261949742,298520.285019488,319546.42558223,342023.758315338,366167.550454647,392244.832563092,420592.452107114,451643.756077253,485969.380106695,524342.163058115,567845.636353964,618066.710601718,677465.63411588,750164.041096741,843888.588640345,975985.919135367,1201807.79717399
"4",0,8256.42339543681,16727.3231581971,25424.1400098406,34359.2552314304,43546.096675292,52999.2601468263,62734.6489105409,72769.6346680058,83123.2440998264,93816.376003503,104872.055253871,116315.731343298,128175.631234933,140483.178835515,153273.496775576,166586.010671509,180465.182059733,194961.404350619,210132.107346801,226043.131443581,242770.454601779,260402.386675012,279042.391590408,298812.766111587,319859.507447085,342358.862786879,366526.310279097,392629.14211509,421004.535794201,452086.262887163,486445.518118593,524855.897555169,568401.994230461,618672.273558672,678129.394330745,750899.02899875,844715.405002253,976942.160442331,1202985.29188591
"5",0,7902.78406024101,16010.8580306287,24335.1726034483,32887.5787444201,41680.9291637599,50729.1944989633,60047.5968455115,69652.7638398143,79562.9072112134,89798.0306193874,100380.172737151,111333.693003574,122685.609363808,134465.999775023,146708.482494355,159450.794459202,172735.492828333,186610.812560293,201131.723622962,216361.246334169,232372.104364798,249248.825078589,267090.440833132,286014.010173983,306159.276953556,327694.939337743,350827.246109192,375812.040793371,402972.058894462,432722.492668338,465610.071412758,502375.256508152,544056.185671912,592173.28712754,649083.739002507,718736.502842321,808534.533461709,935097.74917649,1151458.99551066
"6",0,8525.20724901771,17271.8730393282,26251.8105396249,35477.8040975627,44963.7187026774,54724.6253197259,64776.9449362679,75138.6147811806,85829.2809394154,96870.5225586752,108286.114077412,120102.333483858,132348.326656238,145056.540491311,158263.241019788,172009.137339856,186340.138411657,201308.278178561,216972.856042533,233401.855800968,250673.728840297,268879.659898531,288126.481120694,308540.470582149,330272.378359644,353504.189284826,378458.396292279,405410.993140824,434710.133979529,466803.711601937,502281.515699499,541942.326383117,586906.045085795,638812.848941792,700205.567402905,775344.182184085,872214.704742761,1008746.03798505,1242147.89378602
"7",0,8198.95513275582,16610.8937849486,25247.1770457887,34120.1000172908,43242.997088145,52630.3624706606,62297.9887357752,72263.1266705342,82544.6705216515,93163.3736219963,104142.100583359,115506.123758679,127283.473639287,139505.355407995,152206.647226702,165426.50029253,179209.066670458,193604.389011015,208669.497380675,224469.773897236,241080.667682185,258589.873914527,277100.136367897,296732.90056777,317633.147519232,339975.897655915,363975.129305232,389896.274189766,418074.162908251,448939.547794472,483059.647811763,521202.674465006,564445.671553151,614366.048087002,673409.321691708,745672.448362242,838835.821984239,970142.222259478,1194611.99615671
"8",0,8481.35776733664,17183.0350019277,26116.7841113249,35295.3236867738,44732.4474031095,54443.1487074433,64443.7641258347,74752.1386268598,85387.8172456517,96372.2681373693,107729.143456422,119484.586029969,131667.591824143,144310.440844792,157449.212587965,171124.406764229,185381.696200569,200272.84720329,215856.854167339,232201.351214824,249384.386216752,267496.674901598,286644.499922268,306953.489841684,328573.619352194,351685.937244794,376511.792059616,403325.757979053,432474.198418114,464402.702429649,499698.026116423,539154.841056509,583887.288459618,635527.109193878,696604.053644473,771356.192271333,867728.460408703,1003557.54348616,1235758.89470098
"9",0,8519.96925632543,17261.260987079,26235.6811027973,35456.0060962739,44936.0924382239,54691.001833617,64737.1451807554,75092.448687661,85776.546368488,96811.0041124441,108219.581750673,120028.541125885,132267.010208718,144967.415960157,158166.002128614,171903.452800105,186225.648727739,201184.591884587,216839.545238329,233258.450816275,250519.711803354,268714.456912549,287949.452649892,308350.899503936,330069.454928719,353286.99194216,378225.866776432,405161.90361638,434443.042700862,466516.901632551,501972.907728825,541609.350320212,586545.442758435,638420.354432656,699775.352448826,774867.801136487,871678.805248931,1008126.25195276,1241384.70276904
"10",0,8566.96153362187,17356.4662558291,26380.3851931939,35651.565307836,45183.9394964639,54992.652537565,65094.2058444961,75506.6244980936,86249.6508048082,97344.9696014887,108816.471767706,120690.563994557,132996.534909325,145766.990325368,159038.373895141,172851.594099582,187252.784749178,202294.234636242,218035.533596046,234544.998393235,251901.464649064,270196.563701071,289537.6509308,310051.622891328,331889.967994724,355235.562387792,380311.988718603,407396.592492817,436839.233029477,469089.99678647,504741.562094306,544596.621284564,589780.560781027,641941.590886052,703634.995179705,779141.619677798,876486.589279287,1013686.61807103,1248231.61646427
