"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,8479.56188412786,17179.3965840136,26111.2540186983,35287.850086332,44722.9755410112,54431.6206550631,64430.1184953733,74736.3102519388,85369.7368213338,96351.8618129472,107706.332372969,119459.28579295,131639.711899279,144279.883862682,157415.873539562,171088.172064886,185342.442594654,200230.440473927,215811.147605897,232152.183791501,249331.580375515,267440.033877833,286583.804446564,306888.49404344,328504.045604448,351611.469584451,376432.067654183,403240.355856387,432382.624265428,464304.367583002,499592.217669334,539040.677834941,583763.653375952,635392.539647888,696456.551374503,771192.861626442,867544.72343939,1003345.04541794,1235497.22920944
"2",0,8373.75443174384,16965.0331285795,25785.4393947798,34847.5304602988,44164.9249990504,53752.4262356644,63626.1634340208,73803.7551628438,84304.4984886002,95149.5891990793,106362.379372833,117968.680161894,129997.119659378,142479.568333368,155451.64793786,168953.344361923,183029.750979504,197731.977335645,213118.269360973,229255.403100704,246220.436229283,264102.933561002,283007.829336368,303059.158263547,324404.992299783,347224.083262598,371734.971434072,398208.747462627,426987.380436349,458510.806201407,493358.336661706,532314.561364251,576479.486363301,627464.15056333,687766.209302111,761569.964464955,856719.553664034,990825.367565658,1220080.77066636
"3",0,8358.78873833733,16934.7129792961,25739.355289558,34785.2504566166,44085.9928148976,53656.3591324963,63512.4498468423,73671.8520385022,84153.8282859505,94979.5364955619,106172.287010721,117757.8448534,129764.786952179,142224.926815785,155173.822534507,168651.388534064,182702.63759688,197378.58792429,212737.381348962,228845.674573009,245780.387552305,263630.925029626,282502.033705506,302517.526611512,323825.211068571,346603.519426409,371070.601388794,397497.063107074,426224.262497299,457691.349146019,492476.599602635,531363.201184521,575449.193999419,626342.737680083,686537.023719028,760208.87575753,855188.412253093,989054.550330539,1217900.22490355
"4",0,8361.03359234831,16939.2610016886,25746.2679053413,34794.592457169,44097.8326425205,53670.7691979715,63529.5068849191,73691.6375071534,84176.428816348,95005.0444010895,106200.800865037,117789.470149674,129799.636858258,142263.123043422,155215.49634501,168696.681908243,182751.704604274,197431.596335993,212794.514550763,228907.133852164,245846.394853852,263701.726309333,282577.903050135,302598.771359317,323912.178253253,346696.604001838,371170.256895586,397603.815760406,426338.730188156,457814.267704327,492608.860161496,531505.905211481,575603.737854001,626510.94961257,686721.401556491,760413.039063644,855418.083464734,989320.172915807,1218227.30676797
"5",0,8369.56403759002,16956.5434867801,25772.5358453177,34830.0920592678,44142.8239874876,53725.5274467773,63594.3236296108,73766.8222880281,84262.3108318583,95101.9744420944,106309.153511442,117909.646275516,129932.066501362,142408.268708445,155373.856824921,168868.796730123,182938.159232369,197633.028300466,213011.62071761,229140.679112949,246097.222599729,263970.771172217,282866.206559727,302907.501400977,324242.653555044,347050.325388465,371548.947821394,398009.475843072,426773.707413415,458281.358225898,493111.450285166,532048.180513927,576191.004501414,627150.154956021,687422.037338848,761188.859626876,856290.83406897,990329.538739824,1219470.21785277
"6",0,8601.53228539091,17426.5058006739,26486.8394762564,35795.4321163418,45366.272841857,55214.5675458834,65356.8842308785,75811.3207153226,86597.698972929,97737.7913466138,109255.585124186,121177.59355718,133533.223462956,146355.212230985,159680.150576886,173549.112061936,188008.416663039,203110.564176473,218915.384903793,235491.471292208,252917.977092882,271286.90340855,290706.038838092,311302.792007531,333229.262638822,356669.064849388,381846.683523194,409040.583354145,438602.035468681,470982.942584417,506778.374700759,546794.263299739,592160.536141596,644532.054646353,706474.413876625,782285.734591948,880023.525938562,1017777.20588416,1253268.67717636
"7",0,8453.82089146866,17127.2459272461,26031.9893577167,35180.7284799986,44587.2121842682,54266.3852376139,64234.5311254261,74509.4368780712,85110.5840727763,96059.3711628973,107379.373510135,119096.649062339,131240.099642896,143841.900452439,156938.013845796,170568.808040969,184779.807576541,199622.610686396,215156.020225237,231447.450723867,248574.696651113,266628.179203866,285713.835961481,305956.887601938,327506.821886764,350544.099786207,375289.351176306,402016.258764836,431070.061410263,462894.901447734,498075.629927733,537404.338325806,581991.550510074,633463.709488703,694342.352171602,768851.789049673,864911.16021257,1000299.23977354,1231746.69049741
"8",0,8268.84492096421,16752.4888821024,25462.3898171747,34410.9476344866,43611.6103881389,53078.9958424558,62829.0311878991,72879.1142612093,83248.3003680257,93957.5197474225,105029.831914424,116490.724649348,128368.467381909,140694.531295109,153504.091860358,166836.634008632,180736.686167311,195254.717562044,210448.244396771,226383.206121568,243135.69500367,260794.153756054,279462.201964023,299262.320382777,320340.72586899,342873.930770916,367077.737416677,393219.840130199,421637.923683612,452766.412243135,487177.359877622,525645.526504345,569257.136892483,619603.046251767,679149.618364703,752028.732625912,845986.252373335,978411.938747479,1204795.14486905
"9",0,8322.57176029358,16861.3382180301,25627.8317549211,34634.5328477057,43894.9769292476,53423.8767428294,63237.2629658702,73352.6464775956,83789.2063955382,94568.0089530499,105712.263494408,117247.623406843,129202.541800756,141608.694343233,154501.485058394,167920.655430645,181911.023210931,196523.38554881,211815.632359893,227854.13153599,244715.46975402,262488.664383695,281278.008278819,301206.778013585,322422.140489039,345101.754942833,369462.825879223,395774.786966635,424377.517084799,455708.263071979,490342.795919685,529060.909549575,572955.886478822,623628.918502625,683562.394607969,756915.041085564,851483.050038614,984769.172621554,1212623.30415754
"10",0,8423.29087691939,17065.3928227078,25937.9777830642,35053.6772724869,44426.1905285964,54070.4083471509,64002.5554075819,74240.3545044144,84803.2168593708,95712.4636477218,106991.585091426,118666.545033011,130766.140920209,143322.431756569,156371.250022957,169952.818152136,184112.496275989,198901.696287231,214379.008680733,230611.604527371,247676.997350079,265665.281799858,284682.012874522,304851.959031786,326324.068175093,349278.149560382,373934.03628394,400564.422679507,429513.300814602,461223.209054742,496276.886327229,535463.563559157,579889.754087753,631176.027206879,691834.813582114,766075.168086528,861787.63173425,996686.772613899,1227298.37714127
