"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,4506.76891243605,9130.60975522392,13877.7674465069,18755.0003088563,23769.6379357926,28929.647448051,34243.7096429522,39721.3068642232,45372.824825938,51209.6711372236,57244.4139265722,63490.9448000158,69964.67144608,76682.7466050265,83664.3419655909,90930.9780014468,98506.9240433361,106419.687335543,114700.615937239,123385.648829814,132516.258585038,142140.64913867,152315.296277865,163106.955694037,174595.319967038,186876.59362983,200068.395434841,214316.626831261,229805.336165357,246771.297659628,265526.297968485,286492.604523851,310262.242459644,337702.275661075,370156.946489442,409878.253353665,461087.924490889,533263.902183479,656649.551013293
"2",0,4548.9721678424,9216.1125762033,14007.7246232325,18930.6299192401,23992.2266951037,29200.5566789851,34564.3819587957,40093.2736748664,45797.7147974102,51689.2197611427,57780.4743877296,64085.5003699701,70619.8496803828,77400.8356846113,84447.8096030452,91782.4934360091,99429.3837823353,107416.245475565,115774.720131113,124541.083277912,133757.195854115,143471.713197152,153741.639956897,164634.356952778,176230.303039054,188626.583647882,201941.918962523,216323.576713921,231957.328753476,249082.166555823,268012.796475063,289175.44023069,313167.666925793,340864.659991832,373623.249833735,413716.523508601,465405.743269744,538257.606786513,662798.690064424
"3",0,4418.17200746951,8951.11447146578,13604.9495435936,18386.3026870578,23302.3594056077,28360.9301972957,33570.5252068551,38940.440368121,44480.8572262516,50202.9591324007,56119.0671428659,62242.7997737287,68589.2618194585,75175.2688209335,82019.6155777438,89143.3995005218,96570.4128182031,104327.622020319,112445.758906129,120960.055945865,129911.170417331,139346.358632923,149320.98614316,159900.496313986,171163.015078266,183202.855719593,196135.324766798,210103.455446387,225287.677966184,241920.111891729,260306.414578787,280860.552259851,304162.911665458,331063.511392251,362880.167837594,401820.608205715,452023.567338116,522780.66415158,643740.720097445
"4",0,4566.03305832582,9250.67754638645,14060.2605031854,19001.6291234378,24082.2093850379,29310.0731765968,34694.0154481793,40243.6432366158,45969.4788284309,51883.0798431524,57997.1796805379,64325.8526216538,70884.7089665903,77691.1270146562,84764.5305628671,92126.7230797683,99802.2930385264,107819.10940451,116208.932464806,125008.173799483,134258.851345869,144009.802922921,154318.24697608,165251.817036099,176891.253642635,189334.026421137,202699.300814139,217134.896879251,232827.283203993,250016.347598966,269017.976722404,290259.990835582,314342.20022062,342143.070678734,375024.521398449,415268.164635064,467151.244478217,540276.338434547,665284.51223403
"5",0,4487.91213874384,9092.40636712674,13819.7014739274,18676.5275042168,23670.18338376,28808.6028980592,34100.4305231072,39555.1089275528,45182.9803705993,50995.4047307917,57004.8975503104,63225.2923113128,69671.9322350085,76361.8982928715,83314.2819573667,90550.5136583445,98094.7611812301,105974.416677235,114220.697042104,122869.390884919,131961.797252046,141545.918389136,151677.993782979,162424.499812472,173864.795615711,186094.683196232,199231.289177791,213419.904543264,228843.807562154,245738.781769839,264415.309274056,285293.890697392,308964.074081152,336289.295428183,368608.172654758,408163.281582311,459158.686313103,531032.67246723,653902.06335215
"6",0,4373.72389805218,8861.06362809387,13468.0797510847,18201.3310761216,23067.9308186737,28075.6109008863,33232.7958529348,38548.6880888265,44033.3667243819,49697.9026029541,55554.4928273917,61616.6189075002,67899.2336790758,74418.9835137112,81194.4741297866,88246.5906917807,95598.8860718104,103278.055468594,111314.521510454,119743.162218613,128604.225846707,137944.493294735,147818.773119499,158291.85030744,169441.064821567,181359.781126113,194162.145732324,207989.752910394,223021.217687207,239486.324437226,257687.655513348,278035.012526053,301102.943344727,327732.915129007,359229.486655839,397778.174744666,447476.07734762,517521.336963279,637264.499181892
"7",0,4610.93013854535,9341.63799423686,14198.512818851,19188.4691344844,24319.0059374965,29598.2744861012,35035.156209715,40639.3526096405,46421.4894363801,52393.2379537046,58567.4567668755,64958.3585471371,71581.707088189,78455.0515674061,85598.0067729248,93032.5905633452,100783.633186398,108879.277638576,117351.596500842,126237.359382565,135578.997376802,145425.82851705,155835.633868667,166876.711992206,178630.59733627,191195.717929702,204692.410949971,219269.94994591,235116.637021141,252474.718765131,271663.187899615,293114.071374771,317433.077312268,345507.309328476,378712.078147696,419351.430757337,471744.668711041,545588.790139902,671826.149522467
"8",0,4517.99318249093,9153.34986718651,13912.3305254233,18801.710311618,23828.8370739073,29001.6977754271,34328.9948333361,39820.2342074793,45485.8274779253,51337.2106648617,57386.9831981566,63649.0712813866,70138.9209764797,76873.7277432139,83872.7110181053,91157.444872341,98752.259080304,106684.729394059,114986.281946248,123692.945225585,132846.295092771,142494.655537203,152694.643001012,163513.179433064,175030.155890446,187342.016506971,200566.672968799,214850.390097926,230377.674619644,247385.890451169,266187.600762787,287206.124658649,311034.961732556,338543.33532351,371078.835676754,410899.069884233,462236.280549095,534592.015109818,658284.960335403
"9",0,4490.90527742515,9098.47039698344,13828.9182949717,18688.9835049532,23685.9698205906,28827.8163186928,34123.1732405429,39581.4895524211,45213.1144111293,51029.4152714952,57042.9160227329,63267.4593730117,69718.3987764484,76412.8265963882,83369.8470380372,90610.9048239163,98160.1838577549,106045.094559506,114296.874644507,122951.336590458,132049.806987442,141640.320095412,151779.152909151,162532.826142879,173980.751861953,186218.79596347,199364.163186847,213562.241414375,228996.431149964,245902.673180917,264591.65668587,285484.162733338,309170.132553928,336513.578004833,368854.009771375,408435.499323796,459464.914595291,531386.835914254,654338.172504712
"10",0,4543.28520434793,9204.59091947558,13990.2126632482,18906.9635178409,23962.2324651256,29164.0511797812,34521.1707956679,40043.1504876166,45740.4601204033,51624.599733806,57708.2392901268,64005.3829527422,70531.5632516469,77304.0719079297,84342.2359497712,91667.7502214227,99305.0806969382,107281.95749925,115629.982686548,124385.386437388,133589.977356863,143292.349955229,153549.437617169,164428.536925004,176009.986171194,188390.76939013,201689.458345317,216053.13665881,231667.343936637,248770.772874776,267677.736392616,288813.923362392,312776.155827518,340438.523096198,373156.159312163,413199.30979978,464823.909533586,537584.696237167,661970.082674555
