"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,4277.26268998655,8665.63544784384,13171.0451706228,17799.9060147941,22559.174315929,27456.4114708797,32499.8562092594,37698.5079885121,43062.2236324911,48601.8298203205,54329.2546512941,60257.6823044411,66401.7358351146,72777.694484025,79403.7536258469,86300.3378088326,93490.4804533572,101000.288003298,108859.512124762,117102.261614359,125767.897062203,134902.167629153,144558.673085239,154800.769602871,165704.091434679,177359.9439188,189879.956098384,203402.599423192,218102.549617657,234204.523228718,252004.429243512,271903.03121723,294462.205533159,320504.86103755,351306.784843077,389005.292831589,437607.12265191,506107.554445948,623209.816060307
"2",0,4258.65872023811,8627.94423469948,13113.7576613746,17722.485258337,22461.053104551,27336.9897085454,32358.4979655487,37534.5381898318,42874.9243329566,48390.4359833666,54092.9493590439,59995.5912943829,66112.9212417036,72461.1476350995,79058.3867083961,85924.9741731984,93083.8432659352,100560.98688041,108386.027277749,116592.924898228,125220.869132927,134315.410156565,143929.914606773,154127.46308806,164983.360881594,176588.516192611,189054.072533327,202517.899071426,217153.911778638,233185.849796456,250908.335054793,270720.387986288,293181.441090839,319110.823969654,349778.774694684,387313.312884516,435703.748867882,503906.237782743,620499.162680971
"3",0,4225.80170915013,8561.3766889042,13012.5805281056,17585.7502126588,22287.758384456,27126.0754670033,32108.8410673823,37244.9463679691,42544.1296023272,48017.0871906818,53675.6037219246,59532.7047524252,65602.8374033406,71902.0850551422,78448.4241687048,85262.0335586509,92365.6695236333,99785.1244133743,107549.791943107,115693.370536674,124254.747225578,133279.120749333,142819.446003677,152938.316904643,163710.457727356,175226.075289099,187595.455591816,200955.404095325,215478.494950048,231386.741073348,248972.491286007,268631.687441317,290919.445825773,316648.774631999,347080.111610022,384325.057977991,432342.145168673,500018.428514664,615711.799051338
"4",0,4202.17166692933,8513.50276898293,12939.8161514395,17487.4133647396,22163.1286200041,26974.3905672642,31929.2932981529,37036.6782769035,42306.2292823539,47748.5829219701,53375.4578870101,59199.8068969076,65235.9962867097,71500.0195010634,78009.7524792007,84785.2611988736,91849.1747089641,99227.141132287,106948.389818878,115046.430756104,123559.933525087,132533.844120844,142020.821323368,152083.109033008,162795.013678074,174246.237653012,186546.450257168,199831.691954978,214273.571888391,230092.861512208,247580.274876948,267129.539789112,289292.668409116,314878.122711082,345139.292268312,382175.970545216,429924.553467186,497222.40130132,612268.832057424
"5",0,4128.35591599196,8363.95376199078,12712.514098616,17180.227782668,21773.8089748592,26500.5558328409,31368.4202666557,36386.0884305269,41563.0739971041,46909.8267301852,52437.8594693722,58159.8974053862,64090.0545128532,70244.0432940361,76639.4256777024,83295.9151607121,90235.7432879022,97484.1076446998,105069.724135571,113025.514108229,121389.46787022,130205.741890897,139526.06994107,149411.602538756,159935.340838414,171185.411513615,183269.557402265,196321.429268941,210509.621752929,226051.028216459,243231.255999127,262437.116646986,284210.925621845,309346.943377171,339076.542324688,375462.630755215,422372.4574854,488488.144863444,601513.658971673
"6",0,4300.2175881439,8712.14154148165,13241.7305650984,17895.4332384871,22680.243229968,27603.7625163406,32674.274042225,37900.8255626901,43293.3268004651,48862.6625384975,54620.8248909254,60581.0687926582,66758.0957769846,73168.2724508445,79829.891838508,86763.4881011877,93992.2182733216,101542.328904926,109443.731331156,117730.717401198,126442.85894268,135626.150639685,145334.479917539,155631.542963888,166593.379939696,178311.786193856,190898.989852043,204494.205502386,219273.046306124,235461.434802396,253356.868040883,273362.260365086,296042.503595054,322224.922903584,353192.152203594,391092.977766285,439955.640304782,508823.695167483,626554.412568681
"7",0,4204.19709911968,8517.60624783332,12946.0530980109,17495.8422374184,22173.8111712429,26987.3921300989,31944.683106944,37054.5298275662,42326.6207383516,47771.597573574,53401.1846728599,59228.3409988091,65267.4398109923,71534.4822628415,78047.3529097296,84826.1274011402,91893.4456930786,99274.9682706659,106999.938572383,115101.882737296,123619.488985129,132597.724974714,142089.274867395,152156.412564862,162873.48031087,174330.223736105,186636.365000137,199928.010138436,214376.851007962,230203.765474592,247699.60771201,267258.295302158,289432.106473401,315029.892875732,345305.648211888,382360.178039454,430131.775613028,497462.06077675,612563.943514045
"8",0,4263.53476069637,8637.82298008006,13128.7725327501,17742.7769888601,22486.7703575332,27368.2897672217,32395.547505231,37577.5141451311,42924.0148751733,48445.8416261166,54154.8842138675,60064.2845026643,66188.6186149766,72544.113543084,79148.9062633731,86023.3557712477,93190.4215610256,100676.126287619,108510.126128781,116726.420408504,125364.243388584,134469.197397364,144094.710175726,154303.934553635,165172.262034621,176790.704911168,189270.533951588,202749.776179752,217402.546696123,233452.840817008,251195.617805869,271030.35496214,293517.125319673,319476.196588256,350179.261225513,387756.775370644,436202.61699676,504483.195779148,621209.616187652
"9",0,4252.20734363179,8614.87389465748,13093.8918315547,17695.6377379527,22427.0272006054,27295.5773232198,32309.4785745845,37477.6776951282,42809.9737694084,48317.1300560358,54011.0047818926,59904.7048957337,66012.7677939885,72351.377356843,78938.6223741188,85794.807751164,92942.8319832001,100408.648587796,108221.834951769,116416.300069247,125031.173963904,134111.9378072,143711.877392467,153893.977764375,164733.430125283,176321.004964981,188767.67742609,202211.107820411,216824.948657043,232832.600138494,250528.237876447,270310.277833622,292737.305034228,318627.407889658,349248.900207741,386726.577902869,435043.707958905,503142.877972116,619559.178041363
"10",0,4185.81817739239,8480.37097678345,12889.4585828262,17419.3580223701,22076.8769100025,26869.4149858574,31805.0348419879,36892.5435345152,42141.5871561502,47562.7609201316,53167.7379123708,58969.4204445177,64982.1189425017,71221.7646096691,77706.1638178932,84455.3044546468,91491.7275038914,98840.9812742646,106532.181364649,114598.707352408,123079.078329192,132018.065374778,141468.122338266,151491.250886924,162161.46827254,173568.127796926,185820.471962077,199054.011807055,213439.688626673,229197.414704817,246616.772727187,266089.958239332,288166.835149334,313652.719159463,343796.122057225,380688.66559174,428251.426511872,495287.372944148,609886.080296557
