"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,4296.46678779139,8704.54250657351,13230.1806640403,17879.8242150078,22660.460727674,27579.685548128,32645.7743963156,37867.7671355369,43255.5648449138,48820.0428133052,54573.1826949072,60528.2278632109,66699.867028313,73104.4525216256,79760.2614116026,86687.8099488421,93910.2349694059,101453.76013015,109348.270676516,117628.028547139,126332.571053713,135507.852762147,145207.714095267,155495.795682676,166448.071360445,178156.25641035,190732.481068765,204315.838495982,219081.788677289,235256.057094279,253135.881309287,273123.824229816,295784.28495749,321943.867043121,352884.085641418,390751.852776955,439571.895590261,508379.881324095,626007.909871234
"2",0,4218.75020448742,8547.0905032769,12990.8667141164,17556.4052485178,22250.5672801434,27080.8107667637,32055.2617330726,37182.796524921,42473.1371258907,47936.9621073202,53586.0363934104,59433.3638050644,65493.3673558381,71782.1035882108,78317.5189661226,85119.7586322412,92211.5409122717,99618.6151167959,107370.325912385,115500.315491044,124047.40599432,133056.720739561,142581.126257807,152683.112015965,163437.277598364,174933.679296108,187282.419079254,200620.074123285,215118.930607839,231000.630982087,248557.036230605,268183.427507008,290433.994787151,316120.389614328,346500.946473131,383683.742998052,431620.705105372,499184.058489095,614684.373980139
"3",0,4216.72477229706,8542.9870244265,12984.629767545,17547.976375839,22239.8847289047,27067.8092039289,32039.8719242815,37164.9449742582,42452.745669893,47913.9474557164,53560.3096075606,59404.8297031629,65461.9238315554,71747.6408264325,78279.9185355937,85078.8924299746,92167.2699281571,99570.7879784169,107318.777158879,115444.863509852,123987.850534278,132992.839885691,142512.672713781,152609.80848411,163358.810965568,174849.693213015,187192.504336284,200523.755939826,215015.651488269,230889.727019704,248437.703395543,268054.671993962,290294.556722866,315968.619449678,346334.590529556,383499.535503814,431413.48295953,498944.399013665,614389.262523517
"4",0,4166.46404757345,8441.15995665746,12829.8610933663,17338.8154612171,21974.7991981657,26745.1778298806,31657.9766690953,36721.9620504042,41946.7354655054,47342.8431381392,52921.904180917,58696.76124857,64681.6585993563,70892.4537748998,77346.8708150613,84064.8051885435,91068.6936556862,98383.9663964216,106039.604386709,114068.832865466,122509.992822123,131407.648326683,140814.010695346,150790.79491587,161411.676003605,172765.594114036,184961.286640365,198133.638054009,212452.799261887,228137.665730931,245476.481192148,264859.627781335,286834.426979501,312202.470919474,342206.498596397,378928.460646801,426271.30378494,492997.293512266,607066.126377732
"5",0,4239.30459041916,8588.73321457349,13054.1601719148,17641.9426971841,22358.9753927142,27212.7525525686,32211.4397926561,37363.9567057209,42680.0726423119,48170.5182013742,53847.1156275901,59722.9320984352,65812.4608985583,72131.8368003301,78699.0937055642,85534.4749070951,92660.8094177299,100103.972002567,107893.450299809,116063.050411285,124651.783625859,133704.993108469,143275.802963854,153427.007117006,164233.568612659,175785.98250972,188194.887211615,201597.52531838,216167.022413852,232126.10082257,249768.043519754,269490.057528291,291849.032921005,317660.575729665,348189.151233855,385553.107939576,433723.626140951,501616.158350861,617679.208762146
"6",0,4317.77133379364,8747.70502485173,13295.7841020504,17968.48346837,22772.8253407037,27716.4427275754,32807.6523850811,38055.5390017675,43470.0527524453,49062.1228523976,54843.7903682904,60828.3643424712,67030.6063207676,73466.9497195888,80155.7622364253,87117.6618541651,94375.9001356473,101956.830770876,109890.487194869,118211.301238193,126959.006263044,136179.784706563,145927.743965768,156266.84023996,167273.42409059,179039.665580664,191678.250957782,205328.963092358,220168.132009069,236422.602476386,254391.085944755,274478.141478153,297250.966818857,323540.264330551,354633.903714578,392689.442716346,441751.565568744,510900.743954538,629112.045192731
"7",0,4258.28364020285,8627.18433120867,13112.6026712688,17720.9243559891,22459.0748543216,27334.5820117241,32355.6480009578,37531.2323471165,42871.1481374015,48386.1740108473,54088.1851394421,59990.3072014382,66107.0983668364,72454.7656421776,79051.4236657056,85917.4063579638,93075.6449355436,100552.130002932,108376.481212285,116582.656012822,125209.840344031,134303.580368811,143917.238024546,154113.888359939,164968.830023669,176572.96321426,189037.421655,202500.062370786,217134.786015755,233165.312025644,250886.236381633,270696.544372761,293155.619227082,319082.718383608,349747.968038466,387279.200385583,435665.37439643,503861.856398405,620444.512411227
"8",0,4204.27211512673,8517.75822853149,12946.2840960321,17496.154417888,22174.2068212888,26987.8736694632,31945.2530998622,37055.1909961093,42327.3759774626,47772.4499680778,53402.1375167803,59229.3978173981,65268.6043859658,71535.7586614259,78048.7455182677,84827.6409641872,91895.0853591569,99276.7396461614,107001.847785476,115103.936514377,123621.694742909,132600.090932265,142091.81018384,152159.127510486,162876.386482455,174333.334331775,186639.695175803,199931.577478564,214380.676160538,230207.873028754,247704.027446642,267263.064024863,289437.270846152,315035.513992941,345311.809543131,382367.00053924,430139.450507318,497470.937053617,612574.873567994
"9",0,4170.36487994006,8449.06295296192,12841.8729904668,17355.0488456356,21995.3730005514,26770.2178768216,31687.6163008411,36756.3428146437,41986.0078992788,47387.1676523392,52971.4520647759,58751.7158151951,64742.2164979748,70958.8265012874,77419.2864590429,84143.5104669829,91153.9562917586,98476.0779221884,106138.883467534,114175.629273687,122624.692226648,131530.678119322,140945.847150508,150931.97208833,161562.796926026,172927.345088882,185134.455774974,198319.139740669,212651.707195875,228351.258547373,245706.307393009,265107.601362017,287102.974362568,312494.769014356,342526.88782106,379283.230635703,426670.398288043,493458.85990939,607634.489183076
"10",0,4227.90215734754,8565.63214845275,13019.0484726981,17594.4912658072,22298.8365857406,27139.5585692024,32124.8008690915,37263.4590871749,42565.2762974359,48040.9542367895,53702.2833516948,59562.2956729156,65635.4455025967,71937.8242155048,78487.4172077718,85304.4133239645,92411.5801738261,99834.7229272488,107603.249909705,115750.876294947,124316.508443399,133345.367560754,142890.434864149,153014.335382122,163791.830531736,175313.171967862,187688.700510452,201055.289618911,215585.599222195,231501.752589893,249096.243855701,268765.211677068,291064.048262809,316806.165913858,347252.62888484,384516.087972015,432557.042208805,500266.964266962,616017.840561909
